Datum,Beograd Novi Beograd,Beograd Stari grad,Beograd Mostar,Beograd Vracar,Bor Institut RIM,Cacak,Kamenicki Vis EMEP,Kikinda Centar,Kopaonik,Kosjeric,Kostolac,Kragujevac,Kraljevo,Krusevac,Loznica,Novi Sad SPENS,Novi Sad Liman,Nis IZJZ Nis,Nis O.s. Sveti Sava,Obrenovac Centar,Obrenovac Dep. pepela,Pancevo Sodara,Paracin,Sremska Mitrovica,Sabac,Smederevo Carina,Uzice,Valjevo,Vranje,Zajecar,Beograd Zeleno brdo
2011-01-01,2.74,2.81,2.67,3.64,2.0,5.89,0.65,0.96,0.23,4.1,2.81,4.84,5.32,6.28,3.6,1.26,1.39,5.16,4.61,2.28,1.52,3.25,6.77,1.45,1.99,4.73,6.21,10.54,12.15,9.28,4.5
2011-01-02,2.74,2.84,2.7,3.73,2.03,7.45,0.91,0.93,0.28,3.65,2.99,4.65,5.32,6.39,3.57,1.42,1.35,5.44,4.65,2.39,1.68,3.25,7.24,2.12,2.32,4.7,6.03,12.54,14.54,9.48,4.3
2011-01-03,1.57,1.67,1.71,1.77,0.32,2.22,1.22,0.99,0.26,2.16,1.04,3.18,2.54,2.61,1.73,1.35,1.19,1.13,1.44,2.35,1.57,1.97,2.52,1.94,1.87,2.45,3.44,4.39,0.99,2.36,1.9
2011-01-04,0.94,1.0,1.76,1.35,0.46,1.33,0.48,0.28,0.19,2.2,0.62,1.73,1.31,1.94,2.06,0.39,0.38,1.45,1.28,0.7,0.62,1.51,2.49,1.78,1.2,2.06,2.15,1.99,1.41,1.61,1.5
2011-01-05,2.25,1.81,2.37,1.77,0.55,2.22,0.49,0.99,0.18,3.05,1.39,2.52,1.86,3.22,2.44,1.23,1.42,1.87,1.61,1.93,0.8,1.61,3.15,2.47,2.64,2.45,4.63,2.61,4.1,1.2,1.8
2011-01-06,2.13,1.62,2.0,1.55,0.67,2.74,0.48,0.94,0.12,3.06,0.08,2.93,1.65,2.64,5.6,1.52,1.65,1.17,1.1,2.1,1.15,0.81,3.78,2.42,2.87,0.96,6.08,10.74,5.31,1.03,1.5
2011-01-07,3.19,3.06,3.41,2.86,1.22,2.74,0.46,0.29,0.08,5.6,0.33,3.0,5.55,7.08,5.18,2.09,0.94,3.58,3.87,1.65,0.67,0.91,5.16,2.49,4.25,0.86,10.14,11.95,8.58,2.8,1.2
2011-01-08,4.87,4.32,5.47,3.76,2.38,4.44,0.42,0.39,0.08,3.19,0.42,2.86,6.7,7.38,3.73,3.31,2.29,10.69,10.83,2.71,0.8,1.57,5.18,8.42,11.76,1.2,11.6,6.76,15.37,3.51,1.4
2011-01-09,4.87,4.07,6.0,3.81,2.57,5.23,0.46,0.4,0.1,2.74,0.64,3.28,5.13,6.95,2.58,2.96,1.64,10.85,11.19,0.0,1.02,1.61,4.74,9.0,12.33,1.54,7.09,5.51,17.82,9.45,1.3
2011-01-10,2.29,2.71,3.22,2.04,2.15,3.41,0.45,0.68,0.12,3.06,0.62,2.61,6.48,7.45,3.2,2.12,1.25,4.99,6.21,5.34,0.91,1.15,4.12,2.51,4.54,1.19,7.77,8.69,19.87,14.11,1.2
