Datum,Beograd Novi Beograd,Beograd Stari grad,Beograd Mostar,Beograd Vracar,Bor Institut RIM,Cacak,Kikinda,Kosjeric,Kostolac,Kragujevac,Kraljevo,Loznica,Nis IZJZ Nis,Novi Sad SPENS,Obrenovac Centar,Obrenovac Dep. pepela,Pancevo Sodara,Paracin,Sremska Mitrovica,Sabac,Smederevo Centar,Valjevo,Vranje,Smederevo Radinac,Smederevo Ralja
2011-01-01,62.87,64.7,73.91,71.17,51.12,52.1,24.24,24.68,55.42,59.39,47.68,37.99,49.88,38.89,46.65,29.01,47.95,39.59,33.51,30.76,58.92,54.85,52.14,50.87,52.92
2011-01-02,40.64,48.01,59.27,56.79,25.93,43.48,17.79,31.37,31.59,44.42,40.25,35.64,39.73,43.22,34.12,20.25,33.04,41.87,33.84,31.75,54.52,37.09,43.31,41.03,43.0
2011-01-03,30.46,23.74,42.53,29.92,10.61,20.43,16.98,17.53,17.71,37.07,40.89,32.29,27.28,31.21,20.58,12.56,19.89,35.26,28.86,23.6,38.1,31.69,18.34,26.03,31.0
2011-01-04,35.24,33.11,49.56,32.55,14.14,26.02,10.66,22.51,21.67,31.37,31.32,34.8,26.53,17.85,8.21,15.9,22.2,27.57,27.44,32.21,26.62,26.71,25.99,18.83,27.05
2011-01-05,56.15,49.5,70.59,57.19,12.01,27.37,20.68,30.58,17.17,39.9,31.71,38.35,36.88,50.51,31.45,14.87,27.07,36.44,38.83,41.69,28.9,36.01,41.24,26.02,36.88
2011-01-06,25.3,28.53,55.36,26.54,15.64,32.8,10.7,32.57,8.95,39.47,30.88,61.46,21.01,48.79,25.52,20.16,17.03,32.7,45.75,49.13,21.03,65.83,40.46,11.15,15.14
2011-01-07,51.93,43.05,58.48,36.98,16.51,28.82,9.72,42.5,9.71,31.0,29.52,50.82,26.31,41.42,21.79,10.54,14.29,36.49,36.33,48.12,17.03,68.85,34.61,12.71,13.16
2011-01-08,84.97,61.88,77.74,61.06,42.39,40.6,13.68,22.27,17.68,34.25,49.67,42.25,56.89,63.49,43.83,9.18,21.6,38.53,42.2,55.05,20.0,56.11,47.54,23.71,28.58
2011-01-09,63.43,57.26,77.32,46.36,41.52,35.98,13.2,15.53,22.94,35.82,48.31,22.53,47.6,50.77,28.47,6.45,19.4,40.02,35.59,41.63,19.24,37.68,53.97,25.49,26.61
2011-01-10,71.28,53.29,76.02,54.63,45.5,51.86,12.06,22.25,12.04,33.06,44.71,18.9,52.88,52.0,35.84,9.98,25.36,33.32,45.47,53.78,18.04,63.09,50.39,19.86,27.75
2011-01-11,26.41,27.28,46.11,23.16,17.9,31.69,12.14,22.29,6.06,26.75,22.82,17.54,24.15,35.46,11.24,12.25,13.31,38.03,34.63,39.64,11.23,46.61,50.91,11.07,19.95
2011-01-12,23.05,22.96,37.82,24.45,26.19,21.73,13.64,16.94,11.85,27.74,17.43,19.37,25.29,29.1,20.56,9.29,23.57,35.63,24.42,17.93,17.84,28.64,35.39,14.15,19.01
2011-01-13,40.54,39.52,47.49,41.75,32.65,29.98,15.25,17.99,17.68,29.81,14.48,29.57,26.24,39.89,20.24,9.94,26.99,27.82,24.57,27.25,21.74,45.55,19.44,17.35,19.48
2011-01-14,40.3,54.88,73.18,53.04,32.78,40.78,14.86,16.41,27.21,41.31,39.19,32.98,39.28,62.89,42.3,11.17,31.1,32.63,45.31,47.81,34.36,40.25,24.34,25.05,27.13
2011-01-15,32.85,37.24,45.47,42.8,24.97,14.96,15.07,8.9,16.85,26.0,19.77,28.79,28.55,46.95,21.93,11.17,18.44,25.4,27.72,22.8,18.77,29.88,31.56,17.44,19.55
2011-01-16,30.81,32.28,56.19,39.14,13.78,11.05,14.59,9.12,14.51,23.99,15.69,25.57,18.77,48.34,30.78,3.61,17.56,22.82,28.56,24.97,19.03,27.96,22.16,17.18,21.07
2011-01-17,62.39,57.41,69.36,50.7,41.84,27.44,14.02,15.62,23.46,31.76,26.74,31.95,27.27,50.81,37.51,11.93,22.86,35.03,37.17,43.28,17.5,39.44,41.53,22.16,24.27
2011-01-18,36.38,34.49,46.42,43.72,31.45,32.8,13.15,17.79,17.44,37.0,34.99,27.62,40.21,113.38,22.71,12.18,24.02,35.84,27.85,22.37,31.32,33.1,47.2,27.14,32.32
2011-01-19,30.41,28.27,32.7,26.25,26.7,24.81,12.57,22.6,20.51,30.11,20.25,22.67,39.38,144.0,20.3,23.26,23.81,24.65,24.54,26.99,27.3,20.72,53.13,20.43,23.68
2011-01-20,17.88,25.92,39.75,25.24,15.3,24.33,13.16,17.22,14.31,30.36,20.79,26.65,26.49,132.06,26.15,9.06,22.43,25.71,25.29,16.64,19.43,26.6,36.23,17.4,20.09
2011-01-21,35.97,18.28,35.96,26.43,12.42,12.03,9.15,6.03,15.75,31.91,20.95,22.77,21.29,92.81,22.06,4.66,17.33,25.94,26.72,23.17,19.94,31.42,18.25,18.56,19.91
2011-01-22,30.42,11.84,30.54,21.57,13.36,7.19,7.56,3.44,5.94,29.93,16.25,18.3,18.12,157.54,14.56,3.44,8.55,21.41,22.54,17.83,14.79,24.29,20.76,15.8,17.88
2011-01-23,22.74,16.13,38.35,27.72,16.31,4.31,8.57,6.45,8.98,24.86,14.62,19.7,20.8,161.92,12.62,4.24,9.45,19.77,20.13,14.21,14.79,23.14,16.91,13.06,16.21
2011-01-24,34.75,28.15,58.23,41.2,16.27,10.23,20.46,10.17,15.73,29.9,20.49,30.0,27.02,150.17,29.33,5.84,16.51,23.73,28.64,18.62,16.5,32.93,23.3,15.7,20.21
2011-01-25,30.81,49.36,66.3,44.4,29.65,27.54,17.91,28.16,18.5,48.41,30.46,39.54,25.6,179.48,24.29,9.38,39.8,35.94,53.34,45.63,26.9,35.21,26.99,20.35,25.89
2011-01-26,70.6,82.43,97.02,69.28,31.48,31.49,13.87,35.49,19.22,40.73,29.28,44.61,54.11,250.53,,11.79,33.6,42.7,51.09,55.99,21.1,53.3,53.51,21.47,32.15
2011-01-27,63.26,50.4,69.29,66.67,33.12,52.14,18.73,35.34,23.91,45.68,41.92,44.81,72.05,129.04,,15.57,31.25,54.12,50.09,47.94,35.08,57.45,55.79,28.21,41.51
2011-01-28,31.21,30.22,46.22,27.96,12.31,28.37,21.27,14.74,14.09,34.99,26.56,27.96,35.16,58.0,,16.3,20.61,24.19,39.97,31.96,18.99,25.44,,10.95,14.15
2011-01-29,22.12,26.43,42.91,21.75,6.26,26.2,31.86,14.78,5.66,32.65,10.36,36.44,14.84,64.91,,10.5,11.87,21.02,34.73,33.39,13.86,26.54,,5.63,12.68
2011-01-30,44.31,31.45,51.6,41.39,29.0,26.48,18.57,17.2,12.51,34.75,29.88,39.7,39.25,77.91,,11.53,17.91,35.28,36.24,43.87,28.52,33.11,,23.91,34.31
2011-01-31,33.63,26.08,59.54,44.18,42.26,30.53,13.06,31.41,13.9,36.07,22.43,33.07,33.7,144.44,,17.13,16.31,28.51,31.09,31.73,24.03,32.01,,16.32,30.95
2011-02-01,49.68,44.43,58.67,55.4,45.02,19.47,10.34,25.68,21.94,36.28,11.52,26.66,22.12,98.74,,58.05,25.95,21.94,32.42,36.52,20.43,26.11,,16.92,26.38
2011-02-02,49.3,40.12,60.15,53.39,32.72,15.22,11.7,9.74,11.93,34.65,10.45,22.73,25.15,122.28,25.24,23.39,22.27,30.22,31.44,17.73,34.69,25.22,,22.2,34.27
2011-02-03,40.57,36.22,57.87,46.48,31.5,10.35,13.25,7.7,8.62,41.89,17.93,28.98,28.16,35.93,23.29,8.46,18.5,25.21,35.11,22.63,24.48,29.18,,14.29,25.78
2011-02-04,37.79,49.12,66.52,52.18,31.04,27.11,17.6,24.43,19.28,48.3,17.98,46.38,32.34,44.22,30.72,17.62,29.15,24.98,48.81,44.47,28.26,29.22,,19.23,24.08
2011-02-05,101.72,90.01,112.76,98.77,46.87,54.91,26.54,28.87,35.13,48.64,36.47,51.9,65.92,79.24,54.22,18.22,40.41,50.15,63.11,73.33,38.46,30.62,,40.33,39.47
2011-02-06,75.65,86.95,109.29,85.47,24.69,51.18,21.72,25.26,51.78,39.13,47.99,44.48,65.62,76.88,54.63,15.01,59.14,55.09,80.59,77.45,65.37,24.71,,53.05,46.67
2011-02-07,119.86,116.42,138.25,138.01,42.86,64.72,24.97,31.15,51.86,47.03,46.52,46.29,68.0,102.93,62.74,16.07,46.13,53.35,83.59,86.06,37.79,32.42,,43.72,48.21
2011-02-08,78.83,99.67,141.66,110.93,42.65,52.53,20.65,29.11,35.06,43.99,60.41,41.23,66.24,81.72,63.13,14.28,41.29,47.12,72.95,65.04,32.0,30.01,,39.1,44.47
2011-02-09,50.64,56.2,88.48,64.49,30.35,23.47,22.16,25.4,32.47,52.02,42.7,31.98,45.82,58.02,43.55,11.05,36.89,49.02,51.75,42.03,37.45,18.84,,31.89,37.03
2011-02-10,52.64,51.19,71.6,61.8,38.56,27.04,22.97,26.07,29.18,60.29,33.43,35.83,41.79,47.04,33.62,8.73,46.37,43.48,47.27,44.36,46.77,19.98,,30.85,41.38
2011-02-11,59.93,75.74,95.86,81.65,50.62,40.05,18.34,31.01,33.78,53.07,42.34,45.5,62.46,66.13,50.68,12.45,42.46,47.96,60.76,68.11,24.52,25.8,,29.5,36.19
2011-02-12,47.05,38.26,66.31,53.87,14.27,21.34,19.64,21.85,18.63,49.51,31.58,30.56,40.17,38.8,22.97,8.05,25.86,33.41,36.54,30.88,26.3,21.3,,28.66,28.97
2011-02-13,44.6,38.4,53.87,41.78,24.63,24.29,15.79,20.68,16.21,60.34,11.91,24.96,33.15,29.1,9.68,14.34,27.77,31.31,29.76,24.86,27.13,11.65,,20.12,23.24
2011-02-14,36.78,26.92,43.03,34.28,23.94,29.18,13.89,19.7,11.44,71.15,22.34,24.5,43.78,24.68,18.26,12.55,24.22,27.14,37.35,29.02,27.02,15.11,,17.71,27.93
2011-02-15,26.73,24.23,35.38,25.25,4.71,24.48,9.22,15.52,8.71,64.85,6.75,27.01,17.22,16.47,3.85,9.3,16.55,20.39,25.52,21.58,16.77,13.32,,9.06,10.45
2011-02-16,16.37,19.99,33.76,16.03,6.88,18.78,7.93,13.29,8.83,54.8,3.81,30.77,12.88,15.97,3.44,4.81,15.92,15.61,24.65,20.8,9.88,14.28,,7.01,4.71
2011-02-17,19.91,23.61,36.28,18.53,12.22,26.62,8.6,20.3,9.96,59.35,5.33,30.19,15.4,23.44,3.79,8.05,16.94,21.58,27.66,28.66,13.21,17.39,,8.19,7.12
2011-02-18,26.38,28.0,41.71,23.76,10.61,24.62,12.12,17.63,12.06,72.09,8.64,26.1,13.42,25.42,8.3,10.03,21.7,20.54,28.67,20.94,16.46,18.38,,8.78,8.91
2011-02-19,30.97,30.07,43.5,36.82,32.77,12.77,16.02,19.6,17.05,68.7,15.95,21.93,18.3,35.3,18.21,10.45,20.99,25.63,30.1,18.61,25.32,14.48,,20.29,19.43
2011-02-20,27.82,21.04,29.14,27.82,12.59,18.4,13.74,13.79,13.68,81.16,12.43,21.95,31.48,30.19,11.92,12.91,19.52,28.26,24.58,18.75,22.75,13.25,,15.61,13.95
2011-02-21,27.98,29.26,34.08,21.94,6.33,27.78,16.15,14.83,9.9,69.56,12.16,28.51,19.55,21.27,5.47,14.19,17.95,22.09,26.84,29.5,16.98,14.29,,7.99,6.95
2011-02-22,28.7,20.96,42.24,28.89,8.17,10.06,13.3,4.63,12.12,59.85,22.24,21.65,31.45,26.33,23.95,8.8,19.01,29.72,33.68,29.45,25.34,18.58,,17.45,18.31
2011-02-23,40.93,18.38,39.48,31.35,11.94,11.99,16.35,5.15,9.9,31.68,21.38,22.78,19.54,41.49,27.67,11.36,15.49,21.58,21.81,21.51,19.0,19.21,,18.45,2.4
2011-02-24,40.03,23.62,41.8,33.54,9.02,14.31,16.29,9.29,16.2,32.15,22.54,24.7,19.08,41.95,24.65,13.82,19.2,24.76,24.97,21.89,29.05,18.3,9.74,20.31,2.4
2011-02-25,40.35,25.99,62.13,40.85,9.88,14.77,20.77,15.2,11.63,38.07,24.57,30.05,21.8,39.74,26.53,12.65,20.48,25.04,33.89,24.93,28.81,18.33,14.48,21.33,2.4
2011-02-26,39.04,33.28,76.9,51.96,7.93,19.86,20.54,12.45,11.72,37.39,15.72,33.25,18.29,53.4,29.31,12.05,17.85,24.89,45.27,35.79,29.71,14.78,15.93,21.03,2.4
2011-02-27,27.75,29.52,46.65,26.61,6.34,22.0,18.69,7.05,8.72,51.96,4.83,28.52,15.65,26.13,5.7,13.48,13.09,15.46,38.61,39.27,19.04,20.0,17.07,10.62,2.4
2011-02-28,30.47,33.69,59.97,29.13,7.28,27.16,16.92,9.97,7.21,52.17,14.1,40.97,17.95,25.01,16.96,10.69,19.84,16.97,40.78,44.42,17.76,17.36,23.7,7.4,2.4
2011-03-01,26.31,26.43,43.08,25.79,8.6,27.45,18.27,6.37,8.5,48.74,11.77,30.3,19.47,23.31,7.66,9.96,18.59,16.12,32.58,36.19,18.15,14.7,19.69,7.82,2.4
2011-03-02,20.98,21.66,32.55,16.99,8.11,26.27,20.97,11.83,7.54,57.53,7.5,31.19,9.68,20.12,3.44,6.21,11.84,12.52,26.99,24.3,12.44,15.58,34.56,6.56,2.4
2011-03-03,28.09,28.71,48.68,28.06,11.01,29.33,18.67,15.27,9.65,62.63,10.45,30.82,13.12,17.08,9.13,6.37,14.12,19.55,34.4,30.01,15.75,17.99,28.49,7.86,2.4
2011-03-04,40.9,37.48,68.62,46.05,43.84,33.4,23.14,15.65,19.67,64.76,17.07,35.98,35.37,37.04,24.2,13.39,25.84,36.58,45.73,41.18,30.67,19.84,26.94,18.29,2.4
2011-03-05,47.65,33.61,64.31,49.45,29.43,28.24,21.01,12.7,11.64,67.96,20.3,34.15,36.71,46.91,23.29,18.34,27.71,32.96,28.9,34.2,26.42,17.44,25.28,18.85,2.4
2011-03-06,28.99,21.6,56.91,43.89,14.04,9.64,12.8,5.36,9.85,36.33,18.83,31.24,22.48,44.29,13.81,6.46,15.04,20.61,24.32,18.91,20.47,15.98,15.28,15.27,2.4
2011-03-07,23.68,12.16,38.83,22.71,14.73,7.6,7.64,4.23,6.36,33.3,16.49,18.65,13.8,26.86,15.94,3.79,10.27,24.66,14.17,17.53,22.12,15.09,14.84,16.12,2.4
2011-03-08,38.64,17.75,52.68,36.77,26.54,10.86,11.01,12.09,12.51,47.69,13.66,27.89,20.44,53.33,19.52,4.89,10.68,29.07,33.07,23.27,25.73,16.37,14.56,20.15,2.4
2011-03-09,52.13,63.05,80.64,56.66,52.17,21.23,24.0,22.88,39.23,61.58,20.86,32.42,26.24,46.52,15.18,10.57,42.27,33.35,37.56,38.33,34.74,14.46,25.46,30.02,2.4
2011-03-10,72.59,77.39,98.65,73.85,50.55,30.17,17.12,27.25,33.51,61.9,34.87,39.73,32.44,42.82,33.12,10.07,44.57,38.67,39.27,52.84,31.94,21.89,30.75,33.98,2.4
2011-03-11,64.25,79.69,93.78,78.95,65.8,36.1,14.1,35.02,35.41,67.48,42.86,39.21,43.89,64.52,30.12,11.03,41.2,42.21,48.05,54.59,33.82,23.77,44.26,39.32,2.4
2011-03-12,61.61,68.04,89.57,59.68,62.69,28.47,14.75,24.53,17.23,70.58,31.37,31.57,40.85,53.61,30.53,8.28,29.41,35.17,46.88,51.98,22.11,19.1,48.94,25.35,2.4
2011-03-13,31.39,52.41,77.11,34.13,62.95,25.14,10.53,11.36,9.31,68.02,25.06,24.37,35.22,54.5,16.43,3.95,20.91,39.08,33.73,41.23,20.91,15.88,25.73,17.87,2.4
2011-03-14,44.86,50.17,76.56,39.51,61.21,25.3,13.86,18.09,20.75,58.57,31.79,24.31,38.38,51.04,12.84,5.39,26.92,34.8,45.91,45.21,19.54,15.53,33.77,32.4,2.4
2011-03-15,29.97,45.01,67.44,40.71,46.28,23.53,15.82,20.57,18.6,69.98,23.9,28.96,34.44,48.16,24.08,3.76,28.34,33.63,44.11,35.45,8.71,19.78,44.7,23.22,
2011-03-16,38.68,44.51,63.61,31.25,29.71,30.46,7.1,23.3,11.24,63.44,17.26,34.59,35.17,36.45,8.17,5.76,24.76,25.34,32.36,33.78,12.23,23.48,24.36,13.54,
2011-03-17,17.56,23.11,41.31,18.93,7.31,16.77,5.93,13.86,5.78,59.46,13.6,13.7,20.01,31.9,35.31,4.15,15.89,14.96,27.38,22.2,8.76,11.28,20.6,5.59,
2011-03-18,28.53,26.84,44.03,26.89,6.44,12.04,12.38,14.39,5.73,68.16,12.65,25.05,10.14,27.97,26.34,4.99,16.12,14.96,25.83,23.6,13.0,23.29,20.05,5.25,
2011-03-19,19.47,17.12,35.37,25.57,12.8,4.43,11.77,4.8,10.67,42.66,11.96,14.03,17.47,24.24,8.3,3.81,11.62,19.96,15.84,10.02,18.3,10.45,12.78,15.52,
2011-03-20,20.8,8.19,28.05,20.83,7.5,3.44,7.97,9.52,7.89,39.08,6.85,12.02,13.79,19.83,3.75,3.44,6.49,13.56,12.44,10.19,13.5,9.27,7.43,12.01,
2011-03-21,21.86,25.49,41.95,32.92,13.34,7.35,9.58,12.44,11.06,69.34,17.48,17.92,15.08,33.16,25.89,5.07,17.43,22.7,31.67,15.31,18.99,15.93,8.31,9.44,
2011-03-22,35.01,28.34,56.71,43.63,19.86,10.27,19.73,11.31,11.92,61.71,28.51,21.3,23.3,43.94,23.72,3.44,22.74,28.11,34.8,23.85,27.11,15.22,14.42,18.66,
