Datum,Beograd_N.Beograd,Beograd_Stari grad,Beograd_Mostar,Beograd_Vracar,Bor_Institut RIM,Kamenicki Vis - EMEP,Kopaonik,Kosjeric,Novi Sad_SPENS,Nis_IZJZ Nis,Obrenovac_Centar,Uzice,Beograd_Panc.most
2011-01-01,28.08,39.4,17.66,25.73,87.75,90.2,93.03,59.9,37.95,16.38,36.03,16.68,19.34
2011-01-02,31.63,31.68,14.61,14.9,79.78,86.38,79.0,31.68,29.63,25.3,26.33,11.23,13.36
2011-01-03,43.5,67.1,30.2,48.15,78.98,67.53,75.88,63.7,46.28,23.1,39.75,32.63,31.82
2011-01-04,55.13,66.23,31.69,49.58,71.15,70.83,83.33,54.35,57.28,34.35,50.75,39.28,38.56
2011-01-05,40.85,50.4,20.58,20.45,64.78,69.78,94.85,58.2,50.78,9.78,42.75,22.85,16.07
2011-01-06,58.13,58.08,30.88,49.33,64.18,73.58,88.98,63.0,51.8,26.03,53.65,17.45,47.85
2011-01-07,46.7,51.98,25.97,41.03,64.53,71.75,88.23,56.65,42.5,21.93,44.34,13.5,44.83
2011-01-08,9.53,22.1,9.51,21.83,40.03,80.48,84.9,51.25,10.08,15.78,39.4,13.45,5.73
2011-01-09,16.95,23.3,13.56,33.9,45.58,79.68,80.38,35.34,34.75,17.8,,13.15,11.64
2011-01-10,6.75,17.8,6.45,14.55,40.03,75.08,84.4,27.7,24.35,5.28,45.4,11.48,11.21
2011-01-11,37.78,47.75,23.91,42.48,58.7,67.05,80.05,22.57,32.5,11.03,41.05,11.63,30.43
2011-01-12,41.33,46.4,23.76,38.78,34.2,52.93,75.98,22.73,28.6,20.05,39.33,12.38,39.68
2011-01-13,15.85,16.58,6.69,12.33,32.63,46.13,73.18,27.53,10.18,5.9,15.48,14.03,6.93
2011-01-14,37.4,20.5,14.1,20.55,42.05,60.4,74.55,36.68,21.25,11.55,18.0,13.98,8.38
2011-01-15,23.1,20.3,9.4,10.53,46.6,64.5,67.55,55.2,18.35,17.23,23.88,11.68,10.92
2011-01-16,45.03,48.85,24.15,37.73,64.3,66.03,75.0,80.13,31.45,36.4,34.93,31.53,24.51
2011-01-17,20.83,20.95,12.37,28.83,47.7,81.4,83.15,44.18,32.9,22.58,33.2,14.98,6.57
2011-01-18,14.83,19.28,7.8,15.38,22.85,83.25,87.85,61.25,16.7,28.48,16.98,12.23,6.95
2011-01-19,23.0,26.2,11.4,17.95,48.7,89.88,89.6,41.05,21.55,5.95,16.0,16.45,7.38
2011-01-20,24.75,27.18,12.63,20.65,33.75,84.75,83.38,21.18,15.3,8.25,15.98,12.88,12.36
2011-01-21,26.05,48.63,19.65,29.55,27.4,17.5,81.48,59.35,36.65,10.53,26.23,24.73,21.13
2011-01-22,48.7,61.78,35.25,43.95,54.48,54.63,50.83,62.45,30.73,24.1,42.0,35.48,39.44
2011-01-23,42.83,50.85,24.08,33.8,64.63,50.1,50.3,63.18,25.58,24.68,36.83,34.85,28.76
2011-01-24,54.4,60.38,23.9,44.55,59.15,69.68,72.4,71.88,31.88,31.4,37.18,44.15,33.13
2011-01-25,65.1,45.88,16.75,40.63,78.68,89.18,82.3,68.95,35.18,46.53,51.33,40.2,22.83
2011-01-26,60.63,49.85,18.55,42.0,74.85,88.18,93.28,74.55,34.68,32.23,50.9,30.85,27.2
2011-01-27,71.53,86.53,40.1,54.43,73.43,95.43,93.6,57.55,62.23,28.93,61.85,17.3,17.82
2011-01-28,64.73,68.88,35.98,63.5,94.23,93.7,91.38,77.25,62.15,33.23,48.3,32.98,38.34
2011-01-29,72.23,74.43,51.78,70.95,94.63,85.3,92.8,87.83,66.2,55.0,65.58,54.55,59.27
2011-01-30,66.88,84.75,47.83,69.15,88.0,95.75,96.43,95.35,69.88,51.15,59.53,55.45,38.35
2011-01-31,66.28,79.38,41.53,56.45,86.73,90.95,95.25,76.63,39.03,42.15,38.63,43.78,48.01
2011-02-01,56.2,74.35,39.98,50.1,97.73,93.13,106.15,88.33,51.93,52.5,30.18,41.08,38.3
2011-02-02,43.05,48.05,22.15,32.68,128.15,92.23,108.08,79.18,40.63,48.2,33.53,36.78,22.79
2011-02-03,52.05,48.83,24.28,35.5,87.35,54.48,97.6,67.25,35.95,33.4,34.08,41.28,28.84
2011-02-04,57.73,39.03,14.63,29.43,50.55,53.73,97.75,68.5,46.18,30.95,29.08,32.18,12.51
2011-02-05,62.25,82.85,40.43,55.48,55.03,98.53,98.1,85.95,52.83,38.93,65.75,46.65,24.47
2011-02-06,94.05,71.3,20.28,44.3,79.78,108.43,101.08,88.63,48.03,55.1,50.18,28.28,23.98
2011-02-07,42.03,43.8,10.63,17.75,67.68,104.95,98.68,72.98,35.3,30.88,66.88,20.0,9.52
2011-02-08,85.38,33.0,15.8,37.2,69.3,104.88,103.35,77.28,43.3,38.25,46.08,15.7,18.83
2011-02-09,51.45,0.0,12.48,34.55,69.93,105.78,102.68,76.98,41.58,37.23,34.73,30.28,22.23
2011-02-10,53.78,0.0,20.78,38.18,73.53,91.08,100.83,77.18,40.83,36.5,41.85,26.15,19.79
2011-02-11,68.38,10.92,16.28,35.18,66.78,107.7,110.9,81.95,40.93,33.35,33.2,34.9,8.92
2011-02-12,44.3,54.8,16.88,31.78,83.23,102.08,111.85,76.95,77.3,38.3,36.7,84.85,30.3
2011-02-13,43.98,53.55,29.13,53.73,61.93,84.08,88.05,62.0,59.4,34.15,38.65,40.93,21.94
2011-02-14,33.03,40.88,20.25,40.98,49.18,84.38,88.4,61.13,56.6,20.13,30.63,30.85,10.34
2011-02-15,42.63,42.73,20.48,40.3,56.6,59.38,89.33,53.43,49.05,20.58,36.23,32.65,34.03
2011-02-16,50.6,52.45,33.08,49.93,58.53,49.03,95.48,51.13,50.9,26.88,37.88,29.23,46.52
2011-02-17,50.78,50.3,31.6,48.83,58.08,61.83,93.18,61.23,46.03,33.13,41.78,31.4,46.93
2011-02-18,50.73,49.95,26.68,46.15,53.75,59.48,93.1,43.03,44.55,28.28,37.38,18.05,48.65
2011-02-19,26.65,29.4,12.7,29.05,50.78,50.58,75.33,44.38,23.63,22.55,21.7,27.2,20.02
2011-02-20,18.88,19.73,8.4,15.8,52.68,40.73,84.65,47.2,18.8,7.48,16.95,41.03,8.71
2011-02-21,50.95,47.83,28.55,47.5,77.43,60.48,89.9,45.73,44.93,22.7,38.6,22.7,28.54
2011-02-22,46.18,51.9,31.83,45.33,74.38,61.38,64.8,79.53,46.4,28.98,35.13,33.33,28.35
2011-02-23,59.33,66.23,41.08,57.38,64.15,71.9,74.5,85.18,53.88,32.45,37.0,43.83,39.43
2011-02-24,56.05,62.8,43.2,53.43,67.15,72.55,73.73,81.83,39.85,37.78,31.35,42.95,41.8
2011-02-25,69.3,83.0,34.98,71.6,78.15,79.9,84.9,85.58,68.7,40.8,40.88,50.85,32.66
2011-02-26,94.58,101.18,51.8,74.93,84.08,83.1,98.43,98.48,74.28,42.03,45.2,59.1,48.8
2011-02-27,98.7,97.7,70.88,94.8,104.85,99.23,103.1,95.95,110.7,59.55,58.38,62.88,68.92
2011-02-28,91.1,88.33,54.8,91.53,104.45,101.18,98.18,95.88,98.8,64.43,56.18,68.48,67.74
2011-03-01,88.45,82.9,71.73,79.38,104.7,94.83,83.43,98.15,93.75,52.53,60.4,72.53,56.5
2011-03-02,90.98,92.85,74.15,92.18,104.28,95.3,84.6,98.9,88.45,55.13,55.98,67.23,70.4
2011-03-03,83.18,82.25,60.25,82.28,101.83,100.55,78.8,79.75,87.13,50.4,54.1,51.55,71.75
2011-03-04,73.73,83.63,45.18,68.85,98.63,100.98,105.83,90.93,94.53,55.73,52.4,45.78,33.45
2011-03-05,64.78,75.58,37.2,52.93,73.03,92.2,109.15,101.48,100.3,56.0,44.93,54.68,29.85
2011-03-06,75.55,88.1,48.85,66.68,80.93,92.08,109.23,101.33,69.53,54.83,48.53,62.45,53.99
2011-03-07,73.65,79.85,45.98,68.38,82.43,93.58,97.8,94.08,75.15,47.68,44.23,60.03,44.55
2011-03-08,74.45,91.78,53.88,72.28,77.45,92.23,92.8,99.93,73.2,49.23,44.63,64.18,37.08
2011-03-09,89.45,85.15,55.65,85.7,86.98,105.33,93.33,97.85,103.0,56.33,55.88,61.98,41.0
2011-03-10,77.2,84.1,49.25,71.23,81.13,113.5,118.95,113.33,97.03,60.48,45.93,54.88,38.1
2011-03-11,101.73,99.3,63.98,83.3,88.95,123.98,119.7,98.83,92.55,64.5,57.65,49.77,35.47
2011-03-12,109.63,95.2,64.83,86.63,104.78,120.48,118.2,94.88,114.63,66.65,54.28,60.32,60.58
2011-03-13,101.85,85.63,56.0,90.65,108.58,123.25,117.23,113.6,83.48,79.78,53.73,73.75,88.71
2011-03-14,83.35,72.2,50.88,82.23,81.8,113.28,111.7,101.48,62.0,68.65,57.83,63.33,59.76
