Datum,Beograd Novi Beograd,Beograd Stari grad,Beograd Mostar,Beograd Zeleno brdo,Kosjeric,Nis IZJZ Nis,Novi Sad SPENS,Obrenovac Centar,Smederevo Radinac,Smederevo Ralja
2011-01-01,215.87,215.29,182.37,293.19,161.82,254.22,,258.95,266.21,248.88
2011-01-02,151.54,152.11,126.82,192.15,186.42,167.59,,210.44,258.58,251.32
2011-01-03,83.16,80.73,74.61,106.93,82.35,84.43,,102.56,191.19,192.9
2011-01-04,61.33,56.36,72.42,93.86,85.47,80.04,,60.87,95.17,81.57
2011-01-05,129.01,119.66,116.66,125.52,154.65,126.47,,176.83,166.35,123.88
2011-01-06,60.29,62.14,69.76,85.05,159.39,91.48,,124.16,75.89,52.41
2011-01-07,92.63,107.07,111.0,85.69,269.81,126.36,,66.87,72.52,57.02
2011-01-08,146.8,142.41,138.48,81.0,167.71,254.79,,136.64,100.22,86.07
2011-01-09,116.89,106.38,114.35,60.83,121.97,199.35,,116.31,112.41,96.31
2011-01-10,112.27,127.86,122.89,85.99,178.22,204.32,,190.58,118.07,94.75
2011-01-11,51.51,54.4,62.25,63.32,226.96,99.21,,164.13,67.15,60.07
2011-01-12,49.43,52.09,53.94,81.69,152.23,63.99,,72.3,59.81,64.8
2011-01-13,85.59,92.28,85.7,92.03,111.23,106.72,,107.65,84.78,63.34
2011-01-14,99.1,100.6,125.09,94.82,114.58,154.19,,222.8,147.11,119.05
2011-01-15,76.0,101.76,86.16,65.23,82.93,88.13,,111.57,104.23,77.72
2011-01-16,58.33,54.17,79.35,65.63,31.3,52.78,,126.01,68.79,64.0
2011-01-17,107.76,130.63,127.51,69.92,95.4,137.21,,168.28,127.88,88.52
2011-01-18,104.99,107.42,101.41,136.73,126.59,146.57,,161.7,155.77,147.3
2011-01-19,45.16,51.05,47.12,91.65,145.18,168.98,,63.64,74.92,77.67
2011-01-20,31.76,38.92,44.7,64.67,58.21,69.18,,52.78,62.92,65.28
2011-01-21,29.57,33.73,29.8,55.48,35.69,32.22,,36.5,94.26,78.22
2011-01-22,30.15,31.42,28.64,54.09,28.41,30.38,,34.77,71.75,86.87
2011-01-23,47.93,45.16,50.47,60.59,51.51,40.43,,48.16,62.5,69.87
2011-01-24,65.95,54.17,67.34,73.12,46.66,75.54,,71.26,63.14,69.23
2011-01-25,71.26,90.09,99.79,181.74,99.79,72.53,,94.36,133.6,104.12
2011-01-26,102.22,142.53,125.66,126.87,159.51,163.66,,103.03,105.56,77.78
2011-01-27,113.54,134.44,107.99,112.74,182.95,199.82,,120.47,134.95,112.77
2011-01-28,59.71,64.68,58.33,116.54,81.43,108.45,,130.63,78.37,68.73
2011-01-29,45.74,45.74,51.28,50.69,67.68,58.56,,80.39,64.5,59.96
2011-01-30,92.63,93.67,88.01,123.06,106.95,121.85,,160.31,162.17,116.81
2011-01-31,68.95,66.87,70.46,75.72,125.09,114.35,,108.57,117.08,109.16
2011-02-01,102.8,102.33,95.17,133.54,114.81,91.01,,134.79,112.89,104.36
2011-02-02,94.13,87.55,85.59,110.79,96.79,107.88,65.6,113.65,127.54,131.95
2011-02-03,91.48,90.09,104.99,119.72,71.26,81.43,94.36,124.97,88.42,94.69
2011-02-04,84.55,90.55,87.78,142.53,89.51,92.17,77.04,126.7,129.73,104.67
2011-02-05,171.06,178.1,183.99,147.67,109.49,190.92,108.45,201.2,186.87,129.2
2011-02-06,171.4,178.56,187.34,110.02,106.14,173.83,94.83,251.21,287.48,148.18
2011-02-07,188.73,249.6,218.99,120.45,109.49,209.17,122.2,217.37,207.95,128.81
2011-02-08,161.47,211.48,223.95,,95.17,175.68,146.69,231.46,,
2011-02-09,92.86,74.38,129.24,85.68,98.87,141.49,93.44,186.65,130.96,118.02
2011-02-10,111.34,103.03,141.14,111.12,87.32,150.61,88.36,176.14,168.1,134.24
2011-02-11,124.74,125.43,155.12,107.04,102.45,238.97,136.64,277.55,151.18,149.01
2011-02-12,62.6,54.86,79.58,61.61,86.16,122.08,60.06,131.32,126.97,105.96
2011-02-13,71.15,78.66,93.9,79.63,78.77,95.52,50.82,92.4,126.13,73.25
2011-02-14,46.32,53.48,50.47,65.95,93.9,115.5,53.71,67.91,85.93,105.74
2011-02-15,52.67,54.17,58.79,65.18,78.89,62.6,50.01,63.06,60.59,51.98
2011-02-16,35.81,38.81,54.17,46.98,63.87,56.02,49.78,43.31,41.69,33.96
