Datum,Beograd Novi Beograd,Beograd Stari grad,Beograd Mostar,Beograd Vracar,Beograd Panc.most,Beograd Zeleno brdo,Bor Brezonik,Bor Institut RIM,Bor Gradski park,Cacak,Kamenicki Vis EMEP,Kikinda,Kopaonik,Kosjeric,Kostolac,Kragujevac,Kraljevo,Krusevac,Loznica,Novi Sad SPENS,Novi Sad Liman,Nis IZJZ Nis,Obrenovac Centar,Pancevo Sodara,Paracin,Sabac,Smederevo Carina,Uzice,Valjevo,Vranje,Zajecar,Smederevo Radinac
2011-01-01,103.5,92.29,91.37,112.08,58.72,262.4,51.09,120.2,67.14,12.83,6.38,37.67,8.76,21.46,127.41,87.19,10.06,182.4,40.96,28.37,25.74,28.47,127.81,54.94,17.3,36.45,128.11,65.7,84.23,21.16,74.91,131.85
2011-01-02,45.67,47.59,50.39,73.05,54.0,187.37,19.55,36.19,43.57,25.68,41.62,10.43,8.19,59.17,60.38,33.03,15.77,115.48,47.12,25.2,14.32,43.89,46.75,45.08,37.62,20.81,113.36,109.06,58.1,25.24,6.12,95.45
2011-01-03,13.78,17.77,25.1,25.9,50.95,79.08,17.16,15.96,34.04,13.46,34.57,6.12,12.32,17.21,15.96,26.2,14.97,91.19,26.3,12.5,6.72,27.8,16.19,23.72,25.79,6.12,65.96,26.87,40.78,21.73,6.12,48.43
2011-01-04,47.59,45.79,47.42,44.93,52.04,120.0,131.68,11.25,51.29,10.87,22.63,7.29,8.21,9.24,50.54,14.18,17.02,89.56,36.99,9.2,9.53,26.94,48.05,62.21,19.3,6.12,74.04,23.67,24.87,19.06,6.12,51.02
2011-01-05,50.66,45.13,68.53,64.72,57.41,143.69,106.7,25.35,136.14,9.96,19.77,8.77,6.12,16.6,45.75,21.81,15.46,80.0,78.07,14.38,11.77,36.31,40.9,34.04,12.89,6.12,69.87,72.09,47.36,26.83,6.12,44.71
2011-01-06,32.84,42.39,59.57,36.49,48.88,113.28,214.98,89.51,261.27,9.33,22.73,23.29,6.12,16.7,37.51,31.52,12.48,73.24,97.43,30.99,27.23,47.77,25.64,72.92,28.61,6.12,66.26,86.18,74.41,17.32,6.12,62.8
2011-01-07,34.24,40.57,58.92,48.38,54.46,76.3,853.22,234.48,405.53,8.37,16.87,16.66,6.12,30.3,35.11,16.0,10.67,91.17,57.56,18.18,12.48,49.55,28.14,45.12,23.18,6.12,38.54,105.34,87.53,7.19,6.12,44.45
2011-01-08,43.43,44.89,67.72,62.81,65.12,97.3,365.12,155.48,514.56,10.24,6.64,8.21,6.12,22.65,19.95,15.9,13.09,94.95,50.56,20.02,15.06,35.76,31.51,35.03,14.66,6.12,27.27,85.12,81.75,12.78,6.12,43.98
2011-01-09,37.62,40.31,56.71,54.67,63.93,86.34,353.49,203.88,158.35,10.68,8.09,7.41,6.38,13.76,19.15,13.73,12.2,93.55,34.24,18.41,15.88,36.93,19.39,36.15,15.3,6.12,25.77,33.78,52.28,23.7,6.93,37.83
2011-01-10,48.11,35.71,42.32,43.08,74.42,95.2,176.62,141.49,208.23,20.16,21.05,9.11,6.12,26.69,47.88,12.16,11.13,109.73,39.74,17.8,15.47,39.02,21.38,43.38,12.89,6.12,32.49,85.92,65.58,23.76,8.22,35.62
2011-01-11,28.36,30.02,34.0,27.62,49.42,70.2,153.32,13.31,110.89,10.37,33.88,20.18,6.12,29.6,43.62,16.28,15.59,85.26,34.87,25.95,25.11,40.93,16.74,63.36,14.47,6.12,42.5,115.18,58.3,56.11,6.12,37.32
2011-01-12,15.29,19.44,24.62,22.65,50.57,68.67,166.58,37.25,156.62,11.65,12.25,16.69,6.52,23.54,20.75,14.36,27.91,67.17,36.13,24.42,15.35,30.02,16.46,45.91,8.47,6.74,35.02,92.57,63.2,29.81,6.12,26.75
2011-01-13,22.11,33.42,27.04,39.6,60.62,99.59,24.1,11.23,31.38,19.27,16.28,6.89,6.12,14.38,10.11,12.96,16.38,60.91,45.09,19.99,14.1,33.7,15.59,23.05,11.78,17.04,38.76,69.96,78.51,25.4,6.12,22.58
2011-01-14,27.21,50.99,49.35,55.92,59.34,115.16,22.22,26.56,37.46,20.53,19.42,8.37,6.12,11.09,23.14,18.91,14.97,99.59,55.16,17.7,11.15,32.68,33.01,25.91,15.76,50.86,69.89,69.16,93.66,32.45,6.12,29.78
2011-01-15,19.48,23.29,23.38,41.26,61.01,79.55,11.48,21.59,34.22,9.96,24.37,6.12,6.67,9.89,12.5,12.28,9.7,44.58,37.2,9.64,7.66,21.07,20.67,14.72,10.22,21.09,30.91,55.86,53.04,20.4,6.12,21.69
2011-01-16,9.54,16.85,24.57,29.8,64.95,65.59,11.52,10.85,30.68,6.12,21.18,7.18,6.12,6.12,4.79,14.97,9.0,39.77,45.34,7.4,6.12,9.82,16.96,10.04,6.98,15.54,32.07,27.13,34.92,16.5,53.69,22.07
2011-01-17,48.14,37.59,47.64,44.81,83.8,92.75,17.36,15.65,29.4,13.78,13.81,10.34,6.38,10.12,17.02,8.25,11.21,67.96,49.58,38.85,42.59,18.05,27.79,29.69,12.46,33.56,27.1,53.2,65.43,27.08,86.05,29.22
2011-01-18,12.06,13.31,20.53,31.92,67.92,77.4,38.15,22.04,49.35,21.99,19.44,6.12,6.12,23.22,10.37,13.97,16.71,84.08,27.21,6.99,8.98,30.8,17.8,11.23,18.74,9.4,51.22,79.53,72.15,17.09,64.19,29.82
2011-01-19,29.56,19.67,26.22,24.7,59.33,58.99,161.88,80.89,68.51,15.48,28.89,6.12,6.12,20.44,133.53,18.73,8.84,67.05,14.61,6.12,6.12,17.69,41.53,24.28,11.31,13.03,84.74,54.0,13.45,33.56,91.4,91.87
2011-01-20,6.78,6.12,24.0,15.56,55.38,52.03,177.97,63.3,155.38,32.95,19.21,6.12,6.12,21.12,9.58,31.74,22.41,94.33,35.77,6.96,6.38,23.88,13.22,7.29,32.44,6.12,35.64,33.25,47.72,24.56,177.64,18.51
2011-01-21,14.0,6.12,6.39,14.42,64.9,35.29,33.1,31.32,88.27,6.12,10.44,6.12,9.21,7.77,6.92,6.12,7.63,42.72,6.12,6.12,10.37,13.5,6.67,8.07,6.12,6.12,29.19,17.02,23.03,20.88,72.77,32.07
