Datum,Beograd Novi Beograd,Beograd Mostar,Beograd Vracar,Bor Institut RIM,Cacak,Kamenicki Vis EMEP,Kikinda Centar,Kopaonik,Kosjeric,Kostolac,Kragujevac,Kraljevo,Krusevac,Loznica,Novi Sad SPENS,Novi Sad Liman,Nis IZJZ Nis,Nis O.s. Sveti Sava,Obrenovac Centar,Paracin,Sremska Mitrovica,Sabac,Smederevo Carina,Uzice,Valjevo,Vranje,Zajecar,Popovac
2012-01-01,1.06,1.45,0.75,0.64,0.74,0.63,0.66,0.43,0.5,0.72,0.46,0.97,1.72,1.38,0.74,0.13,1.15,0.87,0.47,1.94,1.95,2.47,1.28,1.12,1.23,1.03,3.16,1.59
2012-01-02,1.57,1.42,1.12,1.38,2.28,0.47,0.51,0.38,0.8,0.27,0.78,1.7,2.18,1.93,0.94,0.32,1.87,1.90,1.09,1.69,1.52,2.71,0.49,2.96,1.57,3.59,2.32,1.44
2012-01-03,1.98,2.17,1.57,1.14,2.30,0.48,0.71,0.39,1.97,0.63,1.06,2.66,3.27,1.65,1.08,0.37,2.77,3.59,1.26,1.78,2.6,3.39,1.21,3.54,2.19,5.66,4.07,1.70
2012-01-04,2.2,2.21,1.72,0.90,2.24,0.53,0.68,0.36,1.74,0.81,1.19,2.42,3.07,1.63,1.13,1.05,2.86,2.34,1.91,2.25,2.27,2.45,0.89,3.18,2.75,7.10,4.35,1.79
2012-01-05,0.51,0.34,0.40,0.25,1.26,0.58,0.34,0.42,1.12,0.29,0.80,1.21,1.10,1.04,0.53,1.18,1.89,1.88,0.42,1.42,0.96,1.33,0.41,2.05,1.42,3.20,2.15,0.88
2012-01-06,0.48,0.31,0.24,0.16,0.86,0.50,0.31,0.44,0.48,0.14,0.72,0.92,0.33,0.38,0.48,0.76,0.27,0.43,0.41,0.93,0.68,0.67,0.4,2.01,0.57,0.41,1.12,0.70
2012-01-07,0.38,0.55,0.16,0.08,0.35,0.46,0.39,0.46,0.33,0.12,0.12,0.23,0.25,0.24,0.41,0.63,0.09,0.24,0.24,0.41,0.61,0.59,0.31,0.43,0.72,0.18,0.62,0.56
2012-01-08,0.64,0.45,0.36,0.23,0.63,0.48,0.5,0.43,0.83,0.46,0.59,0.95,0.98,0.38,0.47,0.48,0.82,0.94,0.34,1.34,1.39,1.24,0.78,0.84,0.54,1.23,1.95,1.10
2012-01-09,0.58,0.35,0.18,0.15,0.35,0.57,0.56,0.46,0.3,0.11,0.32,0.37,0.60,0.25,0.49,0.24,0.57,0.75,0.17,1.09,0.67,0.61,0.42,0.47, ,1.28,1.26,0.91
2012-01-10,0.51,0.68,0.24,0.16,0.49,0.50,0.52,0.46,0.38,0.1,0.34,0.44,0.43,0.35,0.53,0.27,0.58,0.71,0.45,1.00,0.89,0.67,0.52,0.61, ,0.80,2.41,0.91
