Datum,Beograd_N.Beograd,Beograd_Stari grad,Beograd_Mostar,Beograd_Vracar,Bor_Institut RIM,Cacak_Ins. za vocarstvo,Kikinda,Kosjeric,Kragujevac,Kraljevo,Krusevac,Nis_IZJZ Nis,Nis_O.s. Sv. Sava,Novi Sad_SPENS,Obrenovac_Centar,Obrenovac_Dep. pepela,Pancevo_Sodara,Popovac,S. Mitrovica,Sabac,Smederevo_Carina,Uzice,Valjevo,Vranje,Smederevo_Radinac,Smederevo_Ralja,Beograd_Panc.most
2012-01-01,35.49,50.2,56.66,40.16,32.31,8.86,10.61,16.51,15.28,27.73,17.15,35.51,23.12,23.64,15.04,22.95,26.74,11.01,30.4,41.36,26.17,40.95,27.76,23.96,15.92,19.98,46.45
2012-01-02,53.26,55.96,62.06,46.03,36.86,17.14,8.31,22.33,18.96,29.26,18.78,46.44,34.93,28.6,28.33,34.17,22.16,9.65,22.56,46.09,13.98,49.31,30.94,34.75,17.51,18.48,63.58
2012-01-03,40.69,40.49,57.85,48.93,32.5,22.16,16.2,36.57,25.4,30.38,23.27,51.81,41.74,23.28,28.47,30.48,25.2,11.65,35.96,32.53,28.46,54.62,32.92,41.68,24.17,25.73,54.61
2012-01-04,60.8,56.58,63.94,54.63,34.59,24.67,13.86,28.5,27.17,34.54,22.97,57.1,45.23,25.29,44.18,39.14,32.26,16.54,39.12,35.41,18.8,52.84,39.54,43.43,15.85,20.36,78.35
2012-01-05,28.51,44.28,51.99,38.62,14.16,20.09,12.1,29.22,30.16,27.77,16.66,31.28,24.18,16.29,7.66,26.88,25.51,9.09,32.49,32.61,17.91,50.86,30.29,24.07,16.84,20.86,46.95
2012-01-06,25.76,12.49,29.28,26.4,11.86,7.71,8.38,10.76,14.73,22.48,6.69,25.35,13.1,13.43,13.44,22.88,9.42,4.46,37.05,13.33,14.5,33.37,16.84,13.29,13.98,14.2,33.18
2012-01-07,17.17,15.56,53.9,22.31,4.69,5.72,9.71,12.54,10.01,18.71,7.53,15.65,11.92,10.37,12.84,15.95,11.78,4.29,31.42,16.06,14.05,21.82,17.43,10.67,12.23,9.53,24.62
2012-01-08,21.44,19.78,32.06,25.02,18.56,7.29,9.36,17.83,13.12,24.46,14.14,37.32,27.29,11.08,13.16,14.82,14.83,9.66,30.1,18.33,14.77,25.45,23.48,30.61,14.82,19.17,33.16
2012-01-09,27.75,15.06,31.99,28.28,7.77,4.82,14.39,5.13,17.46,20.64,12.48,25.08,20.1,12.31,18.63,14.39,11.06,6.15,53.28,15.39,18.19,26.22,22.59,21.16,16.05,16.11,41.81
2012-01-10,21.19,24.19,37.49,28.75,11.24,6.15,11.47,15.73,18.46,27.31,12.22,33.93,24.39,15.65,18.3,25.12,16.16,,34.92,19.15,21.84,29.96,21.0,23.76,15.31,17.93,39.55
2012-01-11,28.37,26.92,48.09,34.59,9.01,7.34,14.21,15.65,19.55,26.98,11.01,28.1,20.12,16.73,20.32,26.93,15.88,,20.72,23.67,20.49,33.78,24.75,23.33,17.1,18.15,46.79
2012-01-12,30.13,38.77,57.87,39.56,25.53,15.08,11.18,26.42,24.28,31.99,17.44,40.02,31.51,18.83,23.79,32.22,20.48,,25.45,33.4,20.41,39.23,28.91,32.68,19.1,22.89,49.05
2012-01-13,26.68,45.06,51.63,43.52,24.44,19.43,13.27,29.33,24.42,31.64,19.58,45.89,32.79,22.55,27.87,38.03,23.96,17.56,25.07,31.32,18.59,41.79,29.38,40.87,18.62,22.29,47.85
2012-01-14,17.93,20.02,42.05,32.25,9.61,6.89,4.05,17.93,17.68,24.21,10.08,36.39,27.06,11.04,12.53,18.35,4.82,9.75,29.18,11.31,12.14,42.8,26.91,30.78,7.14,11.05,40.43
2012-01-15,15.42,11.88,32.28,25.73,8.85,3.98,5.4,3.61,12.22,14.87,8.35,25.35,16.5,7.17,10.37,7.74,4.07,6.3,38.38,9.02,10.72,25.43,16.2,24.76,7.48,10.05,28.15
2012-01-16,24.07,16.74,47.93,27.0,11.05,3.9,9.17,9.24,16.33,19.16,9.14,28.84,18.16,11.33,17.51,13.58,7.58,5.37,30.83,13.25,16.01,25.01,23.32,23.65,11.79,15.17,42.21
2012-01-17,21.25,25.5,53.73,32.65,15.65,5.8,10.13,14.01,15.31,16.87,11.4,37.8,22.99,12.69,17.04,21.67,11.65,6.84,28.68,12.5,17.09,25.13,23.99,30.19,12.2,19.07,43.89
2012-01-18,26.56,31.98,40.4,36.39,21.66,9.51,14.26,27.3,25.91,28.28,16.92,,31.87,15.31,22.75,23.27,23.66,10.45,24.94,20.9,20.43,33.12,23.34,37.82,17.25,21.44,53.68
2012-01-19,38.98,58.83,69.79,49.3,26.92,26.03,14.88,45.88,25.05,37.21,21.58,67.78,45.47,20.38,15.95,35.95,30.15,14.29,25.96,47.99,12.7,37.01,52.69,42.45,20.3,23.57,60.7
2012-01-20,38.64,46.96,57.6,46.26,20.15,24.85,12.37,33.6,29.78,27.43,18.57,57.65,38.26,18.18,26.21,22.63,14.83,14.79,25.11,33.29,15.62,,39.47,44.5,16.75,18.39,56.62
2012-01-21,25.46,29.04,47.69,39.11,10.08,5.6,9.36,15.02,19.29,28.17,11.33,32.32,22.47,15.34,15.81,21.58,14.25,6.49,26.82,21.89,13.96,,24.62,24.15,9.95,14.98,44.51
2012-01-22,29.8,36.35,48.57,35.84,17.77,16.76,8.67,25.88,20.44,30.89,19.58,48.15,38.83,13.53,10.97,21.77,13.7,10.45,34.39,26.49,11.05,,29.04,43.32,10.36,17.29,45.56
2012-01-23,37.75,44.12,69.95,45.9,28.06,26.04,15.42,36.8,35.52,41.34,25.8,64.1,50.58,20.26,23.21,33.03,24.28,17.94,33.0,43.6,,,48.78,59.35,22.04,24.43,62.57
2012-01-24,37.5,32.57,44.33,34.47,20.08,11.21,14.68,19.04,33.37,29.37,18.15,49.82,37.78,13.15,22.63,20.18,20.18,6.74,36.58,22.67,20.73,29.04,28.81,40.79,13.29,18.22,60.88
2012-01-25,26.03,13.43,24.27,22.97,12.87,3.72,5.96,5.83,14.18,24.58,10.92,29.09,15.54,13.01,17.29,16.59,10.62,4.94,31.97,13.49,15.22,21.56,14.44,19.64,11.15,12.48,32.34
2012-01-26,26.36,21.87,39.1,33.82,14.88,6.31,8.28,13.68,18.38,29.44,10.6,37.6,13.51,13.79,21.57,18.72,10.54,6.26,25.35,15.55,17.81,28.81,22.59,13.27,11.67,13.4,44.66
2012-01-27,27.97,43.17,58.35,43.77,11.35,11.47,20.8,43.18,31.52,39.91,20.05,37.4,26.86,,25.24,39.54,24.49,10.81,31.85,29.72,24.56,47.88,32.14,,17.62,23.87,58.53
2012-01-28,25.24,29.31,45.12,26.08,8.97,14.92,8.81,26.28,15.84,33.16,11.05,35.45,12.28,,14.25,7.85,13.19,3.88,26.31,26.42,15.02,35.94,27.15,,6.46,8.07,25.21
2012-01-29,19.82,17.95,35.02,16.22,22.84,13.2,8.25,16.06,15.77,53.18,12.91,33.55,16.66,6.66,11.42,4.32,10.19,3.72,32.17,21.19,10.81,30.55,19.86,,3.4,,24.12
2012-01-30,18.9,26.95,54.32,27.43,27.47,23.25,12.77,27.3,37.63,50.34,28.17,56.07,34.67,8.79,11.99,9.26,22.49,6.18,40.15,26.95,13.26,46.04,33.69,,5.8,,36.56
2012-01-31,15.23,32.63,55.89,32.1,50.29,18.46,13.58,52.1,48.74,65.23,36.8,67.48,48.68,8.88,9.36,24.26,19.44,8.56,49.15,40.46,20.59,57.03,36.81,,11.9,,48.06
