Datum,Beograd_Stari grad,Beograd_Vracar,Beograd_N.Beograd,Beograd_Zeleno brdo,Beograd_Mostar,Nis_IZJZ Nis,Novi Sad_SPENS,Obrenovac_Centar,Popovac,Smederevo_Ralja,Valjevo,Kamenicki Vis - EMEP,Kosjeric
2012-01-01,40.39,92.4,85.13,,81.34,77.82,29.48,78.0,66.99,74.45,194.76,,25.5
2012-01-02,114.07,98.98,102.86,,76.52,94.12,44.75,107.8,59.02,68.76,256.42,,57.9
2012-01-03,119.97,109.96,110.69,,86.45,107.87,43.48,111.04,69.02,115.21,273.95,,123.4
2012-01-04,132.41,96.9,111.02,,81.05,124.61,46.44,140.24,103.16,89.54,267.41,,185.3
2012-01-05,41.23,40.04,27.52,,23.18,34.79,17.65,46.05,37.68,44.75,114.88,,166.3
2012-01-06,17.11,20.28,24.06,,11.44,14.2,16.27,47.33,15.59,25.88,57.9,,92.1
2012-01-07,26.27,33.33,29.69,,24.29,17.21,18.83,43.37,19.7,29.66,131.0,,18.4
2012-01-08,26.76,36.25,32.78,,26.03,52.8,14.71,33.9,34.39,56.14,82.38,,37.6
2012-01-09,26.93,30.85,36.56,,28.01,19.68,17.97,29.57,22.09,46.84,66.68,,54.9
2012-01-10,27.07,31.1,24.73,,24.79,38.99,21.62,31.97,,52.58,60.85,,17.2
2012-01-11,47.84,48.65,44.52,,35.43,23.54,32.55,67.53,,61.62,108.52,,24.8
2012-01-12,54.23,62.14,66.21,,54.91,66.58,34.08,90.44,43.97,62.22,146.54,10.85,34.7
2012-01-13,55.58,53.09,50.64,,52.76,54.14,44.22,82.69,57.34,76.23,116.37,14.25,129.2
2012-01-14,20.75,24.41,21.52,,13.94,21.5,13.92,32.23,26.71,26.63,77.64,5.65,55.9
2012-01-15,18.6,30.3,18.35,,13.56,18.47,12.12,24.05,23.77,34.69,57.0,8.56,15.3
2012-01-16,28.11,37.55,29.01,,25.24,21.67,23.13,39.63,25.94,72.6,74.76,14.22,29.3
2012-01-17,34.2,54.02,32.16,,32.61,39.27,26.27,51.34,30.74,58.63,82.34,17.61,31.5
2012-01-18,50.29,66.43,83.15,,39.46,,36.71,52.73,40.16,79.96,93.34,16.36,76.6
2012-01-19,76.2,46.49,58.73,,57.77,97.61,27.16,102.55,48.99,77.72,344.55,21.24,142.8
2012-01-20,42.98,36.72,33.14,,32.78,49.65,24.76,38.8,55.82,44.31,195.53,11.66,97.4
2012-01-21,29.4,37.13,30.7,,22.8,21.95,19.9,,22.73,42.35,142.59,10.84,37.7
2012-01-22,27.31,72.52,28.53,,22.85,71.06,18.0,,38.71,51.2,175.87,10.83,100.9
2012-01-23,49.17,37.45,46.81,,58.23,103.41,20.61,,66.61,90.3,326.8,14.42,77.3
2012-01-24,34.35,14.7,30.08,,27.65,84.95,24.58,,22.3,77.8,117.64,7.53,96.5
2012-01-25,28.01,,29.07,,20.64,13.24,27.58,,13.52,31.17,51.22,2.91,13.4
2012-01-26,34.18,,35.03,,29.08,14.6,27.19,,24.46,46.28,77.64,10.78,104.2
2012-01-27,63.95,,61.04,,49.57,42.65,49.4,,51.94,75.37,57.0,16.09,139.2
2012-01-28,63.24,,56.36,,46.91,29.34,47.77,,36.24,54.68,189.95,32.87,87.6
2012-01-29,37.27,,37.73,,31.06,40.82,26.81,40.59,44.65,,94.83,38.27,67.8
2012-01-30,54.25,,45.24,,40.0,63.59,32.26,64.39,52.18,,180.16,34.61,95.2
2012-01-31,52.74,,46.79,,43.54,94.11,27.22,106.13,61.35,,214.7,19.0,165.7
2012-02-01,55.29,,44.02,,37.06,77.41,26.54,46.06,52.47,69.59,193.01,21.32,195.3
2012-02-02,59.58,,45.07,,53.01,51.23,32.73,33.98,36.45,46.24,67.76,31.07,61.2
2012-02-03,66.08,,57.59,,45.81,52.03,49.61,54.98,50.07,77.61,80.27,33.05,56.9
2012-02-04,78.66,,77.23,,54.8,56.38,52.49,75.91,79.19,99.9,98.0,41.37,78.9
2012-02-05,76.38,,72.25,,48.69,42.2,58.94,65.27,65.07,89.69,88.09,44.96,76.6
2012-02-06,83.35,,78.77,,57.01,51.71,,81.53,82.63,105.23,107.01,54.67,86.5
2012-02-07,90.4,,82.12,,59.76,28.91,,85.44,60.47,105.01,147.49,23.22,92.4
2012-02-08,67.4,,51.57,,,20.87,,64.25,35.05,48.4,208.22,21.95,91.8
2012-02-09,187.0,,197.25,,,37.56,,231.8,55.26,137.04,213.37,21.93,120.6
2012-02-10,144.08,,117.12,,,37.68,,205.8,65.57,92.04,235.11,34.81,115.2
2012-02-11,41.97,,35.66,,,38.16,,34.01,34.33,38.57,103.4,51.2,73.0
2012-02-12,61.61,,56.44,,,40.84,,59.31,45.93,56.25,91.37,46.37,82.0
2012-02-13,115.16,,106.21,,,63.63,,122.71,89.61,139.9,155.06,72.1,133.4
2012-02-14,116.79,,108.59,,,113.3,,116.23,110.35,141.87,213.2,67.24,168.3
2012-02-15,68.54,,46.47,,,122.6,,64.35,81.16,89.27,153.98,60.07,165.0
2012-02-16,49.8,,34.17,,,39.79,,27.67,35.48,38.38,60.33,29.58,39.4
2012-02-17,60.32,,46.78,,,37.33,,49.61,41.02,64.52,73.93,45.38,28.7
2012-02-18,72.81,,61.51,,,73.21,,56.14,44.5,67.39,180.62,26.34,38.4
2012-02-19,132.5,,101.82,,,101.5,,73.66,39.44,86.48,282.79,32.31,104.9
2012-02-20,117.64,,99.82,,,51.78,,104.16,45.77,82.66,134.69,40.66,82.1
2012-02-21,118.48,,89.0,,,44.06,,101.32,47.08,97.6,99.96,42.76,83.9
2012-02-22,139.15,,127.03,37.08,,71.36,,162.07,90.82,123.2,188.7,49.64,94.1
2012-02-23,122.16,,103.98,126.55,,60.28,,127.55,78.24,119.74,150.55,52.13,122.3
2012-02-24,88.54,,75.93,66.34,,99.63,,91.62,97.11,94.75,160.95,44.31,110.3
2012-02-25,67.37,,59.09,46.98,,40.24,,64.29,43.47,46.23,103.97,33.04,94.9
2012-02-26,68.7,,58.8,51.16,51.94,23.13,,57.19,46.32,58.42,94.78,32.36,81.1
2012-02-27,48.07,,37.03,34.38,25.65,3.51,,76.08,22.07,56.88,82.41,24.94,44.1
2012-02-28,94.5,,16.08,41.24,29.95,0.62,,73.83,27.11,80.43,100.0,32.44,54.6
2012-02-29,32.89,,23.85,26.04,21.63,0.41,,51.71,26.15,44.0,74.67,22.98,44.0
2012-03-01,46.01,54.77,49.62,40.09,43.05,0.61,64.41,89.05,23.01,61.42,102.88,25.5,70.9
2012-03-02,60.37,56.39,56.18,47.54,43.88,2.25,46.59,74.24,57.52,84.12,96.93,32.65,93.0
2012-03-03,46.37,49.74,49.89,43.45,35.51,1.12,57.97,80.99,40.74,62.1,95.63,34.78,63.6
2012-03-04,64.97,61.88,54.37,54.91,45.17,1.43,46.27,83.44,52.24,91.09,108.29,42.57,61.4
2012-03-05,50.0,46.18,34.35,,28.05,0.92,56.02,67.24,57.03,66.38,107.81,38.78,82.1
2012-03-06,61.23,58.57,46.31,49.46,45.7,0.75,67.87,74.14,60.43,132.1,100.71,37.2,73.9
2012-03-07,49.04,48.56,44.29,56.06,42.33,0.51,60.39,66.55,51.96,69.74,100.81,39.65,74.4
2012-03-08,78.59,72.21,65.18,74.51,55.14,0.57,82.44,80.41,94.92,91.5,127.58,44.57,102.8
2012-03-09,99.9,108.36,88.86,96.37,76.6,0.4,116.18,118.75,95.35,138.59,138.29,48.15,123.0
2012-03-10,106.01,121.49,89.05,89.5,69.28,0.24,112.67,139.59,124.76,158.15,143.2,55.87,68.2
2012-03-11,109.4,120.15,93.34,88.75,76.6,0.14,97.37,103.25,67.68,103.64,91.35,53.8,66.43
2012-03-12,32.84,25.56,22.77,28.82,17.85,0.04,55.96,50.54,32.07,56.72,78.68,11.46,51.57
2012-03-13,44.54,39.81,49.57,49.16,32.24,0.06,75.4,99.79,47.74,47.09,113.93,18.12,61.27
2012-03-14,38.07,51.98,33.13,51.31,35.81,30.48,60.07,44.53,43.85,46.57,81.85,27.08,82.14
2012-03-15,41.83,54.43,43.42,48.35,34.4,53.88,54.82,63.61,48.91,64.79,96.9,24.69,79.19
2012-03-16,77.12,97.55,69.85,69.98,68.6,83.63,68.0,100.76,90.15,109.19,93.38,26.38,151.27
2012-03-17,98.15,80.62,73.13,54.61,60.4,113.94,76.06,97.96,98.95,105.21,121.38,27.37,82.16
2012-03-18,48.16,51.62,44.93,35.96,37.2,99.08,68.03,48.8,69.07,70.52,65.33,29.84,59.71
2012-03-19,57.19,53.79,64.66,47.38,47.15,100.29,80.24,95.88,74.73,87.59,88.19,20.7,100.09
2012-03-20,52.92,53.58,50.59,48.69,50.32,77.13,68.41,72.68,95.53,119.58,79.05,31.05,89.68
2012-03-21,71.33,78.77,72.47,39.58,67.15,80.62,71.06,97.99,77.75,113.49,75.04,33.96,96.27
2012-03-22,74.14,90.9,71.39,53.81,62.55,67.87,61.86,81.68,80.2,133.29,63.15,28.44,87.76
2012-03-23,109.53,91.18,87.03,60.13,64.92,75.36,80.56,92.49,110.98,108.11,77.24,26.93,116.03
2012-03-24,79.42,86.8,77.5,55.63,76.32,86.33,76.18,95.47,94.86,125.67,72.38,39.72,88.3
2012-03-25,62.89,74.32,59.46,50.61,51.25,72.71,55.06,62.55,103.9,97.4,56.54,37.25,43.09
2012-03-26,50.48,216.82,32.99,35.36,53.88,87.05,45.41,51.98,77.84,117.1,65.6,37.8,60.42
2012-03-27,31.35,40.18,30.97,35.07,35.7,49.85,41.97,47.85,75.29,65.76,60.1,29.69,63.87
2012-03-28,50.75,61.13,42.63,49.25,44.29,59.39,50.43,62.58,78.5,75.6,79.9,27.1,48.09
2012-03-29,46.43,53.11,36.54,43.99,48.18,67.16,53.12,67.26,90.92,60.65,56.93,25.31,52.05
2012-03-30,18.72,27.06,15.84,22.64,18.03,25.3,24.12,37.14,19.01,38.64,53.37,,34.25
2012-03-31,31.88,35.18,29.1,29.27,29.93,37.13,31.53,42.16,39.48,46.28,42.11,,39.95
2012-04-01,16.38,23.9,16.45,22.36,12.11,36.07,22.64,29.83,17.96,27.61,43.96,,22.43
2012-04-02,27.45,29.27,24.41,28.76,26.75,60.3,23.34,33.13,54.0,37.28,67.72,,92.64
