Datum,Beograd Novi Beograd,Beograd Stari grad,Beograd Mostar,Beograd Vracar,Beograd Zeleno brdo,Bor Brezonik,Bor Institut RIM,Bor Krivelj,Bor Gradski park,Cacak,Popovac,Kamenicki Vis EMEP,Kikinda,Kosjeric,Kragujevac,Krusevac,Loznica,Nis IZJZ Nis,Nis O.s. Sveti Sava,Obrenovac Centar,Pancevo Sodara,Paracin,Sremska Mitrovica,Sabac,Smederevo Carina,Uzice,Valjevo,Vranje,Zajecar,Smederevo Radinac
2012-01-01,20.95,39.86,56.91,56.58,,174.29,31.78,13.63,18.89,6.12,6.84,7.15,10.42,11.45,11.48,36.93,35.8,18.63,13.26,19.12,19.41,15.07,23.65,59.57,50.54,10.8,38.39,14.34,73.47,37.23
2012-01-02,32.73,36.09,59.66,55.25,,654.18,368.12,253.24,459.44,6.12,6.12,6.12,6.69,13.9,6.93,40.28,33.9,20.06,16.99,20.05,18.59,13.8,71.14,64.22,15.21,12.92,42.28,11.01,55.44,26.68
2012-01-03,12.27,23.55,45.56,52.11,,378.88,179.01,36.49,255.93,6.12,6.12,7.71,6.92,19.22,12.48,42.65,34.72,24.53,27.0,14.06,10.75,16.75,62.84,58.48,46.93,11.15,40.19,17.66,100.07,32.16
2012-01-04,24.07,30.66,48.5,56.26,,255.4,94.54,176.27,83.66,6.12,6.12,6.75,7.57,11.86,9.82,38.87,28.61,29.69,25.18,19.06,19.57,20.65,116.35,53.92,26.64,11.16,48.08,18.79,96.13,31.66
2012-01-05,11.02,21.87,51.18,26.54,,290.74,10.34,49.22,42.19,6.12,6.45,6.12,9.32,18.34,10.51,26.4,23.5,53.13,24.75,13.38,11.96,19.63,124.2,45.16,16.46,13.84,48.79,16.86,39.65,19.66
2012-01-06,7.96,7.06,21.51,17.63,,197.95,6.12,6.38,6.81,6.12,8.29,6.12,6.12,7.19,6.12,10.7,18.48,10.06,10.25,6.43,6.12,12.96,59.38,27.3,25.65,12.13,30.79,16.72,105.05,21.34
2012-01-07,6.71,7.62,8.92,15.33,,148.12,7.97,7.71,7.31,6.12,7.59,10.92,6.66,6.75,9.68,17.62,18.51,18.96,14.05,6.68,8.93,12.78,,27.73,27.79,7.07,23.24,22.78,150.83,20.8
2012-01-08,7.43,6.74,8.22,17.7,,207.61,23.6,18.14,53.63,6.12,6.12,7.0,6.12,19.1,6.12,20.34,19.73,10.71,10.86,13.74,9.71,6.75,44.02,32.57,21.48,7.12,19.1,15.65,6.12,12.97
2012-01-09,6.86,6.12,10.53,16.02,,151.37,7.46,6.12,6.97,6.12,9.62,17.5,6.12,6.12,6.12,17.27,22.67,6.12,18.18,6.12,6.12,6.12,98.36,25.82,23.56,6.12,25.25,17.49,6.12,26.79
2012-01-10,6.12,6.12,13.37,14.59,,201.55,20.19,20.71,26.92,6.12,,18.59,6.12,13.36,11.42,18.51,21.83,11.79,25.28,6.4,7.57,11.52,56.17,25.94,27.61,7.94,37.26,18.49,6.12,22.16
2012-01-11,6.12,6.43,11.64,19.18,,158.27,10.14,10.11,8.59,6.12,,27.61,7.08,8.6,6.12,16.39,36.61,12.22,31.09,8.05,6.84,15.83,60.36,30.55,39.51,6.12,33.78,24.61,6.12,25.56
2012-01-12,9.53,15.51,31.09,24.87,,181.32,22.69,13.8,25.49,6.12,9.9,12.1,6.45,23.93,6.12,37.48,42.18,12.9,26.37,18.21,10.15,16.19,90.26,52.73,31.26,7.96,60.42,18.1,6.12,28.49
2012-01-13,8.56,15.92,42.77,30.0,,154.95,12.0,9.75,35.17,6.12,6.12,6.47,6.47,10.05,10.73,32.75,26.46,19.15,22.57,13.53,13.64,10.77,23.15,43.25,27.08,11.84,48.07,23.57,6.12,18.92
2012-01-14,6.12,6.12,22.19,11.06,,146.02,6.46,7.36,6.59,6.12,6.37,6.12,6.12,14.02,6.12,20.18,20.98,10.91,14.52,13.06,6.12,14.26,16.51,25.23,14.96,7.68,39.56,10.12,6.12,8.15
2012-01-15,6.12,6.12,12.13,11.11,,172.28,11.72,15.4,13.54,6.12,7.04,6.38,6.12,14.96,6.12,20.95,37.95,10.85,11.36,14.86,6.12,14.09,,22.01,17.88,7.6,30.81,12.13,6.12,17.07
