Datum,Beograd Novi Beograd,Beograd Stari grad,Beograd Mostar,Beograd Vracar,Bor Institut RIM,Cacak,Kamenicki Vis EMEP,Kikinda Centar,Kopaonik,Kosjeric,Kostolac,Kragujevac,Krusevac,Loznica,Novi Sad SPENS,Novi Sad Liman,Nis IZJZ Nis,Nis O.s. Sveti Sava,Obrenovac Centar,Pancevo Sodara,Paracin,Sremska Mitrovica,Sabac,Smederevo Carina,Uzice,Valjevo,Vranje,Zajecar,Beograd Zeleno brdo,Popovac
2013-01-01,1.31,1.17,1.42,2.28,2.04,1.58,0.3,1.49,0.65,1.0,0.71,1.83,6.0,2.68,1.17,0.91,2.99,3.07,1.44,1.84,2.67,0.99,2.0,0.84,3.26,4.6,2.58,7.09,2.23,
2013-01-02,2.54,2.38,3.02,4.1,2.19,1.86,0.28,1.42,0.99,2.13,1.16,2.54,7.83,2.96,1.41,1.48,3.61,3.63,1.74,2.23,3.9,1.42,1.71,1.81,4.81,8.98,2.51,13.7,1.74,
2013-01-03,1.77,1.7,2.76,3.78,1.6,2.02,0.65,0.99,2.65,3.19,1.35,2.84,8.19,3.84,1.2,0.73,3.74,3.22,2.54,2.89,3.8,4.05,5.45,1.61,5.31,2.81,6.95,13.33,1.36,
2013-01-04,1.86,1.8,2.83,3.96,0.9,2.9,0.49,0.94,2.77,2.94,1.44,1.91,6.15,3.54,1.32,0.54,3.0,2.83,2.58,3.32,3.61,4.22,5.37,1.8,2.18,2.87,8.25,9.63,1.36,
2013-01-05,0.58,0.46,,0.59,0.51,0.21,0.25,0.49,1.97,0.46,0.29,0.61,0.55,0.48,0.27,0.18,1.03,1.38,0.78,0.75,0.64,0.54,0.26,0.26,1.29,1.36,2.55,2.23,0.13,
2013-01-06,0.49,0.51,,0.65,0.3,0.25,0.23,0.48,1.13,0.71,0.3,0.61,0.62,0.54,0.38,0.28,0.24,0.55,0.67,0.65,0.86,0.46,0.36,0.74,0.46,1.02,0.86,0.78,,
2013-01-07,0.45,0.48,,0.68,0.33,0.39,0.23,0.39,1.03,0.7,0.3,0.64,0.73,1.49,0.38,0.3,0.19,0.52,0.7,0.55,0.81,0.48,0.41,0.64,0.42,1.04,0.87,0.81,,
2013-01-08,0.62,0.61,,1.0,0.61,1.1,0.25,1.17,1.48,0.96,0.96,0.91,2.61,1.68,0.32,0.08,1.25,1.2,0.51,2.13,2.19,0.59,0.83,2.91,1.19,1.44,1.29,3.78,0.58,
2013-01-09,1.26,1.29,,1.74,1.04,1.94,0.25,1.1,0.38,3.63,1.15,2.64,3.41,1.8,0.58,0.44,1.68,1.8,1.04,2.26,2.32,1.25,1.07,2.91,2.64,2.2,2.62,4.44,1.27,
2013-01-10,2.57,3.34,,3.35,2.31,2.78,0.35,1.83,0.55,4.12,0.84,2.19,6.82,3.55,1.26,0.81,8.02,6.83,2.67,1.74,4.09,1.6,2.04,1.55,4.16,6.28,3.58,5.0,1.58,
2013-01-11,2.42,3.22,,2.87,2.29,3.29,0.28,1.86,0.59,4.52,0.83,1.97,6.99,2.74,0.84,0.68,8.45,7.45,2.74,1.67,4.0,1.38,1.65,1.46,4.39,7.51,6.96,6.06,0.96,3.38
2013-01-12,0.86,0.94,1.07,1.12,1.83,1.57,0.32,0.67,1.06,1.28,0.57,1.23,4.03,2.54,0.36,0.2,1.67,1.38,0.65,1.44,2.9,0.83,1.42,1.36,2.15,2.64,6.95,5.87,0.78,1.71
2013-01-13,0.83,0.89,1.12,1.16,1.03,1.58,0.25,0.67,1.58,2.8,0.52,1.36,2.89,4.02,0.52,0.3,1.45,1.26,0.42,1.49,2.25,0.83,1.42,1.35,2.99,4.79,3.07,2.78,0.78,1.22
2013-01-14,0.45,0.64,0.49,0.8,0.51,1.54,0.26,0.49,1.49,3.15,0.26,0.8,1.02,4.18,0.38,0.21,1.28,0.86,0.1,0.7,0.73,0.67,0.83,0.64,4.89,5.71,3.41,1.04,0.22,0.86
2013-01-15,0.54,0.71,0.41,0.73,0.64,0.9,0.23,0.54,0.57,2.81,0.39,0.87,2.36,3.32,0.73,0.43,1.8,1.36,0.19,,0.77,1.16,1.42,0.58,4.47,3.55,1.26,0.88,0.21,1.02
2013-01-16,0.86,0.9,0.84,1.23,0.81,0.99,0.23,0.55,0.71,1.78,0.57,1.42,3.77,2.54,0.7,0.51,2.03,1.64,0.94,,0.77,1.09,0.81,1.16,2.77,1.41,1.74,1.45,0.48,1.09
2013-01-17,0.9,0.87,0.9,1.26,1.32,1.1,0.08,0.51,0.75,2.03,1.09,1.62,3.97,0.94,0.45,0.25,2.26,1.75,0.93,,1.38,1.02,0.7,1.17,2.7,2.16,1.91,2.12,0.35,1.15
2013-01-18,0.75,0.83,0.64,1.0,0.78,0.84,0.3,0.73,1.19,1.1,0.58,1.02,0.65,0.78,0.64,0.39,0.9,0.97,0.54,,0.89,0.7,0.57,0.83,2.6,2.15,1.26,2.22,0.38,1.22
2013-01-19,0.91,0.99,1.03,1.23,1.09,0.84,0.35,0.65,2.19,1.09,0.96,1.2,1.74,3.34,0.65,0.44,2.39,2.68,0.49,,2.2,0.96,0.99,1.06,2.99,1.78,4.81,2.31,0.68,
2013-01-20,0.87,0.9,1.0,1.15,1.35,1.62,0.25,0.64,2.13,2.47,0.97,1.42,1.84,3.36,0.7,0.51,3.77,4.99,0.96,2.16,2.42,1.1,1.35,0.96,4.47,4.84,5.55,2.6,0.55,
2013-01-21,0.44,0.67,0.55,0.75,1.9,1.6,0.08,0.33,0.81,1.91,0.38,0.73,1.53,2.12,0.49,0.21,4.14,5.18,0.15,1.0,0.51,0.87,1.0,0.78,4.54,6.15,1.35,5.03,,
