Datum,Beocin Centar,Beograd Novi Beograd,Beograd Stari grad,Beograd Mostar,Beograd Vracar,Beograd Zeleno brdo,Bor Institut RIM,Cacak,Kamenicki Vis EMEP,Kikinda,Kopaonik,Kosjeric,Kragujevac,Kraljevo,Krusevac,Nis IZJZ Nis,Nis O.s. Sveti Sava,Novi Sad Liman,Pancevo Sodara,Popovac,Sremska Mitrovica,Sabac,Smederevo Carina,Uzice,Valjevo,Vranje,Zajecar
2013-01-01,23.98,34.38,40.01,35.49,40.01,27.08,41.44,18.8,2.78,13.48,1.35,11.44,27.13,15.22,26.9,32.13,18.9,29.86,41.5,,27.36,27.16,15.63,32.82,73.75,62.82,45.08
2013-01-02,26.64,55.89,52.75,55.65,52.75,29.5,52.3,25.11,3.88,15.42,1.64,17.64,34.2,28.55,29.22,33.69,24.38,35.11,28.11,,24.54,27.47,22.17,44.92,63.44,64.8,53.39
2013-01-03,20.36,35.37,45.33,54.49,45.33,36.66,28.3,27.91,7.41,16.74,1.91,20.06,42.1,33.65,29.71,30.9,21.96,28.67,28.15,,34.97,50.34,22.75,57.75,63.03,61.56,47.42
2013-01-04,15.7,24.97,29.5,45.98,29.5,25.36,19.11,16.54,5.36,10.62,0.82,14.71,29.53,39.97,20.64,39.04,27.42,20.82,14.52,,29.37,23.58,15.49,50.0,38.89,62.46,27.62
2013-01-05,13.27,26.24,17.34,31.9,17.34,17.74,18.69,7.71,3.72,10.97,3.38,5.87,22.96,56.09,11.54,24.53,18.61,16.81,12.07,,32.04,13.35,12.29,30.76,16.75,62.99,25.96
2013-01-06,11.21,21.9,16.6,35.21,16.6,18.23,8.0,5.52,4.12,11.9,11.82,7.7,19.14,21.66,9.02,19.7,12.1,17.73,11.46,,20.53,15.61,14.17,31.82,16.78,41.03,13.02
2013-01-07,10.39,13.85,9.84,24.19,9.84,9.25,6.93,6.04,2.57,9.46,10.15,4.83,12.27,14.58,6.41,15.02,8.0,13.76,8.99,,20.17,14.91,10.72,20.28,27.61,49.57,11.89
2013-01-08,15.26,31.51,25.3,37.82,25.3,17.05,17.29,17.76,2.97,17.1,13.1,12.55,22.63,12.76,19.52,32.61,17.54,15.36,19.84,,21.54,25.7,23.32,35.5,66.65,37.87,24.81
2013-01-09,17.4,34.48,47.22,47.31,47.22,32.04,35.81,31.87,3.14,10.62,9.5,29.92,34.79,12.22,25.26,41.3,23.24,24.05,28.54,,26.14,24.5,19.82,22.84,87.93,52.98,30.47
2013-01-10,21.7,49.43,53.23,48.9,53.23,30.92,30.07,31.85,9.28,18.98,7.25,26.55,39.66,22.99,46.7,58.05,38.64,33.59,29.06,,27.46,28.95,21.4,22.91,119.72,58.31,32.77
2013-01-11,21.63,44.83,44.69,44.65,44.69,26.96,41.62,32.28,8.5,19.09,4.1,28.71,40.92,38.83,37.23,42.84,21.62,27.03,27.0,15.8,26.72,32.39,23.56,45.32,103.34,63.05,34.91
2013-01-12,,35.08,28.31,44.49,28.31,24.54,18.95,19.49,4.5,11.55,7.28,15.49,25.64,20.66,19.27,30.76,15.19,20.81,19.65,8.43,26.27,26.27,21.75,54.11,47.49,42.69,23.94
2013-01-13,25.44,28.07,32.68,45.5,32.68,15.57,20.37,19.42,3.26,10.19,5.54,26.88,30.71,19.19,19.39,45.14,14.24,24.17,16.96,11.95,28.39,32.26,13.92,42.43,76.21,53.23,20.53
2013-01-14,18.26,11.7,21.07,34.91,21.07,10.49,12.09,20.48,3.56,6.85,3.27,28.71,15.85,47.05,11.78,46.58,11.23,11.24,11.52,11.23,25.57,20.67,13.27,62.38,69.7,70.98,18.74
2013-01-15,20.99,18.49,36.28,42.44,36.28,15.01,19.83,25.12,2.25,10.57,5.22,31.08,20.14,76.05,21.57,56.82,21.54,18.07,,13.7,23.98,29.72,15.1,45.63,70.06,51.89,20.29
2013-01-16,18.85,36.7,36.24,42.84,36.24,27.42,21.45,25.96,2.64,10.87,8.71,25.11,29.95,85.13,23.29,49.48,23.96,20.23,,10.96,23.78,23.24,23.68,51.44,85.86,56.48,23.16
2013-01-17,19.4,31.2,31.71,36.67,31.71,24.09,30.1,27.03,4.62,9.97,6.57,18.44,35.44,49.97,22.08,38.92,14.4,20.25,,9.94,21.77,23.88,20.66,31.55,82.55,64.69,25.29
2013-01-18,18.84,23.74,28.2,41.9,28.2,18.96,15.63,15.49,3.85,13.23,5.08,14.4,26.86,38.8,13.6,24.67,10.04,18.17,,,44.77,20.18,14.73,50.11,31.14,57.83,27.81
2013-01-19,19.78,29.47,32.1,53.63,32.1,22.39,32.04,23.14,15.14,15.83,7.29,13.22,29.25,27.84,19.22,30.95,23.29,23.36,,,39.48,25.13,19.27,51.9,32.21,58.92,23.69
2013-01-20,24.05,32.25,36.0,52.46,36.0,15.52,44.53,18.76,48.63,9.52,5.18,23.21,28.46,55.51,26.92,45.11,22.99,23.29,26.98,,31.06,30.1,18.34,52.15,47.88,60.16,31.34
2013-01-21,24.03,12.61,33.89,45.19,33.89,11.35,51.25,24.24,15.3,6.03,1.31,17.74,12.18,108.62,15.88,40.28,28.14,8.49,19.7,,24.59,25.84,11.85,52.26,53.48,51.83,41.59
2013-01-22,22.51,27.52,24.56,36.28,24.56,22.24,42.46,16.4,15.51,14.99,0.81,13.98,26.49,91.76,14.71,29.44,18.56,23.17,14.64,,29.07,17.18,16.27,39.06,47.25,61.8,41.98
2013-01-23,24.12,33.66,44.3,47.63,44.3,21.85,36.23,18.77,4.02,12.65,0.54,13.9,23.31,34.72,19.89,34.28,22.2,24.02,21.19,,26.08,32.03,18.34,32.88,73.24,62.51,34.66
2013-01-24,,36.43,33.78,41.43,33.78,9.1,35.49,21.13,2.24,12.01,0.64,26.15,28.93,35.44,19.9,41.69,10.62,20.62,19.64,,27.58,30.07,15.6,33.13,79.64,57.73,30.85
2013-01-25,,32.37,19.35,36.86,19.35,19.36,17.09,13.33,5.95,11.84,1.67,12.49,33.06,26.24,14.17,28.8,10.95,24.54,15.69,8.56,33.17,24.61,15.52,37.81,14.73,38.12,22.21
2013-01-26,,31.1,28.5,39.67,28.5,29.68,6.73,16.82,3.27,11.74,2.96,14.88,27.27,18.93,10.32,28.1,12.73,20.22,19.82,6.3,31.33,23.23,19.9,38.24,35.11,36.29,12.34
2013-01-27,,28.67,36.58,46.06,36.58,26.8,17.74,20.25,4.24,11.75,3.9,15.77,28.04,15.93,15.98,23.16,8.64,22.17,26.45,8.56,24.54,27.64,19.02,33.1,56.1,45.81,14.87
2013-01-28,,61.84,50.79,55.6,50.79,30.2,20.5,38.09,3.45,14.36,3.53,27.12,44.22,21.73,34.69,54.23,33.44,39.9,28.5,11.47,36.72,34.87,25.48,53.39,79.16,44.19,22.56
2013-01-29,,35.93,47.22,48.36,47.22,29.02,33.97,41.23,6.43,14.75,3.36,18.71,44.2,,36.72,42.43,29.89,22.18,26.0,13.73,33.67,35.63,22.24,50.27,62.92,55.68,22.26
2013-01-30,,46.2,73.28,70.13,73.28,45.12,37.51,43.87,2.34,17.02,2.24,23.43,48.79,,35.06,54.86,36.09,42.51,32.91,14.52,40.3,58.45,28.23,59.41,83.21,53.57,30.93
2013-01-31,20.44,41.91,48.62,64.39,48.62,34.56,25.58,20.95,3.13,13.08,1.73,15.57,37.4,,25.41,49.58,30.27,22.62,24.0,8.11,41.8,34.67,15.75,50.69,36.96,59.56,24.27
2013-02-01,22.32,38.91,53.91,72.19,53.91,25.93,41.65,38.03,5.27,10.32,1.25,25.43,48.28,,34.48,53.91,36.15,16.96,29.57,12.04,33.12,47.81,26.53,60.27,,67.96,40.36
2013-02-02,23.98,29.73,37.07,44.51,37.07,14.13,35.8,30.31,41.59,8.61,0.97,18.57,23.93,,21.73,39.72,25.84,15.0,17.37,5.27,25.47,36.58,11.46,49.8,,69.56,30.88
2013-02-03,14.07,15.0,13.54,40.49,13.54,15.78,22.98,9.96,7.87,8.56,1.0,5.52,16.78,,9.53,27.77,13.82,13.5,10.15,4.68,32.49,10.42,10.97,22.54,,51.46,20.36
2013-02-04,17.44,26.53,41.35,53.75,41.35,30.81,29.45,22.19,2.06,9.68,2.5,13.11,26.96,,17.37,35.5,16.47,12.08,24.26,7.66,33.5,40.83,15.43,34.97,,44.37,20.61
2013-02-05,25.4,64.96,63.69,74.6,63.69,22.12,40.54,26.57,2.44,14.13,2.05,15.71,34.8,,27.81,47.63,25.73,30.66,26.78,7.35,37.67,52.25,12.38,56.35,,63.7,28.02
2013-02-06,25.32,39.86,54.58,57.83,54.58,18.29,38.19,34.52,10.84,7.48,1.03,24.34,35.46,,35.81,58.94,33.93,13.84,24.38,5.89,31.71,40.64,14.29,52.39,,68.3,26.74
2013-02-07,23.27,28.72,19.52,47.64,19.52,19.37,22.43,17.39,3.25,11.32,3.78,7.87,30.33,,13.97,33.66,13.73,21.78,11.02,6.77,32.3,19.04,14.09,33.63,,59.81,24.83
2013-02-08,22.28,32.68,25.15,41.25,25.15,24.88,17.4,12.65,6.25,15.9,4.39,10.96,28.58,,14.25,30.48,19.86,26.23,15.61,8.67,24.6,18.38,16.59,27.87,,52.71,16.65
2013-02-09,20.76,23.86,21.93,32.06,21.93,22.04,13.58,19.16,4.14,13.81,4.81,11.98,27.09,,16.2,41.67,13.83,21.61,18.19,11.0,22.03,20.91,21.39,26.71,,51.21,17.21
2013-02-10,22.71,41.99,31.77,47.13,31.77,28.64,15.11,11.64,,11.87,2.79,9.39,21.15,,11.89,29.77,19.41,19.52,17.82,8.12,23.6,21.86,21.73,34.42,,55.09,15.67
2013-02-11,27.17,34.24,45.21,55.33,45.21,28.28,28.71,22.54,,15.25,2.88,17.13,28.07,,22.16,45.66,16.85,17.38,24.69,8.43,32.24,31.46,19.55,44.12,332.05,57.11,27.31
2013-02-12,24.85,15.55,26.34,40.71,26.34,12.18,15.3,20.29,,7.08,1.13,26.45,17.4,,13.47,40.1,7.11,12.6,13.04,5.12,26.51,26.74,10.06,62.23,307.6,68.66,24.76
2013-02-13,28.53,19.12,19.67,29.72,19.67,9.98,19.95,18.49,4.77,15.6,2.32,15.5,17.68,,13.28,27.81,5.63,12.12,15.1,6.02,24.93,22.86,12.22,41.37,206.69,73.92,18.65
