Datum,Beograd Novi Beograd,Beograd Stari grad,Beograd Vracar,Beograd Mostar,Kopaonik,Kamenicki Vis EMEP,Novi Sad Liman,Nis O.s. Sveti Sava,Beograd Zeleno brdo,Obrenovac Centar,Popovac
2013-01-01,30.78,,26.6,5.78,89.98,71.95,22.13,48.25,51.35,36.875,
2013-01-02,19.98,,13.38,3.78,90.18,75.45,21.58,27.13,68.125,46.3,
2013-01-03,36.8,,25.95,6.5,84.48,71.68,44.4,27.15,46.6,84.175,
2013-01-04,36.53,,22.43,12.33,85.43,72.18,43.53,16.68,49.875,128.875,
2013-01-05,38.75,,27.28,8.15,71.0,64.03,40.75,30.35,56.275,114.15,
2013-01-06,43.53,,35.98,17.12,73.13,64.9,41.4,44.18,61.875,138.375,
2013-01-07,55.28,,53.6,0.0,73.25,68.53,53.75,55.6,69.0,147.65,
2013-01-08,43.18,,44.13,0.0,69.53,72.28,51.48,46.9,65.175,76.35,
2013-01-09,35.55,,29.48,0.0,76.73,71.88,47.93,29.1,60.275,26.55,
2013-01-10,9.35,,9.9,0.0,80.48,70.93,17.68,22.03,34.525,4.5,11.1
2013-01-11,20.08,,15.0,0.0,80.55,69.6,41.73,24.63,43.5,10.6,34.8
2013-01-12,39.0,,35.88,15.4,77.55,64.78,49.68,37.75,53.125,16.55,57.1
2013-01-13,55.4,,48.15,14.05,87.75,86.53,41.18,59.4,71.05,19.075,58.7
2013-01-14,57.55,,48.43,25.58,76.33,78.15,56.28,54.8,69.125,18.4,63.4
2013-01-15,60.0,,46.33,26.43,81.5,79.08,58.98,44.6,66.75,18.925,61.1
2013-01-16,40.1,11.9,37.03,13.6,84.98,86.33,54.35,55.43,60.175,13.925,77.8
2013-01-17,23.18,21.23,21.53,4.33,85.23,85.3,31.88,52.05,54.675,14.6,73.4
2013-01-18,52.28,44.5,45.6,16.63,80.73,76.15,41.1,58.8,70.475,17.4,66.7
2013-01-19,31.73,24.95,27.98,9.33,77.65,78.58,34.53,22.2,63.225,15.3,
2013-01-20,44.7,38.15,37.45,5.28,84.4,74.95,44.85,39.83,71.55,16.225,
2013-01-21,58.5,41.33,45.95,11.95,74.7,76.85,60.4,51.28,67.625,20.575,
2013-01-22,62.85,49.53,54.1,23.03,83.48,76.15,60.1,48.65,70.2,19.4,
2013-01-23,42.2,35.23,33.18,12.43,88.93,78.0,49.83,32.23,54.55,13.35,
2013-01-24,45.7,43.6,41.15,14.68,89.68,84.55,48.55,57.9,65.85,,63.8
2013-01-25,46.15,43.9,39.33,14.15,96.63,63.78,40.13,37.38,65.675,,61.2
2013-01-26,37.48,41.2,30.35,17.48,74.95,79.98,41.48,53.83,46.95,,73.4
2013-01-27,51.63,38.5,34.65,7.5,73.68,68.43,54.33,51.63,47.675,,61.9
2013-01-28,37.25,36.93,36.78,14.7,91.15,89.58,43.83,50.45,70.25,,66.0
2013-01-29,45.48,32.43,31.7,7.8,86.98,88.68,60.4,19.7,53.925,13.975,53.4
2013-01-30,51.0,13.18,20.0,4.38,88.23,88.88,46.05,29.325,53.375,13.575,50.1
2013-01-31,51.0,48.98,34.05,13.1,83.28,87.28,61.18,36.325,63.37142857,18.125,73.0
2013-02-01,38.7,32.08,31.08,10.53,90.23,89.03,66.15,30.35,70.425,17.0,60.8
2013-02-02,57.3,48.73,42.5,23.0,90.3,85.2,67.88,48.63,75.125,19.0,79.7
2013-02-03,44.03,41.03,29.5,9.33,84.43,78.05,46.08,44.8,55.625,16.2,72.5
2013-02-04,62.6,48.78,43.7,17.45,83.58,67.48,68.0,41.4,64.55,17.825,66.7
2013-02-05,35.9,21.03,33.98,8.05,87.15,85.95,68.5,43.58,74.95,15.025,68.4
2013-02-06,58.78,34.0,41.85,14.63,92.23,85.38,74.2,46.03,72.925,16.95,77.9
2013-02-07,57.23,56.89,40.9,15.73,87.73,83.7,59.6,49.65,73.4,18.7,73.0
2013-02-08,41.43,51.45,39.53,25.95,78.68,67.88,43.03,56.55,68.925,15.45,59.1
2013-02-09,48.15,48.8,36.85,29.05,79.13,78.13,44.88,58.825,67.825,13.575,57.5
2013-02-10,49.95,51.13,36.98,23.73,88.23,74.55,50.3,51.15,62.75,17.175,67.9
2013-02-11,70.6,50.05,55.68,22.93,91.2,0.0,75.15,67.1,92.5,20.725,75.8
2013-02-12,69.8,60.83,60.78,37.68,90.75,76.08,64.85,68.18,86.75,18.9,86.5
2013-02-13,61.48,54.98,54.63,40.8,88.35,76.73,62.95,62.5,83.0,16.575,68.6
2013-02-14,49.9,48.48,47.5,31.33,94.73,60.5,51.6,51.5,77.85,12.925,62.0
2013-02-15,23.4,21.28,13.23,8.63,61.78,52.43,23.5,40.48,48.2,7.6,51.4
2013-02-16,0.0,13.8,7.95,3.7,72.33,60.88,36.83,42.2,39.125,,45.6
2013-02-17,0.0,63.4,54.6,43.83,75.9,65.0,72.75,45.93,95.55,,56.3
2013-02-18,0.0,43.28,44.88,29.95,75.88,60.33,39.03,49.0,86.375,,53.7
2013-02-19,0.0,38.18,31.23,21.83,66.3,55.6,70.8,42.45,71.05,,47.9
2013-02-20,0.0,48.05,42.28,27.85,88.0,79.68,48.4,52.5,79.325,,69.4
2013-02-21,7.92,41.85,35.78,26.05,102.68,79.85,45.28,58.45,76.175,,56.3
2013-02-22,51.28,34.7,27.35,11.2,87.43,66.33,40.23,50.13,69.05,,57.6
2013-02-23,49.13,38.25,41.03,19.03,84.48,72.68,54.98,60.2,83.8,,57.5
2013-02-24,40.2,35.63,36.5,22.58,78.4,66.18,39.86,55.25,80.25,,47.8
2013-02-25,43.5,33.18,32.38,20.4,88.05,60.4,43.15,47.5,85.325,,55.2
2013-02-26,40.6,39.28,35.8,23.33,88.68,56.05,45.68,38.6,85.25,32.05,55.7
2013-02-27,42.83,38.73,39.1,22.48,83.05,71.4,36.38,50.6,88.475,25.225,48.3
2013-02-28,56.15,48.58,34.6,27.23,85.55,80.53,45.68,63.28,103.625,28.05,81.3
2013-03-01,65.4,61.4,,31.2,88.0,95.4,50.25,61.28,114.175,31.45,86.7
2013-03-02,48.03,55.75,,35.05,87.6,94.78,62.7,41.68,110.1,25.3,64.0
2013-03-03,80.03,80.95,,62.33,90.88,92.38,80.68,70.15,144.975,30.375,87.3
2013-03-04,63.43,65.63,,38.0,100.93,94.2,68.13,72.98,134.725,27.1,83.3
2013-03-05,89.7,70.65,,44.75,104.25,98.75,87.18,81.83,161.5,34.325,88.3
2013-03-06,81.18,66.3,,43.65,106.48,91.58,75.78,74.18,147.825,28.575,85.8
2013-03-07,68.88,52.78,,32.73,91.45,84.2,73.65,60.93,138.375,28.225,81.8
2013-03-08,75.25,48.33,,18.6,91.43,82.0,78.65,57.83,137.65,26.325,77.5
2013-03-09,71.5,65.15,,29.63,92.4,82.88,65.23,63.48,141.825,30.45,79.8
2013-03-10,80.25,66.95,,21.73,98.33,88.25,80.45,79.5,135.25,33.025,89.5
2013-03-11,45.2,37.05,,7.45,98.68,94.85,56.6,77.7,132.675,19.05,83.3
2013-03-12,75.73,62.58,,27.6,97.95,93.53,77.9,73.28,134.575,30.6,88.9
2013-03-13,68.68,52.6,,19.15,98.3,91.78,72.33,68.53,73.75,27.375,83.2
2013-03-14,46.5,40.88,,17.85,94.68,91.28,58.75,69.3,49.9,21.625,72.8
2013-03-15,85.78,82.45,,49.03,99.1,104.0,86.63,84.53,84.75,29.75,100.5
2013-03-16,84.53,91.38,,48.53,100.6,98.1,93.5,75.55,91.1,30.375,94.3
2013-03-17,98.85,85.05,,66.88,105.83,111.28,98.38,97.9,97.075,32.25,106.0
2013-03-18,81.63,68.8,,41.78,106.63,110.08,85.73,72.28,80.6,26.725,96.9
2013-03-19,80.1,74.83,,50.08,106.93,102.98,81.8,81.4,81.475,25.9,95.3
2013-03-20,103.83,86.13,,57.85,114.05,122.43,106.98,100.25,104.725,30.75,115.3
2013-03-21,83.18,75.25,,45.18,104.35,117.35,81.83,63.38,88.3,22.425,102.9
2013-03-22,73.4,79.8,,50.03,105.58,91.6,80.75,65.85,80.7,23.775,88.3
2013-03-23,89.43,82.05,,64.4,116.78,119.2,86.8,93.53,92.65,25.65,102.5
2013-03-24,78.0,71.63,,59.65,116.83,120.03,78.63,78.58,83.95,22.775,87.0
2013-03-25,60.23,59.03,,37.6,113.9,84.8,67.58,55.28,69.425,18.675,68.5
2013-03-26,60.08,55.28,,43.75,107.25,74.88,67.68,56.53,66.475,17.1,73.6
2013-03-27,59.25,51.53,,19.53,92.78,91.38,85.88,63.65,72.175,21.55,93.3
2013-03-28,83.43,66.33,59.1,33.35,107.53,94.88,93.6,77.48,85.675,23.25,94.3
2013-03-29,82.38,73.98,72.33,54.78,99.18,87.78,83.43,52.15,82.425,21.6,91.1
