Datum,Beocin_Centar,Beograd_N.Beograd,Beograd_Stari grad,Beograd_Mostar,Beograd_Zeleno brdo,Beograd_Vracar,Kamenicki Vis - EMEP,Kosjeric,Nis_IZJZ Nis,Novi Sad_SPENS,Obrenovac_Centar,Popovac,Smederevo_Centar,Uzice,Valjevo
2013-01-01,,85.37,30.55,105.38,,,,53.15,113.17,80.9,,,130.2,,
2013-01-02,,105.15,41.18,128.23,,,,84.38,148.19,87.91,,,164.67,,
2013-01-03,,68.22,21.57,88.48,,,,97.59,139.1,60.82,,,174.89,,
2013-01-04,,43.89,11.84,49.19,,,,93.25,123.53,31.9,,,65.27,,
2013-01-05,,16.54,3.64,18.08,23.51,18.84,,13.16,37.08,15.15,,,21.25,,
2013-01-06,,26.33,7.33,29.18,34.87,27.87,,28.22,24.62,35.74,,,37.35,,
2013-01-07,,14.64,2.99,15.44,19.28,15.48,,18.14,24.43,21.33,,,28.77,,
2013-01-08,,30.6,6.78,47.0,48.08,35.16,,47.43,52.1,28.38,,,130.39,,
2013-01-09,,74.17,15.11,88.5,115.76,90.94,,128.68,98.95,50.26,95.56,,164.72,,
2013-01-10,85.67,99.21,6.1,127.94,95.24,125.29,,115.72,181.1,71.81,113.29,,135.03,,
2013-01-11,51.69,70.85,1.1,81.34,79.19,73.05,,165.37,83.7,46.61,107.09,40.66,100.43,,
2013-01-12,42.77,31.83,21.57,47.01,51.4,40.1,,32.62,48.33,27.54,51.55,23.61,65.08,,
2013-01-13,69.6,36.91,47.67,61.08,57.64,51.81,,125.98,79.62,49.46,52.6,40.47,76.5,,
2013-01-14,27.1,24.56,32.91,38.05,40.27,36.94,,123.23,50.79,32.25,23.25,50.54,58.1,,
2013-01-15,36.33,22.03,40.63,38.96,43.64,32.31,,120.0,93.95,35.76,23.55,31.01,57.77,,
2013-01-16,52.73,41.19,50.46,54.0,63.05,57.17,,82.15,69.91,39.32,62.02,32.69,66.14,,
