Datum,Beocin Centar,Beograd Mostar,Beograd Zeleno brdo,Bor Gradski park,Bor Institut RIM,Bor Krivelj,Cacak,Kikinda,Kopaonik,Kosjeric,Kostolac,Krusevac,Loznica,Nis IZJZ Nis,Novi Sad Liman,Obrenovac Centar,Pancevo Sodara,Paracin,Popovac,Sremska Mitrovica,Smederevo Carina,Smederevo Centar
2013-01-01,10.13,12.35,76.59,410.73,106.0,121.07,10.67,17.79,2.48,4.43,28.87,44.68,16.84,8.49,,4.19,24.05,19.03,,6.65,35.89,21.86
2013-01-02,4.58,29.2,58.69,441.73,442.5,83.16,13.1,7.5,2.09,9.7,24.36,36.91,42.24,0.81,,9.62,21.49,22.89,,11.5,34.95,20.63
2013-01-03,3.45,21.46,63.43,22.98,35.66,22.98,15.57,6.68,3.99,9.96,11.47,50.99,64.78,2.01,,16.09,13.8,20.58,,15.94,45.65,22.59
2013-01-04,2.23,34.88,40.83,21.92,30.38,20.43,11.93,7.54,3.55,14.62,15.69,32.13,45.69,1.83,,15.21,18.45,17.61,,28.83,39.12,28.76
2013-01-05,1.6,11.03,30.22,22.74,6.21,15.23,10.05,6.92,3.07,11.37,5.34,20.48,31.75,1.72,,7.82,8.79,13.01,,15.73,23.69,14.96
2013-01-06,1.98,9.79,35.42,19.44,11.28,14.35,12.18,5.97,3.18,7.95,7.71,11.18,30.2,1.71,,2.19,4.08,15.92,,10.24,24.29,11.76
2013-01-07,1.87,7.26,27.13,13.24,3.46,16.39,16.77,5.25,6.89,8.57,13.2,9.0,24.76,2.04,,2.57,2.8,12.09,,9.27,33.32,14.23
2013-01-08,2.28,10.83,47.63,32.36,17.91,20.79,22.33,7.14,5.62,9.59,9.5,21.81,34.69,0.92,,4.37,10.94,14.7,,12.99,51.29,46.42
2013-01-09,6.42,15.82,75.65,81.2,26.08,57.56,23.05,22.91,4.52,19.33,25.65,24.03,31.82,0.85,,7.91,8.98,15.64,,8.58,30.17,60.9
2013-01-10,5.65,28.37,80.69,424.17,110.4,364.08,17.02,20.87,4.03,7.61,20.67,47.79,50.95,1.41,,11.06,17.17,23.19,,8.66,40.04,73.05
2013-01-11,7.18,43.26,53.36,174.33,296.99,167.46,18.07,13.17,2.23,10.93,11.6,44.57,30.82,1.76,,10.97,19.86,18.78,3.34,13.74,45.73,46.12
