Datum,Beograd Novi Beograd,Beograd Stari grad,Beograd Mostar,Beograd Vracar,Cacak,Kamenicki Vis EMEP,Kikinda Centar,Kosjeric,Kostolac,Krusevac,Loznica,Novi Sad SPENS,Novi Sad Liman,Nis O.s. Sveti Sava,Pancevo Sodara,Sremska Mitrovica,Sabac,Smederevo Carina,Uzice,Valjevo,Vranje,Popovac
2014-01-01,,0.25,0.73,0.81,,0.35,0.8,,0.46,1.01,,0.12,0.44,0.7,0.75,1.03,1.62,,2.47,,2.61,0.46
2014-01-02,,0.55,1.22,1.07,,0.35,0.62,,0.46,2.48,,0.59,0.81,0.96,0.84,1.58,3.54,,3.8,,4.57,0.55
2014-01-03,,3.05,3.97,3.32,,0.35,0.97,,0.8,7.24,3.47,1.32,1.52,2.91,1.93,2.09,8.11,3.13,6.28,,4.52,1.38
2014-01-04,,3.65,4.32,3.74,,0.35,0.93,,0.9,7.6,3.13,1.54,1.43,4.8,1.89,2.13,8.57,1.97,6.92,,1.41,1.38
2014-01-05,,0.44,0.78,0.93,,0.35,0.65,,0.58,8.13,2.9,0.24,,6.15,1.22,1.57,2.84,0.97,8.77,5.03,2.02,0.81
2014-01-06,,0.38,0.97,0.87,,0.42,0.71,,0.73,2.07,3.32,0.5,,7.54,0.83,1.84,4.1,1.19,8.58,5.84,4.73,0.81
2014-01-07,,0.68,0.96,1.26,,0.44,0.59,,1.33,4.47,3.25,0.52,,2.8,1.81,1.65,4.05,2.78,5.0,2.74,4.9,0.99
2014-01-08,1.36,0.75,1.09,1.32,,0.42,0.58,,1.35,5.9,2.0,0.96,,2.86,1.68,1.58,1.64,2.81,4.99,3.67,1.28,1.1
2014-01-09,1.22,1.16,1.64,1.73,1.51,0.46,0.62,,1.19,6.6,2.04,0.96,,3.78,1.52,1.38,1.45,4.81,4.87,4.32,1.65,1.17
2014-01-10,1.13,1.28,1.64,1.81,2.68,0.36,0.88,,1.49,6.93,1.93,1.75,,4.02,1.64,2.87,3.44,5.08,5.25,4.16,3.9,1.13
2014-01-11,1.71,1.81,4.18,3.32,2.7,0.35,0.84,,1.62,5.23,2.23,1.8,,4.15,2.48,2.94,6.22,1.65,3.09,4.77,6.67,1.09
2014-01-12,1.97,2.06,4.52,3.74,3.89,0.45,0.83,,1.38,6.97,2.16,1.58,,4.47,2.47,3.65,6.79,1.55,3.07,4.76,6.87,1.39
2014-01-13,1.7,1.16,2.49,2.1,3.16,0.45,0.99,,1.15,8.32,2.44,0.54,0.7,3.65,1.77,3.6,7.34,2.35,4.15,5.08,6.83,1.36
