Datum,Beocin Centar,Beograd Novi Beograd,Beograd Stari grad,Beograd Mostar,Beograd Vracar,Beograd Zeleno brdo,Cacak,Kikinda,Kostolac,Nis IZJZ Nis,Pancevo Sodara,Sremska Mitrovica,Sabac,Smederevo Centar,Uzice,Valjevo
2014-01-01,31.83,13.76,21.69,28.13,,6.61,20.39,10.9,4.07,23.3,19.13,15.71,23.81,28.53,,22.78
2014-01-02,33.56,24.33,26.94,34.94,,11.0,16.05,7.63,4.53,28.73,17.79,20.83,31.98,23.59,,31.24
2014-01-03,28.88,62.32,53.16,61.84,,23.57,20.87,11.9,11.96,32.73,24.18,25.45,37.26,39.58,,47.94
2014-01-04,35.99,43.31,45.3,53.5,,19.24,30.45,12.89,15.12,31.59,22.13,29.57,39.91,35.16,,51.99
2014-01-05,24.59,16.31,21.54,32.34,,9.45,24.74,9.05,8.01,43.76,22.77,16.36,21.65,23.11,,29.39
2014-01-06,18.2,29.6,21.01,30.72,,15.66,20.86,10.86,12.79,,15.28,17.06,15.27,27.23,,25.23
2014-01-07,20.46,33.32,22.17,25.14,,16.41,16.91,12.29,17.13,,27.12,15.27,12.57,24.73,,17.48
2014-01-08,21.21,34.83,33.43,29.44,,37.72,32.11,9.78,17.14,,24.76,20.01,16.11,28.74,,25.09
2014-01-09,23.69,44.21,38.27,36.66,,29.5,,8.86,18.52,,31.04,21.59,20.09,29.19,,21.96
2014-01-10,25.24,31.11,41.83,39.8,,35.07,,14.97,21.94,,32.68,23.93,25.23,31.57,,35.66
2014-01-11,24.21,52.95,63.72,66.03,,23.13,,16.27,24.03,,36.6,26.33,39.77,40.11,,28.77
2014-01-12,20.37,36.46,39.33,46.21,,29.44,,13.53,15.05,,20.83,30.51,35.62,30.55,,30.05
2014-01-13,25.46,65.79,58.87,63.24,,19.18,,14.62,22.19,,31.52,27.47,38.69,41.02,,29.5
2014-01-14,27.21,28.81,32.74,43.01,,11.83,,10.03,8.59,,13.74,26.3,28.4,28.3,,38.03
2014-01-15,23.34,20.09,24.28,27.21,,16.59,,12.56,9.96,37.23,18.91,19.62,16.82,26.8,,34.26
2014-01-16,23.09,36.91,38.48,34.61,,22.43,,15.19,21.28,23.15,28.12,22.91,31.75,31.35,,24.62
2014-01-17,21.36,68.97,54.35,,,17.52,,13.71,12.71,22.71,26.93,28.68,48.24,35.14,,45.54
2014-01-18,22.13,39.63,50.2,46.73,,14.33,29.76,13.91,17.03,32.0,23.8,22.34,33.12,30.93,,51.1
2014-01-19,24.18,10.63,23.29,32.47,,5.97,20.42,9.03,8.11,45.54,25.21,13.25,18.34,25.61,,30.79
2014-01-20,26.84,17.75,32.72,35.5,,9.0,23.93,7.23,7.68,34.89,26.54,13.92,20.49,26.94,,31.3
2014-01-21,20.98,23.17,25.82,28.65,23.67,11.77,20.02,10.24,5.84,26.76,14.73,17.31,18.53,19.98,,31.24
2014-01-22,19.37,23.53,24.51,31.52,26.39,20.24,18.44,15.77,18.16,17.79,20.27,22.4,23.08,22.04,,22.21
2014-01-23,20.79,28.7,26.61,22.84,28.68,20.48,18.86,17.06,17.57,31.62,20.93,19.89,23.38,20.8,,22.68
2014-01-24,18.04,20.26,19.32,28.41,19.78,11.79,18.58,12.1,11.67,22.68,15.89,21.76,17.57,20.26,,16.82
2014-01-25,16.25,31.4,17.19,27.13,26.84,13.35,10.59,12.49,8.28,24.15,24.02,19.47,15.92,26.64,,23.96
2014-01-26,12.99,26.96,20.79,33.16,28.83,20.98,10.57,13.81,8.84,26.07,14.7,17.49,22.02,22.66,,21.33
2014-01-27,17.63,43.33,39.98,50.48,47.51,29.25,22.02,18.83,19.28,37.78,26.12,30.17,39.38,38.9,,25.76
2014-01-28,21.06,35.81,36.42,54.3,34.95,16.5,30.84,20.97,11.77,40.84,19.41,31.28,43.65,43.99,,36.67
2014-01-29,25.07,28.73,38.79,51.27,33.6,17.14,26.23,17.08,10.05,39.57,32.39,35.32,36.53,39.68,,32.16
2014-01-30,26.46,20.94,23.58,57.87,20.48,8.56,19.88,11.18,5.74,39.11,10.86,32.17,34.09,25.16,,38.81
2014-01-31,13.38,16.85,17.02,44.09,12.97,4.91,15.6,9.17,5.3,22.72,10.65,24.84,19.41,20.97,,30.05
2014-02-01,11.38,15.6,16.07,44.69,10.68,,12.56,6.69,4.83,20.18,10.6,22.05,17.06,16.56,,22.3
2014-02-02,12.3,10.14,11.99,43.18,10.36,,11.19,4.88,4.27,24.57,12.21,21.37,12.48,19.37,,55.4
2014-02-03,17.41,16.58,16.76,47.02,15.87,,19.19,10.84,4.37,40.76,8.6,26.03,18.19,29.87,,68.88
2014-02-04,20.03,19.08,23.43,46.23,18.94,,20.32,7.07,3.78,32.77,9.39,22.46,33.63,33.51,,36.95
2014-02-05,33.66,22.34,27.46,50.75,21.02,,18.27,7.91,4.49,41.21,14.14,26.76,38.91,32.1,,45.87
2014-02-06,26.83,37.21,40.3,54.32,37.8,,22.91,13.91,9.32,47.07,21.22,23.14,30.14,42.9,,39.98
2014-02-07,23.55,55.39,60.46,56.68,41.15,,30.22,13.61,12.82,34.08,30.18,27.08,35.03,36.96,,37.88
2014-02-08,31.64,63.46,54.64,55.71,39.41,,24.83,14.96,9.76,35.56,21.98,29.43,32.42,35.51,,41.81
2014-02-09,25.88,37.65,41.18,47.53,32.11,,22.56,9.75,7.59,32.37,16.26,19.56,28.65,29.21,,27.06
2014-02-10,27.48,18.74,35.38,42.7,27.0,,25.0,6.66,10.93,36.59,20.13,27.22,29.07,38.4,,29.01
2014-02-11,24.95,34.9,40.42,48.33,34.56,,25.38,15.25,5.74,43.15,19.46,17.52,30.14,42.58,,28.5
2014-02-12,21.53,16.0,28.69,44.65,25.93,,16.84,8.86,8.51,32.0,20.5,29.11,19.24,32.78,,23.54
2014-02-13,24.26,26.72,32.92,40.78,29.68,,17.36,9.09,11.57,23.92,18.78,23.69,35.65,34.04,,25.22
2014-02-14,23.15,40.3,34.98,43.09,41.08,,12.0,12.63,9.5,34.24,19.71,26.42,21.98,36.5,,32.36
2014-02-15,23.09,30.4,38.68,45.86,32.94,,15.2,9.91,12.8,32.53,31.76,22.86,36.96,33.74,,31.49
2014-02-16,29.9,46.88,47.34,,37.88,,18.36,11.23,11.59,42.91,23.47,24.45,42.79,39.4,,33.28
2014-02-17,18.22,30.63,22.27,,27.69,,23.36,9.75,10.98,32.7,20.22,18.0,26.7,24.34,,27.25
2014-02-18,21.03,43.36,37.07,38.64,37.08,,20.85,11.55,15.9,37.92,21.35,18.03,26.37,30.39,,22.69
2014-02-19,28.81,38.04,51.07,50.1,35.42,16.45,26.3,15.55,9.31,31.57,34.32,24.54,36.79,31.76,65.94,
2014-02-20,18.44,38.42,27.08,28.56,30.31,25.09,14.36,15.66,16.49,32.5,19.65,19.16,15.9,24.01,63.77,
2014-02-21,22.86,60.15,26.82,32.23,21.64,14.73,20.3,10.4,10.46,26.21,23.25,21.23,19.94,31.67,43.15,
2014-02-22,17.85,49.9,30.13,34.15,28.24,16.62,13.02,11.47,6.31,26.76,22.65,17.69,13.24,33.51,45.03,
2014-02-23,18.1,51.32,17.98,30.59,22.77,16.63,8.94,8.13,9.94,14.88,11.06,18.15,7.84,17.93,34.95,
2014-02-24,18.43,27.72,31.19,33.64,23.67,13.95,15.61,9.98,7.81,26.64,20.18,12.78,13.32,33.58,41.22,
2014-02-25,22.3,60.15,24.4,27.99,20.24,7.84,16.34,9.76,5.71,24.59,16.51,19.31,25.77,29.8,51.38,
2014-02-26,26.34,98.22,36.55,40.49,32.03,11.41,17.92,11.67,16.0,32.66,25.27,23.33,36.22,33.84,44.8,
2014-02-27,31.72,32.71,61.39,62.83,48.63,16.09,25.17,12.77,21.5,39.56,34.75,31.38,45.34,44.56,47.1,
2014-02-28,25.06,18.64,53.8,59.12,41.7,19.82,19.67,9.14,7.72,30.11,24.45,27.99,32.7,34.47,44.43,
2014-03-01,22.24,23.54,21.28,33.86,18.09,6.25,13.21,6.28,5.83,26.05,12.33,18.74,25.39,26.57,46.8,
2014-03-02,18.71,20.68,17.88,27.62,16.92,7.21,13.6,8.86,7.54,13.85,14.19,16.87,14.17,27.01,16.83,
2014-03-03,16.7,26.31,17.9,27.73,15.47,5.57,13.54,8.07,4.41,21.31,13.26,16.77,19.42,27.45,25.65,
2014-03-04,17.27,20.58,17.51,26.43,16.51,3.94,13.01,8.24,4.73,19.72,11.23,17.17,18.6,24.85,32.9,
2014-03-05,15.41,30.04,22.74,26.41,26.4,16.72,12.35,13.84,10.43,17.47,19.26,17.46,16.58,29.02,11.18,
2014-03-06,13.74,39.82,23.7,25.31,27.2,21.85,11.79,8.54,9.12,22.64,19.01,14.75,13.77,21.31,12.39,
2014-03-07,13.23,30.05,21.51,22.03,24.79,17.0,14.3,11.62,12.19,22.73,20.16,16.22,11.62,31.16,13.9,
2014-03-08,15.84,26.29,21.45,26.25,31.54,18.99,7.65,10.49,6.87,29.24,16.02,15.24,12.93,20.33,23.19,25.3
2014-03-09,16.49,26.33,20.44,25.47,21.07,14.76,10.36,6.95,12.26,22.62,14.17,17.81,11.07,22.86,31.51,23.75
2014-03-10,24.97,27.53,26.23,37.51,24.6,12.36,14.03,12.86,10.83,33.87,17.26,21.61,24.55,37.49,24.07,26.76
2014-03-11,22.73,48.08,43.04,53.54,46.6,33.87,12.5,17.04,20.4,30.1,28.64,27.13,33.05,34.61,43.28,30.64
2014-03-12,27.89,35.42,32.84,56.69,44.11,22.44,10.85,14.25,19.57,37.57,19.86,27.23,31.47,29.66,55.52,42.95
2014-03-13,26.11,51.27,50.37,68.84,61.92,34.3,15.27,21.97,27.73,44.59,31.46,27.96,35.48,41.55,58.83,34.91
2014-03-14,28.45,62.55,72.41,69.2,78.73,30.62,18.53,26.42,33.65,44.81,51.47,41.31,45.59,46.42,59.62,35.63
2014-03-15,35.34,46.79,51.34,66.97,59.2,22.01,12.41,17.78,15.96,30.36,26.39,28.02,31.58,40.38,43.31,38.69
2014-03-16,25.46,26.1,16.52,42.89,27.22,15.58,7.95,6.56,7.34,23.43,9.56,20.62,29.99,18.78,34.48,36.22
2014-03-17,26.0,35.07,37.14,48.19,42.59,24.92,10.52,12.24,11.3,30.94,9.94,26.15,33.81,29.5,48.86,32.6
2014-03-18,24.53,53.2,42.36,58.11,48.81,25.03,16.67,9.88,15.23,35.36,,23.23,44.35,40.92,51.56,29.14
2014-03-19,32.96,46.26,40.27,56.89,38.59,25.83,12.36,9.48,16.1,29.95,,29.79,26.78,31.7,39.67,33.76
2014-03-20,23.1,50.19,43.47,53.24,45.57,22.12,13.02,9.07,18.53,28.17,,26.53,31.68,31.19,38.43,28.8
2014-03-21,28.16,42.58,47.55,56.98,42.85,10.71,17.74,6.96,9.58,28.62,,24.47,37.75,39.81,45.52,34.67
2014-03-22,24.2,61.34,48.5,65.51,42.33,13.7,15.62,8.46,11.25,35.32,,26.29,36.0,43.58,47.18,31.05
2014-03-23,24.87,48.44,30.31,45.0,27.12,11.2,12.29,10.19,11.5,25.93,,17.92,27.51,25.24,25.07,19.13
2014-03-24,18.65,38.96,18.24,39.33,26.69,16.9,9.28,9.34,5.68,25.86,,20.67,16.35,22.65,30.93,29.43
