Datum,Beograd Novi Beograd,Beograd Stari grad,Beograd Vracar,Beograd Mostar,Kamenicki Vis EMEP,Nis O.s. Sveti Sava,Kikinda
2014-01-01,,42.7,39.43,24.15,48.0,28.88,  
2014-01-02,,31.63,31.63,13.25,58.2,30.85,37.275
2014-01-03,,17.75,16.05,8.13,59.53,18.5,18.25
2014-01-04,,20.8,19.05,8.33,69.58,14.48,23.55
2014-01-05,,37.6,30.68,18.03,65.65,11.58,38.675
2014-01-06,,24.95,16.85,8.15,61.9,14.78,32.7
2014-01-07,,24.4,13.75,8.63,65.1,13.68,26.05
2014-01-08,4.6,7.43,3.0,6.73,61.08,12.85,24.55
2014-01-09,7.38,8.1,6.73,7.15,70.8,9.95,29.15
2014-01-10,15.3,4.68,4.43,6.88,65.48,11.38,21.425
2014-01-11,30.48,24.13,16.93,9.68,63.2,10.33,40.25
2014-01-12,21.38,27.63,16.03,8.85,59.58,10.85,35.9
2014-01-13,21.28,19.95,18.1,7.88,70.78,16.83,39.55
2014-01-14,50.23,38.03,38.28,14.23,69.03,21.65,46.9
2014-01-15,49.4,42.78,38.85,24.88,61.15,20.93,45.075
2014-01-16,21.63,16.53,14.55,8.23,48.05,9.33,26.65
2014-01-17,11.85,8.18,16.1,8.28,63.03,25.8,27.325
2014-01-18,53.85,36.5,44.03,21.28,73.68,39.38,25.325
2014-01-19,65.33,46.4,42.4,28.35,69.93,15.43,42.7
2014-01-20,57.68,45.35,32.05,20.4,69.13,31.28,49.325
2014-01-21,44.75,28.45,14.8,9.4,68.83,11.63,32.35
2014-01-22,6.78,5.98,3.93,6.83,64.98,5.53,9.1
2014-01-23,6.88,5.95,4.05,7.15,67.03,17.3,7.95
2014-01-24,21.7,19.33,12.5,11.75,64.13,20.75,35.325
2014-01-25,28.6,42.5,17.73,14.63,61.4,29.7,52.45
2014-01-26,55.73,71.65,42.48,29.95,68.35,38.25,75.675
2014-01-27,55.5,64.38,39.03,27.25,77.2,40.53,73.7
2014-01-28,64.75,58.03,49.83,34.3,73.38,48.775,74.9
2014-01-29,66.0,65.0,50.28,38.43,74.8,50.2,63.95
2014-01-30,60.95,56.98,52.45,37.48,75.0,51.275,61.875
2014-01-31,70.45,66.83,62.88,53.18,70.2,55.5,67.725
2014-02-01,65.68,61.5,60.0,51.55,70.23,55.75,62.425
2014-02-02,74.2,66.33,60.28,54.45,69.6,58.45,67.275
2014-02-03,77.13,66.63,57.98,50.33,73.18,55.4,65.775
2014-02-04,72.25,69.25,58.83,48.8,80.65,61.18,67.825
2014-02-05,66.68,63.53,55.85,38.85,73.65,49.63,64.425
2014-02-06,60.4,56.5,44.9,27.75,67.75,40.4,58.325
2014-02-07,51.33,27.15,25.9,10.34,66.13,42.725,51.425
2014-02-08,30.85,18.88,22.63,10.25,69.13,42.55,32.875
2014-02-09,59.53,43.33,35.58,18.48,65.45,34.025,53.55
2014-02-10,59.18,47.23,39.33,22.1,80.18,39.6,64.4
2014-02-11,70.03,51.93,50.15,37.0,77.98,41.88,53.475
2014-02-12,64.9,52.25,46.0,25.73,71.8,47.68,55.625
2014-02-13,54.28,46.3,35.98,24.65,63.73,31.18,60.825
2014-02-14,36.75,46.45,29.2,19.0,74.78,38.45,52.525
2014-02-15,65.95,51.13,43.03,29.85,84.63,41.5,57.875
2014-02-16,50.68,41.7,36.83,9.18,82.0,43.9,57.4
2014-02-17,35.98,41.9,35.03,9.6,69.75,45.25,47.525
2014-02-18,17.28,25.48,17.43,10.93,76.3,19.45,55.375
2014-02-19,44.65,31.72,20.05,13.1,70.73,44.85,42.525
2014-02-20,18.88,12.95,14.7,9.58,61.75,31.5,29.025
2014-02-21,27.93,33.5,25.78,13.08,57.45,23.0,37.2
2014-02-22,27.45,36.5,25.9,16.3,44.18,19.4,36.3
2014-02-23,29.4,43.25,16.45,14.28,35.73,19.9,27.7
2014-02-24,21.35,28.53,16.63,11.2,29.8,42.88,33.375
2014-02-25,38.08,41.05,34.55,23.25,,38.43,41.075
2014-02-26,32.05,48.23,34.15,25.08,,38.88,55.05
2014-02-27,34.85,46.9,35.3,23.43,,37.38,57.675
2014-02-28,55.28,55.85,38.85,19.63,,53.4,64.55
2014-03-01,44.75,54.23,39.25,26.3,81.4,43.63,68.2
2014-03-02,32.8,38.75,28.38,24.85,48.2,30.88,49.125
2014-03-03,36.48,42.1,33.55,18.88,50.73,27.43,51.15
2014-03-04,36.28,38.25,29.13,20.28,44.63,27.95,46.1
2014-03-05,22.8,26.53,18.85,17.2,37.15,24.33,30.325
2014-03-06,7.63,11.58,4.48,7.48,59.5,17.85,31.825
2014-03-07,9.45,19.1,7.23,8.73,49.08,27.35,41.825
2014-03-08,30.8,49.5,26.95,21.33,70.18,30.45,54.55
2014-03-09,28.83,39.65,25.6,15.55,77.83,45.45,65.1
2014-03-10,53.13,67.73,55.5,38.98,92.65,56.6,73.425
2014-03-11,60.8,77.55,48.6,43.7,92.03,57.53,80
2014-03-12,68.28,91.3,53.5,44.7,117.13,75.23,85.575
2014-03-13,51.43,82.23,41.3,33.1,115.4,65.88,84.575
2014-03-14,60.05,96.13,46.68,57.73,114.13,65.9,103.825
2014-03-15,63.2,94.35,47.53,41.18,113.28,75.98,99.9
2014-03-16,48.6,66.53,38.3,28.78,85.5,59.23,64.1
2014-03-17,49.9,67.73,42.6,34.45,88.08,59.73,73.475
2014-03-18,52.33,78.53,50.4,37.63,104.2,61.1,70
2014-03-19,39.8,49.53,43.6,18.78,101.93,65.4,56.575
2014-03-20,40.3,67.4,30.23,23.3,89.55,44.05,82.025
2014-03-21,55.7,65.2,48.7,32.7,92.55,57.85,82.15
2014-03-22,49.13,88.13,49.25,43.48,105.43,73.2,100.8
2014-03-23,56.88,75.53,61.08,44.5,96.58,69.38,77.15
2014-03-24,42.73,65.83,64.78,38.68,83.43,54.9,66.675
2014-03-25,46.03,70.05,48.45,27.8,77.53,39.78,70.9
2014-03-26,57.68,66.4,37.73,35.4,80.23,28.78,79.125
2014-03-27,56.93,61.88,44.48,31.6,82.5,46.49,80.35
2014-03-28,55.25,74.9,43.5,33.33,101.83,58.0,71.475
2014-03-29,53.65,75.53,36.23,33.8,94.53,60.18,85.875
2014-03-30,69.18,100.5,48.25,63.43,100.83,66.25,103.875
2014-03-31,60.525,102.25,38.675,44.5,120.225,74.7,112.05
2014-04-01,74.975,100.65,49.95,49.375,119.575,83.225,98.65
2014-04-02,72.65,100.175,57.15,63.8,112.625,75.225,110.1
2014-04-03,61.475,88.15,54.4,50.25,81.775,71.35,96.375
2014-04-04,59.35,82.825,46.9,46.875,100.475,74.575,98.55
2014-04-05,54.075,69.375,61.95,36.75,90.075,67.05,81.675
2014-04-06,50.875,66.875,54.125,40.575,57.575,42.25,73.675
