Datum,Beocin_Centar,Beograd_N.Beograd,Beograd_Mostar,Beograd_Vracar,Kamenicki Vis - EMEP,Kosjeric,Kragujevac,Nis_IZJZ Nis,Novi Sad_SPENS,Uzice,Valjevo
2014-01-01,50.34,30.42,33.23,43.41,22.3,51.48,,49.76,32.9,94.0,143.51
2014-01-02,86.39,50.13,51.85,63.56,28.5,81.72,,70.24,50.56,102.3,245.24
2014-01-03,106.23,93.38,99.09,151.5,26.6,93.02,,116.7,70.69,158.3,279.1
2014-01-04,70.15,86.5,104.02,103.83,18.9,100.54,,139.46,58.59,262.5,332.04
2014-01-05,19.02,18.92,26.56,39.58,17.8,144.77,,196.22,22.57,312.2,102.66
2014-01-06,59.15,35.13,34.72,51.33,20.1,85.73,,,40.29,382.0,124.05
2014-01-07,75.94,59.19,52.84,77.65,17.4,58.01,,,34.42,222.8,118.51
2014-01-08,83.66,54.28,48.46,66.25,24.3,67.8,,,44.17,114.6,165.19
2014-01-09,62.43,74.86,74.04,93.84,20.5,91.38,105.5,,27.92,182.2,176.44
2014-01-10,70.62,64.67,72.41,92.12,15.1,80.99,73.4,,55.4,187.6,207.1
2014-01-11,32.17,70.73,95.53,116.57,14.7,56.04,110.8,,30.66,221.2,169.26
2014-01-12,41.21,64.41,71.68,81.06,24.08,146.93,89.1,,34.31,137.9,208.85
2014-01-13,56.6,82.08,103.11,104.22,17.29,93.96,102.4,,28.06,102.1,158.35
2014-01-14,52.55,52.38,55.93,57.62,21.7,111.31,75.3,,49.34,128.8,235.33
2014-01-15,38.55,34.62,35.92,45.34,11.91,91.5,37.3,,35.24,242.8,147.59
2014-01-16,37.79,49.89,51.59,67.89,11.7,45.85,68.7,,37.22,254.6,119.12
2014-01-17,17.17,63.7,,58.44,9.57,76.12,109.3,,33.64,87.9,211.05
2014-01-18,14.41,20.97,18.66,34.43,12.33,122.63,130.5,,18.64,166.8,242.09
2014-01-19,17.16,15.41,20.82,30.15,13.49,49.13,51.0,,17.1,,102.89
2014-01-20,14.78,17.54,26.18,30.84,20.55,40.67,48.6,,17.88,,59.78
2014-01-21,25.87,28.98,33.27,43.47,19.91,66.97,37.1,74.6,25.38,,89.23
2014-01-22,28.54,22.43,23.25,37.25,6.37,34.62,34.7,64.46,19.85,,66.82
2014-01-23,43.39,38.85,47.11,46.85,10.34,45.95,64.0,89.97,30.63,,91.66
2014-01-24,30.09,28.25,32.62,39.63,9.15,58.62,47.3,55.77,27.12,,74.64
2014-01-25,47.5,36.65,30.44,42.61,9.97,26.62,27.6,22.56,38.79,,56.84
2014-01-26,66.49,57.84,54.66,68.13,22.51,48.54,62.3,36.75,57.04,,75.55
2014-01-27,88.6,96.15,97.7,126.26,35.56,65.68,,86.42,73.74,,100.27
2014-01-28,90.08,82.2,85.61,103.32,,66.74,104.6,112.77,70.24,,159.56
2014-01-29,74.29,48.09,60.78,67.69,34.54,60.09,64.6,63.08,55.94,,107.42
2014-01-30,57.56,40.14,48.14,53.46,32.23,105.1,66.3,72.69,42.58,,144.06
2014-01-31,31.27,27.79,29.5,53.46,,45.39,49.7,41.35,26.95,,80.1
2014-02-01,31.75,23.18,19.97,29.84,23.37,41.68,42.9,35.95,22.0,,62.16
2014-02-02,27.25,19.81,17.88,25.68,19.59,52.47,40.5,49.11,18.71,,36.92
2014-02-03,17.38,16.78,22.45,25.27,15.54,76.99,41.9,80.18,16.84,,42.83
2014-02-04,33.35,23.69,32.22,33.98,14.83,79.51,42.2,49.9,22.37,,144.14
2014-02-05,80.19,31.86,43.35,44.84,20.48,104.17,87.6,88.85,33.34,,271.0
2014-02-06,70.9,59.46,69.92,81.71,17.63,128.86,64.8,110.53,48.68,,224.53
2014-02-07,75.75,78.87,82.59,74.72,10.62,85.75,82.5,94.97,56.64,,192.78
2014-02-08,70.34,57.34,57.35,46.83,10.3,162.9,80.9,62.47,53.21,,119.94
2014-02-09,16.01,31.36,44.93,38.87,9.3,152.07,48.1,49.41,17.48,,95.57
2014-02-10,20.01,16.0,24.77,,,28.7,37.7,79.89,12.82,,
2014-02-11,27.68,35.39,39.35,45.77,12.27,44.08,42.7,116.17,22.09,86.28,64.03
2014-02-12,33.25,24.02,35.57,33.95,12.27,46.67,39.5,56.95,23.44,10.42,52.16
2014-02-13,31.74,27.13,35.86,40.06,,31.5,47.7,69.54,28.19,91.17,79.63
2014-02-14,40.2,38.99,43.56,39.12,11.43,63.87,50.3,85.21,32.71,35.61,111.47
2014-02-15,23.66,28.64,34.93,38.49,8.64,59.35,50.8,64.62,20.48,79.63,139.66
2014-02-16,34.51,37.79,,38.89,14.74,70.24,62.2,101.75,33.69,44.35,141.3
2014-02-17,46.74,42.65,,52.99,16.01,47.16,63.7,91.26,37.33,63.89,119.73
2014-02-18,79.21,69.56,71.17,78.41,23.85,78.35,131.9,128.3,44.88,73.4,152.73
2014-02-19,123.83,59.13,62.15,60.35,24.39,80.28,111.8,83.41,83.81,107.32,171.09
2014-02-20,67.93,67.94,64.93,75.79,24.16,80.42,84.3,70.21,51.92,124.06,97.42
2014-02-21,85.92,54.88,53.29,69.98,31.62,72.85,72.2,81.58,58.68,119.65,155.13
2014-02-22,81.84,54.51,52.51,53.04,13.18,57.7,54.5,68.02,69.44,104.58,127.92
2014-02-23,32.17,25.76,23.86,28.76,,27.49,33.7,27.13,24.41,44.97,58.49
2014-02-24,53.66,32.38,37.16,44.02,,36.11,40.6,34.58,38.44,63.41,77.74
2014-02-25,44.88,32.97,34.19,40.57,,45.79,50.3,40.94,36.11,91.19,97.81
2014-02-26,59.67,45.32,57.37,59.03,,59.59,73.7,65.47,31.45,105.78,121.1
2014-02-27,98.05,68.89,76.25,71.14,,65.51,87.6,92.4,52.51,115.2,129.98
2014-02-28,,44.09,55.2,54.83,,64.47,75.5,70.53,43.58,107.46,131.38
2014-03-01,,35.84,39.22,48.35,13.53,54.91,57.0,50.29,34.22,93.27,73.62
2014-03-02,,17.81,19.69,25.38,4.32,23.11,22.1,29.47,23.85,46.62,41.98
2014-03-03,,13.74,18.07,20.17,3.27,43.42,22.5,45.96,19.24,85.52,60.99
2014-03-04,,10.69,12.34,16.7,2.24,30.12,19.7,23.76,9.82,49.23,79.41
2014-03-05,,25.52,27.35,35.12,2.07,12.8,19.7,21.86,30.71,27.58,55.82
2014-03-06,47.03,42.22,42.28,48.43,2.75,22.43,31.6,,40.51,32.18,64.08
