Datum,Beograd Novi Beograd,Beograd Stari grad,Beograd Mostar,Beograd Vracar,Beograd Zeleno brdo,Bor Gradski park,Bor Krivelj,Cacak,Kikinda,Kostolac,Kraljevo,Nis O.s. Sveti Sava,Novi Sad SPENS,Novi Sad Liman,Popovac,Smederevo Carina,Uzice,Valjevo
2014-01-01,,8.66,17.68,13.35,22.24,40.14,10.47,13.21,4.97,13.68,7.45,8.59,9.75,15.83,6.94,,,
2014-01-02,,9.32,21.41,16.85,27.81,15.82,11.78,8.65,6.02,12.29,7.23,10.15,22.45,27.05,6.59,,,
2014-01-03,,13.95,31.96,34.34,47.82,776.75,191.77,9.11,7.19,17.67,7.19,10.16,11.79,18.66,6.93,,,
2014-01-04,,13.28,31.6,44.3,43.5,2004.08,284.65,10.93,6.31,17.07,7.34,9.84,12.62,19.83,7.13,,,
2014-01-05,,7.22,19.71,23.75,17.98,72.41,70.01,11.58,16.11,25.45,7.07,14.97,18.5,25.34,10.56,,,
2014-01-06,,5.19,9.87,12.63,16.22,339.33,174.0,15.28,6.68,21.87,21.4,12.41,4.44,10.91,28.67,,,16.49
2014-01-07,,7.0,15.2,11.8,22.8,57.84,83.91,10.95,21.98,17.3,6.39,8.65,19.68,26.96,5.5,6.85,,18.48
2014-01-08,,4.4,7.65,6.33,35.21,127.5,553.13,16.88,4.11,2.95,8.19,9.12,3.97,15.07,5.3,5.02,,27.88
2014-01-09,,5.43,14.55,13.05,26.58,192.15,138.84,,1.3,55.4,6.84,9.17,1.82,8.69,5.31,7.47,,18.21
2014-01-10,,11.51,15.28,19.89,43.59,85.08,95.04,,3.1,11.3,10.57,13.88,4.45,11.95,8.59,9.34,9.06,19.43
2014-01-11,,26.0,35.03,38.29,43.83,57.15,109.02,,13.36,17.83,7.4,12.19,17.34,25.2,7.44,8.39,2.03,24.1
2014-01-12,,14.25,27.31,35.42,34.41,19.99,17.33,,3.88,11.59,7.18,13.06,6.92,14.12,5.22,7.77,2.48,13.71
2014-01-13,,16.02,28.82,26.41,28.12,130.73,35.05,,7.59,10.22,8.29,11.78,14.42,18.84,6.13,8.59,2.92,19.59
2014-01-14,30.55,17.72,28.88,26.12,27.53,611.63,42.59,,10.46,14.78,11.78,18.29,19.64,27.27,10.5,14.51,4.15,20.79
2014-01-15,23.32,10.37,28.42,21.2,19.46,386.97,62.99,,12.43,19.8,23.22,12.97,14.37,19.87,8.85,9.31,3.96,19.6
2014-01-16,22.13,11.42,23.07,14.72,,45.69,60.4,,2.29,18.76,8.85,10.76,16.97,27.11,7.45,7.2,2.05,20.36
2014-01-17,22.57,14.7,,24.43,,1137.53,282.87,,5.96,19.05,8.6,8.03,13.59,22.49,6.09,6.05,4.08,24.79
2014-01-18,8.83,11.05,36.0,19.28,,111.04,112.8,7.66,5.89,18.48,7.45,9.48,4.93,12.89,7.45,6.22,3.9,25.75
2014-01-19,4.38,5.54,22.73,16.71,,242.36,68.15,6.22,7.51,19.56,6.63,12.55,15.57,19.57,8.52,8.26,3.2,23.22
2014-01-20,6.81,4.81,29.54,13.7,,121.06,21.63,6.53,11.43,11.9,13.67,11.74,11.46,15.84,8.72,7.86,2.6,25.41
2014-01-21,15.48,8.45,13.84,11.76,,45.75,8.72,5.08,16.14,9.67,19.82,9.51,9.05,14.2,6.9,8.13,2.8,20.43
2014-01-22,10.6,3.24,14.77,16.57,,27.26,55.88,15.99,4.74,11.83,11.28,8.42,6.15,11.84,6.4,7.55,1.46,23.05
2014-01-23,9.43,4.76,17.32,20.44,,86.33,21.97,6.0,6.07,13.4,7.42,7.83,5.36,12.71,7.19,10.05,1.77,23.48
