Datum,Beograd Stari grad,Beograd Vracar,Bor Institut RIM,Cacak,Kamenicki Vis EMEP,Kikinda Centar,Kostolac,Krusevac,Novi Sad SPENS,Nis IZJZ Nis,Nis O.s. Sveti Sava,Sremska Mitrovica,Sabac,Smederevo Carina,Uzice,Valjevo,Zajecar
2015-01-01,0.81,0.77,,0.75,0.74,1.65,1.3,4.40,0.60,2.79,2.09,1.62,1.58,3.87,3.45,,1.00
2015-01-02,1.79,2.02,,2.48,0.71,0.66,1.19,4.40,1.65,3.75,,2.03,2.44,2.87,3.82,, 
2015-01-03,2.05,2.35,,3.73,0.80,0.72,1.11,2.74,2.00,6.72,,2.61,3.81,2.18,3.87,,2.86
2015-01-04,0.82,1.25,,3.96,0.71,0.69,0.69,2.83,1.02,6.46,,2.37,3.34,1.60,4.75,,3.52
2015-01-05,0.24,0.33,,0.66,0.65,0.39,0.09,,0.84,0.62,,0.61,0.24,0.78,2.00,,0.93
2015-01-06,0.28,0.33,,0.63,0.69,0.53,0.14,0.96,0.19,0.59,,1.44,1.09,0.73,1.55,,2.34
2015-01-07,0.84,1.27,,1.89,0.66,0.56,0.55,2.63,0.24,2.02,,1.30,0.98,1.54,1.68,,2.19
2015-01-08,1.26,1.51,,2.69,0.57,0.55,0.56,2.98,0.77,2.81,,1.70,1.89,1.29,3.43,,2.42
2015-01-09,1.38,1.44,,4.41,0.72,0.73,0.9,2.18,2.06,6.48,6.72,4.72,4.64,,3.95,,2.24
2015-01-10,1.87,1.51,,3.90,0.77,0.97,0.96,3.86,4.23,9.58,9.61,8.04,11.69,1.97,2.38,,2.42
2015-01-11,2.34,2.22,,2.97,0.75,1.11,0.94,2.06,2.72,8.63,8.82,7.30,11.39,2.07,2.24,5.83,3.15
2015-01-12,0.53,0.88,0.41,1.11,0.74,0.43,0.79,2.01,0.98,3.39,2.81,2.52,2.11,1.09,1.38,4.30,3.81
2015-01-13,1.79,1.58,1.68,2.09,0.74,0.60,0.95,4.34,1.81,3.97,4.03,2.97,8.46,1.06,4.33,4.06,4.98
2015-01-14,2.37,4.32,1.76,3.07,0.70,0.93,2.01,6.17,2.37,3.99,3.89,8.22,9.46,3.38,5.31,2.81,12.27
2015-01-15,2.05,4.24,1.46,2.26,0.90,0.74,1.99,6.62,1.93,3.98,3.60,7.92,7.22,3.32,5.00,3.15,9.39
2015-01-16,0.98,0.72,1.92,2.04,0.74,0.42,0.54,6.99,0.53,4.21,4.37,1.59,3.45,1.20,5.06,4.91,3.90
2015-01-17,0.92,0.87,1.99,2.45,0.76,0.36,0.24,6.25,0.58,3.88,4.36,2.74,3.77,1.10,4.85,6.49,4.07
2015-01-18,1.11,1.72,1.58,2.53,0.78,1.17,0.47,4.93,0.47,3.41,2.86,2.61,2.14,1.36,4.15,7.02,3.64
2015-01-19,1.59,1.80,1.82,1.51,0.83,0.92,0.64,2.41,0.81,2.93,3.68,1.74,1.51,1.68,2.46,3.69,10.54
2015-01-20,0.79,0.93,1.73,1.68,0.81,0.71,0.61,3.55,0.57,,5.41,1.94,2.22,1.55,2.61,5.07,10.93
2015-01-21,1.01,1.09,1.05,3.06,0.87,0.63,0.21,3.31,0.67,,5.11,1.97,2.03,0.86,2.98,5.00,11.33
2015-01-22,0.91,1.06,0.57,3.30,1.13,0.77,0.36,1.29,0.55,,0.88,1.80,1.48,0.85,3.63,4.26,1.45
2015-01-23,0.82,1.17,1.20,1.55,1.10,0.83,0.41,1.29,0.44,,1.46,1.46,1.26,2.55,3.33,4.14,2.47
2015-01-24,0.85,1.07,1.23,0.93,1.02,0.70,0.37,1.40,0.48,,1.42,1.39,0.58,2.36,1.10,1.21,2.60
2015-01-25,0.36,0.45,0.42,0.48,1.01,0.55,0.29,1.24,0.35,,0.69,0.74,0.31,0.86,0.79,1.30,1.44
2015-01-26,0.63,0.76,0.45,0.50,0.99,0.91,0.42,1.14,0.46,,0.72,1.13,0.63,1.05,0.98,1.35,1.77
2015-01-27,0.66,0.70,0.54,0.72,1.23,0.87,0.59,0.93,0.46,,1.00,0.97,1.01,1.07,1.24,1.58,1.94
2015-01-28,0.50,0.48,0.61,0.76,1.27,0.60,0.36,0.95,0.54,,0.93,1.07,1.71,1.52,1.16,1.33,1.21
2015-01-29,0.88,1.18,0.45,1.87,1.01,0.66,0.62,5.01,0.71,,3.15,1.96,3.67,1.53,2.95,4.18,1.73
2015-01-30,0.84,1.09,0.67,1.93,0.91,0.61,0.24,5.31,0.68,,3.77,1.91,3.47,0.85,3.81,3.98,1.92
2015-01-31,0.65,1.02,0.73,1.36,0.77,0.67,0.25,2.13,0.43,,1.32,1.25,3.00,1.78,2.06,3.76,3.28
2015-02-01,0.67,1.08,0.75,1.40,0.82,1.03,0.24,2.44,0.42,,1.30,1.21,3.03,1.75,2.85,3.98,3.73
2015-02-02,0.73,0.81,0.67,1.18,0.93,1.04,0.52,1.58,1.10,,1.05,3.45,2.28,1.21,2.87,2.84,1.75
