Datum,Beograd_Mostar,Beograd_N.Beograd,Beograd_Stari grad,Beograd_Vracar,Beograd_Zeleno brdo,Bor_Institut RIM,Cacak_Ins. za vocarstvo,Kikinda,Kostolac,Kragujevac,Nis_O.s. Sv. Sava,Obrenovac_Centar,Sabac,Smederevo_Carina,S. Mitrovica,Uzice,Valjevo
2015-01-01,100.35,18.49,35.24,26.06,27.96,,6.56,11.34,17.6,,45.84,31.33,35.43,35.74,11.05,50.5,29.47
2015-01-02,53.82,34.1,45.12,32.51,30.51,,13.91,9.32,18.3,,86.05,33.96,45.67,23.13,18.05,28.58,37.31
2015-01-03,51.74,35.1,46.88,33.31,28.23,,13.82,10.26,19.25,,99.83,38.05,46.33,20.78,24.39,37.1,38.01
2015-01-04,87.41,20.25,24.74,23.67,19.02,,7.63,7.64,7.38,,46.87,17.1,23.28,10.0,21.29,28.74,31.25
2015-01-05,94.89,17.8,17.74,24.39,19.61,,6.64,7.72,4.81,,20.14,16.46,16.34,10.89,20.17,29.75,45.56
2015-01-06,41.53,24.34,14.92,19.58,15.01,,6.57,9.16,6.52,,25.09,22.59,24.8,11.0,15.44,29.6,35.46
2015-01-07,50.66,27.59,23.04,20.13,14.6,,10.94,7.29,12.85,,30.73,9.75,29.54,12.51,10.04,41.84,18.17
2015-01-08,63.16,53.54,57.41,32.41,21.59,25.07,14.25,6.85,11.82,,63.73,33.36,38.97,14.4,19.02,51.08,36.48
2015-01-09,57.33,37.07,61.9,42.28,33.38,40.85,19.01,10.81,14.85,,81.79,43.73,51.84,22.56,24.19,48.96,49.23
2015-01-10,56.94,37.9,47.5,35.31,29.81,26.73,10.18,8.55,15.37,,61.32,36.72,45.99,15.8,21.27,23.68,33.65
2015-01-11,66.17,32.73,32.46,26.8,17.87,41.57,4.95,7.38,9.54,29.53,32.77,21.14,26.38,11.01,11.84,21.65,19.89
2015-01-12,73.12,26.0,34.17,28.16,23.7,43.43,5.33,6.4,12.69,44.36,39.44,35.07,29.27,8.52,17.89,24.85,33.52
2015-01-13,71.73,75.42,68.75,49.0,21.26,49.02,10.96,10.11,15.37,44.61,64.81,49.8,59.5,8.12,22.59,45.04,34.07
2015-01-14,79.79,75.37,77.28,64.52,41.56,61.7,12.01,11.92,23.32,58.88,57.72,47.9,54.86,17.09,21.92,49.3,30.85
2015-01-15,43.59,28.52,41.06,28.42,22.22,36.77,9.84,8.81,14.48,52.86,50.25,25.67,51.37,12.29,16.59,51.18,27.53
2015-01-16,56.87,40.83,50.48,28.36,15.91,47.71,12.02,6.31,9.54,52.56,63.48,35.91,54.24,9.88,20.76,51.28,29.97
2015-01-17,57.98,28.96,51.43,28.58,16.4,46.26,9.8,6.47,7.78,61.44,34.38,24.56,58.36,8.44,21.22,43.0,33.83
2015-01-18,38.2,37.91,36.48,28.1,26.4,47.08,8.47,12.57,11.12,61.2,33.52,20.37,27.8,7.13,12.14,40.65,21.05
2015-01-19,27.2,25.36,32.88,21.9,26.96,45.16,5.65,8.84,15.07,33.97,31.48,21.4,22.67,7.06,10.31,21.5,11.08
2015-01-20,30.95,30.7,33.25,19.9,14.68,40.68,8.13,8.84,11.09,40.21,41.78,18.86,26.62,6.93,10.76,16.12,11.67
2015-01-21,28.57,25.82,31.33,25.08,21.51,21.88,7.23,8.96,6.0,49.98,20.89,16.6,21.6,5.83,9.87,20.97,14.66
2015-01-22,32.94,27.87,28.8,17.92,14.15,16.2,7.07,9.7,6.94,33.08,16.85,18.33,25.32,4.95,10.5,30.65,16.11
