Datum,Beograd_Mostar,Kamenicki Vis - EMEP,Kikinda
2015-01-01,12.59,87.59,54.60
2015-01-02,17.23,84.83,48.23
2015-01-03,3.80,88.40,44.09
2015-01-04,15.24,83.78,41.93
2015-01-05,19.85,6.93,43.75
2015-01-06,14.56,3.32,38.61
2015-01-07,27.73,3.32,46.95
2015-01-08,6.30,3.26,44.60
2015-01-09,4.88,3.30,34.78
2015-01-10,6.90,3.31,30.51
2015-01-11,12.92,3.30,43.95
2015-01-12,18.16,3.29,44.63
2015-01-13,1.84,3.12,28.11
2015-01-14,1.91,1.70,24.48
2015-01-15,8.15,0.48,43.84
2015-01-16,4.88,0.11,43.71
2015-01-17,14.92,0.01,43.75
2015-01-18,11.12,,27.54
2015-01-19,1.05,,3.40
2015-01-20,1.71,,6.50
2015-01-21,2.69,,9.11
2015-01-22,3.01,,7.65
2015-01-23,10.01,,3.40
2015-01-24,1.53,,3.49
2015-01-25,2.58,,3.40
2015-01-26,3.81,,13.32
2015-01-27,1.67,,19.45
2015-01-28,4.79,,26.50
2015-01-29,4.86,,34.93
2015-01-30,16.58,,38.81
2015-01-31,19.81,,53.76
2015-02-01,9.61,,24.96
2015-02-02,3.72,,17.50
2015-02-03,9.77,,39.66
2015-02-04,11.81,,37.61
2015-02-05,5.90,,29.39
2015-02-06,30.63,,28.28
2015-02-07,9.58,,36.09
2015-02-08,24.18,,55.69
2015-02-09,26.61,79.20,60.93
2015-02-10,17.84,81.58,41.48
2015-02-11,7.90,86.45,25.04
2015-02-12,21.40,94.51,63.56
2015-02-13,20.40,99.06,55.70
2015-02-14,6.41,106.75,62.91
2015-02-15,32.63,105.38,66.11
2015-02-16,25.51,84.85,56.76
2015-02-17,32.98,76.66,45.78
2015-02-18,28.17,82.38,59.20
2015-02-19,21.09,96.21,44.60
2015-02-20,17.61,116.25,61.30
2015-02-21,28.88,114.75,70.05
2015-02-22,26.68,92.31,51.20
2015-02-23,10.67,73.79,43.01
2015-02-24,12.29,74.04,42.84
2015-02-25,8.56,54.55,9.67
2015-02-26,2.59,74.09,13.81
2015-02-27,3.59,66.30,31.34
2015-02-28,2.24,58.75,29.16
2015-03-01,7.25,80.13,33.94
2015-03-02,12.69,84.60,60.13
2015-03-03,28.65,84.15,61.46
2015-03-04,19.65,92.98,54.25
2015-03-05,12.34,88.56,39.69
2015-03-06,12.59,83.26,53.29
2015-03-07,17.62,80.31,59.10
2015-03-08,22.61,80.08,67.34
2015-03-09,30.69,82.66,67.00
2015-03-10,20.06,92.74,77.20
2015-03-11,20.68,92.31,73.81
2015-03-12,14.71,81.90,30.60
2015-03-13,,, 
2015-03-14,,, 
2015-03-15,,, 
2015-03-16,,81.53,57.31
2015-03-17,,92.81,48.93
2015-03-18,,95.14,80.21
2015-03-19,,94.29,73.23
2015-03-20,38.73,89.05,79.63
2015-03-21,33.33,107.75,97.20
2015-03-22,54.31,102.64,79.63
2015-03-23,,92.30,80.14
2015-03-24,23.49,83.44,70.70
2015-03-25,25.68,74.73,80.98
2015-03-26,37.35,83.53,72.80
2015-03-27,,76.76,61.41
2015-03-28,8.61,69.79,48.83
2015-03-29,22.68,71.21,77.88
2015-03-30,13.88,78.46,61.06
2015-03-31,21.38,97.29,77.49
2015-04-01,26.43,88.74,79.24
2015-04-02,23.64,,83.46
2015-04-03,33.35,89.96,70.89
2015-04-04,38.13,105.50,90.30
2015-04-05,32.55,106.88,81.94
2015-04-06,33.46,92.38,75.26
2015-04-07,31.54,78.76,71.63
2015-04-08,37.75,100.70,80.99
2015-04-09,28.51,91.80,78.59
2015-04-10,45.55,109.00,94.78
2015-04-11,58.54,124.38,106.54
2015-04-12,61.53,135.88,113.03
2015-04-13,41.60,125.63,92.56
2015-04-14,41.00,118.63,86.55
2015-04-15,28.03,122.13,98.04
2015-04-16,37.91,128.25,109.21
2015-04-17,37.06,125.75,100.50
2015-04-18,12.28,117.38,62.98
2015-04-19,37.04,100.83,86.24
2015-04-20,33.89,110.13,91.24
2015-04-21,36.94,107.75,90.48
2015-04-22,50.79,117.25,90.05
2015-04-23,41.29,128.38,89.90
2015-04-24,52.59,133.13,109.35
2015-04-25,40.20,120.50,105.28
2015-04-26,38.18,117.13,105.88
2015-04-27,27.93,123.25,106.04
2015-04-28,48.94,113.63,79.65
2015-04-29,,90.89,50.04
2015-04-30,,106.20,94.40
2015-05-01,32.29,104.40,96.44
2015-05-02,25.21,100.36,66.69
2015-05-03,32.10,95.98,86.29
2015-05-04,17.49,95.35,86.43
2015-05-05,17.67,95.53,94.11
2015-05-06,27.08,98.06,88.38
2015-05-07,32.85,105.25,84.73
2015-05-08,60.89,135.13,107.85
2015-05-09,67.29,136.75,115.25
2015-05-10,52.56,106.25,96.38
2015-05-11,50.89,91.98,90.05
2015-05-12,46.70,112.75,99.75
2015-05-13,34.35,125.38,118.38
2015-05-14,38.14,124.38,98.33
2015-05-15,23.70,112.75,76.10
2015-05-16,36.09,106.96,95.99
2015-05-17,52.83,121.75,112.91
2015-05-18,52.93,122.13,101.35
2015-05-19,35.86,106.20,107.36
2015-05-20,27.30,117.75,100.78
2015-05-21,28.50,115.88,78.98
2015-05-22,17.98,108.50,42.98
2015-05-23,33.25,97.40,93.89
2015-05-24,17.08,98.21,78.94
2015-05-25,8.98,109.90,53.41
2015-05-26,6.93,109.90,67.25
2015-05-27,7.32,81.64,41.00
2015-05-28,17.59,69.76,70.19
2015-05-29,43.06,116.75,103.13
2015-05-30,64.48,126.88,128.88
2015-05-31,69.56,125.50,124.00
2015-06-01,37.91,115.88,115.63
2015-06-02,44.58,119.38,115.25
2015-06-03,60.76,119.63,119.13
2015-06-04,52.75,122.63,125.38
2015-06-05,28.91,118.75,101.59
2015-06-06,42.06,118.13,121.13
2015-06-07,56.23,128.63,112.88
2015-06-08,43.38,129.88,121.88
2015-06-09,57.19,131.63,105.84
2015-06-10,22.14,131.50,98.70
2015-06-11,35.99,119.38,98.56
2015-06-12,31.78,124.13,117.75
2015-06-13,42.38,125.25,112.63
2015-06-14,,122.75,109.13
2015-06-15,,122.63,100.40
2015-06-16,23.79,104.64,88.51
2015-06-17,28.75,97.89,91.50
2015-06-18,23.76,69.76,93.75
2015-06-19,39.69,130.63,103.68
2015-06-20,30.79,123.93,90.19
2015-06-21,32.30,91.09,90.43
2015-06-22,46.04,112.75,91.14
2015-06-23,43.01,113.13,97.98
2015-06-24,36.63,107.75,83.89
2015-06-25,19.61,96.75,83.01
2015-06-26,,97.19,82.28
2015-06-27,,110.38,106.73
2015-06-28,,110.63,100.39
2015-06-29,22.55,96.46,90.00
2015-06-30,24.91,96.55,96.70
2015-07-01,43.27,104.98,110.13
2015-07-02,53.30,123.38,123.88
2015-07-03,50.06,125.38,94.65
2015-07-04,,104.25,101.13
2015-07-05,53.96,120.88,119.63
2015-07-06,75.23,129.75,128.00
2015-07-07,71.70,130.63,158.38
