Datum,Beograd Vracar,Beograd Zeleno brdo,Kamenicki Vis EMEP,Kragujevac,Novi Sad SPENS,Uzice,Valjevo
2015-01-01,108.31,59.56,43.75,151.37,80.28,175.89,229.15
2015-01-02,113.98,59.51,23.53,98.45,92.42,68.09,310.2
2015-01-03,96.4,45.19,18.23,125.9,57.52,125.53,218.13
2015-01-04,38.23,18.02,10.51,37.15,31.42,100.82,77.95
2015-01-05,23.96,14.76,13.36,36.43,19.74,56.2,66.79
2015-01-06,30.54,21.73,16.42,35.32,32.64,41.73,79.65
2015-01-07,83.42,45.28,14.89,109.1,49.18,104.53,138.24
2015-01-08,124.56,63.66,8.94,122.63,103.04,187.95,
2015-01-09,88.34,29.91,16.42,95.34,61.32,223.2,
2015-01-10,65.66,22.44,,59.68,33.4,56.73,340.2
2015-01-11,70.06,20.04,12.99,62.77,30.36,67.7,143.8
2015-01-12,37.5,20.66,7.69,48.87,21.56,43.56,163.97
2015-01-13,92.33,26.37,9.89,85.82,57.07,159.42,208.96
2015-01-14,214.35,51.29,10.07,128.08,75.73,286.03,154.28
2015-01-15,65.3,30.8,23.98,93.7,33.4,152.78,131.75
2015-01-16,65.48,30.15,11.53,112.36,41.59,204.8,222.87
2015-01-17,58.53,29.77,17.57,161.96,47.96,191.93,318.76
2015-01-18,98.58,59.3,19.4,161.96,36.73,157.37,179.67
2015-01-19,83.75,62.04,20.31,63.12,51.61,93.14,109.93
2015-01-20,71.53,40.53,18.22,84.54,49.78,91.66,165.24
2015-01-21,102.98,60.65,25.07,124.8,51.45,144.56,115.82
2015-01-22,58.53,35.13,13.36,73.2,50.24,143.26,185.54
2015-01-23,55.06,29.58,4.21,44.43,37.64,67.52,90.37
2015-01-24,39.23,27.98,3.48,41.9,33.7,26.9,51.04
2015-01-25,30.36,22.44,2.4,36.61,24.92,33.67,63.86
2015-01-26,45.92,49.55,7.51,41.92,40.32,39.17,71.0
2015-01-27,59.99,49.79,8.24,48.32,51.67,56.2,87.84
2015-01-28,51.03,32.55,5.86,54.91,45.81,47.59,82.19
2015-01-29,62.56,39.3,14.83,84.52,52.4,118.23,175.27
2015-01-30,31.27,16.15,5.99,36.04,35.17,124.82,44.28
2015-01-31,46.82,26.03,5.86,69.7,34.45,72.29,132.47
2015-02-01,42.8,23.76,3.48,60.01,35.92,108.54,106.13
2015-02-02,57.79,34.51,7.49,66.07,50.03,92.06,137.98
2015-02-03,57.61,31.1,9.7,88.36,47.28,102.31,197.42
2015-02-04,39.69,20.73,6.96,43.91,30.23,168.72,158.44
2015-02-05,54.31,33.58,17.02,64.77,41.42,128.85,81.45
2015-02-06,26.15,10.38,2.93,34.21,34.08,69.18,77.78
2015-02-07,45.19,29.79,6.41,30.75,40.48,40.58,70.45
2015-02-08,46.28,24.03,10.8,39.9,36.43,47.77,62.75
2015-02-09,,11.9,11.17,52.53,32.98,42.28,65.51
2015-02-10,,25.22,17.57,44.84,48.18,43.92,72.65
2015-02-11,,40.37,21.24,71.47,87.77,70.1,99.36
2015-02-12,,47.05,18.31,104.84,68.9,120.8,130.28
2015-02-13,,39.48,16.84,112.52,65.06,182.61,116.74
2015-02-14,,49.84,6.77,119.1,105.34,156.48,161.96
2015-02-15,,26.87,39.53,118.39,61.2,152.42,141.99
2015-02-16,,21.02,16.84,82.88,36.84,145.11,117.46
2015-02-17,,18.27,12.63,56.0,28.21,66.98,69.72
2015-02-18,,36.41,25.11,90.22,75.84,103.6,149.16
2015-02-19,,42.49,40.33,103.71,75.66,157.89,150.05
2015-02-20,,49.62,45.39,158.27,70.16,195.4,165.6
2015-02-21,,41.46,26.72,148.73,102.05,189.55,227.77
2015-02-22,,25.95,33.3,66.41,58.62,129.36,129.57
2015-02-23,,22.22,22.51,54.89,40.49,132.66,114.11
2015-02-24,47.19,20.4,19.4,67.15,76.05,114.92,112.29
2015-02-25,53.59,37.69,9.15,45.55,56.8,60.03,67.5
2015-02-26,43.89,22.15,6.41,25.62,45.63,41.17,46.64
2015-02-27,65.48,36.64,14.09,246.44,56.63,61.49,93.44
2015-02-28,78.64,50.08,25.62,66.24,51.67,35.69,73.87
2015-03-01,85.59,37.67,18.3,70.44,59.37,61.11,73.87
2015-03-02,53.39,22.28,16.65,46.46,49.66,54.9,97.48
2015-03-03,44.62,15.33,9.15,39.54,36.09,76.49,101.31
2015-03-04,42.99,15.99,11.61,57.99,41.77,89.65,92.37
2015-03-05,27.44,10.02,5.49,23.42,24.01,48.51,82.74
2015-03-06,35.11,21.16,2.56,25.45,34.63,29.83,79.98
2015-03-07,43.35,22.13,7.51,25.07,38.65,33.5,55.47
2015-03-08,49.37,24.21,17.57,51.23,47.82,41.54,62.4
2015-03-09,59.62,28.16,13.73,47.21,43.44,52.34,44.83
2015-03-10,59.26,35.63,8.79,54.35,56.45,74.12,56.91
2015-03-11,58.35,,12.45,56.54,59.19,118.4,121.83
2015-03-12,40.79,,4.76,25.07,30.78,21.77,32.93
2015-03-13,44.25,,5.86,29.46,46.54,26.9,54.9
2015-03-14,96.56,,21.05,53.8,64.86,70.83,97.16
2015-03-15,63.1,,16.29,53.61,45.2,91.5,131.73
2015-03-16,68.04,,21.78,54.35,57.18,82.36,104.99
2015-03-17,56.33,,27.81,77.58,49.12,81.25,82.13
2015-03-18,50.48,,21.23,79.41,41.42,93.7,109.94
2015-03-19,52.13,,24.71,66.97,47.83,73.74,94.41
2015-03-20,83.03,26.19,13.91,53.61,44.1,67.53,86.71
2015-03-21,58.34,23.09,19.03,71.18,46.72,70.62,91.28
2015-03-22,55.04,22.68,19.76,65.87,54.79,71.01,104.1
2015-03-23,55.42,29.8,28.55,73.01,61.38,83.99,97.86
2015-03-24,46.46,24.96,23.25,44.24,48.72,88.02,105.17
2015-03-25,41.77,20.24,24.52,39.53,41.58,67.16,68.59
2015-03-26,38.95,16.5,19.08,41.35,41.77,96.07,86.15
2015-03-27,34.57,16.18,10.98,26.53,45.08,62.77,73.88
2015-03-28,40.05,18.43,1.83,22.14,33.34,20.49,47.83
2015-03-29,40.78,22.33,23.24,41.9,33.53,67.88,60.92
2015-03-30,28.72,12.97,18.3,41.17,28.58,66.05,100.78
2015-03-31,21.03,,6.22,40.43,24.19,24.88,34.94
2015-04-01,20.48,7.97,,15.74,20.89,23.42,33.84
2015-04-02,19.2,8.87,,37.5,22.36,27.27,54.69
2015-04-03,26.34,8.42,5.86,26.53,25.29,33.67,58.36
2015-04-04,24.88,9.34,7.69,39.52,23.27,40.07,58.15
2015-04-05,35.11,13.58,9.15,37.88,22.54,89.68,42.99
2015-04-06,23.04,9.99,3.66,25.44,26.57,30.56,46.65
2015-04-07,28.16,13.54,8.6,25.62,23.63,30.01,49.03
2015-04-08,34.02,15.61,,35.86,34.64,47.03,58.54
2015-04-09,36.76,15.63,21.96,47.04,43.98,67.16,77.38
2015-04-10,42.97,18.27,22.88,43.35,34.82,59.11,61.82
2015-04-11,40.78,11.04,18.66,44.09,41.41,53.98,56.34
2015-04-12,35.29,12.1,13.72,45.92,32.25,43.92,39.14
2015-04-13,26.88,,24.15,26.34,27.67,38.43,33.84
2015-04-14,30.72,11.9,16.29,30.01,31.89,44.46,45.54
2015-04-15,35.3,14.63,12.44,48.12,36.46,47.94,44.08
2015-04-16,38.95,11.76,17.93,46.1,45.26,40.43,53.59
2015-04-17,35.48,13.53,17.84,50.67,50.2,31.47,63.65
2015-04-18,35.83,11.38,16.83,26.16,30.05,20.86,40.07
2015-04-19,37.85,11.97,14.28,26.16,23.83,38.61,36.04
2015-04-20,41.7,16.61,13.73,49.59,39.21,39.88,39.87
2015-04-21,41.69,23.01,17.75,47.94,48.55,44.1,55.06
2015-04-22,31.82,15.19,29.46,43.72,32.43,40.44,49.21
2015-04-23,36.94,15.92,24.16,63.3,37.56,42.57,47.18
2015-04-24,40.23,17.15,,38.42,45.44,41.72,43.53
2015-04-25,36.94,,,24.34,28.03,33.12,30.55
2015-04-26,37.85,10.12,17.38,27.99,37.38,33.48,33.29
2015-04-27,38.39,17.04,16.65,39.51,40.31,37.69,44.27
2015-04-28,30.17,,16.11,30.92,30.96,31.66,37.51
2015-04-29,39.86,13.87,15.74,35.31,31.13,30.38,45.92
2015-04-30,47.55,13.99,14.46,30.0,34.45,40.62,41.53
2015-05-01,30.17,10.04,13.54,23.79,28.77,23.06,32.19
2015-05-02,25.97,,11.35,22.14,24.19,30.56,37.5
2015-05-03,31.45,13.11,8.6,22.33,31.88,28.0,26.7
2015-05-04,38.04,9.56,15.56,27.63,29.5,35.49,36.22
2015-05-05,29.8,9.16,15.37,31.65,34.81,54.17,38.6
2015-05-06,48.09,17.18,28.0,42.44,49.1,47.03,48.29
2015-05-07,28.16,,21.78,22.87,28.22,33.12,35.31
2015-05-08,28.71,,15.56,30.02,29.32,39.16,33.48
2015-05-09,22.86,,19.22,34.61,32.44,32.21,33.29
2015-05-10,30.36,13.91,19.95,33.88,40.86,29.46,37.32
2015-05-11,18.65,,11.71,32.79,32.8,29.65,36.6
2015-05-12,26.52,8.71,16.1,30.23,26.93,29.09,31.29
2015-05-13,31.82,10.45,15.74,34.98,34.45,31.65,37.32
2015-05-14,31.45,15.17,18.67,40.85,39.03,48.13,41.16
2015-05-15,22.49,8.16,19.04,28.76,25.47,40.44,33.65
2015-05-16,20.48,8.89,33.67,36.98,27.12,43.92,32.93
2015-05-17,21.76,9.84,20.68,27.65,28.22,34.77,25.61
2015-05-18,25.78,,18.3,30.77,26.39,35.86,39.33
2015-05-19,36.02,14.71,31.29,46.51,57.71,45.2,46.64
2015-05-20,34.93,14.59,22.7,44.31,35.54,35.07,38.23
2015-05-21,35.29,15.49,37.88,37.55,30.78,50.14,33.66
2015-05-22,38.4,34.04,38.61,38.83,31.33,50.14,35.31
2015-05-23,87.77,,37.69,30.15,24.0,31.66,29.27
2015-05-24,27.72,9.11,26.9,25.82,22.15,24.89,23.97
2015-05-25,38.22,,17.75,18.86,17.41,37.14,27.99
