Datum,Beograd_Mostar,Beograd_N.Beograd,Beograd_Zeleno brdo,Bor_Gradski park,Cacak_Ins. za vocarstvo,Kamenicki Vis - EMEP,Kikinda,Kostolac,Kragujevac,Kraljevo,Krusevac,Nis_O.s. Sv. Sava,Novi Sad_SPENS,Obrenovac_Centar,Uzice,Valjevo,Vranje
2015-01-01,35.23,25.92,49.46,36.06,16.23,34.15,3.85,,,,,11.79,9.37,19.99,,29.26,9.42
2015-01-02,66.09,76.25,101.54,48.51,14.06,51.12,3.94,,,,,26.82,7.24,36.09,,32.08,11.41
2015-01-03,41.32,41.37,56.34,34.45,14.27,14.02,6.77,,,,,19.18,10.23,28.05,,17.23,8.81
2015-01-04,16.49,18.25,22.02,29.23,9.81,8.74,4.72,,,,,8.42,11.36,19.87,,10.71,9.53
2015-01-05,7.95,7.31,21.01,24.83,3.75,13.14,1.84,,,,,6.54,7.0,11.67,,9.82,9.03
2015-01-06,7.32,6.44,16.83,37.02,5.41,18.05,3.25,,,,,10.23,6.43,8.15,,7.22,9.28
2015-01-07,20.88,27.62,39.35,31.4,6.73,24.31,4.12,,,,,11.74,5.14,8.24,,12.93,8.04
2015-01-08,34.16,67.46,50.97,90.93,15.33,8.82,9.3,,,,,16.57,25.63,17.8,,15.09,9.11
2015-01-09,68.65,33.4,35.45,89.55,24.86,5.77,13.93,,,,,20.76,38.03,27.2,,16.56,10.65
2015-01-10,37.44,19.69,39.21,25.21,13.43,4.98,7.73,,,,,14.68,17.72,26.95,,25.18,14.75
2015-01-11,25.86,20.82,23.58,74.66,5.2,7.93,4.94,,4.21,,,9.53,7.85,22.75,5.91,17.73,14.87
2015-01-12,15.06,10.03,19.66,18.7,4.26,13.89,2.79,,4.66,3.48,,6.22,3.44,12.41,3.01,13.2,11.73
2015-01-13,30.09,30.72,28.61,84.14,6.96,8.6,3.69,,5.02,3.92,,6.35,13.44,22.46,4.98,15.28,14.56
2015-01-14,37.25,29.58,60.34,519.78,6.02,6.07,6.82,,6.74,5.01,,4.67,15.0,21.95,7.26,18.36,19.6
2015-01-15,34.33,27.58,34.55,34.75,7.17,13.3,2.52,,4.99,5.76,,7.09,7.87,23.81,5.59,16.78,19.14
2015-01-16,28.88,27.5,23.13,458.82,8.21,20.13,8.18,,6.0,4.27,,9.5,45.64,18.86,6.12,18.16,17.07
2015-01-17,30.93,16.05,22.13,483.56,6.13,22.54,14.88,,6.74,3.7,,8.32,16.04,17.06,7.09,16.7,15.45
2015-01-18,19.6,14.37,30.72,373.99,5.68,11.29,5.52,,4.5,3.94,,8.86,10.01,14.2,5.98,16.36,18.19
2015-01-19,8.27,14.54,23.99,47.03,4.86,7.18,3.17,,3.93,10.97,,7.57,5.74,12.22,5.17,6.76,21.79
2015-01-20,15.98,33.38,25.3,38.14,4.64,7.95,3.8,,5.57,5.32,,6.03,6.93,15.26,5.13,6.54,22.54
2015-01-21,12.38,13.5,22.09,28.15,4.3,12.84,4.57,,9.96,4.34,,6.76,6.41,11.95,5.89,7.78,41.92
2015-01-22,19.3,25.99,21.16,53.92,4.41,7.66,5.51,,6.08,9.46,,2.98,14.1,12.08,5.36,12.85,25.72
2015-01-23,15.57,37.48,29.73,84.23,3.75,7.11,3.36,,4.22,12.45,,2.39,23.89,10.91,4.69,7.88,
2015-01-24,8.4,13.93,12.96,181.3,7.54,12.19,2.78,,1.14,4.59,,3.89,8.78,8.8,4.3,9.96,10.96
2015-01-25,5.17,9.77,16.27,39.19,13.19,17.75,1.46,,2.04,6.79,,5.52,5.81,6.41,2.87,5.85,4.3
2015-01-26,7.12,7.94,21.17,50.05,7.5,16.65,1.38,,2.6,6.56,,4.65,2.95,5.8,2.5,5.18,16.76
2015-01-27,5.83,13.74,19.29,150.05,4.78,26.79,1.47,,2.15,2.48,,6.1,3.36,6.31,2.43,4.62,5.31
2015-01-28,4.82,12.65,27.68,36.23,9.7,14.41,1.87,,3.49,3.11,,2.81,3.07,5.73,2.11,5.33,7.51
2015-01-29,20.43,32.33,48.83,117.96,4.9,15.71,11.78,,10.02,11.83,,4.94,27.45,10.94,4.41,12.45,13.57
2015-01-30,24.94,24.93,25.47,25.3,6.6,12.2,14.02,,3.66,7.97,,4.52,22.39,11.63,8.51,14.1,5.97
2015-01-31,17.3,30.4,34.17,114.6,2.87,12.14,7.24,,4.9,2.69,,4.13,14.22,18.0,5.99,13.18,6.12
2015-02-01,10.41,29.79,31.18,327.75,1.91,12.06,7.34,,6.12,2.23,,3.68,12.69,10.22,6.31,7.81,7.11
2015-02-02,10.08,21.23,29.97,419.59,10.39,17.17,4.52,,5.45,3.51,,5.06,9.11,9.9,5.97,8.14,10.37
2015-02-03,28.15,26.05,33.93,29.25,8.71,17.04,9.33,,7.33,3.81,,3.56,17.78,14.21,4.29,16.45,9.81
2015-02-04,18.93,24.41,26.99,84.93,4.64,11.92,5.74,,3.37,8.83,,3.0,11.0,8.6,5.96,16.08,17.57
2015-02-05,9.63,20.57,22.55,494.83,12.21,11.97,3.89,,4.53,5.32,,3.72,4.26,6.47,5.32,6.34,7.42
2015-02-06,10.03,23.28,22.45,699.83,7.74,9.53,3.65,,3.13,15.9,,1.24,4.49,6.56,5.73,5.43,7.85
2015-02-07,7.53,23.73,22.18,191.54,4.26,9.82,1.36,,3.93,1.43,,3.01,1.9,4.02,3.87,5.91,5.82
