Datum,Beograd Novi Beograd,Beograd Stari grad,Beograd Vracar,Kamenicki Vis EMEP,Kikinda Centar,Kostolac,Kragujevac,Novi Sad SPENS,Novi Sad Liman,Nis IZJZ Nis,Nis O.s. Sveti Sava,Sremska Mitrovica,Sabac,Smederevo Carina,Uzice,Valjevo,Vranje,Zajecar
2016-1-1,,0.96,0.92,0.17,0.69,,,0.35,,2.92,2.71,1.25,2.00,1.55,,0.67,,
2016-1-2,,0.98,0.92,0.29,0.36,,,0.38,,2.75,2.71,1.09,0.87,1.35,,0.33,,
2016-1-3,,0.65,0.50,0.25,0.33,,,0.08,,0.87,0.78,0.67,0.62,0.91,,0.33,,
2016-1-4,,0.85,0.58,0.29,0.40,,,0.34,,1.91,1.71,1.09,1.04,1.25,,0.93,,
2016-1-5,,1.16,1.13,0.34,0.62,,,0.46,,6.98,7.22,1.47,1.91,1.62,,1.28,,11.31
2016-1-6,,,,0.34,0.72,,,0.98,,7.03,7.19,2.38,2.13,1.83,,2.40,,10.00
2016-1-7,,1.14,1.02,0.65,0.66,,,0.62,,2.66,3.29,1.88,5.82,1.45,,1.54,,1.28
2016-1-8,,2.31,2.69,0.38,0.61,,,1.78,,5.21,4.75,2.42,6.44,2.28,,1.91,,7.89
2016-1-9,,2.28,2.51,0.26,0.56,,,1.35,,5.53,5.07,2.66,5.19,1.76,,4.16,,8.75
2016-1-10,,2.22,2.11,0.25,1.15,,,0.96,,7.62,7.95,3.83,4.49,1.19,,4.16,,7.45
2016-1-11,,1.80,1.99,0.25,1.15,,,0.85,,6.56,8.09,3.41,4.37,1.41,,2.81,,7.54
2016-1-12,,1.09,1.29,0.28,0.23,,,0.92,,2.04,2.88,2.42,1.86,1.33,,0.33,,6.75
2016-1-13,,1.09,1.24,0.28,0.37,,,1.16,,2.56,3.07,3.22,3.37,1.71,,0.73,,6.55
2016-1-14,,1.09,1.17,0.28,0.47,,,1.10,,2.71,2.40,3.67,4.99,1.62,,1.02,,6.69
2016-1-15,,0.98,1.09,0.34,0.49,,,0.61,,2.94,2.17,1.58,2.38,1.14,,,,6.91
2016-1-16,,0.76,0.67,0.34,0.37,,,0.53,,1.21,1.23,1.11,0.85,1.05,,,,3.48
2016-1-17,,0.70,0.54,0.31,0.20,,,0.26,,0.73,0.77,0.69,0.63,0.94,,,,1.48
2016-1-18,,0.78,0.66,0.32,0.51,,,0.25,,0.73,0.86,1.10,0.69,0.96,,,,2.97
2016-1-19,,1.08,1.41,0.33,1.12,,,0.44,,2.18,1.53,1.30,2.60,2.97,,,,4.89
2016-1-20,,3.20,2.89,0.32,1.11,,,1.77,,3.96,3.93,3.85,6.78,2.75,,0.94,,1.75
2016-1-21,,4.20,3.61,0.50,1.32,,,1.79,,4.04,3.98,4.51,6.60,3.36,,1.75,,5.58
2016-1-22,,1.05,3.17,0.61,1.08,,,0.85,,2.75,2.99,3.16,4.39,4.73,,0.77,,4.21
2016-1-23,,,4.36,0.42,1.30,,,0.89,,3.29,2.70,3.27,4.61,4.80,,0.53,,4.30
2016-1-24,,1.94,1.88,0.47,0.98,,,0.86,,3.48,2.75,1.55,2.04,3.48,,0.74,,5.13
2016-1-25,,2.03,,0.61,0.92,,,1.45,,4.40,4.24,2.74,2.49,3.21,,1.41,,5.50
2016-1-26,,2.34,,0.49,0.79,,,1.43,,4.79,5.52,2.69,2.93,1.99,,1.57,,5.51
2016-1-27,,2.50,4.32,0.46,1.22,,,2.09,,5.52,5.53,6.91,7.79,3.58,,2.63,,5.25
2016-1-28,,3.34,4.31,0.34,1.26,,,2.14,,6.45,6.29,6.97,8.45,3.77,,1.61,,7.33
2016-1-29,,2.23,4.04,0.42,1.97,,,2.14,,5.04,4.45,4.36,7.30,2.51,,1.19,,8.16
2016-1-30,,1.76,1.64,0.50,1.95,,,1.29,,5.07,4.59,2.91,3.89,2.14,,1.25,,6.66
2016-1-31,,1.23,,0.35,0.55,,,0.67,,4.23,4.67,2.74,3.58,2.00,,1.24,,4.90
2016-2-1,,,1.40,0.34,0.40,,,0.96,,6.53,5.98,2.00,3.31,1.38,,0.91,,8.50
2016-2-2,,,1.78,0.32,0.41,,,1.58,,7.32,8.70,2.41,3.51,1.98,,3.71,,6.68
2016-2-3,,,1.83,0.32,0.82,,,2.19,,7.55,9.12,2.17,3.35,1.65,,3.60,,6.74
2016-2-4,,1.02,0.76,0.35,0.54,,,0.79,,1.59,1.75,1.55,2.30,1.33,,3.50,,3.67
2016-2-5,,0.88,0.76,0.41,0.94,0.48,,1.50,,0.72,1.35,1.57,1.12,1.09,,2.06,,1.20
2016-2-6,,1.01,0.93,0.41,0.97,0.90,,0.59,,2.08,2.37,1.90,2.02,1.29,,3.24,,2.92
2016-2-7,,1.00,0.93,0.38,0.27,0.44,,0.48,,2.40,2.82,1.58,2.46,1.38,,3.37,,3.07
2016-2-8,,0.96,0.94,0.40,0.24,0.31,,0.51,,3.16,3.66,2.57,4.61,1.33,,4.83,,3.46
2016-2-9,,0.97,0.93,0.36,0.27,0.41,,0.76,,3.72,4.19,2.54,4.66,1.40,,5.05,,3.89
2016-2-10,,0.83,0.62,0.35,0.26,0.37,,0.71,,0.91,1.55,1.52,2.44,1.22,,1.91,,1.26
2016-2-11,,0.91,0.91,0.34,1.30,0.48,,0.99,,1.03,1.61,2.18,2.55,1.23,,1.59,,2.98
2016-2-12,,0.91,0.91,0.32,1.45,0.48,,1.04,,1.10,1.67,2.16,2.55,0.95,,2.71,,2.91
2016-2-13,,0.85,0.89,0.38,0.21,0.53,,0.63,,2.11,3.40,1.22,1.58,2.05,,3.19,,2.81
2016-2-14,,0.94,0.96,0.39,0.21,0.59,,0.64,,2.12,3.70,1.32,1.74,2.02,,2.93,,2.84
2016-2-15,,0.78,0.61,0.34,0.24,0.30,,0.36,,1.14,1.97,1.34,1.75,1.29,,2.67,,3.93
2016-2-16,,0.77,0.57,0.42,0.25,0.30,,0.37,,0.72,1.59,1.09,0.65,1.19,,1.02,,
2016-2-17,,0.78,0.56,0.44,0.25,0.33,,0.36,,0.95,1.79,1.06,0.57,0.88,,0.98,,
2016-2-18,,0.79,0.66,0.43,0.13,0.24,,0.31,,0.74,1.58,0.78,0.55,0.82,,0.97,,
2016-2-19,,0.88,0.81,0.41,0.28,0.32,,0.60,,1.36,2.22,1.06,0.61,1.23,,1.07,,
2016-2-20,,1.03,1.11,0.49,0.79,0.76,,1.00,,1.35,2.74,3.52,2.03,1.99,,2.60,,
2016-2-21,,1.62,2.18,0.52,0.80,1.18,,1.06,,2.69,3.72,3.73,5.58,2.47,,3.94,,
2016-2-22,,1.97,2.53,0.41,0.53,1.22,,1.04,,2.78,3.80,3.80,6.12,2.26,,3.92,,
2016-2-23,,1.89,,0.40,0.62,1.20,,0.91,,2.94,4.75,3.04,3.68,2.45,,3.49,,
2016-2-24,1.21,1.62,,0.39,0.47,0.73,,0.83,,2.03,3.53,3.45,2.27,2.11,,3.52,,
2016-2-25,0.53,1.03,0.94,0.40,0.43,0.83,,0.80,,2.03,3.53,3.98,2.78,1.55,,3.99,,
2016-2-26,0.42,0.83,0.50,0.48,0.44,0.28,,0.58,,2.01,3.34,1.16,1.61,1.35,,3.97,,
2016-2-27,0.47,0.89,0.53,0.47,0.85,0.56,,0.59,,1.52,2.92,1.17,1.18,1.45,,2.41,,
2016-2-28,0.38,0.88,0.51,0.44,0.52,0.26,,0.44,,1.49,2.83,1.02,1.07,1.06,,2.85,,
2016-2-29,0.29,0.79,0.47,0.41,0.46,0.23,,0.45,,0.84,2.21,1.18,1.06,0.83,,1.15,,
2016-3-1,0.35,0.51,0.50,0.46,0.46,0.49,,0.53,,0.85,2.38,1.20,0.84,0.94,,1.68,,
2016-3-2,0.38,0.52,0.72,0.55,0.67,0.57,,0.40,0.48,1.52,2.31,1.02,0.64,1.59,,2.23,,
2016-3-3,0.40,0.56,0.73,0.56,0.79,0.59,,0.34,0.44,1.42,1.22,1.08,1.15,1.59,,2.46,1.69,
2016-3-4,0.28,0.48,0.54,0.37,0.80,0.34,,0.46,0.42,1.39,1.21,1.03,1.06,1.04,,1.36,1.32,1.62
2016-3-5,0.24,,0.54,,0.64,0.46,,0.39,0.33,1.05,1.01,1.21,1.50,1.20,1.62,0.77,1.29,1.78
2016-3-6,0.19,0.51,0.53,0.38,0.63,0.37,0.89,0.39,0.31,1.10,1.04,1.06,1.50,1.29,1.48,0.40,1.28,2.64
2016-3-7,0.25,0.56,0.69,0.27,0.93,0.48,0.43,0.32,0.32,1.19,1.28,0.81,0.91,0.91,1.53,0.08,1.46,3.13
2016-3-8,0.25,0.53,0.67,0.27,0.91,0.57,0.63,0.32,0.32,1.70,1.72,1.00,0.56,1.43,2.06,0.10,2.81,3.01
2016-3-9,0.35,0.58,0.59,0.29,0.60,0.34,0.74,0.42,0.42,1.89,1.82,1.35,0.97,2.22,2.14,0.13,2.84,3.12
2016-3-10,0.44,0.66,0.66,0.31,0.66,0.38,0.51,0.80,0.62,0.94,1.06,1.35,1.03,2.28,1.45,0.27,1.54,1.13
2016-3-11,0.55,0.71,0.72,0.31,0.65,0.67,0.87,0.73,0.74,1.12,1.17,1.08,1.73,1.31,1.21,0.39,1.50,2.14
2016-3-12,0.63,0.82,0.77,0.31,0.67,0.67,0.96,0.89,0.80,1.13,1.17,1.01,1.74,1.34,1.14,0.42,1.72,2.29
2016-3-13,0.58,0.48,0.58,0.30,0.61,0.38,0.90,0.48,0.46,0.68,0.73,0.91,1.02,1.74,0.97,0.31,1.61,1.06
2016-3-14,0.65,0.51,0.61,0.29,0.13,0.39,0.90,0.48,0.44,0.75,0.88,0.92,1.05,1.69,0.96,0.38,0.59,1.36
2016-3-15,0.42,0.50,0.49,0.33,0.20,0.69,0.83,0.51,0.34,0.75,0.87,0.90,1.10,1.30,0.92,0.42,1.32,1.59
2016-3-16,0.32,0.46,0.51,0.31,0.77,0.29,0.75,0.32,0.29,0.72,0.75,0.79,1.05,1.17,1.00,0.25,1.95,2.38
2016-3-17,1.19,0.88,2.18,0.28,1.16,0.66,0.76,0.51,0.30,1.31,1.45,2.55,4.05,1.88,1.07,0.21,2.42,2.92
2016-3-18,1.45,1.48,3.46,0.36,1.24,1.15,0.85,0.85,0.55,1.57,1.88,2.94,4.48,2.19,1.11,0.34,3.10,3.76
2016-3-19,0.87,0.85,0.83,0.41,0.42,1.23,0.99,0.86,0.57,1.79,2.03,2.89,3.14,1.65,1.22,0.43,3.24,4.52
2016-3-20,0.91,0.85,0.90,0.32,0.60,0.71,0.76,0.64,0.46,1.83,1.74,3.46,3.53,1.46,1.49,0.49,2.13,2.64
2016-3-21,1.03,0.81,0.96,0.35,0.62,0.90,0.83,0.82,,2.19,2.31,1.44,3.31,1.46,1.55,1.46,2.18,2.98
2016-3-22,0.75,0.62,0.64,0.38,0.50,1.02,0.85,0.48,,1.31,1.36,1.07,1.97,1.32,1.49,1.29,1.77,2.52
2016-3-23,0.60,0.56,0.52,0.37,0.34,0.60,0.40,0.48,0.49,0.98,1.10,1.04,1.52,1.16,1.04,1.26,1.29,1.56
2016-3-24,1.05,0.57,0.38,0.39,0.45,0.43,1.20,0.35,0.35,0.85,1.00,0.72,0.81,1.13,0.72,1.31,0.94,1.24
2016-3-25,1.03,0.87,,0.33,0.46,0.71,,0.48,0.34,1.47,1.53,1.76,2.41,1.45,1.19,1.35,2.53,3.10
2016-3-26,0.94,0.86,1.67,0.34,0.42,0.87,1.00,0.48,0.37,1.60,1.61,1.85,2.54,1.45,1.25,1.84,2.85,3.33
2016-3-27,0.70,0.68,0.95,0.35,0.50,0.71,0.70,0.44,0.44,1.37,1.40,0.78,1.34,0.95,1.22,2.84,1.65,3.24
2016-3-28,0.84,0.83,0.97,0.36,0.57,0.60,1.13,0.59,0.72,1.55,1.54,1.23,2.15,1.08,1.28,3.53,2.11,2.65
2016-3-29,0.69,0.60,0.78,0.39,0.34,0.68,0.94,0.45,0.29,1.78,2.06,1.34,2.17,1.07,1.46,2.18,1.87,2.83
2016-3-30,0.74,0.62,0.87,0.38,0.19,0.65,0.84,0.88,0.26,1.84,2.57,1.29,1.65,0.75,1.54,1.84,3.10,2.21
