Datum,Novi Sad_SPENS   ,S. Mitrovica   ,Beograd_Stari grad   ,Beograd_N.Beograd   ,Beograd_Mostar   ,Beograd_Vracar   ,Beograd_Zeleno brdo   ,Kostolac   ,Valjevo   ,Cacak    ,Uzice   ,Nis_IZJZ Nis   
01.01.2016,,7.47,52.58,40.13,,78.64,24.38,,15.27,16.78,23.23,27.6
02.01.2016,,6.47,48.35,29.8,,47.52,8.85,,10.45,14.03,6.92,20.86
03.01.2016,,6.15,16.5,21.48,,27.68,3.78,,8.5,11.54,4.05,11.32
04.01.2016,,7.44,15.39,22.97,,31.7,10.43,,20.27,13.06,14.98,24.18
05.01.2016,,8.66,,44.25,,,20.72,,24.21,32.98,6.82,49.64
06.01.2016,,9.48,,46.34,,,16.29,,18.01,29.33,11.09,33.93
07.01.2016,,12.81,22.91,25.1,,75.1,20.44,,30.15,11.93,16.01,26.93
08.01.2016,,11.92,78.71,45.38,,99.2,31.89,,36.13,37.66,24.21,42.63
09.01.2016,,12.4,94.83,67.28,,79.38,19.02,,52.85,31.88,36.3,45.48
10.01.2016,,7.36,78.04,51.91,,51.43,24.87,,25.13,24.51,23.83,34.23
11.01.2016,,9.22,78.33,39.38,,40.48,21.81,,28.32,51.59,37.34,25.47
12.01.2016,,9.78,66.96,32.53,,78.68,27.67,,20.63,28.92,21.16,38.32
13.01.2016,,8.35,80.75,46.02,,108.05,31.25,,24.24,21.72,15.54,36.78
14.01.2016,,9.11,77.13,37.05,57.32,96.44,22.69,,,25.37,19.68,37.41
15.01.2016,,6.74,61.88,39.99,42.73,98.65,23.57,,,13.25,16.01,30.53
16.01.2016,,4.74,56.79,31.23,32.41,72.83,18.88,,,9.78,18.77,17.65
17.01.2016,,10.69,43.63,24.17,56.48,41.97,9.2,,,4.76,8.75,15.12
18.01.2016,,10.56,35.62,28.35,123.36,73.76,18.14,,,4.79,6.23,21.18
19.01.2016,,8.66,79.33,38.05,85.86,78.73,23.67,,,15.24,7.16,29.83
20.01.2016,,11.11,109.96,66.27,156.6,124.91,43.04,,31.01,18.99,21.88,44.96
21.01.2016,,9.49,91.46,52.05,131.98,122.62,45.5,,33.49,31.79,14.53,40.17
22.01.2016,,10.87,,37.22,123.88,105.83,37.99,11.4,23.68,10.25,17.54,34.32
23.01.2016,,8.54,,38.83,120.36,94.41,28.87,,25.71,19.45,25.56,37.42
24.01.2016,,5.95,61.67,28.01,,,34.68,,18.35,32.07,22.76,29.27
25.01.2016,,8.25,95.79,36.72,,,35.27,,28.83,30.05,,29.33
26.01.2016,,7.72,80.51,29.55,,,31.94,,19.88,33.11,,20.82
27.01.2016,,10.37,86.93,45.74,54.07,180.49,41,,24.47,28.52,28.1,27.82
28.01.2016,,9.4,119.25,36.31,79.23,209.69,40.25,,26.33,26.27,28.2,49.08
29.01.2016,,8.92,95.75,37.37,56.78,176.58,42.96,,30.51,40.23,33.62,43.11
30.01.2016,,6.56,82.04,39.05,,121.13,25.33,,22.4,23.25,26.98,38.65
31.01.2016,,8.01,53.58,25.3,,,20.81,,29.77,29.98,,33.79
01.02.2016,,,,30.79,53.58,,26.04,,,,,
02.02.2016,,8.43,,49.2,63.14,,30.41,,23.7,20.27,17.54,44.15
03.02.2016,,8.94,,36.69,55.32,132.2,31.03,,24.06,30.31,20.57,33.23
04.02.2016,,13.69,,22.18,88.97,83.19,22.31,,24.67,5.92,8.81,20.94
05.02.2016,,7.26,42.95,21.08,56.94,108.7,27.48,6.44,18.55,6.41,13.66,20.42
06.02.2016,,7.72,,23.95,58.19,87.77,24.19,10.02,20.16,13.24,18.53,25.88
07.02.2016,,8.78,,26.87,57.42,51.56,15.39,5.26,22.23,12.82,25.62,30.4
08.02.2016,,9.73,59.68,27.96,60.98,72.49,17.8,4.19,27.26,20.32,33.85,34.93
09.02.2016,,11.12,72.48,31.83,56.13,87.54,18.01,6.47,27.38,21.96,27.24,28.05
10.02.2016,,10.21,42.18,20.26,56.18,70.1,19.23,6.39,19.27,10.29,11.14,19.91
11.02.2016,,10.85,61.75,24.24,51.71,93.45,22.24,8.29,19.71,15.47,17.13,32.98
12.02.2016,,7.76,69.62,22.89,55.26,74.96,14.23,6.05,20.73,18.68,17.3,31.48
13.02.2016,,7.2,34.97,20.15,50.29,76.84,19.38,4.38,19.68,17.58,20.23,34.55
14.02.2016,,6.54,52.46,23.26,41.28,71.78,13.15,4.93,20.27,10.53,23.05,23.72
15.02.2016,,4.58,25.55,18.07,27.99,68.27,15.62,3.48,13.41,9.63,14.04,16.88
16.02.2016,,3.54,28.24,21.21,16.55,53.95,13.49,3.28,5.81,5.54,6.17,20.33
17.02.2016,,5.93,29.95,16.21,37.1,39.5,10.74,4.2,9.88,9.14,4.32,17.83
18.02.2016,,6.91,14.13,16.02,47.75,31.44,9.35,2.22,10.09,10.58,3.14,15.33
19.02.2016,,8.53,27.38,22.16,38.9,73.3,16.62,3.28,8.8,9.88,5.49,22.02
20.02.2016,,7.79,48.83,30.74,42.83,117.26,28.19,8.81,15.2,9.71,8.19,22.4
21.02.2016,,8.58,67.9,28.4,59.2,145.99,29.28,9.98,18.98,16.89,11.66,28.08
22.02.2016,,10.13,103.82,46.76,71.7,140.86,30.61,14.04,21.42,22.54,22.13,33.61
23.02.2016,,7.92,91.02,49.2,62.88,106.27,40.92,12.02,24.02,26.31,20.24,45.64
24.02.2016,,16.21,51.93,45.42,68.05,71.33,26.63,5.32,26.85,6.16,14.01,27.48
25.02.2016,,8.08,53.53,38.31,54.1,77.9,15.45,6.49,18.94,16.01,23.44,24.91
26.02.2016,,10.09,41.76,45.21,51.22,101.79,24.2,3.62,20.57,9.1,28.41,20.71
27.02.2016,,7.62,56.51,38.94,44.43,82.26,18.4,6.25,12.31,13.06,29.64,24
28.02.2016,,4.9,27.78,27.42,47.82,40.31,9.57,2.49,11.34,11.87,27.41,20.72
29.02.2016,,7.23,,31.62,45.98,50.66,13,2.44,14.76,12.65,36.17,26.57
01.03.2016,,7.93,25.93,40.56,37.52,80.45,23.01,4.89,15.68,8.53,22.02,23.32
02.03.2016,,6.27,29.72,38.86,31.47,81.32,18.23,7.19,11.67,12.22,21.25,23.66
03.03.2016,,7.3,42.95,45.86,43.25,69.48,14.93,6.43,13.79,14.25,20.25,38.13
04.03.2016,,6.84,,34.27,,99.59,18.11,5.65,17.59,7.43,21.22,40.4
05.03.2016,,8.19,,38.45,,,17.48,6.4,,8.95,,27.57
06.03.2016,16.87,4.3,38.71,31.89,41.92,61.19,16.64,4.53,13.22,7.88,70.03,24
07.03.2016,24.17,5.42,49.06,37.28,48.75,72.79,19.29,6.5,14.03,15.12,82.73,44.71
08.03.2016,15.02,6.3,41.54,39.37,32.15,84.34,22.78,7.94,12.94,14.03,56.32,47.72
09.03.2016,20.34,8.53,36.55,41.39,30.68,82.52,27.77,6.18,16.34,6.77,60.3,37.2
10.03.2016,27.82,4.5,44.4,42.17,27.82,82.67,27.72,4.85,10.63,7.22,51.68,43.08
11.03.2016,18.99,4.41,47.11,32.57,33.19,101.58,30.59,9.4,12.96,13.58,62.98,50.42
12.03.2016,7.92,3.97,31.26,36.05,31.97,68.81,12.66,5.02,9.49,11.22,65.13,31.27
13.03.2016,11.23,4.12,23.96,36.74,33.41,67.35,19.32,4.92,9.7,8.07,58.5,27.55
14.03.2016,12.95,4.55,24.92,42.73,32.86,55.72,14.8,5.77,15.48,8.18,49.43,30.87
15.03.2016,21.65,6.9,33.68,36.88,40,75.8,25.98,7.08,18.35,11.5,53.51,32.83
16.03.2016,8.15,7.69,33.7,36.07,45.5,56.81,12.05,4.1,14,12.59,57.09,32.8
17.03.2016,24.47,10.29,55.21,61.65,49.2,91.88,25.92,11.12,15.01,11.74,61.27,33.95
18.03.2016,41.1,9.62,76.46,58.95,56.76,93.19,43.94,11.57,18.98,9.67,,40.41
19.03.2016,19.99,10.14,52.81,50.15,40.48,83.8,23.84,9,26.39,8.27,,35.67
20.03.2016,25.11,7.66,62.78,56.27,45.83,94.24,27.8,10.12,16.92,12.42,,34.49
21.03.2016,23.59,9.01,58.5,55.53,55.39,106.03,38.94,11.4,22.73,19.69,,42.58
22.03.2016,18.1,6.9,37.52,41.83,39.44,85.66,30.88,8.5,12.41,11.09,,45.91
23.03.2016,5.15,4.65,34.28,36.84,39,60.8,14.75,6.03,13.62,6.48,,34.82
24.03.2016,,9.44,30.67,43.41,,,23.45,5.36,29.09,5.89,,33.95
25.03.2016,,8.52,,44.5,,,20.55,7.2,20.71,8.55,,36.88
26.03.2016,14.83,8.47,72.48,50.06,52.74,107.81,23.71,7.06,20.26,9.5,,31.81
27.03.2016,9.62,4.97,61.42,38.82,39.74,83.98,21.52,8.59,14.25,10.67,,34.56
28.03.2016,23.11,8.64,70.76,43.89,55.21,91.4,24.76,7.72,24.79,18.34,,40.08
29.03.2016,20.27,10.36,47.19,39.97,51.36,94.11,29.83,8.89,23.44,20.85,,52.6
30.03.2016,28.65,8.29,39.98,37.37,51.8,89.21,22.74,7.54,22.62,17.05,,40.53
31.03.2016,42.06,10.49,56.01,47.64,62.99,118.02,24.22,10,20.91,15.95,,37.15
01.04.2016,45.42,9.28,66.26,40.47,,105.8,26.24,7.67,29.42,14.96,,46.76
02.04.2016,7.53,5.83,40.81,24.97,,50.9,13.85,4.24,14.55,7.93,,28.43
03.04.2016,5.11,5.42,49.86,20.5,,53.12,12.67,3.16,13.36,9.47,41.66,28.83
04.04.2016,48.37,9.11,,41.16,,96.94,23.13,9.06,19.11,9.2,27.69,36.57
05.04.2016,34.83,7.78,,43.73,,106.06,22.61,12.73,18.54,14.7,19.17,42.61
06.04.2016,31.87,8.91,,44.08,,109.52,33.51,11.95,17.38,10.17,15.61,43.9
07.04.2016,10.49,8.03,,32.33,,74.81,16.9,7.04,18.68,14.4,16.29,41.89
08.04.2016,17.63,5.78,33.77,31.38,,73.5,19.72,6.01,18.03,9.87,20.73,40.96
09.04.2016,12.58,2.57,10.6,18.14,24.15,59.19,17.88,4.93,8.79,4.5,27.02,25.57
10.04.2016,14.91,4.02,9.05,18.88,45.48,61.27,21.64,4.25,13.19,3.64,53.41,22.52
11.04.2016,30.32,8.21,24.75,28.27,64.91,67.48,27.55,5.88,17.26,5.65,29.61,28.05
12.04.2016,44.49,10.01,57.5,32.62,82.85,86.37,29.47,9.84,16.23,10.11,19.64,31.93
13.04.2016,33.22,8.42,49.95,33.59,79.61,,25.48,7.84,16.96,15.92,20.3,52.2
14.04.2016,18.34,6.37,31.48,21.64,69.89,,28.4,8.06,17.17,12.16,20.5,37.88
15.04.2016,32.19,7.16,25.74,22.95,77.19,,16.44,5.54,17.45,7.12,13.95,33.93
16.04.2016,52.73,8.17,48.24,28.62,81.49,,23.59,8.45,16.91,9.26,15.27,36.6
17.04.2016,42.62,9.85,58.63,39.96,80.72,,23.52,10.33,18.73,12.24,39.08,42.24
18.04.2016,26.97,8.67,41.99,33.33,64.09,,25.43,8.1,20.74,9.46,30.32,42.07
19.04.2016,,4.67,,22.77,,,14.77,4.82,17.19,5.13,,34.66
20.04.2016,21.26,7.93,,26.18,,,18.78,5.88,22.53,2.49,,30.78
21.04.2016,25.71,8.18,35.88,25.96,70.15,65.98,25.28,8.09,12.69,7.91,15.14,36.51
22.04.2016,49.73,12.11,53.25,44.04,87.43,89.94,37.97,11.25,15.05,11.65,16.28,47.44
23.04.2016,28.06,7.68,51.68,23.48,68.31,73.45,28.58,7.44,10.68,7.88,17.34,38.9
24.04.2016,10.9,7.59,10.78,20.08,67.28,54.73,20.7,4.73,15.14,3.27,36.54,17.78
25.04.2016,21.79,4.55,22.96,25.16,72.06,49.74,22.71,2.61,18.79,2.85,38.48,23.86
26.04.2016,22.26,6.64,32.3,21.46,65.8,48.15,18.68,6.07,14.71,5.15,33.69,32.52
27.04.2016,22.04,8.02,52.74,28.35,63.4,62.05,20.69,6.44,16.11,8.03,20.66,36.71
28.04.2016,6.59,5.85,37.01,27.23,40.51,49.61,17.05,6.51,9.08,8.86,14.4,33.57
29.04.2016,18.17,3.45,26.15,21.32,30.81,50.61,17.57,4.49,8.7,4.29,,17.93
30.04.2016,,5.18,29.79,24.62,40.87,57.58,17.44,7.34,8.44,6.9,27.69,20.45
01.05.2016,,3.63,19.72,17.75,40.75,47.23,12.11,4.43,7.19,6.67,15.23,20.52
02.05.2016,,3.73,16.25,15.9,35.07,42.48,13.57,4.04,7.08,7.25,31.43,20.5
03.05.2016,,6.49,19.63,23.49,42.57,53.08,20.32,3.94,12.32,2.98,70.68,18.42
04.05.2016,,5,27.73,29.1,43.86,52.1,24.23,6.31,14.15,5.61,69.14,30.84
05.05.2016,,4.83,30.8,17.52,55.06,57.31,19.99,7.04,15.11,4.57,,25.75
06.05.2016,17.2,5.26,29.99,23.85,56.81,64.14,22.11,7.57,17.38,3.77,,32.07
07.05.2016,,6.62,27.03,28.65,,66.84,23.23,7.69,13.34,5.35,,22.12
08.05.2016,,6.28,,33.71,,64.21,20.33,7.32,10.24,3.13,,20.9
09.05.2016,21.52,7.8,41.99,28.8,63.31,72.65,17.29,5.04,12.31,5.12,58.59,30.4
10.05.2016,21.61,7.36,33.43,28,56.42,65.96,21.66,4.98,13.73,9.04,43.46,28.11
11.05.2016,15.05,5.76,29.74,20.15,39.28,61.9,13.25,4.54,11.19,8.91,45.95,26.61
12.05.2016,16.21,4.31,25.82,19.59,37.6,66.85,14.11,4.2,8.75,8.54,35.74,18.1
13.05.2016,30.93,6.07,39.08,21.5,59.78,79.08,23.86,4.76,16.65,6.75,48.93,15.68
14.05.2016,16.22,5.58,26.01,13.94,48.58,71.83,17.37,3.98,14.71,6.1,44.87,21.19
15.05.2016,10.03,5.15,19.09,14.49,40.78,58.65,15.46,3.16,8.62,2.51,32.99,22.99
16.05.2016,26.03,4.77,26.7,21.57,53.27,65.58,21.42,3.54,13.44,4.67,36.6,26.72
17.05.2016,29.08,6.14,37.37,32.11,54.55,75.86,24.55,6.37,10.71,4.22,41.28,28.35
18.05.2016,27.2,6.29,52.31,29.18,64.81,93.53,32.59,7.94,10.05,6.7,47.11,30.73
19.05.2016,18.06,6.92,42.73,24.09,68.42,90.52,21.68,7.05,14.91,5.56,51.1,34.96
20.05.2016,23.36,6.21,40.62,26.18,48.43,90.85,33.65,6.13,12.76,7.39,27.75,30.9
21.05.2016,30.29,4.3,44.93,39.98,47.85,59.87,18.48,4.93,12.81,5.41,55.64,20.28
22.05.2016,30.66,5.56,58.99,29.21,63.98,90.36,23.32,4.79,7.68,5.12,46.64,28.65
23.05.2016,19.69,6.63,47.55,21.12,57.2,73.53,15.49,5.19,14.52,6,40.1,28.15
