Datum;Beograd_Stari grad;Kamenicki Vis - EMEP;Novi Sad_Liman;Nis_O.s. Sv. Sava;Kikinda
01.01.2016;;;;;35.00     
02.01.2016;;;;;45.62     
03.01.2016;;;;;39.07     
04.01.2016;;;;;37.62     
05.01.2016;;;;;24.03     
06.01.2016;;;;;14.18     
07.01.2016;;;;;22.73     
08.01.2016;;;;;24.67     
09.01.2016;;;;;26.28     
10.01.2016;;;;;28.19     
11.01.2016;;;;;42.09     
12.01.2016;;;;;51.43     
13.01.2016;;;;;37.23     
14.01.2016;;;;;44.12     
15.01.2016;;;;;24.22     
16.01.2016;;;;;33.24     
17.01.2016;;;;;58.94     
18.01.2016;;;;;53.81     
19.01.2016;;;;;51.32     
20.01.2016;;;;;50.78     
21.01.2016;;;;;34.43     
22.01.2016;;;;;42.70     
23.01.2016;;;;;28.04     
24.01.2016;;;;;45.42     
25.01.2016;;;;;36.73     
26.01.2016;;;;;17.43     
27.01.2016;;;;;18.19     
28.01.2016;;;;;37.12     
29.01.2016;;;;;15.58     
30.01.2016;;;;;12.60     
31.01.2016;;;;;42.58     
01.02.2016;;;;;35.90     
02.02.2016;;;;;36.60     
03.02.2016;;;;;26.86     
04.02.2016;;;;;40.40     
05.02.2016;;;;;35.52     
06.02.2016;;;;;48.98     
07.02.2016;;;;;55.01     
08.02.2016;;;;;54.92     
09.02.2016;;;;;50.81     
10.02.2016;;;;;50.37     
11.02.2016;;;;;67.09     
12.02.2016;;;;;65.22     
13.02.2016;;;;;56.94     
14.02.2016;;;;;51.21     
15.02.2016;;;;;37.34     
16.02.2016;;;;;20.58     
17.02.2016;;;;;39.88     
18.02.2016;;;;;49.68     
19.02.2016;;;;;34.67     
20.02.2016;;;;;52.61     
21.02.2016;;;;;46.49     
22.02.2016;;;;;60.73     
23.02.2016;;;;;25.40     
24.02.2016;;;;;53.57     
25.02.2016;;;;;43.67     
26.02.2016;;;;;30.20     
27.02.2016;;;;;49.37     
28.02.2016;;;;;41.60     
29.02.2016;;;;;
01.03.2016;32.51     ;;;;
02.03.2016;44.42     ;;73.40     ;;63.53     
03.03.2016;43.51     ;;64.24     ;52.33     ;60.46     
04.03.2016;34.16     ;88.88     ;52.13     ;40.16     ;31.39     
05.03.2016;;;73.90     ;64.24     ;62.17     
06.03.2016;57.49     ;101.14     ;82.80     ;74.56     ;61.16     
07.03.2016;38.30     ;94.14     ;85.86     ;42.59     ;65.74     
08.03.2016;38.72     ;109.11     ;71.03     ;51.73     ;55.93     
09.03.2016;37.98     ;105.80     ;59.96     ;57.27     ;58.77     
10.03.2016;13.76     ;80.81     ;30.56     ;47.14     ;31.28     
11.03.2016;8.78     ;71.41     ;31.60     ;36.04     ;17.97     
12.03.2016;33.58     ;65.34     ;34.36     ;39.67     ;25.10     
13.03.2016;39.78     ;78.98     ;50.36     ;50.79     ;49.01     
14.03.2016;29.02     ;81.71     ;63.07     ;54.43     ;66.97     
15.03.2016;1.66     ;88.24     ;59.86     ;65.24     ;50.78     
16.03.2016;1.67     ;85.04     ;75.52     ;62.57     ;68.31     
17.03.2016;1.66     ;96.46     ;75.44     ;65.32     ;73.54     
18.03.2016;1.66     ;107.89     ;91.79     ;62.99     ;79.61     
19.03.2016;1.67     ;106.22     ;71.69     ;68.78     ;56.76     
20.03.2016;1.68     ;114.00     ;81.70     ;65.46     ;71.13     
21.03.2016;1.67     ;112.11     ;71.16     ;56.24     ;66.10     
22.03.2016;1.68     ;100.92     ;60.61     ;46.37     ;67.47     
23.03.2016;;71.94     ;51.29     ;37.51     ;32.30     
24.03.2016;;69.84     ;66.78     ;48.18     ;65.63     
25.03.2016;;92.02     ;86.86     ;56.73     ;82.24     
26.03.2016;;104.82     ;85.27     ;63.01     ;77.36     
27.03.2016;;100.15     ;68.88     ;58.47     ;53.48     
28.03.2016;;102.58     ;74.53     ;54.60     ;73.49     
29.03.2016;;95.43     ;86.58     ;39.09     ;77.04     
30.03.2016;;101.54     ;91.66     ;46.62     ;71.87     
31.03.2016;;106.99     ;97.63     ;57.33     ;83.06     
01.04.2016;;115.11     ;85.11     ;47.58     ;68.44     
02.04.2016;;102.09     ;74.89     ;60.26     ;72.12     
03.04.2016;;90.88     ;93.82     ;62.00     ;80.77     
04.04.2016;;111.44     ;89.22     ;53.02     ;82.51     
05.04.2016;;114.22     ;99.75     ;45.08     ;85.67     
06.04.2016;;112.56     ;93.28     ;45.99     ;84.10     
07.04.2016;;109.33     ;106.03     ;42.79     ;82.38     
08.04.2016;61.54     ;103.31     ;69.89     ;60.19     ;56.52     
09.04.2016;11.01     ;98.88     ;31.20     ;52.50     ;37.30     
10.04.2016;29.27     ;68.64     ;53.83     ;34.12     ;43.29     
11.04.2016;48.96     ;76.91     ;74.99     ;43.12     ;48.29     
