Datum,Novi Sad SPENS,Beograd Stari grad,Beograd Novi Beograd
2016-01-01,57.51,44.46,58.64
2016-01-02,60.57,48.5,65.89
2016-01-03,35.03,34.56,43.27
2016-01-04,43.85,33.77,31.84
2016-01-05,77.09,,86.37
2016-01-06,79.74,,120.53
2016-01-07,44.3,30.93,34.98
2016-01-08,78.88,75.38,80.68
2016-01-09,55.03,66.98,59.8
2016-01-10,40.58,40.6,45.29
2016-01-11,28.44,17.33,21.88
2016-01-12,26.69,20.73,20.89
2016-01-13,37.71,37.12,48.89
2016-01-14,42.03,31.09,38.96
2016-01-15,31.07,22.74,25.95
2016-01-16,39.67,27.91,36.97
2016-01-17,23.02,15.04,21.05
2016-01-18,29.11,19.99,23.48
2016-01-19,51.3,50.23,56.57
2016-01-20,99,139.67,147.75
2016-01-21,71.22,112.08,118.2
2016-01-22,62.03,,75.26
2016-01-23,75.98,,99.84
2016-01-24,96.73,98.23,97.46
2016-01-25,83.83,107.66,94.05
2016-01-26,86.8,82.75,95.68
2016-01-27,107.49,95.69,112.1
2016-01-28,60.71,116.48,100.3
2016-01-29,55.74,67.15,88.56
2016-01-30,55.94,58.7,74.25
2016-01-31,15.58,18.77,20.64
2016-02-01,,,26.64
2016-02-02,69,,70.8
2016-02-03,74.75,,85.1
2016-02-04,33.08,,20.76
2016-02-05,41.02,29.06,38.26
2016-02-06,32.38,,32.68
2016-02-07,42.86,,30.47
2016-02-08,37.51,27.16,31.05
2016-02-09,32.91,16.14,20.27
2016-02-10,18.76,12.92,14.56
2016-02-11,34.82,11.99,14.35
2016-02-12,27.1,13.65,14.67
2016-02-13,22.31,15.4,17.41
2016-02-14,19.02,15.4,18.99
2016-02-15,20.67,14.08,15.76
2016-02-16,36.7,23.73,27.81
2016-02-17,33.84,24.6,29.16
2016-02-18,11.9,10.58,10.38
2016-02-19,21,10.79,14.76
2016-02-20,42,33.03,46.39
2016-02-21,34.36,34.93,50.5
2016-02-22,39.41,55.05,70.91
2016-02-23,60.84,66.13,87.45
2016-02-24,29.13,24.76,35.44
2016-02-25,31.16,25.76,36.43
2016-02-26,36.08,23.58,29.37
2016-02-27,38.51,33.08,41.21
2016-02-28,22.34,15.35,17.49
2016-02-29,39.23,29.59,39.71
2016-03-01,22.98,21.55,22.3
2016-03-02,32.7,28.87,29.45
2016-03-03,38.84,33.3,33.38
2016-03-04,20.84,,16.13
2016-03-05,27.17,,19.2
2016-03-06,11.66,12.36,10.08
2016-03-07,17.01,13.98,10.65
2016-03-08,30.29,26.41,24.01
2016-03-09,45.54,36.68,37.88
2016-03-10,54.85,37.65,38.21
2016-03-11,52.98,29.37,30.82
2016-03-12,51.48,28.28,30.77
2016-03-13,36.68,24.3,26.66
2016-03-14,26.5,22.34,27.32
2016-03-15,34.96,39.37,37.22
2016-03-16,28.57,25.34,26.25
2016-03-17,39.48,46.92,50.9
2016-03-18,55.43,66.39,65.29
2016-03-19,44.07,44.84,47.66
2016-03-20,47.77,52.96,57.88
2016-03-21,51.84,48.95,54.86
2016-03-22,40.39,34.65,34.54
2016-03-23,27.85,24.7,25.63
2016-03-24,30.22,21.84,30.96
2016-03-25,29.9,,32.87
2016-03-26,31.91,41.98,41.85
2016-03-27,33.65,31.43,30.12
2016-03-28,52.72,36.22,32.15
2016-03-29,21.16,22.8,23.34
2016-03-30,25.56,22.99,23.22
2016-03-31,24.45,19.96,23.28
2016-04-01,52.15,34.6,32.88
2016-04-02,32.87,24.99,23.82
2016-04-03,34.6,29.67,27.13
2016-04-04,48.43,44.12,37.98
2016-04-05,68.3,62.51,51.76
2016-04-06,89.7,85,75
2016-04-07,53.43,67.92,54.87
2016-04-08,49.25,53.62,54
2016-04-09,37.12,41.47,39.78
2016-04-10,20.04,24.12,25.66
2016-04-11,24.29,28.23,25.02
2016-04-12,31.19,33.8,29.49
2016-04-13,41.03,43.13,38.38
2016-04-14,31.44,37.79,32.35
2016-04-15,17.49,14.47,14.26
2016-04-16,27.1,18.54,16.85
2016-04-17,42.63,35.63,33.5
2016-04-18,46.84,41.6,26.68
2016-04-19,34.13,,27.19
2016-04-20,26.14,,21.95
2016-04-21,24.16,26.33,19.73
2016-04-22,26.6,34.3,23.95
2016-04-23,24.72,28.37,22.6
2016-04-24,17.96,19.25,18.86
2016-04-25,23.52,17.62,19.55
2016-04-26,19.82,20.2,20.72
2016-04-27,15.92,18.37,14.09
2016-04-28,18.68,27.6,27.83
2016-04-29,24.97,22.57,25.45
2016-04-30,,31.41,34.24
2016-05-01,,24.76,26
2016-05-02,,15.88,15.67
2016-05-03,,17.28,17.68
2016-05-04,,23.6,23.18
2016-05-05,,26.33,23.78
2016-05-06,22.08,17.88,15.82
2016-05-07,22.95,16.74,17.26
2016-05-08,18.91,,18.83
2016-05-09,20.17,24.27,21.86
2016-05-10,26.78,23.63,22.39
2016-05-11,25.08,24.95,21.94
2016-05-12,29.38,28.38,27.24
2016-05-13,14.51,12.06,9.86
2016-05-14,11.24,10.23,7.78
2016-05-15,14.25,14.47,14.49
2016-05-16,15.83,13.5,13.84
2016-05-17,16.73,16.52,17.3
2016-05-18,17.35,21.36,18.23
2016-05-19,17.39,19.51,14.31
2016-05-20,24.11,31.8,29.29
2016-05-21,28,23.31,27.17
2016-05-22,24.37,26.17,24.05
2016-05-23,22.76,21.18,17.11
2016-05-24,16.79,15.21,11.94
2016-05-25,17.78,16.57,16.24
2016-05-26,22.33,22.97,21.71
2016-05-27,26.8,29.49,25.03
2016-05-28,21.62,27.5,20.91
2016-05-29,28.61,24.56,23.23
2016-05-30,29.29,32.01,27.18
2016-05-31,14.26,22.14,15.99
2016-06-01,13.54,17.96,13.48
