Datum,Novi Sad SPENS,Beograd Stari grad,Beograd Novi Beograd
2016-1-1,50,56,43
2016-1-2,51,,43
2016-1-3,27,35,28
2016-1-4,38,29,31
2016-1-5,69,82,
2016-1-6,71,,
2016-1-7,40,30,27
2016-1-8,68,,
2016-1-9,45,55,61
2016-1-10,34,42,32
2016-1-11,12,13,8
2016-1-12,14,19,20
2016-1-13,30,44,33
2016-1-14,30,35,26
2016-1-15,26,23,20
2016-1-16,33,35,26
2016-1-17,17,17,12
2016-1-18,20,20,17
2016-1-19,38,54,44
2016-1-20,60,,
2016-1-21,53,104,
2016-1-22,47,58,
2016-1-23,67,,
2016-1-24,,,
2016-1-25,,,
2016-1-26,,,
2016-1-27,87,,
2016-1-28,44,,98
2016-1-29,51,81,59
2016-1-30,35,67,51
2016-1-31,,16,
2016-2-1,,,
2016-2-2,48,,
2016-2-3,51,,
2016-2-4,24,17,
2016-2-5,29,35,27
2016-2-6,23,28,
2016-2-7,33,25,
2016-2-8,24,23,23
2016-2-9,16,12,11
2016-2-10,11,9,8
2016-2-11,16,10,9
2016-2-12,17,10,9
2016-2-13,16,13,12
2016-2-14,13,14,11
2016-2-15,16,11,10
2016-2-16,32,24,21
2016-2-17,26,20,19
2016-2-18,10,7,8
2016-2-19,15,14,9
2016-2-20,31,42,30
2016-2-21,23,45,30
2016-2-22,20,55,45
2016-2-23,37,69,53
2016-2-24,20,32,23
2016-2-25,24,31,22
2016-2-26,28,26,21
2016-2-27,32,36,30
2016-2-28,18,14,13
2016-2-29,24,22,19
2016-3-1,16,17,16
2016-3-2,26,27,25
2016-3-3,32,28,27
2016-3-4,,13,
2016-3-5,,15,
2016-3-6,8,6,8
2016-3-7,12,,11
2016-3-8,23,20,21
2016-3-9,34,34,32
2016-3-10,47,36,35
2016-3-11,42,29,27
2016-3-12,42,27,24
2016-3-13,31,23,20
2016-3-14,19,22,17
2016-3-15,27,33,34
2016-3-16,23,21,18
2016-3-17,28,43,37
2016-3-18,39,59,56
2016-3-19,31,41,38
2016-3-20,34,50,44
2016-3-21,36,46,39
2016-3-22,31,32,32
2016-3-23,24,23,22
2016-3-24,,24,
2016-3-25,,27,
2016-3-26,24,36,37
2016-3-27,29,27,29
2016-3-28,39,26,29
2016-3-29,13,17,15
2016-3-30,13,16,14
2016-3-31,10,12,8
2016-4-1,19,13,10
2016-4-2,13,10,9
2016-4-3,18,13,13
2016-4-4,19,18,17
2016-4-5,23,20,21
2016-4-6,28,31,28
2016-4-7,20,22,23
2016-4-8,27,22,20
2016-4-9,28,32,32
2016-4-10,15,22,20
2016-4-11,15,19,18
2016-4-12,12,18,15
2016-4-13,13,15,13
2016-4-14,13,15,14
2016-4-15,10,8,8
2016-4-16,10,7,6
2016-4-17,13,13,10
2016-4-18,13,9,10
2016-4-19,,12,
2016-4-20,,14,
2016-4-21,12,12,12
2016-4-22,12,13,12
2016-4-23,12,12,11
2016-4-24,14,15,15
2016-4-25,21,17,15
2016-4-26,13,16,15
2016-4-27,8,7,7
2016-4-28,15,22,
2016-4-29,20,23,
2016-4-30,,31,27
2016-5-1,,18,17
2016-5-2,,11,10
2016-5-3,,15,14
2016-5-4,,19,19
2016-5-5,,18,19
2016-5-6,14,11,11
2016-5-7,,11,
2016-5-8,,10,
2016-5-9,12,14,
2016-5-10,19,17,17
2016-5-11,19,14,15
2016-5-12,20,17,17
2016-5-13,6,3,3
2016-5-14,5,2,3
2016-5-15,10,9,9
2016-5-16,9,9,8
2016-5-17,9,11,10
2016-5-18,9,11,11
2016-5-19,10,7,7
2016-5-20,16,23,22
2016-5-21,15,16,13
2016-5-22,12,16,14
2016-5-23,12,9,9
2016-5-24,7,4,4
2016-5-25,10,10,10
2016-5-26,14,14,14
2016-5-27,15,16,17
2016-5-28,12,11,13
2016-5-29,15,12,11
2016-5-30,12,11,11
2016-5-31,6,7,7
2016-6-1,6,5,6
2016-6-2,5,5,6
2016-6-3,7,4,6
2016-6-4,8,6,7
