Datum,Beograd Mostar,Beograd Zeleno brdo,Kostolac,Bor Brezonik,Bor Gradski park,Bor Institut RIM,Kragujevac,Zajecar,Cacak,Kamenicki Vis EMEP,Nis O.s. Sveti Sava
2016-01-01,,27.4,,,39.91,60.67,10.92,24.65,18.03,,5.05
2016-01-02,,17.62,,,31.55,24.69,8.42,5.87,29.53,,9.07
2016-01-03,,6.98,,,16.73,10.21,9.92,2.91,16.84,,4.53
2016-01-04,,23.55,,,18.65,14.18,16.79,1.47,18.61,,6.35
2016-01-05,,26.83,,,128.1,102.55,18.29,32.6,21.37,,6.41
2016-01-06,,23.23,,,63.13,54.14,14.75,14.32,18.72,,5.63
2016-01-07,,14.78,,,25.03,32.46,13.21,15.28,21.2,,8.29
2016-01-08,,26.57,,,14.06,65.05,15.08,26.27,22.83,,9.92
2016-01-09,,18.53,,,54.78,85.62,15.38,35.33,16.88,,8.63
2016-01-10,,21.21,,,160.86,186.46,11.46,25.78,14.8,,8.98
2016-01-11,,9.43,,,31.9,76.26,20.17,46.25,19.71,,6.51
2016-01-12,,16.48,,,14.21,28.63,17.29,39.29,17.41,,6.05
2016-01-13,,13.05,,,36.43,23.01,12.88,28.45,13.99,,5.36
2016-01-14,11.56,22.08,,,17.09,26.83,11.71,23,15.5,,4.61
2016-01-15,6.96,8.34,,,23.55,40.75,11.58,8.03,13.05,,4.78
2016-01-16,2.63,8.98,,,73.46,20.11,9.71,13.68,15.87,,9.87
2016-01-17,1.91,5.27,,,86.64,27.17,13.21,6.65,16.2,,5.46
2016-01-18,2.04,14.15,,,19.19,26.8,14.5,14.97,15.63,,6.7
2016-01-19,22.39,34.69,,,18.09,26.47,14.33,16.13,22.9,,7.11
2016-01-20,28.9,51.42,,,46.58,59.3,17.67,22.03,20.7,,11.18
2016-01-21,19.36,42.19,,,116.53,176.2,14.88,62.11,21.28,,10.8
2016-01-22,17.25,38.73,,,15.6,29.12,13.08,38.88,14.4,,10.45
2016-01-23,29.27,38.05,,,41.15,54.38,15.04,32.58,19.04,,13.2
2016-01-24,,34.85,,,73.77,43.14,11.71,61.26,15.19,,7.94
2016-01-25,,32.17,,,16.53,27.13,11.79,72.13,16.23,,12.05
2016-01-26,,26.33,,,19.34,33.56,8.67,89.63,20.2,,11.75
2016-01-27,24.83,41.08,,,12.06,21.5,15.08,63.05,16.71,,9.92
2016-01-28,21.59,35.97,,30.25,32.04,47.55,15.04,59.26,17.25,,10.9
2016-01-29,16.48,23.82,,29.55,24.64,34.01,16.75,71.08,17.89,,8.68
2016-01-30,,16.48,,28.81,12.75,15.88,15.63,43.9,14.28,,9.4
2016-01-31,,9.78,,12.97,5.93,14.43,16.65,47.58,16.62,,8.11
2016-02-01,8.94,13.8,,,,,,,,,
2016-02-02,17.69,30.6,,23.49,27.36,36.46,17.54,68.96,11.84,,9.96
2016-02-03,20.81,23.86,,17.58,6.05,31.49,23.38,47.43,17.63,,6.93
2016-02-04,2.35,10.42,,12.65,5.07,12.73,11.08,33.32,10.28,,4.64
2016-02-05,3.09,17.59,12.09,11.01,2.65,10.89,,25.08,10.65,,9.75
2016-02-06,13.34,21.77,38.98,13.08,9.6,20.61,,22.98,12.18,,6.7
2016-02-07,13.18,17.33,18.08,21.35,58.38,27.36,,19.33,11.18,,5.58
2016-02-08,18.03,19.77,17.97,63.15,50.65,45.4,,25.8,12.65,,8.49
