Datum,Kikinda Centar,Novi Sad Liman,Sremska Mitrovica,Beograd Stari grad,Beograd Novi Beograd,Sabac,Kostolac,Smederevo Carina,Bor Institut RIM,Kragujevac,Cacak,Uzice,Krusevac,Kamenicki Vis EMEP,Nis O.s. Sveti Sava,Vranje
2017-1-1,1.35,0.80,4.82,2.66,2.01,6.13,1.27,2.28,0.75,2.05,2.04,3.08,6.68,0.23,3.34,8.71
2017-1-2,2.37,1.29,4.36,4.06,2.35,6.75,1.29,2.17,0.66,2.18,5.35,3.12,8.66,0.20,4.83,14.78
2017-1-3,2.41,1.23,3.68,4.00,2.51,6.27,1.21,2.70,0.32,1.66,5.70,2.48,9.00,0.36,4.57,17.23
2017-1-4,0.40,0.89,3.12,2.19,1.81,4.04,1.15,1.94,1.24,2.24,1.83,2.56,4.38,0.29,6.70,8.71
2017-1-5,0.26,0.77,2.53,1.56,1.31,2.24,0.63,1.66,1.19,1.86,1.64,1.95,4.37,0.41,6.51,8.72
2017-1-6,0.12,0.48,0.86,0.55,0.28,1.26,0.27,0.43,0.15,0.22,0.26,0.71,0.39,,0.96,0.63
2017-1-7,0.24,0.60,1.21,0.83,0.56,1.31,0.11,0.65,0.12,0.88,0.67,1.28,0.87,,0.95,0.59
2017-1-8,0.33,0.58,1.53,0.92,0.62,1.33,0.31,0.71,0.19,1.20,0.73,1.37,2.13,0.14,0.97,1.86
2017-1-9,0.90,0.58,1.79,1.17,0.84,1.88,0.49,1.92,0.34,2.16,1.41,1.08,4.14,0.20,0.93,1.28
2017-1-10,0.87,0.62,1.86,1.19,0.85,2.22,0.43,1.74,0.30,2.39,1.69,1.51,5.50,0.23,1.05,1.26
2017-1-11,0.50,0.62,2.13,1.28,1.20,3.98,1.27,2.19,1.12,2.47,2.23,2.07,4.44,0.44,1.11,4.65
2017-1-12,0.79,1.08,5.64,3.47,3.02,8.18,1.28,2.12,1.54,4.74,4.76,5.08,8.63,0.42,0.76,16.14
2017-1-13,0.79,0.80,4.21,3.94,3.27,7.53,0.96,1.44,1.57,3.98,5.74,5.65,9.34,0.24,1.46,17.84
2017-1-14,0.30,0.39,2.86,1.29,0.71,4.39,1.05,2.09,0.75,1.65,1.25,2.08,3.14,0.25,,2.07
2017-1-15,4.06,0.45,3.52,1.75,1.64,5.63,1.11,3.48,1.01,1.66,1.49,1.60,4.51,0.41,,1.75
2017-1-16,4.13,0.49,3.54,3.30,2.18,6.32,1.00,3.65,1.19,0.34,1.10,1.17,4.93,0.25,,2.78
2017-1-17,0.52,0.54,1.19,0.48,0.40,1.09,0.26,0.70,0.41,,2.48,1.01,0.64,0.30,,3.13
2017-1-18,0.54,0.59,1.08,0.48,0.41,1.03,0.22,0.66,0.15,,2.37,0.83,0.42,0.22,,0.58
2017-1-19,1.11,1.07,2.71,0.42,0.55,2.24,0.26,1.24,0.16,1.17,0.87,0.80,1.22,0.13,,0.63
2017-1-20,1.26,2.03,5.10,1.34,1.45,6.87,0.62,2.72,1.46,1.51,1.71,1.73,2.00,0.26,,2.08
2017-1-21,1.78,1.92,5.35,1.80,2.23,7.39,1.37,3.20,1.49,1.85,2.66,2.50,4.26,0.34,,4.30
2017-1-22,2.67,2.16,4.66,1.65,2.05,7.00,0.91,3.98,1.47,3.02,2.69,2.40,5.10,0.36,,6.19
2017-1-23,1.22,0.97,1.85,1.55,1.59,2.14,1.59,4.07,1.90,3.71,2.86,2.93,4.13,0.25,,6.76
2017-1-24,1.22,0.87,1.31,1.17,1.22,1.50,0.79,2.18,1.05,3.85,2.96,2.81,5.50,0.94,,3.87
2017-1-25,0.82,0.68,1.41,0.72,0.92,1.42,0.66,1.25,0.80,0.94,1.22,1.10,1.53,0.91,,1.06
2017-1-26,0.77,0.67,2.57,0.68,0.84,2.74,0.54,1.26,1.52,0.94,0.86,0.96,1.73,0.45,,1.90
2017-1-27,0.65,0.52,2.72,0.78,0.92,2.94,0.59,1.29,1.54,2.13,1.87,2.60,4.99,0.51,,9.07
2017-1-28,0.86,0.35,1.12,0.93,0.93,1.63,0.94,2.85,1.76,2.90,2.18,3.75,7.25,0.40,,10.58
2017-1-29,1.08,0.67,1.26,0.99,1.06,1.64,1.24,2.93,1.83,3.15,3.07,3.61,7.89,0.38,,11.07
2017-1-30,1.09,1.61,3.37,1.01,1.20,3.01,0.56,1.39,0.43,1.42,3.13,3.13,6.03,0.38,,12.45
2017-1-31,0.55,1.68,3.39,0.55,0.68,2.99,0.31,0.73,0.90,2.13,2.26,5.08,3.14,0.27,,6.87
2017-2-1,0.74,0.96,2.44,1.52,1.29,4.56,0.47,1.07,1.28,2.29,2.66,6.73,5.47,0.30,,4.69
2017-2-2,0.79,0.41,2.83,1.65,1.96,5.22,0.67,0.75,2.31,2.80,2.68,6.47,5.84,0.33,,5.27
2017-2-3,0.83,0.25,4.27,1.11,1.90,6.11,0.88,0.84,2.58,2.74,6.31,3.79,5.81,0.33,,6.87
2017-2-4,0.78,0.37,4.09,0.74,0.98,5.52,0.86,0.78,1.19,2.96,6.31,2.24,4.27,0.29,,8.78
2017-2-5,0.92,0.43,2.57,0.74,1.01,4.49,0.79,1.50,1.27,3.25,2.10,2.71,3.69,0.30,,9.24
2017-2-6,0.92,0.36,1.16,0.42,0.53,1.56,0.56,1.31,1.35,2.00,1.81,2.93,3.91,0.37,,6.36
2017-2-7,0.83,0.66,1.15,0.56,0.73,1.17,0.59,0.88,0.66,0.63,0.68,1.40,0.61,0.54,,2.06
2017-2-8,0.79,0.64,1.31,0.65,0.73,1.35,0.66,1.00,0.63,0.73,0.87,0.95,0.51,0.53,,0.96
2017-2-9,0.73,0.52,1.24,0.57,0.66,1.30,0.44,0.92,0.30,0.68,0.85,0.89,0.39,0.35,,1.03
2017-2-10,0.59,0.20,0.83,0.31,0.43,0.85,0.27,0.51,0.25,0.58,0.57,0.85,0.28,0.30,,1.10
