Datum,Novi Sad SPENS,Beograd Mostar,Beograd Vracar,Beograd Zeleno brdo,Kragujevac,Uzice,Nis IZJZ Nis
2017-01-01,22.89,28.83,182.84,36.32,38.92,49.84,18.61
2017-01-02,32.94,39.12,244.56,36.68,43.50,50.34,22.87
2017-01-03,14.86,25.20,147.49,27.00,40.17,36.35,15.68
2017-01-04,22.73,28.48,159.12,35.15,45.44,49.07,21.97
2017-01-05,20.89,27.82,124.16,24.92,43.04,33.33,21.68
2017-01-06,10.47,41.91,42.17,8.27,34.55,39.88,12.11
2017-01-07,9.58,24.76,121.01,12.75,25.76,33.63,
2017-01-08,15.99,33.52,175.06,19.93,29.24,33.15,15.82
2017-01-09,14.46,33.07,146.95,25.82,39.67,40.43,21.05
2017-01-10,9.49,32.72,83.34,18.26,49.07,43.74,21.39
2017-01-11,21.14,38.92,249.57,35.39,44.85,52.27,27.41
2017-01-12,35.29,46.93,197.69,44.60,66.63,63.48,38.61
2017-01-13,26.56,55.91,76.05,20.63,30.93,69.40,35.65
2017-01-14,24.63,39.55,119.23,31.87,43.55,40.74,26.85
2017-01-15,19.53,27.13,145.24,31.23,35.70,50.86,30.56
2017-01-16,9.25,28.60,103.30,20.50,38.41,37.97,27.74
2017-01-17,8.02,35.49,62.36,17.15,37.32,34.83,22.37
2017-01-18,11.20,44.78,58.94,15.31,34.08,34.84,20.55
2017-01-19,14.29,40.05,67.18,16.09,33.75,41.83,21.04
2017-01-20,28.52,31.44,141.24,53.52,54.33,47.74,23.35
2017-01-21,31.13,28.54,151.89,71.79,57.89,66.25,24.95
2017-01-22,14.86,25.75,109.10,31.55,63.32,61.02,20.21
2017-01-23,13.67,23.85,149.94,67.29,66.83,74.19,35.14
2017-01-24,16.09,,153.00,46.04,49.68,54.74,30.68
2017-01-25,14.00,26.51,144.45,36.40,40.26,52.53,23.92
2017-01-26,14.68,23.08,140.57,36.89,42.80,49.66,24.24
2017-01-27,9.89,28.52,86.49,24.24,53.86,67.59,27.20
2017-01-28,5.12,21.61,93.32,29.41,60.01,89.10,33.11
2017-01-29,12.02,17.80,134.01,48.64,50.98,81.25,32.26
2017-01-30,15.96,38.88,81.39,23.07,37.96,92.02,33.89
2017-01-31,19.93,57.07,53.29,18.33,47.82,97.74,36.06
2017-02-01,20.26,44.81,92.18,29.45,57.25,111.46,33.77
2017-02-02,25.80,43.95,126.27,35.39,64.73,85.89,28.28
2017-02-03,40.16,45.25,148.94,37.24,57.67,71.86,30.73
2017-02-04,39.29,36.39,135.17,28.17,61.88,56.81,26.89
2017-02-05,17.59,37.36,107.63,22.49,47.85,53.05,19.74
2017-02-06,10.53,88.71,65.81,18.92,37.04,53.77,23.67
2017-02-07,9.43,48.97,104.92,22.21,40.14,32.29,16.51
2017-02-08,9.40,15.61,91.01,23.81,33.15,33.63,17.15
2017-02-09,6.33,50.77,47.17,11.64,24.33,30.07,16.92
2017-02-10,6.01,48.03,42.78,12.89,24.91,34.68,19.01
2017-02-11,5.62,54.38,45.94,13.33,21.24,41.59,20.17
2017-02-12,5.15,48.27,40.31,13.11,21.09,32.95,16.91
2017-02-13,6.42,34.88,61.65,20.17,40.78,43.88,23.71
2017-02-14,14.83,22.10,82.84,26.79,42.72,57.59,23.73
2017-02-15,22.34,36.00,119.03,40.43,44.92,60.53,21.80
2017-02-16,11.05,23.94,80.07,40.50,51.15,68.74,25.88
2017-02-17,15.66,24.95,99.29,54.96,59.91,73.12,29.90
2017-02-18,12.69,13.92,80.23,32.36,47.15,46.83,22.77
2017-02-19,7.66,12.82,60.87,24.06,37.13,27.42,17.56
2017-02-20,17.19,23.88,112.55,41.35,42.70,54.15,22.56
2017-02-21,30.85,36.33,144.32,46.63,48.63,53.36,22.87
2017-02-22,43.67,42.56,137.79,46.96,58.58,55.58,16.78
2017-02-23,53.39,48.65,54.28,47.10,56.29,51.65,19.24
2017-02-24,28.86,41.60,31.83,30.56,53.89,48.20,14.41
2017-02-25,16.86,39.92,26.22,30.34,36.82,28.77,16.88
2017-02-26,18.07,28.04,26.48,24.26,36.68,41.51,17.33
2017-02-27,34.92,34.61,40.00,36.26,48.57,44.76,15.41
2017-02-28,40.03,64.23,27.75,31.28,51.26,45.02,12.66
2017-03-01,26.04,71.55,29.79,23.69,45.12,39.32,14.43
2017-03-02,40.77,29.92,34.16,26.35,48.26,50.40,16.31
2017-03-03,16.11,30.78,35.49,31.54,48.30,55.87,16.25
2017-03-04,28.05,34.26,24.40,22.68,44.07,44.89,13.90
2017-03-05,27.74,33.58,23.72,24.32,35.92,33.60,15.01
2017-03-06,36.08,61.16,31.98,30.63,45.05,34.90,16.28
2017-03-07,7.50,65.98,23.32,18.97,40.32,48.15,19.19
2017-03-08,15.77,17.27,23.89,23.24,32.86,21.91,15.07
2017-03-09,18.88,18.47,27.05,32.84,35.63,46.62,13.05
