Datum,Beograd Stari grad,Kamenicki Vis EMEP,Novi Sad Liman
2017-01-01,17.04,82.88,52.30
2017-01-02,4.93,89.61,37.99
2017-01-03,9.31,87.01,27.69
2017-01-04,7.44,67.66,29.29
2017-01-05,31.44,64.09,48.70
2017-01-06,52.03,,55.64
2017-01-07,49.13,,52.84
2017-01-08,38.30,56.84,64.66
2017-01-09,31.88,57.74,43.30
2017-01-10,39.51,46.35,55.25
2017-01-11,32.08,62.70
2017-01-12,9.06,51.14
2017-01-13,41.99,63.84
2017-01-14,37.61,64.80, 
2017-01-15,26.50,73.54
2017-01-16,36.76,76.68, 
2017-01-17,54.24,62.76, 
2017-01-18,43.68,76.60, 
2017-01-19,53.05,78.39, 
2017-01-20,41.89,89.31, 
2017-01-21,46.11,94.75, 
2017-01-22,38.48,102.13, 
2017-01-23,10.85,100.24, 
2017-01-24,28.58,89.43, 
2017-01-25,34.64,65.93, 
2017-01-26,21.69,63.74, 
2017-01-27,36.96,101.40, 
2017-01-28,32.26,112.13, 
2017-01-29,16.36,109.63, 
2017-01-30,39.86,99.58, 
2017-01-31,53.61,92.31, 
2017-02-01,38.86,94.86, 
2017-02-02,2.93,98.85, 
2017-02-03,8.48,94.18, 
2017-02-04,6.23,86.25, 
2017-02-05,34.81,93.75, 
2017-02-06,36.73,89.90, 
2017-02-07,34.59,90.38, 
2017-02-08,9.65,54.74, 
2017-02-09,43.01,63.86, 
2017-02-10,59.06,68.04, 
2017-02-11,56.16,76.78, 
2017-02-12,59.09,74.13, 
2017-02-13,51.61,82.65, 
2017-02-14,38.01,90.84, 
2017-02-15,45.44,103.63, 
2017-02-16,47.64,122.13, 
2017-02-17,20.15,118.25, 
2017-02-18,11.37,122.50, 
2017-02-19,39.54,62.95, 
2017-02-20,26.34,81.60, 
2017-02-21, ,96.79, 
2017-02-22,19.71,90.79, 
2017-02-23,23.88,107.08, 
2017-02-24,31.47,90.60, 
2017-02-25,50.04,71.59, 
2017-02-26,34.49,73.94, 
2017-02-27,13.57,88.99, 
2017-02-28,21.65,82.86, 
2017-03-01,37.80,85.79, 
2017-03-02,34.99,105.63, 
