,BEOGRAD_Vracar,Valjevo,Uzice,Kragujevac,Niš IZJZ Niš
1/1/2017,,116.0,,114.9,158.92
1/2/2017,,175.7,,106.8,154.97
1/3/2017,,111.6,,74.3,92.33
1/4/2017,,129.9,,104.7,129.98
1/5/2017,,74.0,,60.0,48.43
1/6/2017,,44.7,,58.9,23.31
1/7/2017,,106.1,,48.7,33.91
1/8/2017,,112.7,,63.1,77.20
1/9/2017,,72.9,,86.2,50.95
1/10/2017,,155.4,,138.0,64.84
1/11/2017,,130.8,,114.4,113.94
1/12/2017,,345.7,,156.2,251.08
1/13/2017,,94.7,,65.1,173.00
1/14/2017,,85.7,,51.4,52.37
1/15/2017,,105.5,,78.3,105.34
1/16/2017,,134.6,,87.1,72.19
1/17/2017,,76.4,,52.9,26.57
1/18/2017,,47.8,,42.5,19.14
1/19/2017,,59.2,,38.2,30.27
1/20/2017,,155.0,,110.5,65.58
1/21/2017,,216.9,,165.2,111.23
1/22/2017,,251.9,,254.4,105.78
1/23/2017,,178.8,,203.5,135.98
1/24/2017,,151.5,,169.7,127.39
1/25/2017,,91.8,,72.7,48.31
1/26/2017,,109.0,,95.7,57.05
1/27/2017,,,,135.6,90.04
1/28/2017,,,196.9,186.1,158.18
1/29/2017,,,178.0,205.0,136.16
1/30/2017,,,381.8,95.0,59.62
1/31/2017,,,256.1,91.5,61.68
2/1/2017,,,409.3,119.1,106.58
2/2/2017,,,243.3,115.8,107.58
2/3/2017,,,134.0,71.5,79.19
2/4/2017,,,77.2,101.0,122.92
2/5/2017,,,150.5,75.0,90.26
2/6/2017,,,141.1,50.9,70.19
2/7/2017,,,58.0,38.6,30.47
2/8/2017,,,74.1,58.4,44.30
2/9/2017,,,68.3,39.9,37.82
2/10/2017,,,79.8,50.3,39.99
2/11/2017,,,105.3,,43.59
2/12/2017,,68.1,,,32.84
2/13/2017,,78.8,,,46.88
2/14/2017,,146.8,,,72.41
2/15/2017,,138.3,,,90.41
2/16/2017,,133.7,,,126.48
2/17/2017,,195.3,,,143.02
2/18/2017,,124.5,,,92.17
2/19/2017,,80.3,,,41.89
2/20/2017,,99.0,,,90.93
2/21/2017,,154.3,,,105.54
2/22/2017,,84.8,172.1,,113.17
2/23/2017,,114.5,104.3,,89.15
2/24/2017,72.2,81.7,89.6,,37.85
2/25/2017,86.3,63.6,51.6,,36.32
2/26/2017,106.7,102.7,119.3,,51.79
2/27/2017,154.9,94.0,140.7,105.4,86.51
2/28/2017,70.4,48.7,101.0,97.9,68.77
3/1/2017,47.1,48.9,50.1,67.0,33.37
3/2/2017,56.8,54.2,107.0,61.5,49.30
3/3/2017,59.5,64.7,112.0,74.9,61.06
3/4/2017,54.4,35.7,75.0,71.0,56.89
3/5/2017,49.6,18.5,40.2,46.7,35.58
3/6/2017,35.6,48.2,53.1,38.1,38.67
3/7/2017,33.1,49.7,71.0,48.9,42.85
3/8/2017,55.2,43.3,14.8,50.9,39.05
3/9/2017,97.2,62.8,93.1,78.8,56.68
3/10/2017,62.2,41.2,59.6,70.3,44.31
3/11/2017,63.8,42.5,50.3,46.0,43.65
3/12/2017,47.1,36.1,43.4,38.4,38.87
3/13/2017,50.7,53.2,59.9,36.7,31.11
3/14/2017,75.1,55.9,76.7,74.5,49.19
3/15/2017,92.5,35.0,93.7,73.4,70.21
3/16/2017,76.5,43.6,78.6,60.0,60.14
3/17/2017,57.1,42.9,77.0,63.1,59.85
3/18/2017,77.6,51.3,66.2,59.5,45.38
3/19/2017,71.2,45.6,48.1,63.7,42.34
3/20/2017,60.2,42.7,84.9,58.6,48.38
3/21/2017,54.6,44.5,75.9,56.6,42.15
3/22/2017,47.6,36.6,73.0,45.8,32.92
3/23/2017,52.7,31.2,72.3,41.0,25.90
3/24/2017,51.8,27.1,63.9,46.6,30.08
3/25/2017,62.2,31.7,60.9,56.7,46.95
3/26/2017,60.2,26.2,52.5,53.5,35.54
3/27/2017,48.2,28.0,45.6,48.2,29.40
3/28/2017,101.0,31.7,59.6,53.3,37.88
3/29/2017,71.5,25.8,68.0,67.2,41.23
3/30/2017,56.6,22.7,63.1,66.3,42.49
3/31/2017,52.5,21.6,60.7,41.0,32.23
4/1/2017,50.9,26.6,56.0,41.6,25.61
4/2/2017,46.7,20.7,51.8,37.0,23.85
4/3/2017,34.7,21.8,55.8,37.3,25.79
4/4/2017,36.7,25.1,46.3,32.6,23.49
4/5/2017,43.3,24.9,39.0,26.5,21.04
4/6/2017,57.5,20.7,52.0,34.1,28.70
4/7/2017,38.1,19.6,42.6,25.6,25.11
4/8/2017,44.6,27.8,49.2,26.0,36.09
4/9/2017,47.6,20.0,65.3,28.4,35.34
4/10/2017,58.8,23.6,68.8,33.4,31.65
4/11/2017,53.7,,62.8,36.8,31.44
4/12/2017,47.6,,56.7,33.9,29.85
4/13/2017,57.5,,59.5,41.7,29.52
4/14/2017,37.7,,38.6,32.4,20.72
4/15/2017,42.9,,35.5,30.6,19.51
4/16/2017,32.0,,31.3,29.3,15.76
4/17/2017,33.8,,33.1,25.3,15.28
4/18/2017,37.9,,33.7,32.6,15.22
4/19/2017,21.6,,33.5,16.3,20.46
4/20/2017,25.2,,18.1,20.7,21.65
4/21/2017,47.8,,38.3,31.5,31.73
4/22/2017,55.3,,49.9,41.9,64.74
4/23/2017,37.7,,37.1,32.2,41.11
4/24/2017,41.9,,52.9,29.5,41.83
4/25/2017,33.8,,51.2,37.5,28.58
4/26/2017,44.4,,43.0,39.9,28.15
4/27/2017,62.4,,67.7,44.3,38.32
4/28/2017,71.3,21.8,64.8,60.7,52.28
4/29/2017,29.6,37.7,24.9,27.4,28.10
4/30/2017,33.2,30.6,36.6,26.5,27.89
5/1/2017,43.1,45.3,54.2,32.6,32.18
5/2/2017,53.7,46.6,55.6,38.3,29.17
5/3/2017,77.3,54.8,62.8,43.7,28.16
5/4/2017,50.5,46.1,44.8,41.0,30.22
5/5/2017,45.5,47.4,41.2,35.5,21.78
5/6/2017,34.0,31.2,35.7,30.7,23.20
5/7/2017,34.9,39.5,30.9,28.7,22.96
5/8/2017,45.1,32.3,44.1,27.1,31.38
5/9/2017,37.4,39.7,33.7,28.4,25.77
5/10/2017,35.6,29.6,40.4,25.3,23.24
5/11/2017,32.2,38.3,38.6,27.5,25.09
5/12/2017,64.3,35.6,79.9,52.9,44.10
5/13/2017,41.9,49.2,50.5,42.8,27.64
5/14/2017,34.3,34.8,33.3,19.4,17.86
5/15/2017,36.5,27.4,45.7,28.5,24.15
5/16/2017,33.4,30.8,35.9,29.1,
5/17/2017,30.5,35.7,37.9,26.9,29.22
5/18/2017,39.0,34.8,33.7,24.9,22.65
5/19/2017,31.1,35.9,31.7,23.4,18.50
5/20/2017,35.9,37.4,35.5,29.5,21.59
5/21/2017,30.0,25.6,29.6,25.6,19.63
5/22/2017,37.6,33.2,45.2,34.4,35.05
5/23/2017,38.6,37.9,48.7,33.1,29.19
5/24/2017,33.4,34.1,127.2,23.1,19.80
5/25/2017,29.3,32.5,34.2,24.2,20.02
5/26/2017,30.7,30.3,38.8,25.8,25.93
5/27/2017,34.1,38.3,32.6,20.9,21.29
5/28/2017,35.2,23.0,29.1,16.1,13.57
5/29/2017,33.6,29.0,28.3,18.7,13.91
5/30/2017,47.4,24.7,31.0,20.5,13.98
5/31/2017,48.7,29.0,33.9,33.4,20.12
6/1/2017,39.9,51.3,42.6,38.4,27.45
6/2/2017,39.2,42.1,39.3,30.0,25.26
6/3/2017,35.0,40.1,43.7,23.8,12.85
6/4/2017,27.9,29.4,35.4,19.0,13.05
6/5/2017,42.4,33.0,34.7,26.5,19.77
6/6/2017,43.7,45.9,38.6,23.4,18.59
6/7/2017,34.1,31.9,38.8,28.6,18.87
6/8/2017,27.3,21.0,23.8,17.4,13.35
6/9/2017,32.0,23.8,22.5,18.9,13.66
6/10/2017,39.4,34.8,35.6,23.1,12.72
6/11/2017,23.4,21.6,25.8,14.8,12.33
6/12/2017,34.0,20.0,19.6,17.8,16.46
6/13/2017,41.0,26.3,35.2,23.1,18.10
6/14/2017,37.6,37.9,39.5,24.7,18.75
6/15/2017,36.1,24.7,30.1,23.6,16.60
6/16/2017,44.6,23.9,28.5,25.6,15.55
6/17/2017,34.1,25.9,27.0,25.6,15.31
6/18/2017,18.7,20.3,19.2,15.4,12.66
6/19/2017,34.7,18.0,19.4,22.0,17.07
6/20/2017,41.5,27.4,30.3,23.2,14.95
6/21/2017,45.1,30.5,36.6,33.7,15.80
6/22/2017,47.3,39.9,33.4,28.6,17.02
6/23/2017,39.7,36.6,35.0,33.1,16.55
6/24/2017,36.5,31.9,26.5,25.3,14.01
6/25/2017,36.7,32.6,31.0,26.2,11.89
6/26/2017,26.2,31.9,31.9,25.7,14.65
6/27/2017,37.2,28.6,,17.6,17.33
6/28/2017,32.7,32.6,,24.5,15.48
6/29/2017,43.7,32.7,,45.8,28.15
6/30/2017,34.3,29.7,,19.0,17.20
7/1/2017,24.6,22.1,,20.7,13.98
7/2/2017,22.3,18.0,,12.4,8.70
7/3/2017,26.4,25.2,,16.8,14.99
7/4/2017,35.0,23.8,,18.7,11.67
7/5/2017,37.6,22.5,,18.3,10.66
7/6/2017,42.8,27.6,,23.1,8.73
7/7/2017,35.6,31.9,,19.8,7.16
7/8/2017,29.3,25.0,,20.9,6.86
7/9/2017,34.7,27.4,,22.0,7.21
7/10/2017,37.7,34.3,,25.1,8.46
7/11/2017,40.3,34.5,,26.8,11.78
7/12/2017,27.5,27.2,35.9,27.5,11.71
7/13/2017,27.5,19.4,23.4,18.7,8.75
7/14/2017,24.8,24.1,23.9,15.2,5.91
7/15/2017,30.7,21.2,25.0,19.8,8.09
7/16/2017,23.0,17.6,17.8,15.2,6.69
7/17/2017,30.2,27.9,22.3,15.7,5.63
7/18/2017,42.8,26.8,59.9,16.8,6.26
7/19/2017,34.5,33.4,32.1,18.7,6.47
7/20/2017,33.4,29.2,37.2,28.2,6.76
7/21/2017,37.9,32.8,35.4,22.7,8.55
7/22/2017,52.5,37.7,37.7,32.0,10.87
7/23/2017,43.5,34.6,36.3,29.7,10.66
7/24/2017,44.2,35.4,40.6,36.6,11.67
7/25/2017,21.0,20.3,28.7,18.2,8.27
7/26/2017,21.4,15.2,19.2,15.0,6.34
7/27/2017,16.9,17.2,23.0,12.6,5.83
7/28/2017,23.7,20.0,21.4,15.7,6.15
7/29/2017,29.3,19.7,29.9,19.3,7.87
7/30/2017,34.7,24.3,78.3,15.4,9.83
7/31/2017,41.9,28.3,27.6,18.5,11.08
8/1/2017,32.3,30.8,29.9,24.5,10.81
8/2/2017,29.3,29.0,24.5,17.8,11.32
8/3/2017,51.8,33.2,34.8,25.4,12.64
8/4/2017,52.3,37.5,47.3,33.5,13.65
8/5/2017,61.5,42.3,46.4,,16.94
8/6/2017,48.7,34.5,41.9,,17.25
8/7/2017,35.8,21.9,25.4,,19.40
8/8/2017,38.6,31.9,35.9,,19.85
8/9/2017,45.6,39.0,38.8,,20.08
8/10/2017,41.5,43.2,47.3,28.0,16.23
8/11/2017,45.5,42.3,47.0,31.3,16.96
8/12/2017,25.7,31.4,33.6,11.9,24.30
8/13/2017,16.7,16.1,16.5,20.1,11.52
8/14/2017,37.4,23.4,22.3,11.0,17.69
8/15/2017,33.8,27.2,33.9,37.3,19.78
8/16/2017,39.4,31.6,37.4,26.4,19.50
8/17/2017,41.3,29.9,35.6,24.7,19.68
8/18/2017,46.0,35.4,35.7,26.4,18.20
8/19/2017,39.0,36.3,36.3,24.7,18.00
8/20/2017,19.8,15.2,21.4,18.3,18.85
8/21/2017,19.6,18.9,18.9,13.4,12.38
8/22/2017,24.4,23.4,24.1,16.5,12.78
8/23/2017,34.9,20.3,24.9,16.5,14.66
8/24/2017,37.7,26.5,25.6,16.5,14.39
8/25/2017,32.2,31.0,31.9,18.0,12.00
8/26/2017,31.4,33.2,33.6,20.9,15.36
