Datum,Beograd Novi Beograd  SO2 ?g.m-3,Beograd Mostar  SO2 ?g.m-3,Beograd Zeleno brdo  SO2 ?g.m-3,Kostolac  SO2 ?g.m-3,Bor Brezonik  SO2 ?g.m-3,Bor Gradski park  SO2 ?g.m-3,Bor Institut RIM  SO2 ?g.m-3,Bor Slatina  SO2 ?g.m-3,Zajeèar  SO2 ?g.m-3,Kamenièki Vis EMEP  SO2 ?g.m-3,Niš O.š. Sveti Sava  SO2 ?g.m-3
01.01.2017,20.32,19.98,51.31,29.95,27.36,28.82,32.72,24.55,40.93,22.25,10.98
02.01.2017,32.08,29.67,61.08,37.48,43.48,50.15,27.38,24.12,42.18,7.40,11.00
03.01.2017,15.40,10.46,21.11,21.91,19.07,21.86,64.49,30.59,47.36,13.68,11.27
04.01.2017,14.72,13.41,37.05,24.11,31.08,25.16,36.33,14.43,38.97,16.50,14.87
05.01.2017,12.70,8.92,24.17,18.11,17.12,19.73,21.57,25.23,26.93,25.22,15.94
06.01.2017,10.30,6.69,13.61,26.43,21.90,21.67,20.53,48.50,10.90,,6.44
07.01.2017,11.06,9.44,24.51,21.19,25.73,24.96,22.93,45.22,19.90,,9.63
08.01.2017,13.85,15.97,41.14,23.60,32.75,33.53,30.43,35.49,24.93,24.51,16.21
09.01.2017,11.47,12.92,38.44,24.07,15.99,29.04,16.98,27.73,16.16,21.73,18.66
10.01.2017,28.73,21.02,30.83,24.76,14.00,37.35,16.65,6.10,7.19,12.51,14.28
11.01.2017,16.36,11.46,35.23,23.27,45.32,30.02,26.52,16.15,20.13,18.29,15.54
12.01.2017,32.06,25.66,53.52,28.66,26.45,40.18,64.16,38.06,46.49,12.18,27.15
13.01.2017,33.33,19.35,27.20,33.09,58.15,63.98,88.62,86.64,42.98,9.50,26.05
14.01.2017,14.42,9.77,18.43,20.63,26.99,37.17,28.91,25.29,39.00,,14.85
15.01.2017,15.15,13.04,26.41,19.47,17.48,33.49,44.54,60.97,38.67,13.28,12.22
16.01.2017,24.87,12.27,24.93,9.24,35.68,54.50,50.35,42.48,21.38,,13.52
17.01.2017,21.63,10.70,25.37,10.17,16.53,81.38,14.32,9.39,19.37,5.75,8.09
18.01.2017,38.98,19.31,43.15,7.73,10.86,40.80,10.47,6.62,15.61,7.01,3.83
19.01.2017,33.03,17.51,23.82,9.14,8.91,70.45,9.07,5.16,10.17,5.11,3.31
20.01.2017,24.23,19.04,50.25,18.05,27.30,26.29,15.37,7.09,12.56,6.52,4.95
21.01.2017,16.28,12.91,52.92,6.09,23.73,30.05,17.95,16.25,32.10,12.53,8.60
22.01.2017,27.85,15.08,46.25,8.25,110.88,182.50,144.83,14.80,31.28,17.97,6.56
23.01.2017,21.41,11.51,64.64,12.14,47.03,56.58,48.27,48.47,42.08,27.81,12.52
24.01.2017,29.08,,62.90,5.99,39.73,33.12,34.53,18.62,61.35,24.19,19.06
25.01.2017,15.51,8.57,25.00,5.36,27.11,29.80,33.06,53.02,39.39,36.53,20.75
26.01.2017,19.30,9.69,26.96,66.98,16.73,21.77,27.89,20.11,43.83,19.73,11.25
27.01.2017,31.29,17.00,32.88,240.40,21.08,14.30,18.36,35.98,39.01,15.06,9.68
28.01.2017,29.27,12.36,36.49,108.44,79.28,127.56,66.78,36.67,40.07,14.48,11.22
29.01.2017,16.93,9.00,42.20,32.87,54.73,98.06,101.95,193.48,37.56,31.65,16.59
30.01.2017,24.67,12.52,20.68,25.63,14.81,69.22,11.13,6.87,21.68,12.41,16.53
31.01.2017,28.41,18.25,19.86,20.90,,104.55,23.13,6.02,23.44,24.77,16.86
01.02.2017,43.14,36.66,24.91,19.65,,161.21,272.58,18.66,22.87,10.72,13.89
02.02.2017,33.31,45.98,18.65,21.40,,100.70,53.58,11.99,40.07,7.83,16.15
03.02.2017,29.93,40.91,22.55,23.48,,55.65,117.91,53.27,74.67,7.85,12.12
04.02.2017,29.36,26.98,20.02,19.07,,48.60,174.15,51.81,73.20,7.76,10.55
05.02.2017,19.01,15.43,17.94,12.19,,22.33,35.91,42.00,45.83,7.65,9.46
06.02.2017,22.52,16.84,17.35,14.23,,144.86,76.81,27.82,44.93,9.38,8.27
07.02.2017,10.52,7.39,11.64,6.29,,114.85,15.33,6.55,18.27,11.47,6.29
08.02.2017,10.53,7.03,13.75,8.02,,109.40,16.17,6.25,15.40,17.76,10.69
09.02.2017,13.33,7.16,8.40,8.02,,212.54,12.49,8.48,9.90,10.70,5.26
10.02.2017,14.70,9.15,11.04,12.17,,83.15,12.25,9.24,9.83,11.53,5.03
11.02.2017,13.27,8.84,8.94,10.32,,146.13,9.28,5.00,10.88,8.48,4.39
12.02.2017,11.05,8.20,8.88,9.75,,118.60,8.11,5.34,9.07,8.61,4.51
13.02.2017,20.83,17.42,19.55,9.62,,46.60,6.78,4.61,12.28,8.50,3.44
14.02.2017,13.29,11.13,13.11,9.07,,53.69,16.72,28.40,29.26,35.18,13.51
15.02.2017,15.28,14.86,23.72,7.48,,33.48,28.21,114.64,34.77,35.44,15.25
16.02.2017,19.80,16.13,29.37,26.58,,32.68,22.84,9.91,22.58,32.33,9.33
17.02.2017,14.96,12.81,37.56,12.82,,33.16,78.54,30.43,35.38,20.68,9.19
18.02.2017,10.47,7.26,15.80,6.36,34.82,38.69,39.21,37.52,49.27,61.37,16.32
19.02.2017,9.65,6.24,10.33,5.87,41.23,32.68,29.32,7.96,16.00,28.16,8.66
20.02.2017,13.95,8.93,28.82,6.51,30.66,32.63,34.63,65.10,29.97,,10.19
21.02.2017,30.51,42.68,42.33,14.66,23.27,34.40,19.17,10.40,27.95,,6.53
22.02.2017,32.97,38.23,33.51,21.28,23.50,15.67,18.43,19.68,50.04,,8.93
23.02.2017,34.03,37.23,27.50,20.89,18.93,34.13,61.05,24.23,35.12,,11.66
24.02.2017,26.19,41.82,24.12,12.46,18.93,10.07,13.01,8.44,39.40,,9.16
25.02.2017,9.41,8.38,13.05,6.68,16.99,9.13,10.42,23.06,24.66,,6.27
26.02.2017,17.30,14.65,13.26,11.43,50.31,31.45,26.40,31.42,27.62,,6.84
27.02.2017,29.29,29.74,28.07,12.14,129.92,57.61,55.24,35.16,40.84,,7.75
28.02.2017,18.04,23.92,9.05,10.70,84.00,68.71,36.48,16.56,45.60,,7.25
01.03.2017,12.45,15.84,10.03,9.18,23.79,23.10,39.89,16.89,33.32,,5.38
02.03.2017,24.55,24.23,20.68,14.21,19.57,10.63,10.62,18.81,33.03,,6.21
03.03.2017,19.79,21.41,18.57,8.45,20.67,16.25,15.96,18.13,31.04,,7.29
04.03.2017,14.72,14.42,11.13,11.07,20.08,52.68,21.18,8.40,30.06,,6.88
05.03.2017,11.88,14.32,10.80,9.83,21.44,17.88,15.70,9.05,34.99,11.17,6.84
06.03.2017,15.72,16.86,20.20,10.29,19.75,8.01,9.48,11.67,34.12,12.64,6.97
07.03.2017,21.25,15.21,26.19,10.66,23.63,179.40,25.47,8.33,36.36,13.98,7.30
08.03.2017,10.88,7.48,12.98,6.37,20.65,226.86,14.48,10.22,40.76,11.21,5.23
09.03.2017,13.55,13.61,21.76,33.62,20.02,63.82,6.99,6.32,23.05,10.73,7.42
10.03.2017,10.33,7.93,15.02,9.18,17.61,8.69,6.86,7.01,18.68,18.89,10.50
11.03.2017,10.55,8.04,18.90,8.88,20.48,14.22,9.21,26.89,19.83,17.81,7.69
12.03.2017,9.70,7.71,12.43,8.29,24.77,18.39,11.13,32.87,20.32,18.91,9.14
13.03.2017,9.61,7.03,12.58,6.64,,11.93,7.73,22.79,18.30,18.47,8.30
14.03.2017,10.15,8.48,12.75,5.81,,16.63,9.13,34.76,21.69,18.50,9.58
15.03.2017,9.92,9.60,13.47,6.43,,13.71,8.25,17.58,27.07,18.02,7.48
16.03.2017,9.62,9.54,13.67,6.65,,9.83,3.81,15.41,24.34,15.08,8.15
17.03.2017,12.04,16.15,15.10,12.61,,13.07,9.85,14.53,27.23,15.46,9.00
18.03.2017,22.68,21.97,24.24,15.26,,25.91,6.75,25.80,16.23,14.98,8.06
19.03.2017,14.30,8.55,17.14,6.87,,9.53,4.35,15.50,22.10,16.73,6.65
20.03.2017,22.90,16.66,20.81,11.09,,44.57,61.84,22.76,25.41,15.30,7.48
21.03.2017,25.80,17.13,16.75,9.95,,38.40,26.20,13.29,20.76,11.95,7.60
22.03.2017,21.90,14.12,10.81,9.90,,54.88,33.38,13.37,22.04,17.25,9.96
23.03.2017,32.40,26.89,19.28,9.56,,50.08,12.26,7.28,18.95,14.42,7.77
24.03.2017,17.13,10.23,11.90,9.45,,61.83,40.91,17.25,25.75,15.24,9.28
25.03.2017,14.40,9.62,10.72,8.56,,19.58,16.38,17.29,24.66,16.85,6.18
26.03.2017,15.41,7.42,10.93,9.14,,37.52,11.07,20.13,16.39,16.08,6.95
27.03.2017,16.32,9.47,15.45,47.89,,78.84,14.10,7.92,15.80,,7.17
28.03.2017,16.77,13.24,18.53,15.46,25.55,25.13,26.36,32.22,29.72,,8.27
29.03.2017,19.03,15.01,14.77,15.40,19.83,27.34,15.54,15.53,27.02,,8.35
30.03.2017,16.62,10.59,7.96,17.82,20.72,11.97,16.54,16.02,19.30,,7.21
31.03.2017,16.58,10.47,7.88,8.55,18.16,147.96,14.62,8.51,19.00,,3.55
01.04.2017,,9.12,7.40,8.23,21.24,72.24,27.65,8.91,12.51,,4.34
02.04.2017,,8.75,7.40,9.17,20.48,119.99,81.12,12.67,19.34,,9.48
03.04.2017,,12.54,8.95,9.51,20.97,178.85,69.66,37.48,22.66,,9.18
04.04.2017,,12.96,8.40,8.95,22.20,103.23,33.09,11.27,22.27,,4.50
05.04.2017,,11.03,13.35,8.93,21.00,34.51,10.05,7.09,11.93,,5.19
06.04.2017,,7.53,10.03,8.54,23.57,14.50,13.70,15.53,16.67,,5.24
07.04.2017,,7.43,10.03,9.12,23.59,15.25,13.71,16.84,9.05,,5.81
08.04.2017,,7.66,10.08,10.50,20.52,9.05,9.17,29.69,12.45,,5.99
09.04.2017,,9.04,8.80,16.39,19.43,12.84,9.12,19.60,13.42,,5.55
10.04.2017,,12.32,9.96,12.70,23.86,43.25,23.53,13.86,14.23,,4.84
11.04.2017,,15.35,13.86,16.16,41.53,62.76,32.48,31.32,18.75,,6.78
12.04.2017,,8.80,10.45,8.64,21.46,25.49,9.40,22.13,11.23,6.80,5.10
13.04.2017,,16.93,18.60,16.24,26.30,15.35,13.08,24.63,14.44,9.59,5.28
14.04.2017,,9.58,10.20,11.38,22.35,12.16,10.04,28.46,16.28,9.42,5.71
15.04.2017,,,8.73,11.84,33.02,20.39,14.77,29.76,12.34,8.16,4.56
16.04.2017,,8.07,7.94,11.97,22.50,11.34,8.46,10.24,16.78,8.79,5.56
17.04.2017,,8.42,6.18,20.38,21.14,17.91,6.20,8.04,10.14,11.30,5.59
18.04.2017,,13.98,8.53,12.16,25.83,49.69,7.14,6.64,9.80,8.41,5.04
19.04.2017,,6.72,8.43,11.41,22.55,18.70,6.33,11.12,6.73,11.00,5.51
20.04.2017,,6.58,12.66,12.04,23.83,17.37,10.62,15.96,9.98,11.80,5.75
21.04.2017,,6.30,12.04,11.00,21.54,14.03,7.01,30.48,10.16,8.47,4.49
22.04.2017,,16.98,17.48,14.19,23.50,21.67,12.05,22.07,11.09,11.96,5.15
23.04.2017,,9.21,8.37,11.73,22.98,16.72,21.12,20.84,15.02,11.10,5.51
24.04.2017,,16.50,11.37,56.86,20.28,14.27,17.05,10.02,14.11,9.84,5.35
25.04.2017,,19.23,8.85,13.64,23.95,47.02,31.56,19.22,15.92,9.72,4.96
26.04.2017,,21.73,7.00,12.78,24.43,34.78,29.59,29.19,13.80,11.02,5.82
27.04.2017,,20.58,9.03,12.80,24.60,39.73,30.96,22.83,17.61,10.79,5.09
28.04.2017,,15.33,8.07,14.18,29.92,34.95,33.41,10.27,20.95,12.73,6.58
29.04.2017,,7.82,5.94,15.74,24.62,33.42,46.42,16.71,19.00,13.61,6.59
30.04.2017,,,12.42,24.67,22.88,14.65,10.14,24.52,14.10,14.20,
01.05.2017,7.80,,4.58,13.59,22.68,299.95,4.25,9.15,13.73,11.73,
02.05.2017,9.74,12.81,4.14,13.92,22.70,145.72,7.80,9.52,12.90,12.73,6.08
03.05.2017,6.88,12.32,6.39,15.13,22.32,62.43,29.26,12.30,13.23,16.47,6.83
04.05.2017,4.53,,6.27,23.45,22.82,34.47,13.11,11.40,14.62,12.80,5.77
05.05.2017,5.70,9.90,6.09,12.95,24.03,41.02,14.61,7.78,12.78,13.81,4.98
06.05.2017,3.84,9.13,6.26,12.72,23.97,13.57,6.26,13.54,12.15,13.88,5.35
07.05.2017,4.63,8.61,7.02,13.48,24.55,72.00,6.12,7.93,12.74,16.46,5.74
08.05.2017,3.99,,6.60,14.09,25.44,20.23,6.97,14.67,12.73,19.06,6.09
09.05.2017,3.60,7.98,7.33,17.03,24.10,18.56,6.54,10.22,10.56,20.04,6.99
10.05.2017,6.70,9.36,6.93,14.09,23.08,10.66,6.12,14.54,9.74,17.39,5.69
11.05.2017,8.88,18.81,10.95,13.94,24.40,73.03,6.44,18.13,11.93,17.50,5.73
12.05.2017,8.20,13.52,9.67,14.70,24.95,39.13,6.74,9.48,13.98,17.93,5.85
13.05.2017,10.09,11.82,11.33,13.00,24.51,18.03,6.12,18.09,11.57,16.73,6.13
14.05.2017,3.75,8.78,6.87,6.47,24.10,15.82,6.12,17.96,12.94,16.15,5.37
15.05.2017,2.49,7.24,6.67,11.15,14.43,44.35,9.79,7.93,9.01,14.13,5.40
16.05.2017,2.08,6.86,2.45,8.74,6.04,28.75,22.94,8.53,8.26,6.48,4.80
17.05.2017,5.60,10.02,7.81,6.81,5.81,90.06,42.49,6.94,7.57,6.91,5.08
18.05.2017,3.99,15.71,2.65,6.64,5.81,37.98,18.09,6.74,6.85,7.44,5.23
19.05.2017,4.34,,3.33,7.42,7.04,41.20,14.85,9.16,8.05,9.17,5.48
20.05.2017,5.79,,6.38,8.96,14.73,36.88,14.06,11.45,8.37,13.67,6.23
21.05.2017,4.48,,4.71,9.63,8.74,13.70,14.00,22.26,11.13,11.10,6.10
22.05.2017,4.05,,4.44,7.87,8.27,12.08,9.01,29.95,10.10,11.59,5.98
23.05.2017,6.06,,7.21,10.20,7.09,74.42,11.56,8.52,10.25,10.29,6.14
24.05.2017,10.93,,12.45,35.22,7.52,52.01,8.87,9.03,9.14,10.35,6.03
25.05.2017,4.45,,5.86,8.87,9.97,17.45,12.65,12.27,11.11,11.35,5.36
26.05.2017,4.50,,7.74,9.32,7.98,10.02,5.68,8.50,9.10,11.86,5.81
27.05.2017,4.25,,9.02,11.13,7.80,8.97,4.59,7.49,7.23,12.48,6.40
28.05.2017,6.22,,11.68,21.15,6.91,18.80,16.53,7.35,5.23,10.24,5.50
29.05.2017,5.73,,6.82,9.55,7.93,22.23,11.04,10.83,7.00,10.88,4.93
30.05.2017,8.24,13.94,8.43,150.98,8.99,41.05,9.03,12.44,7.93,11.71,5.95
31.05.2017,9.00,14.73,9.85,20.05,8.69,22.88,15.66,16.50,12.46,19.57,8.22
01.06.2017,5.35,11.46,4.46,17.62,9.78,19.52,9.57,11.95,11.32,22.00,8.08
02.06.2017,5.15,12.11,5.05,12.86,12.35,21.64,9.79,10.84,12.04,16.52,7.10
03.06.2017,7.57,12.93,9.16,20.74,9.54,149.15,11.49,14.84,14.58,13.92,7.12
04.06.2017,10.19,12.04,6.73,12.35,8.87,31.43,33.61,9.15,8.49,13.17,6.55
05.06.2017,14.36,17.80,14.30,15.68,9.15,25.61,34.49,9.43,9.23,13.97,6.95
06.06.2017,11.85,21.22,11.72,13.19,9.21,34.94,20.82,10.56,9.89,15.41,7.22
07.06.2017,6.91,12.54,8.49,18.47,10.83,22.91,9.26,10.23,11.09,16.14,7.62
08.06.2017,4.73,11.05,5.45,11.79,,10.85,4.03,17.60,8.81,15.42,6.65
09.06.2017,5.00,10.77,7.18,20.94,,7.83,4.51,16.20,8.77,18.99,7.16
10.06.2017,7.70,11.97,8.79,24.50,,63.59,113.89,8.51,10.64,19.18,6.71
11.06.2017,5.00,11.43,6.81,17.35,,10.24,8.61,5.28,12.03,16.82,6.29
12.06.2017,8.63,14.63,13.99,16.02,,15.76,8.52,5.56,7.95,16.25,6.54
13.06.2017,6.93,12.48,11.61,14.64,,19.68,6.37,10.35,9.43,17.67,7.71
14.06.2017,6.53,12.97,9.83,14.40,,16.98,32.83,9.33,10.83,18.94,7.43
15.06.2017,5.61,10.31,8.79,12.91,22.45,16.23,14.33,7.77,11.72,20.79,7.12
16.06.2017,6.85,12.25,10.83,39.36,25.96,65.73,32.69,7.68,11.90,18.10,7.10
17.06.2017,5.60,11.20,9.38,19.43,24.11,15.31,15.76,7.70,8.70,21.11,6.80
18.06.2017,5.68,9.84,8.06,12.98,22.91,10.17,5.08,13.56,7.68,17.66,7.26
19.06.2017,5.40,9.71,7.63,24.89,21.77,10.24,11.45,7.81,7.41,17.97,7.13
20.06.2017,6.45,14.17,3.63,20.22,22.32,9.43,37.24,5.30,9.24,19.63,7.29
21.06.2017,14.55,18.44,14.83,20.00,24.10,22.81,23.32,10.55,11.97,19.23,7.53
