Datum,Nis IZJZ Nis
2017-1-1,132.0458333
2017-1-2,124.9541667
2017-1-3,79.925
2017-1-4,107.225
2017-1-5,42.14583333
2017-1-6,18.125
2017-1-7,25.14166667
2017-1-8,67.86666667
2017-1-9,41.41666667
2017-1-10,55.75416667
2017-1-11,96.92083333
2017-1-12,215.625
2017-1-13,146.3958333
2017-1-14,41.01875
2017-1-15,89.525
2017-1-16,65.05
2017-1-17,23.91304348
2017-1-18,17.50416667
2017-1-19,25.89291667
2017-1-20,55.4125
2017-1-21,94.71666667
2017-1-22,92.23333333
2017-1-23,114.9
2017-1-24,112.2333333
2017-1-25,43.375
2017-1-26,47.29583333
2017-1-27,70.7125
2017-1-28,126.4833333
2017-1-29,117.1291667
2017-1-30,49.31666667
2017-1-31,46.72083333
2017-2-1,81.12916667
2017-2-2,82.72083333
2017-2-3,63.70416667
2017-2-4,100.525
2017-2-5,70.84791667
2017-2-6,35.44166667
2017-2-7,25.23333333
2017-2-8,26.68333333
2017-2-9,21.39166667
2017-2-10,23.65416667
2017-2-11,29.56666667
2017-2-12,25.4125
2017-2-13,32.54583333
2017-2-14,55.675
2017-2-15,68.53333333
2017-2-16,96.4
2017-2-17,97.40416667
2017-2-18,76.3625
2017-2-19,37.14583333
2017-2-20,64.9375
2017-2-21,71.27916667
2017-2-22,66.69583333
2017-2-23,57.33666667
2017-2-24,18.31833333
2017-2-25,22.82875
2017-2-26,36.70833333
2017-2-27,46.7125
2017-2-28,39.10416667
2017-3-1,17.49791667
2017-3-2,28.82833333
2017-3-3,35.92541667
2017-3-4,35.2225
2017-3-5,21.605
2017-3-6,26.68347826
2017-3-7,23.34666667
2017-3-8,28.49166667
2017-3-9,40.16666667
2017-3-10,36.05416667
2017-3-11,33.57916667
2017-3-12,31.60833333
2017-3-13,27.33208333
2017-3-14,33.65833333
2017-3-15,48.52083333
2017-3-16,43.45416667
2017-3-17,40.4
2017-3-18,28.9775
2017-3-19,30.26166667
2017-3-20,30.68666667
2017-3-21,24.515
2017-3-22,14.91416667
2017-3-23,13.43291667
2017-3-24,15.73625
2017-3-25,31.37916667
2017-3-26,25.35652174
2017-3-27,20.20695652
2017-3-28,24.89166667
2017-3-29,24.675
2017-3-30,21.72583333
2017-3-31,18.9375
2017-4-1,14.02125
2017-4-2,11.41791667
2017-4-3,11.33583333
2017-4-4,15.59541667
2017-4-5,15.54041667
2017-4-6,21.37958333
2017-4-7,15.83041667
2017-4-8,31.34583333
2017-4-9,26.2775
2017-4-10,18.13958333
2017-4-11,17.0775
2017-4-12,15.83
2017-4-13,16.07041667
2017-4-14,12.15083333
2017-4-15,12.9075
2017-4-16,11.92708333
2017-4-17,11.22916667
2017-4-18,8.69625
2017-4-19,18.70416667
2017-4-20,17.7125
2017-4-21,26.94291667
2017-4-22,45.825
2017-4-23,29.86416667
2017-4-24,27.18083333
2017-4-25,16.36708333
2017-4-26,13.35916667
2017-4-27,16.86666667
2017-4-28,20.10869565
2017-4-29,17.39458333
2017-4-30,25.27083333
2017-5-1,20.94625
2017-5-2,16.65083333
2017-5-3,13.40791667
2017-5-4,17.25333333
2017-5-5,11.72
2017-5-6,15.56875
2017-5-7,14.5425
2017-5-8,19.8625
2017-5-9,14.64375
2017-5-10,14.04458333
2017-5-11,11.76375
2017-5-12,16.77916667
2017-5-13,14.12666667
2017-5-14,10.67625
2017-5-15,12.85166667
2017-5-16,15.36888889
2017-5-17,13.55166667
2017-5-18,10.14666667
2017-5-19,7.36125
2017-5-20,11.4425
2017-5-21,15.63
2017-5-22,25.39583333
2017-5-23,19.35
2017-5-24,14.25708333
2017-5-25,14.92416667
2017-5-26,22.4625
2017-5-27,14.91583333
2017-5-28,9.054782609
2017-5-29,8.745833333
2017-5-30,9.094166667
2017-5-31,13.30375
2017-6-1,22.40416667
2017-6-2,19.45909091
2017-6-3,9.509583333
2017-6-4,9.9475
2017-6-5,13.79583333
2017-6-6,12.62583333
2017-6-7,13.80125
2017-6-8,10.2115
2017-6-9,8.934583333
2017-6-10,9.41
2017-6-11,10.59791667
2017-6-12,12.81
2017-6-13,13.74916667
2017-6-14,13.63166667
2017-6-15,12.045
2017-6-16,11.01583333
2017-6-17,11.98083333
2017-6-18,10.31473684
2017-6-19,
2017-6-20,12.14875
2017-6-21,12.9352381
2017-6-22,13.31333333
2017-6-23,13.33708333
2017-6-24,10.6375
2017-6-25,9.925833333
2017-6-26,12.70916667
2017-6-27,12.96315789
2017-6-28,11.47666667
2017-6-29,11.86125
2017-6-30,10.57833333
2017-7-1,8.457916667
2017-7-2,5.825652174
2017-7-3,
2017-7-4,8.575
2017-7-5,7.595833333
2017-7-6,5.188333333
2017-7-7,
2017-7-8,
2017-7-9,
2017-7-10,
2017-7-11,7.274761905
2017-7-12,7.832272727
2017-7-13,
2017-7-14,4.067083333
2017-7-15,5.358095238
2017-7-16,
2017-7-17,
2017-7-18,
2017-7-19,
2017-7-20,6.123333333
2017-7-21,
2017-7-22,8.116111111
2017-7-23,8.792777778
2017-7-24,8.808333333
2017-7-25,
2017-7-26,
2017-7-27,
2017-7-28,
2017-7-29,
2017-7-30,7.70375
2017-7-31,7.7575
2017-8-1,5.887083333
2017-8-2,6.822916667
2017-8-3,7.352916667
2017-8-4,7.314583333
2017-8-5,10.45875
2017-8-6,11.48458333
2017-8-7,15.4
2017-8-8,18.32105263
2017-8-9,15.31958333
2017-8-10,11.09625
2017-8-11,10.3825
2017-8-12,14.90454545
2017-8-13,12.40736842
2017-8-14,16.745
2017-8-15,16.8
2017-8-16,16.06666667
2017-8-17,16.12916667
2017-8-18,13.33875
2017-8-19,12.41375
2017-8-20,14.12272727
2017-8-21,12.47526316
2017-8-22,10.25291667
2017-8-23,11.88041667
2017-8-24,11.31125
2017-8-25,8.812083333
2017-8-26,10.45125
2017-8-27,10.71083333
2017-8-28,12.67291667
2017-8-29,13.12125
2017-8-30,10.36869565
2017-8-31,10.83083333
2017-9-1,13.35166667
2017-9-2,15.28333333
2017-9-3,12.279
2017-9-4,7.217619048
2017-9-5,7.59625
2017-9-6,8.18
2017-9-7,7.640833333
2017-9-8,8.81
2017-9-9,14.83458333
2017-9-10,10.09666667
2017-9-11,9.712916667
2017-9-12,6.82625
2017-9-13,13.28454545
2017-9-14,11.33416667
2017-9-15,7.995
2017-9-16,9.7275
2017-9-17,10.13291667
2017-9-18,6.95625
2017-9-19,9.066666667
2017-9-20,13.16285714
2017-9-21,10.77041667
2017-9-22,12.56684211
2017-9-23,13.79833333
2017-9-24,10.59208333
2017-9-25,17.23809524
2017-9-26,
2017-9-27,9.2525
2017-9-28,11.25458333
2017-9-29,12.36583333
2017-9-30,15.34
2017-10-1,17.07083333
2017-10-2,19.03333333
2017-10-3,21.8625
2017-10-4,18.79909091
2017-10-5,16.31217391
2017-10-6,14.55388889
2017-10-7,
2017-10-8,26.78842105
2017-10-9,27.30208333
2017-10-10,21.40083333
2017-10-11,21.11541667
2017-10-12,27.2955
2017-10-13,26.72916667
2017-10-14,27.14347826
2017-10-15,27.22608696
2017-10-16,31.34736842
2017-10-17,34.83333333
2017-10-18,29.37565217
2017-10-19,24.8875
2017-10-20,
2017-10-21,
2017-10-22,
2017-10-23,
2017-10-24,
2017-10-25,
2017-10-26,42.36842105
2017-10-27,37.51428571
2017-10-28,
2017-10-29,
2017-10-30,25.7065
2017-10-31,21.05391304
2017-11-1,47.19565217
2017-11-2,68.95789474
2017-11-3,
2017-11-4,
2017-11-5,46.65789474
2017-11-6,29.39166667
2017-11-7,
2017-11-8,
2017-11-9,54.3
2017-11-10,58.645
2017-11-11,
2017-11-12,
2017-11-13,33.58227273
2017-11-14,
2017-11-15,
2017-11-16,
2017-11-17,
2017-11-18,
2017-11-19,
2017-11-20,
2017-11-21,
2017-11-22,
2017-11-23,
2017-11-24,83.48333333
2017-11-25,70.71304348
2017-11-26,31.46842105
2017-11-27,20.61736842
2017-11-28,32.51052632
2017-11-29,
2017-11-30,
2017-12-1,
2017-12-2,
2017-12-3,
2017-12-4,
2017-12-5,
2017-12-6,
2017-12-7,
2017-12-8,
2017-12-9,
2017-12-10,
2017-12-11,
2017-12-12,
2017-12-13,43.90478261
2017-12-14,57.22083333
2017-12-15,57.63333333
2017-12-16,19.86375
2017-12-17,31.13043478
2017-12-18,39.345
2017-12-19,47.67916667
2017-12-20,42.37083333
2017-12-21,62.17916667
2017-12-22,86.7173913
2017-12-23,49.29166667
2017-12-24,114.3916667
2017-12-25,117.65
2017-12-26,99.04166667
2017-12-27,64.625
2017-12-28,21.25291667
2017-12-29,39.45217391
2017-12-30,63.2875
2017-12-31,119.8636364
