Datum,Kikinda Centar,Novi Sad Liman,Sremska Mitrovica,Pancevo Sodara,Beograd Stari grad,Beograd Novi Beograd,Beograd Mostar,Sabac,Kostolac,Smederevo Carina,Valjevo,Bor Institut RIM,Kragujevac,Popovac,Zajecar,Cacak,Uzice,Krusevac,Kamenicki Vis EMEP,Nis O.s. Sveti Sava,Vranje
2018-01-01,1.13,0.66,2.64,1.87,2.2,1.68,,6,0.92,1.78,9.8,1.81,2.34,,6.92,3.86,3.96,10.62,,7.45,8.19
2018-01-02,1.21,0.82,1.36,1.52,1.31,0.94,,2.85,0.66,1.29,9.65,1.89,2.23,,7.35,3.76,4.52,10.61,,7.35,8.09
2018-01-03,0.5,0.41,1.18,0.9,0.42,0.33,,1.32,0.57,1.4,1.88,0.95,0.9,,1.84,1.32,1.1,1.93,,1.1,4.54
2018-01-04,0.84,0.43,2.19,1.65,0.75,0.72,,2.7,0.77,1.4,4.61,1.96,1.57,,3.41,2.08,1.33,1.94,,1.06,5.7
2018-01-05,0.86,0.53,1.9,1.49,0.98,1.02,2.06,3.25,0.76,1.04,5.65,2.32,1.93,,5.29,2.23,2.55,5.7,,,9.66
2018-01-06,0.76,0.61,1.83,1.51,1.29,1.2,1.92,3.1,0.69,1.14,5.17,2.36,1.98,,5.74,2.61,2.51,7.16,,,10.8
2018-01-07,1.09,0.67,1.8,1.47,1.98,1.39,2.45,4.4,0.87,1.06,4.38,2.22,1.92,,7.27,2.52,3.18,7.61,,3.58,8.5
2018-01-08,1.74,0.94,1.67,1.42,2.25,1.46,2.48,4.47,0.83,1.3,2.98,1.94,1.83,,7.37,2.66,4.23,7.72,,3.98,12.89
2018-01-09,1.71,0.89,1.52,1.12,1.17,1.18,1.58,4.04,0.45,1.33,1.94,2.04,1.78,,4.94,3.47,4.48,7.73,,4,13.81
2018-01-10,0.45,0.55,1.1,0.79,0.4,0.23,0.56,1.67,0.45,0.81,,0.37,0.37,,1.27,1.67,3.16,0.86,,0.64,2
2018-01-11,1.32,0.62,1.61,1.42,0.69,0.61,0.91,1.48,0.57,1.42,,1.38,1.3,,2.09,1.67,3.24,2.33,,0.94,1.96
2018-01-12,1.36,0.76,1.66,1.4,0.7,0.81,0.91,0.97,0.65,1.26,0.97,1.42,1.58,,2.13,2.1,1.16,2.4,,0.88,1.1
