Datum,Novi Sad Liman,Beocin Centar,Sremska Mitrovica,Beograd Mostar,Beograd Vracar,Beograd Zeleno brdo,Smederevo Centar,Obrenovac Centar,Smederevo Carina,Valjevo,Kragujevac,Cacak,Uzice,Nis IZJZ Nis
01.01.2018,21.74,,26.34,,35.34,19.46,,37.88,29.79,39.96,44.13,21.02,49.94,30.84
02.01.2018,17.20,,16.12,,21.02,8.84,,20.95,18.35,24.23,41.38,8.87,31.97,20.72
03.01.2018,15.66,,27.90,,25.08,13.23,,38.78,18.75,33.43,37.70,12.96,51.88,32.72
04.01.2018,23.91,,34.53,,28.88,15.81,,44.59,26.62,40.62,41.27,13.08,45.16,24.42
05.01.2018,25.29,,33.33,,31.52,18.34,,42.83,21.72,57.07,49.97,24.52,56.96,34.75
06.01.2018,28.59,,30.16,,35.89,15.76,42.99,41.27,25.20,39.63,49.25,19.69,50.38,38.83
07.01.2018,27.98,,27.11,,31.28,9.47,29.99,45.76,19.64,34.30,41.72,17.11,47.48,32.06
08.01.2018,42.58,,33.04,,34.30,12.63,35.54,44.46,23.14,42.28,44.30,24.54,52.96,34.05
09.01.2018,14.67,,23.68,,18.47,,20.42,18.87,17.85,33.56,29.56,18.41,49.60,21.93
10.01.2018,17.78,,22.57,,16.48,,24.11,15.58,15.74,35.82,22.94,17.95,39.03,25.54
11.01.2018,19.04,,18.83,,21.97,21.15,31.27,26.11,28.80,14.60,37.21,11.69,26.35,22.17
12.01.2018,23.11,,20.61,,23.75,24.09,28.76,19.31,25.19,14.65,37.56,14.82,25.84,20.43
13.01.2018,7.83,,21.53,,16.04,9.61,25.92,19.56,11.49,17.00,21.96,12.05,32.42,17.74
14.01.2018,6.76,,14.60,,13.92,6.41,22.66,13.62,9.07,10.81,16.56,8.08,30.58,18.01
15.01.2018,17.12,,16.17,,19.08,10.79,32.83,12.33,11.97,18.43,23.40,14.11,34.78,25.28
16.01.2018,20.73,,31.91,,28.98,21.07,32.03,32.46,18.44,41.72,43.67,24.20,63.78,53.78
17.01.2018,18.83,,24.77,,27.04,22.15,22.09,22.18,15.48,33.46,43.95,13.21,59.82,27.65
18.01.2018,11.51,,32.48,,30.79,27.77,35.90,31.80,16.43,40.91,40.98,15.08,65.97,36.69
19.01.2018,29.43,,32.93,,35.65,39.02,47.23,47.72,23.73,45.03,50.52,31.26,60.67,36.19
20.01.2018,18.29,,21.97,,26.66,26.55,26.32,31.73,23.13,27.40,40.12,13.16,33.35,18.76
21.01.2018,17.63,,21.34,,21.97,17.95,24.33,18.78,22.16,,36.14,6.51,34.01,25.17
22.01.2018,25.04,,29.98,,30.27,27.31,26.40,26.37,21.73,,35.32,7.66,56.05,26.64
23.01.2018,31.28,,31.89,43.22,28.27,30.99,30.93,36.44,31.66,,39.08,20.84,50.77,34.48
24.01.2018,19.16,,23.40,54.94,30.73,22.57,36.07,19.20,26.60,,33.14,22.21,61.84,35.45
25.01.2018,26.34,,31.00,67.89,29.01,20.98,42.00,37.46,22.15,,41.98,18.34,63.31,46.26
26.01.2018,49.31,,41.74,64.43,30.52,21.01,49.47,52.07,20.82,,44.25,22.42,66.54,50.57
27.01.2018,38.27,,40.03,76.89,45.93,46.10,46.86,50.71,35.67,,53.45,18.32,67.13,48.82
28.01.2018,17.45,,16.13,32.39,27.37,33.21,19.27,21.25,26.95,,37.62,25.87,62.59,33.75
29.01.2018,36.97,,37.33,71.32,41.09,45.75,40.50,48.88,26.42,,52.48,29.86,70.68,41.02
30.01.2018,32.47,,32.35,70.81,39.26,34.98,29.52,39.42,24.47,41.71,42.71,17.22,72.06,32.42
31.01.2018,23.95,,35.34,71.56,35.42,35.44,38.63,39.61,30.14,39.10,51.68,16.76,64.09,36.84
01.02.2018,,,36.13,72.91,33.05,26.12,35.84,40.39,21.47,44.50,49.60,23.70,67.13,34.89
02.02.2018,,,26.28,58.13,24.76,20.19,30.61,26.89,18.55,34.47,30.45,14.83,55.47,32.53
03.02.2018,15.82,,16.68,26.59,19.65,20.90,14.93,19.07,18.85,20.44,27.80,10.76,45.58,19.09
04.02.2018,18.42,,22.07,34.87,20.95,21.03,18.87,24.88,20.50,27.86,31.60,5.20,36.93,19.37
05.02.2018,24.41,,32.50,55.66,32.59,34.20,33.01,33.95,35.92,32.58,42.87,16.93,49.62,28.94
06.02.2018,20.83,,31.03,52.01,32.53,20.55,38.11,34.66,30.09,29.12,49.06,18.71,53.60,31.24
07.02.2018,9.73,,27.45,33.16,17.12,13.95,21.58,24.28,15.20,27.11,25.22,12.64,61.53,26.67
08.02.2018,16.93,,21.33,30.79,22.05,21.03,18.15,19.33,18.81,31.99,37.47,12.12,45.20,25.38
09.02.2018,25.43,,31.06,44.09,28.08,28.44,26.99,29.62,23.47,35.98,38.53,12.28,54.00,30.27
10.02.2018,25.52,,29.30,27.93,23.84,18.19,20.07,25.90,23.91,24.29,37.28,6.96,39.79,21.11
11.02.2018,17.46,,24.16,27.69,22.18,19.68,18.12,23.65,19.21,28.34,36.24,9.20,32.78,19.09
12.02.2018,19.61,,33.20,46.47,28.69,24.48,41.02,34.55,29.46,36.36,43.81,15.93,55.22,32.67
13.02.2018,25.32,,25.83,39.06,30.54,30.34,33.97,35.18,27.18,32.58,47.33,14.61,38.02,30.58
14.02.2018,21.21,,25.87,37.71,28.13,23.54,22.14,24.67,17.88,40.44,48.16,16.15,54.97,27.44
15.02.2018,19.99,,26.30,32.14,24.35,22.21,20.64,24.41,18.77,33.63,33.44,8.19,51.98,24.69
16.02.2018,18.41,,28.47,39.41,26.49,24.72,32.39,26.75,29.89,29.39,31.81,14.15,55.49,37.95
17.02.2018,16.55,,30.66,49.63,27.28,25.01,40.85,26.52,29.74,26.79,42.93,15.55,58.18,37.94
18.02.2018,19.62,,20.33,30.35,24.06,20.18,19.56,21.53,19.96,24.49,39.42,5.19,32.33,35.77
19.02.2018,17.25,,27.90,28.86,23.75,17.79,29.48,21.92,15.30,26.52,34.84,11.62,36.08,25.71
20.02.2018,11.00,,27.49,33.69,18.93,11.53,27.37,11.55,10.49,31.34,23.83,9.86,35.12,27.09
21.02.2018,15.38,,28.77,27.14,18.96,9.70,35.75,13.07,12.28,31.51,29.56,10.95,34.26,22.75
22.02.2018,15.50,,27.37,29.62,20.59,10.20,33.63,,12.61,33.41,26.52,12.04,34.68,24.69
23.02.2018,14.90,,27.24,28.52,19.51,11.73,35.06,,13.22,24.10,23.11,11.94,51.32,26.03
24.02.2018,19.95,,22.29,30.81,22.87,16.02,27.37,24.34,15.42,26.34,29.87,4.95,39.45,19.78
25.02.2018,14.81,,13.24,20.29,13.60,10.96,20.47,21.77,16.88,23.51,23.96,4.26,45.64,21.87
26.02.2018,11.43,,9.94,26.18,17.06,9.43,41.51,10.15,11.01,23.90,29.85,11.04,45.22,26.06
27.02.2018,10.52,,13.22,36.12,16.11,10.28,40.87,23.48,12.32,28.49,28.40,8.37,111.76,31.53
28.02.2018,20.99,,16.01,48.97,25.17,19.31,33.70,28.25,17.91,37.17,44.53,8.38,111.75,33.31
01.03.2018,15.92,,19.66,52.82,27.23,16.68,56.59,31.25,23.49,38.27,46.31,9.09,110.96,58.01
02.03.2018,24.85,,34.12,64.59,38.20,30.02,42.13,34.33,17.65,42.22,43.68,22.22,169.60,49.65
03.03.2018,21.84,,31.31,46.70,29.31,25.35,39.97,27.80,25.31,31.72,42.53,18.33,82.70,38.56
04.03.2018,21.31,,31.20,46.93,27.00,22.67,34.57,31.89,27.67,31.41,42.43,15.45,43.71,25.88
05.03.2018,15.45,,39.01,42.33,24.04,16.92,51.29,16.41,19.81,44.95,38.29,14.49,53.81,30.13
06.03.2018,24.28,,36.01,40.21,19.43,15.92,,14.72,16.41,37.43,28.86,16.22,71.41,34.94
07.03.2018,31.29,,38.42,60.52,31.40,28.35,,37.33,30.67,44.66,66.09,19.28,67.17,31.44
08.03.2018,25.42,,31.80,51.51,28.55,28.88,,31.99,27.23,40.88,59.69,5.79,51.44,35.72
09.03.2018,23.74,,44.75,84.59,35.03,29.19,,56.69,27.42,41.41,46.96,10.40,62.55,37.62
10.03.2018,18.27,,41.22,85.07,37.19,27.86,,53.04,33.15,43.80,42.90,16.30,59.37,44.57
11.03.2018,12.64,,31.38,60.52,26.03,21.61,,28.68,22.77,30.28,28.55,17.86,55.40,38.30
12.03.2018,11.78,,25.25,46.26,21.73,16.37,,32.65,18.79,29.83,29.80,10.16,45.99,33.70
13.03.2018,18.82,15.64,27.64,56.77,31.09,33.54,,39.05,23.40,40.13,32.86,4.56,39.70,26.68
14.03.2018,20.85,22.24,26.05,45.40,25.26,26.12,,35.96,17.98,31.42,44.38,4.99,40.81,23.27
15.03.2018,18.53,17.46,32.32,50.35,26.23,22.10,,29.57,23.59,25.24,39.40,15.17,53.63,30.72
16.03.2018,15.95,13.14,32.66,60.54,27.60,30.33,,28.81,17.62,34.04,37.55,13.68,46.33,41.29
17.03.2018,11.94,8.93,20.74,42.88,22.62,16.63,,19.39,20.77,18.85,42.46,6.28,30.36,20.86
18.03.2018,9.80,5.67,14.39,14.93,13.86,13.31,16.69,13.88,17.17,12.16,29.96,4.52,17.77,15.76
19.03.2018,23.23,12.32,22.05,38.80,20.71,13.45,38.76,27.48,14.78,27.53,34.14,7.75,18.47,24.47
20.03.2018,24.15,10.83,26.62,47.70,27.66,26.18,26.76,29.65,21.31,31.10,37.85,5.34,28.33,31.35
21.03.2018,28.44,11.48,24.17,50.35,30.44,28.29,27.84,32.91,20.82,38.52,43.19,4.35,47.92,32.01
22.03.2018,15.01,11.21,21.44,42.43,27.40,25.52,35.75,25.50,23.77,32.73,40.26,12.05,46.20,34.21
23.03.2018,23.67,12.21,28.71,44.92,,24.68,37.73,41.58,21.08,32.70,42.85,6.45,50.75,29.53
24.03.2018,14.96,12.53,29.76,48.10,,20.91,50.15,25.09,25.18,34.80,34.94,12.22,51.79,38.28
25.03.2018,8.47,6.61,21.63,35.60,,13.25,30.51,10.34,13.26,24.13,26.93,6.65,44.15,29.50
26.03.2018,15.81,9.24,29.54,47.01,,21.74,46.23,27.93,17.75,35.25,35.08,7.36,38.26,34.48
27.03.2018,19.82,19.24,31.34,57.51,,31.07,30.25,40.53,18.09,42.71,39.68,6.65,57.28,33.13
28.03.2018,23.52,16.62,40.07,71.82,34.02,34.38,47.68,42.88,26.13,37.63,45.34,13.78,60.34,31.74
29.03.2018,39.49,30.91,43.01,80.59,39.20,32.37,54.28,54.89,24.98,44.82,45.39,16.59,64.37,36.94
30.03.2018,18.51,14.03,36.35,68.05,27.56,27.12,44.19,42.78,18.30,34.90,43.74,14.54,59.45,30.03
31.03.2018,5.48,7.06,20.32,44.07,18.82,19.89,36.87,21.66,18.30,24.45,23.72,7.75,36.81,31.79
01.04.2018,9.80,8.36,19.36,44.24,20.93,26.91,16.33,26.07,11.32,24.66,31.79,,30.84,19.67
02.04.2018,14.48,19.34,27.76,52.95,25.33,23.05,36.28,36.97,17.03,30.45,36.30,5.32,48.76,25.37
03.04.2018,15.70,11.30,31.25,71.58,28.54,26.23,37.97,42.11,20.20,35.12,48.20,10.55,54.44,30.67
04.04.2018,31.94,21.32,40.52,90.73,45.58,39.22,54.41,57.04,26.43,39.11,58.19,11.50,63.06,35.53
05.04.2018,24.26,16.90,34.21,70.00,41.11,29.30,33.36,39.67,27.71,32.18,42.93,7.12,55.12,35.44
06.04.2018,16.12,11.05,17.89,26.57,20.88,18.25,12.35,18.08,12.33,27.52,36.59,4.44,38.52,11.21
07.04.2018,13.79,12.06,22.33,24.78,20.30,19.87,22.82,20.21,19.71,19.52,29.21,7.10,35.06,18.90
08.04.2018,5.63,7.68,17.17,26.42,12.19,15.02,18.36,13.34,17.66,16.86,29.97,3.48,32.02,19.85
09.04.2018,5.94,7.69,17.47,33.95,13.68,15.58,24.91,18.78,13.20,25.36,31.20,7.94,37.88,21.43
10.04.2018,13.62,9.68,27.69,49.95,25.28,22.40,36.97,38.37,22.46,27.07,38.39,7.68,57.36,31.27
11.04.2018,19.09,15.52,31.06,57.05,37.08,30.71,35.48,44.92,25.90,27.16,35.10,6.76,53.45,35.54
12.04.2018,12.94,,25.85,53.02,29.11,18.09,34.13,25.79,23.24,25.99,35.76,8.60,52.29,31.22
13.04.2018,16.17,,24.88,42.88,23.09,20.06,27.31,41.40,16.95,25.46,36.01,7.08,57.89,32.94
14.04.2018,13.54,,24.82,39.58,26.05,24.32,,30.13,21.18,20.90,36.26,5.23,44.95,24.07
15.04.2018,8.62,,20.41,31.41,14.18,15.23,21.85,12.58,11.44,22.88,30.66,5.15,38.53,23.07
16.04.2018,7.73,,24.31,37.97,19.47,17.05,26.17,15.99,13.09,35.41,32.01,10.52,42.46,41.34
17.04.2018,18.24,,20.94,36.55,26.70,22.80,27.84,28.95,19.51,26.37,37.66,5.91,31.22,25.32
18.04.2018,19.93,,22.20,33.06,24.84,22.21,13.30,25.13,14.58,21.73,33.00,3.16,26.76,23.52
19.04.2018,19.68,,25.32,49.70,33.02,28.35,20.38,42.01,14.10,27.04,45.40,2.35,44.11,22.51
20.04.2018,20.03,,22.05,46.68,32.32,19.56,28.21,46.55,15.27,28.56,40.65,2.58,47.36,31.30
21.04.2018,13.21,,29.99,63.56,44.84,30.65,37.50,42.12,25.40,18.73,33.68,5.31,46.76,28.86
22.04.2018,12.61,,31.78,75.34,52.10,28.19,30.51,45.26,25.99,20.57,29.23,4.74,41.85,27.99
23.04.2018,15.98,,34.42,85.23,54.06,30.51,,57.30,26.01,25.31,38.78,7.00,55.05,34.96
24.04.2018,19.15,11.29,25.16,64.66,51.32,25.08,36.46,43.40,24.97,29.30,41.20,3.54,50.70,37.17
25.04.2018,14.01,13.97,29.40,74.85,47.04,24.08,,46.18,20.30,23.28,34.61,4.31,45.83,35.59
26.04.2018,12.23,11.95,25.04,58.15,36.04,25.92,,45.65,23.65,22.86,34.44,5.17,47.76,31.82
27.04.2018,15.14,8.43,19.76,29.24,22.27,15.82,,29.19,14.42,21.66,28.32,4.53,47.33,24.73
28.04.2018,11.72,11.62,20.55,41.45,23.25,14.28,29.61,25.19,16.61,21.47,31.83,4.96,42.90,23.66
29.04.2018,4.84,5.32,15.45,30.32,14.08,12.31,,16.36,12.93,14.87,26.08,3.63,34.47,22.65
30.04.2018,5.12,5.40,22.28,46.18,20.94,15.49,30.76,34.64,13.39,26.37,30.19,5.43,41.93,30.24
01.05.2018,11.18,7.25,18.85,39.54,20.48,16.43,,20.75,15.00,14.36,24.46,3.34,31.57,17.18
02.05.2018,9.07,6.76,18.06,27.40,15.41,12.26,,14.25,12.49,16.12,21.94,4.33,29.95,21.10
03.05.2018,7.35,4.91,20.28,35.03,17.84,13.26,33.47,18.68,10.57,17.39,26.51,5.72,36.76,32.74
04.05.2018,11.55,7.58,24.71,37.99,21.98,13.59,,23.92,11.31,24.32,28.07,6.97,37.25,25.01
05.05.2018,13.91,13.39,15.68,44.16,24.68,24.10,26.32,28.65,15.88,20.52,28.05,2.67,26.97,20.57
06.05.2018,12.48,11.33,15.76,31.83,18.31,18.79,,22.76,13.98,19.94,30.71,1.31,23.34,16.78
07.05.2018,17.91,8.97,15.41,36.38,23.78,18.47,8.58,35.18,12.04,24.24,32.80,2.28,33.66,23.96
08.05.2018,13.94,9.07,18.50,47.87,28.85,25.48,16.92,45.33,12.81,28.22,30.11,2.44,39.67,22.76
09.05.2018,15.77,9.56,23.15,56.42,33.30,32.67,,47.53,20.44,26.97,30.87,4.74,42.32,27.77
10.05.2018,22.36,12.79,22.50,47.89,26.97,18.20,14.01,29.91,15.99,27.14,32.04,10.74,40.42,25.44
11.05.2018,16.42,10.62,20.22,47.08,29.41,16.52,,45.65,15.17,21.31,33.10,10.85,35.53,25.42
12.05.2018,20.77,11.19,25.24,60.52,37.83,32.61,13.50,42.65,18.55,24.06,35.19,10.94,39.73,23.28
13.05.2018,15.32,10.34,21.28,,25.25,25.27,10.08,36.38,14.79,21.07,28.65,5.19,27.12,15.06
14.05.2018,19.26,14.45,19.87,41.17,25.64,21.36,11.20,29.13,12.14,22.50,30.56,13.19,34.75,23.85
