Datum,Beograd Novi Beograd ,Beograd Stari grad,Beograd Vračar,Beograd Zeleno brdo,Kamenički Vis EMEP,Kikinda,Niš O.š. Sveti Sava,Novi Sad Liman,Popovac
01.01.2018,18.54,5.98,11.31,41.06,27.36,32.76,16.90,59.55,
02.01.2018,13.01,28.34,19.54,41.41,17.13,17.07,15.71,34.63,
03.01.2018,36.63,30.91,23.19,46.26,17.50,41.81,28.84,58.63,
04.01.2018,37.41,23.24,19.05,45.44,18.13,36.59,27.51,53.94,
05.01.2018,33.79,19.21,22.33,48.03,20.95,31.50,24.95,55.96,
06.01.2018,6.26,8.65,15.24,47.75,20.44,31.34,13.93,54.34,
07.01.2018,18.34,7.55,18.03,50.43,19.56,37.70,18.40,45.69,
08.01.2018,3.95,5.16,9.47,50.71,13.66,35.68,9.13,19.34,
09.01.2018,23.33,17.99,21.21,34.31,6.22,28.00,20.31,32.94,
10.01.2018,24.45,25.20,26.71,31.28,7.74,28.41,25.61,35.59,
11.01.2018,16.78,21.35,20.85,32.19,2.61,32.51,17.09,16.26,
12.01.2018,19.99,19.48,21.45,37.89,1.87,19.38,20.43,11.07,
13.01.2018,36.58,40.19,38.70,51.24,,46.51,30.23,51.99,
14.01.2018,36.36,37.48,34.61,44.96,,48.35,30.98,45.63,
15.01.2018,26.51,31.71,30.55,40.18,,36.65,30.59,37.88,
16.01.2018,35.81,20.80,22.91,39.61,,30.39,21.89,52.31,
17.01.2018,48.53,41.18,28.16,52.20,,35.08,33.56,63.64,
18.01.2018,50.64,48.25,34.48,53.84,,55.95,49.63,72.55,
19.01.2018,43.04,19.89,26.61,51.29,,37.70,36.23,72.53,
20.01.2018,32.43,36.26,27.66,45.95,,30.68,35.09,55.28,
21.01.2018,38.93,34.10,34.90,48.33,,31.90,34.24,55.89,
22.01.2018,30.84,38.74,30.51,41.33,,54.74,37.93,45.70,
23.01.2018,13.39,25.28,18.00,35.55,,47.64,23.08,41.36,
24.01.2018,48.43,34.69,29.28,,,59.81,35.30,55.68,
25.01.2018,50.24,42.50,41.73,,,64.89,41.31,57.36,
26.01.2018,51.06,33.61,36.16,63.93,,52.49,46.65,30.11,
27.01.2018,32.98,34.35,38.01,53.48,,52.46,41.21,37.70,
28.01.2018,9.79,16.71,12.99,22.46,11.16,27.50,34.33,34.33,
29.01.2018,33.40,12.07,10.35,36.96,16.11,38.48,27.07,36.99,
30.01.2018,25.33,23.49,12.34,47.81,16.24,51.53,27.19,43.91,
31.01.2018,43.44,26.88,25.61,57.09,16.20,52.51,17.87,55.19,
01.02.2018,60.29,24.20,34.51,60.54,23.68,43.81,37.73,,
02.02.2018,53.51,37.74,35.16,59.23,21.19,52.79,38.45,,
03.02.2018,30.58,26.20,18.29,35.18,27.03,28.33,52.26,33.88,
04.02.2018,26.26,29.53,21.88,39.04,17.42,27.74,35.28,46.65,
05.02.2018,29.84,27.92,18.67,40.05,5.30,46.46,33.58,48.01,
06.02.2018,10.40,29.76,32.49,59.74,6.22,45.79,31.30,57.33,
07.02.2018,49.71,43.39,44.69,52.64,8.81,60.56,42.28,58.91,
08.02.2018,38.09,34.24,35.78,42.73,11.20,44.09,33.91,46.36,
09.02.2018,26.71,24.09,18.49,29.19,11.43,35.88,24.34,47.55,
10.02.2018,21.83,32.48,25.21,39.91,4.66,43.15,20.79,44.88,
11.02.2018,27.73,37.73,24.56,43.83,4.33,50.11,26.58,47.13,
12.02.2018,49.29,38.65,33.41,57.46,8.06,59.11,35.20,67.75,
13.02.2018,25.64,24.34,23.15,39.40,8.31,23.81,26.64,47.90,10.25
14.02.2018,17.05,20.10,12.59,29.20,6.21,30.43,30.46,26.90,39.33
15.02.2018,23.09,35.31,22.41,43.06,5.35,51.46,26.23,49.55,35.41
16.02.2018,57.83,41.41,38.55,60.75,8.81,57.56,39.06,68.00,59.81
17.02.2018,48.89,39.16,37.54,61.91,10.34,60.05,39.91,72.26,68.48
18.02.2018,13.83,35.59,25.01,52.78,8.08,56.51,43.16,41.73,64.70
