Datum,Beograd Stari grad,Smederevo Centar,Kosjeric
2018-01-01,125.58,,
2018-01-02,46.85,,
2018-01-03,19.40,,
2018-01-04,28.55,,
2018-01-05,29.47,,
2018-01-06,58.39,,
2018-01-07,71.93,,
2018-01-08,86.96,,
2018-01-09,39.16,,118.2
2018-01-10,17.21,,123.7
2018-01-11,33.50,,78.6
2018-01-12,48.35,,42.3
2018-01-13,14.82,,11.0
2018-01-14,17.39,,18.0
2018-01-15,29.84,,26.0
2018-01-16,37.89,,151.0
2018-01-17,15.92,,90.9
2018-01-18,17.58,,41.2
2018-01-19,51.62,,52.9
2018-01-20,22.70,,34.3
2018-01-21,22.70,,63.4
2018-01-22,35.88,,39.0
2018-01-23,54.00,,82.0
2018-01-24,47.05,,78.0
2018-01-25,40.08,,72.2
2018-01-26,40.82,,89.2
2018-01-27,75.94,,116.7
2018-01-28,74.15,,107.3
2018-01-29,81.28,,107.3
2018-01-30,88.94,,75.1
2018-01-31,37.34,,85.5
2018-02-01,29.46,71.24,74.7
2018-02-02,19.59,35.29,66.7
2018-02-03,20.50,36.39,50.9
2018-02-04,30.58,48.61,39.4
2018-02-05,65.17,166.98,69.4
2018-02-06,79.43,121.96,74.5
2018-02-07,32.95,37.39,90.6
2018-02-08,21.05,28.28,44.2
2018-02-09,60.76,136.23,46.4
2018-02-10,49.44,46.44,55.5
2018-02-11,40.10,60.18,29.7
2018-02-12,54.18,75.86,49.8
2018-02-13,47.05,66.51,64.7
2018-02-14,28.57,35.41,32.8
2018-02-15,34.98,44.31,38.7
2018-02-16,54.37,96.13,56.6
2018-02-17,57.29,97.90,73.7
2018-02-18,48.69,56.70,58.6
2018-02-19,28.02,,32.3
2018-02-20,14.65,25.41,36.5
2018-02-21,13.92,22.84,49.7
2018-02-22,16.66,23.22,47.1
2018-02-23,25.81,40.61,34.4
2018-02-24,33.32,35.70,31.5
2018-02-25,28.93,30.86,33.3
2018-02-26,28.75,37.16,32.1
2018-02-27,33.32,42.09,45.1
2018-02-28,43.58,49.82,82.6
2018-03-01,65.37,87.06,102.0
2018-03-02,60.41,51.17,155.0
2018-03-03,60.06,,88.9
2018-03-04,65.36,72.50,62.3
2018-03-05,53.63,73.27,58.1
2018-03-06,21.05,30.44,42.9
2018-03-07,43.37,64.43,50.5
2018-03-08,27.09,52.04,45.8
2018-03-09,33.64,92.15,44.3
2018-03-10,43.55,91.51,55.3
2018-03-11,30.38,50.57,39.6
2018-03-12,15.56,25.36,21.3
2018-03-13,14.64,35.67,19.8
2018-03-14,17.93,22.52,24.5
2018-03-15,22.15,35.62,26.1
2018-03-16,24.16,38.17,32.1
2018-03-17,29.65,54.39,26.2
2018-03-18,17.75,28.52,15.9
2018-03-19,21.97,29.94,17.2
2018-03-20,46.69,51.36,29.5
2018-03-21,51.07,,33.0
2018-03-22,42.10,48.60,37.9
2018-03-23,31.37,43.73,30.6
2018-03-24,43.67,60.95,36.6
2018-03-25,19.04,26.32,35.4
2018-03-26,30.02,43.05,36.1
2018-03-27,47.04,63.49,51.9
2018-03-28,47.41,90.81,42.3
2018-03-29,53.44,51.78,51.1
2018-03-30,24.53,31.03,33.5
2018-03-31,20.32,21.78,26.9
2018-04-01,8.97,12.16,17.6
2018-04-02,12.81,27.13,24.9
2018-04-03,19.03,23.12,29.7
2018-04-04,31.66,37.89,29.7
2018-04-05,35.14,33.93,41.8
2018-04-06,16.65,22.97,18.9
2018-04-07,28.19,36.26,26.3
2018-04-08,22.51,47.50,24.9
2018-04-09,24.53,26.96,29.7
2018-04-10,20.50,21.40,36.3
2018-04-11,28.18,31.02,40.5
2018-04-12,30.93,32.08,49.8
2018-04-13,29.29,27.87,52.0
2018-04-14,25.99,30.68,44.0
2018-04-15,32.03,27.83,46.0
2018-04-16,33.13,27.54,46.2
2018-04-17,30.75,29.28,44.9
2018-04-18,26.18,37.42,26.9
2018-04-19,19.04,21.06,27.8
2018-04-20,19.72,13.75,26.0
2018-04-21,25.07,22.53,21.8
2018-04-22,32.58,26.85,18.0
2018-04-23,29.10,29.79,27.1
2018-04-24,29.83,33.15,
2018-04-25,34.23,29.80,
2018-04-26,38.44,27.55,
2018-04-27,19.59,11.26,
2018-04-28,27.82,28.24,
2018-04-29,24.89,23.73,
2018-04-30,25.99,16.69,
2018-05-01,23.61,24.11,
2018-05-02,23.98,15.75,
2018-05-03,25.08,16.33,
2018-05-04,24.53,22.34,
2018-05-05,21.60,24.05,22.7
2018-05-06,18.49,23.53,31.5
2018-05-07,21.60,12.87,34.1
2018-05-08,18.67,13.74,29.8
2018-05-09,19.03,22.43,
2018-05-10,19.03,18.64,
2018-05-11,19.40,15.99,
2018-05-12,18.12,27.12,
2018-05-13,12.26,20.22,
2018-05-14,8.42,17.48,
2018-05-15,13.54,15.39,
2018-05-16,17.75,8.77,
2018-05-17,15.92,12.20,
2018-05-18,15.01,20.71,
2018-05-19,17.84,25.45,
2018-05-20,14.09,26.71,
2018-05-21,16.11,21.38,
2018-05-22,21.04,14.06,
2018-05-23,21.60,18.68,
2018-05-24,17.21,15.26,
2018-05-25,18.67,24.35,
2018-05-26,21.04,25.14,32.4
2018-05-27,19.77,22.75,23.3
2018-05-28,19.95,18.35,23.3
2018-05-29,26.91,17.35,23.3
2018-05-30,31.30,17.50,33.0
2018-05-31,28.92,21.37,27.5
2018-06-01,22.15,23.31,37.4
2018-06-02,15.92,32.10,33.5
2018-06-03,25.07,30.10,26.7
2018-06-04,21.96,17.53,30.3
2018-06-05,21.60,27.63,25.1
2018-06-06,17.20,23.18,25.8
2018-06-07,20.50,21.85,28.2
2018-06-08,33.68,25.08,30.9
2018-06-09,35.14,31.00,18.9
2018-06-10,23.07,37.91,16.5
2018-06-11,12.63,44.20,37.0
2018-06-12,11.72,42.83,37.7
2018-06-13,16.84,17.70,28.4
2018-06-14,12.26,19.14,17.2
2018-06-15,11.17,19.09,11.7
2018-06-16,11.02,28.13,21.4
2018-06-17,21.42,17.86,26.0
2018-06-18,27.83,12.18,21.1
2018-06-19,17.02,18.85,21.4
2018-06-20,9.89,24.38,33.7
2018-06-21,11.17,26.51,31.7
2018-06-22,14.27,12.01,19.4
2018-06-23,15.92,6.25,11.9
2018-06-24,12.63,9.30,12.3
2018-06-25,12.44,12.85,
2018-06-26,10.25,14.74,
2018-06-27,14.64,15.07,
2018-06-28,13.36,22.00,
2018-06-29,15.37,12.87,
2018-06-30,17.75,15.90,
2018-07-01,22.88,8.76,
2018-07-02,27.82,9.22,
2018-07-03,13.18,15.74,
2018-07-04,12.08,16.15,
2018-07-05,9.52,28.25,
2018-07-06,12.45,41.31,
2018-07-07,24.52,17.37,
2018-07-08,14.28,16.88,
2018-07-09,19.76,13.19,16.1
2018-07-10,19.03,20.33,20.1
2018-07-11,8.23,26.23,23.1
2018-07-12,15.19,30.01,36.6
2018-07-13,13.91,18.00,27.6
