Datum,Novi Sad Liman,Pancevo Sodara,Bg NBg,Bg Mostar,Bg Vracar,Bg Zbrdo,Sabac,Kostolac,Obrenovac Centar,Bor Brezonik,Bor Gradski park,Bor Institut,Zajecar,Nis OS Sveti Sava,
01.01.2018,12.18,16.98,20.66,24.19,14.93,,,21.25,14.14,27.24,43.87,48.31,50.93,10.97,
02.01.2018,7.39,13.30,6.99,7.53,8.21,,,13.41,12.67,26.50,56.78,26.50,32.35,5.95,
03.01.2018,9.84,15.62,9.28,12.50,9.06,,,13.21,13.02,17.50,11.87,10.66,27.55,3.32,
04.01.2018,9.04,16.78,12.22,15.20,13.53,,,20.82,19.26,18.33,15.72,12.59,24.64,3.91,
05.01.2018,11.90,15.57,20.47,25.75,14.10,,,22.23,16.30,21.13,23.95,19.71,36.54,4.30,
06.01.2018,13.23,17.93,13.65,18.06,10.23,,,17.39,18.99,18.50,34.95,26.49,21.50,8.96,
07.01.2018,9.63,17.13,10.86,15.33,8.53,,,15.11,15.96,24.23,58.14,27.03,44.61,4.87,
08.01.2018,8.03,17.49,11.09,15.43,7.01,,,12.68,16.38,23.23,25.18,24.00,44.56,7.79,
09.01.2018,6.60,11.96,8.64,6.91,6.78,,9.27,10.78,8.30,12.96,83.67,12.50,17.61,4.48,
10.01.2018,9.42,29.61,10.85,6.56,9.19,,9.70,10.93,9.57,13.73,56.00,4.00,17.10,5.17,
11.01.2018,7.73,28.58,8.59,11.73,11.07,15.61,5.18,15.24,11.38,16.53,25.70,13.58,19.92,5.27,
12.01.2018,7.11,18.04,7.63,7.17,13.96,17.69,4.98,10.69,9.14,13.73,269.59,7.94,13.66,4.62,
13.01.2018,8.51,14.45,5.45,6.11,6.91,7.51,12.70,10.24,7.49,13.40,63.25,2.82,8.10,2.97,
14.01.2018,6.48,13.03,3.90,5.24,5.95,6.15,11.55,8.41,8.74,13.03,48.33,1.47,8.53,3.01,
15.01.2018,6.07,15.63,5.23,5.98,9.09,10.95,5.15,7.71,9.79,13.82,26.42,1.41,8.21,4.88,
16.01.2018,15.38,35.55,14.04,15.66,14.61,24.48,11.18,10.07,14.81,38.85,10.11,2.70,10.76,11.75,
17.01.2018,12.15,23.89,11.40,19.28,12.56,,10.66,13.38,13.55,70.93,99.81,60.23,14.73,5.62,
18.01.2018,10.93,17.36,12.96,15.70,11.07,,13.33,11.32,23.14,21.85,19.29,18.20,28.03,5.53,
19.01.2018,13.10,19.47,20.59,27.75,12.98,,13.29,20.20,18.94,17.98,33.41,25.87,51.98,4.36,
20.01.2018,8.58,14.43,4.47,6.72,8.37,,6.33,9.12,9.81,18.20,10.51,8.40,22.92,5.16,
21.01.2018,13.21,17.93,6.93,5.78,8.72,,5.44,10.50,11.75,22.15,65.24,45.06,13.53,3.97,
22.01.2018,9.24,15.59,5.64,7.39,8.97,,6.38,8.83,11.35,24.65,24.55,22.15,25.14,5.89,
23.01.2018,10.49,17.62,11.71,8.04,14.33,,6.94,9.41,12.68,26.35,23.30,29.91,29.96,8.34,
24.01.2018,21.75,18.01,11.78,15.18,10.56,,11.35,9.36,10.42,15.87,35.23,18.11,20.46,5.23,
25.01.2018,24.58,27.36,12.64,15.68,11.88,,13.66,8.76,7.57,66.45,120.38,88.62,17.52,5.62,
26.01.2018,18.30,34.77,16.05,16.60,12.03,18.13,17.01,10.60,13.06,18.92,140.46,62.66,24.37,7.08,
27.01.2018,13.31,25.43,13.98,18.15,12.45,24.89,14.56,12.31,10.52,114.82,61.52,43.82,47.88,7.76,
28.01.2018,6.00,13.36,7.77,6.42,16.75,33.18,4.26,7.34,6.22,23.91,21.84,22.76,43.73,5.78,
29.01.2018,11.32,21.33,21.64,29.37,27.74,60.46,14.54,17.94,14.67,22.86,66.48,47.10,58.37,8.23,
30.01.2018,8.55,15.28,9.27,23.05,13.11,25.66,13.61,18.11,10.71,20.20,18.44,24.86,38.84,5.99,
31.01.2018,15.04,12.61,15.70,23.40,15.49,24.80,12.44,15.68,11.91,23.47,15.84,19.60,45.93,6.97,
01.02.2018,,8.38,9.56,30.51,12.74,15.93,13.70,19.50,12.01,23.74,62.64,41.43,41.36,6.35,
02.02.2018,,15.41,8.43,25.46,10.56,12.52,14.90,21.81,13.40,48.53,76.23,97.31,44.42,5.04,
03.02.2018,7.04,6.07,5.34,6.11,10.07,,6.09,17.70,8.80,33.09,47.86,45.73,42.75,5.50,
04.02.2018,6.09,3.59,3.98,5.56,8.20,,6.43,13.62,7.19,25.96,21.51,17.19,31.30,17.41,
05.02.2018,4.80,3.40,3.86,11.25,8.43,,8.94,14.02,8.51,22.75,18.93,15.53,37.64,5.73,
06.02.2018,8.06,8.33,5.74,9.54,14.05,,6.48,17.19,7.68,25.29,56.07,26.87,24.72,6.63,
07.02.2018,9.02,14.47,9.07,8.36,11.94,,10.94,18.79,7.81,23.29,58.38,4.74,16.43,4.48,
08.02.2018,5.83,13.26,4.78,6.47,10.89,,5.84,14.57,8.78,29.41,21.18,11.89,24.60,4.87,
09.02.2018,5.78,7.61,5.45,7.89,8.62,,8.63,13.13,9.07,27.67,25.56,18.35,32.63,6.55,
10.02.2018,5.48,7.68,5.92,5.02,9.57,,5.63,16.26,7.01,39.49,95.58,12.96,16.63,8.17,
11.02.2018,5.86,7.03,5.40,4.68,9.45,,6.40,14.83,7.22,24.06,176.88,11.65,14.70,4.98,
12.02.2018,9.05,18.77,22.04,15.09,16.68,,14.07,25.63,9.52,25.62,24.28,17.69,24.14,6.38,
13.02.2018,5.52,7.95,5.16,6.41,12.22,8.13,5.93,15.68,9.34,21.70,143.91,13.40,22.44,4.76,
14.02.2018,5.05,6.93,5.20,6.27,10.42,10.63,5.67,14.32,7.26,22.78,51.47,11.55,20.20,5.49,
15.02.2018,4.39,4.99,3.65,3.84,7.28,7.24,5.76,12.42,5.50,20.42,12.22,7.68,32.80,3.97,
16.02.2018,5.44,7.81,5.04,6.88,8.93,8.95,12.60,13.63,6.63,29.51,10.15,4.29,30.87,3.66,
17.02.2018,5.52,27.05,13.30,11.53,14.22,19.33,14.43,20.70,8.00,26.77,60.57,14.90,29.30,7.42,
18.02.2018,4.13,8.48,4.83,4.83,10.11,8.49,5.92,13.90,6.12,32.25,63.12,19.10,26.67,7.31,
19.02.2018,5.19,6.99,5.97,4.43,9.00,7.85,6.43,13.58,6.00,20.28,65.03,4.62,13.10,3.56,
20.02.2018,7.22,9.60,6.83,5.43,10.39,11.27,6.86,15.55,6.78,19.72,41.79,2.27,10.98,4.08,
21.02.2018,6.25,9.98,7.51,5.45,9.11,9.57,6.13,16.14,6.84,20.62,218.27,2.65,10.62,3.92,
22.02.2018,5.93,9.45,7.20,6.38,4.79,10.78,6.16,15.80,,20.97,115.34,3.66,10.25,3.57,
23.02.2018,16.52,10.35,7.05,7.69,6.09,10.80,13.55,16.78,,20.14,96.33,3.01,10.17,3.47,
24.02.2018,11.10,8.03,4.37,4.46,5.25,11.15,6.16,15.36,7.32,27.29,35.23,14.86,16.74,5.09,
25.02.2018,5.52,4.28,4.11,3.75,4.44,10.45,6.35,17.82,6.65,24.31,54.59,15.09,18.84,12.28,
26.02.2018,6.15,6.78,11.99,10.71,12.16,22.30,6.09,16.23,7.21,22.01,49.83,3.13,10.63,6.41,
27.02.2018,10.58,13.13,14.14,9.62,6.92,20.83,10.01,17.65,9.69,22.90,86.90,3.96,16.03,6.48,
28.02.2018,7.17,14.02,18.71,7.47,5.85,21.45,7.09,18.36,7.41,37.05,60.70,19.15,29.74,8.86,
01.03.2018,17.48,22.84,18.36,13.69,13.11,29.55,15.59,,12.05,53.69,46.62,13.62,28.33,15.69,
02.03.2018,14.18,17.57,12.59,10.79,10.02,26.33,7.84,,12.08,32.50,56.37,14.56,18.26,9.88,
03.03.2018,9.52,10.57,8.13,9.66,12.16,25.58,7.50,,10.74,41.27,71.26,30.50,44.27,13.46,
04.03.2018,7.83,7.72,5.92,5.85,7.81,18.45,7.15,,9.38,28.45,16.00,23.41,43.82,10.88,
05.03.2018,12.17,11.50,12.69,10.06,12.49,23.14,10.50,,11.36,24.91,62.25,4.60,16.28,8.62,
06.03.2018,18.13,20.07,11.00,8.76,8.56,18.17,12.20,,12.68,33.95,57.07,4.07,16.81,7.09,
07.03.2018,10.47,22.62,16.25,17.86,10.77,21.61,15.26,18.09,15.23,28.74,20.66,13.78,48.38,7.12,
08.03.2018,7.56,5.33,7.35,6.71,7.12,14.18,8.20,5.37,9.93,38.13,26.05,14.50,25.98,6.13,
09.03.2018,9.31,9.43,9.27,17.36,8.13,20.30,15.80,8.20,25.09,25.88,18.09,11.83,43.56,5.87,
10.03.2018,10.61,20.58,21.01,28.34,11.38,20.73,17.06,14.18,13.79,32.39,15.95,10.24,42.18,6.56,
