Datum,Novi Sad Rumenacka,Novi Sad Liman,Beocin Centar,Sremska Mitrovica,Beograd Stari grad,Beograd Novi Beograd,Beograd Mostar,Beograd Vracar,Beograd Zeleno brdo,Smederevo Centar,Obrenovac Centar,Smederevo Carina,Valjevo,Bor Institut RIM,Kragujevac,Kosjeric,Popovac,Zajecar,Cacak,Uzice,Kraljevo,Kamenicki Vis EMEP,Nis O.s. Sveti Sava,Nis IZJZ Nis
2019-01-01,22.75,11.09,53.52,18.37,26.75,23.25,37,22.53,23.42,20.97,21.48,27.13,17.64,22.47,15.84,,9.65,15.59,20.18,22.7,13.64,11.83,16.62,10.07
2019-01-02,20.06,14.65,52.84,19.11,24.12,17.68,37.16,24.32,23.36,21.54,16.86,23.49,25.35,21.84,20.18,,9.83,16.15,17.92,20.51,23.45,5.19,20.9,12.2
2019-01-03,25.31,15.31,45.08,14.47,15.47,21.99,28.47,23.21,21.01,21.78,21.43,18.32,21.91,13.58,17.69,,9.75,15.52,14.13,24.73,16.54,8.94,11.95,15.35
2019-01-04,33.64,16.8,45.23,21.96,20.78,33.59,36.1,25.29,23.94,27.74,31.2,18.73,30.8,15.87,26.92,,10.4,23.94,16.47,30.37,24.59,9.38,14.08,24.18
2019-01-05,20.57,10.41,42.51,29.75,33.37,16.26,41.89,24.47,28.72,37.4,31.3,17.99,28.08,22.32,19.14,,9.9,21.09,22.36,28.53,22.64,8.47,17.49,22.22
2019-01-06,18.14,13.26,50.56,12.97,16.4,22.07,24.52,20.27,17.22,17.11,19.32,21.39,18.42,14.24,19.17,,10.1,14.25,17.13,19.2,19.88,6.19,18.59,16.38
2019-01-07,31.01,12.08,44.42,23.1,18.41,29.06,37.12,22.12,24.07,25.56,21.8,23.86,24.24,21,20.94,,8.53,21.58,15.37,21.69,21.45,6.11,14.52,13.23
2019-01-08,39.46,10.56,45.48,34.37,52.74,33,59.61,33.36,31.7,43.47,28.08,20.33,44.17,31.91,31.47,,14.47,22.69,34.83,43.03,28.77,6.67,23.33,29.39
2019-01-09,46.62,23.59,66.56,36.13,45.73,46.27,52.03,33.22,27.7,38.64,33.09,22.59,31.79,28.12,39.24,,13.96,23.6,33.04,29.84,29.19,5.93,35.19,27.77
2019-01-10,31.33,19.06,49.66,19.76,21.06,30.32,29.95,26.48,20.56,18.94,25.98,26.79,22.94,34.89,36.56,,12.09,25.81,25.54,22.15,35.29,10.44,29.32,19.26
2019-01-11,29.95,20.36,,27.24,34.4,27.67,40.2,29.91,33.11,23.56,29.09,39.45,31.4,23.83,33.14,,13.35,20.07,21.71,27.75,33.7,9.88,32.78,24.17
2019-01-12,25.96,14.11,,29.86,41.01,17.95,45.04,28.56,33.99,40.54,36.85,51.32,36.28,23.06,35.17,,19.31,24.73,18.24,33.27,32.85,7.87,48.47,34.77
2019-01-13,41.7,20.28,66.5,36.51,50.29,32.83,61.36,32.03,42.23,42.5,39.27,57.18,44.92,38.75,42.86,,17.83,26.86,34.3,29.64,32.01,4.47,52.19,32.55
2019-01-14,25.87,13.98,64.57,34.01,31.16,23.54,50.14,33.12,25.85,31.05,35.09,46.05,43.94,30.05,33.88,,19.8,28.08,43.13,30.56,46.68,6.73,52.39,27.42
