Datum,Novi Sad Rumenacka,Beocin Centar,Beograd Stari grad,Beograd Novi Beograd,Beograd Mostar,Smederevo Centar,Obrenovac Centar,Popovac,Nis O.s. Sveti Sava,Nis IZJZ Nis,Novi Sad Liman,Smederevo Carina,Kostolac,Kragujevac,Valjevo,Kosjeric,Uzice,Zajecar,Bor,Kamenicki Vis
2019-01-01,24.15,28.79,33.03,35.24,29.24,63.86,12.17,29.12,,48.60,24.2,,44.1,43.2,61.3,32.5,59.7,,45.0,5.1
2019-01-02,17.71,13.91,27.70,26.64,20.93,36.39,8.68,33.05,,56.43,21.1,,30.7,34.3,66.2,46.1,47.7,,15.0,9.9
2019-01-03,19.17,17.62,15.90,21.37,14.05,23.20,16.33,19.56,23.96,23.20,20.1,,16.3,20.7,70.7,14.7,36.6,,13.4,9.5
2019-01-04,31.43,38.07,33.57,42.27,28.21,43.14,9.62,32.58,35.20,31.98,33.7,,27.0,34.3,86.9,32.3,53.9,,17.0,19.4
2019-01-05,22.54,23.22,43.33,44.64,37.06,82.41,14.56,35.03,40.79,42.49,21.8,83.0,46.1,46.9,121.1,65.3,31.9,,24.7,20.3
2019-01-06,19.70,22.02,27.89,29.62,21.85,27.62,6.27,30.68,40.66,42.39,24.7,45.0,27.0,29.3,46.8,10.5,26.7,,18.3,13.6
2019-01-07,32.50,41.00,36.46,54.86,38.84,79.13,11.47,33.10,31.90,35.09,29.9,102.0,48.1,51.9,95.6,21.8,48.1,,27.4,17.8
2019-01-08,43.85,28.06,58.40,64.23,53.68,111.40,13.38,44.88,61.78,67.28,26.0,,86.7,80.1,233.8,159.6,105.4,,38.1,25.1
2019-01-09,55.58,63.95,65.19,61.13,47.90,68.85,17.42,32.90,62.99,60.53,56.0,,35.7,86.3,267.3,173.0,170.5,,35.2,11.4
2019-01-10,43.41,56.11,46.61,45.28,33.63,44.88,13.89,41.40,49.51,49.66,56.0,,41.9,63.8,83.3,47.7,67.8,,33.0,16.1
2019-01-11,34.11,39.43,51.12,54.42,40.90,56.80,13.93,48.10,65.10,62.72,44.3,,62.0,66.0,112.1,64.8,44.4,,29.4,19.4
2019-01-12,28.94,19.23,48.32,49.48,36.25,92.37,13.58,67.81,126.98,128.92,29.7,,91.8,71.9,121.2,92.9,50.6,,16.7,24.6
2019-01-13,37.82,23.67,64.17,65.05,47.51,136.96,18.08,61.99,162.61,164.46,32.4,,68.0,96.2,236.9,178.3,61.7,,24.7,15.9
2019-01-14,18.57,15.01,18.60,20.88,15.45,39.67,10.06,43.97,150.62,153.11,19.4,,33.9,45.2,144.2,140.2,90.0,,14.5,12.1
2019-01-15,21.07,14.26,18.89,17.18,10.90,13.63,22.70,19.73,55.22,46.97,22.7,,20.7,23.6,93.9,47.2,35.9,,15.1,13.2
2019-01-16,48.30,17.62,43.89,47.59,46.39,95.35,95.59,63.44,155.91,133.58,28.4,,63.3,57.6,187.2,156.7,50.8,,16.0,11.5
2019-01-17,16.18,9.69,98.60,60.03,45.15,83.17,53.54,43.80,180.85,183.54,16.5,,42.3,64.9,259.7,189.2,145.6,,23.0,13.4
2019-01-18,28.78,37.53,41.71,37.74,25.31,42.89,34.63,47.65,195.17,192.85,31.0,,33.4,98.4,127.7,244.3,206.2,,26.8,13.0
2019-01-19,34.71,41.02,36.58,38.95,29.32,50.05,16.73,29.42,102.58,101.06,38.5,,31.4,52.1,87.8,71.8,62.6,,23.9,7.0
2019-01-20,24.93,35.59,29.87,31.49,24.69,45.64,11.53,26.95,84.82,90.74,33.9,,26.7,50.5,85.3,84.3,73.6,,26.5,15.6
2019-01-21,34.72,36.91,37.98,35.64,29.62,40.35,23.52,38.21,63.59,52.52,36.5,,46.1,50.3,65.3,42.3,66.7,,29.7,13.7
2019-01-22,26.46,25.35,31.13,33.83,25.43,31.56,17.26,15.36,47.32,41.38,25.8,,14.8,49.6,81.8,53.5,79.6,,31.7,
2019-01-23,42.74,51.69,57.84,55.10,42.10,76.28,49.61,22.05,36.03,40.10,53.0,113.4,21.8,53.2,72.4,52.2,124.2,,31.4,
2019-01-24,38.39,50.38,37.64,39.23,30.79,49.45,9.87,27.66,30.29,29.67,49.7,69.8,41.0,59.0,70.5,24.9,31.4,,25.0,
2019-01-25,47.24,59.98,58.06,61.01,45.95,55.77,14.61,39.80,35.20,34.09,59.7,82.1,53.7,63.1,65.7,33.6,38.6,,20.3,
2019-01-26,38.69,46.33,49.27,57.51,50.44,95.48,16.43,43.22,47.13,46.95,49.3,105.3,75.8,77.5,134.4,60.0,56.6,,34.6,
2019-01-27,49.75,47.16,59.78,67.19,58.75,91.73,17.62,59.68,150.22,148.86,42.9,81.0,56.8,127.2,234.9,123.3,184.3,,30.8,
2019-01-28,34.35,34.50,38.95,33.81,30.68,51.26,10.81,24.50,98.90,103.28,39.6,81.9,21.4,60.5,119.2,124.8,162.9,,27.6,
2019-01-29,40.23,52.75,66.79,65.46,47.93,76.82,16.14,51.39,75.65,72.84,50.6,126.3,69.7,63.8,87.1,53.1,65.7,,73.6,
2019-01-30,75.18,84.03,100.83,108.79,79.47,144.31,25.11,72.77,83.25,81.60,93.3,228.7,103.4,99.1,118.3,83.1,86.7,,48.4,
2019-01-31,51.34,51.44,86.78,83.24,56.30,94.72,21.75,72.41,141.34,130.41,56.8,123.6,64.6,74.4,113.9,67.3,102.5,,30.5,
2019-02-01,35.25,31.62,36.12,31.36,26.81,50.75,13.97,46.73,110.10,121.19,36.6,46.1,30.3,49.7,66.7,132.6,156.2,,46.1,
2019-02-02,16.22,14.46,21.66,15.06,12.14,38.43,14.38,65.69,98.59,102.08,19.2,36.6,23.2,18.1,74.0,84.7,108.6,,53.7,
2019-02-03,14.82,17.00,25.25,21.84,16.43,42.58,14.53,80.62,70.93,69.70,13.9,54.9,29.6,30.5,60.4,71.6,87.0,,56.6,
2019-02-04,25.62,23.84,22.84,28.33,21.27,28.08,17.36,30.02,40.98,40.27,20.6,41.4,23.4,33.3,54.1,32.3,37.0,,26.7,
2019-02-05,31.27,38.25,37.07,41.30,29.50,38.15,12.14,37.70,41.90,43.50,32.1,58.5,34.7,38.4,61.1,27.0,40.4,,35.5,
2019-02-06,46.95,58.76,36.73,39.18,28.56,40.98,24.06,39.47,40.23,38.55,43.8,63.0,55.3,38.1,68.6,38.6,33.0,,20.9,
2019-02-07,43.06,43.73,50.38,47.57,38.75,59.42,43.45,33.83,41.22,46.73,40.1,67.1,59.1,52.1,136.9,43.5,68.4,49.6,34.6,10.3
2019-02-08,43.30,76.71,49.40,44.24,35.57,64.64,49.34,43.02,54.73,54.84,55.0,80.3,55.5,65.4,116.1,31.9,83.4,84.4,34.5,16.1
2019-02-09,70.08,85.26,76.29,70.37,60.18,128.63,69.44,82.43,95.99,91.53,76.2,147.4,88.3,92.3,144.7,52.8,108.3,153.4,29.4,23.5
2019-02-10,62.54,49.17,110.68,77.53,66.82,123.03,77.72,81.00,144.55,114.00,41.2,112.2,59.7,101.1,202.6,88.5,107.4,160.6,38.4,25.8
2019-02-11,14.42,17.13,19.45,16.08,13.07,35.08,17.05,54.14,60.63,60.55,16.1,38.1,13.4,58.5,82.7,73.5,67.7,165.6,53.9,13.2
2019-02-12,11.14,12.73,9.39,12.04,7.99,15.58,10.90,13.29,18.35,22.13,17.2,25.4,30.5,14.6,37.4,25.8,21.8,27.6,8.5,3.3
2019-02-13,31.78,31.60,30.16,31.58,26.10,33.47,42.05,28.71,37.37,37.07,31.3,43.7,64.9,34.7,96.9,14.0,37.5,99.5,12.9,10.1
2019-02-14,38.73,33.75,42.16,40.88,29.39,44.48,25.74,66.48,56.38,56.80,41.2,62.9,49.9,34.9,104.5,29.6,45.7,,26.1,22.5
2019-02-15,48.10,46.75,55.72,62.23,51.81,74.07,73.52,42.27,45.97,48.56,36.1,89.6,79.3,66.6,100.7,62.0,85.4,,36.6,14.1
2019-02-16,62.35,51.87,79.18,84.44,78.99,113.45,71.96,48.18,62.53,65.55,43.4,123.8,76.2,60.7,90.3,65.3,107.6,,30.1,25.7
2019-02-17,88.45,61.26,109.11,95.43,82.07,134.30,85.01,60.88,92.96,96.40,44.0,160.0,101.8,71.3,93.9,91.6,119.2,,40.3,34.8
2019-02-18,92.78,79.64,143.23,106.39,95.23,172.39,94.69,134.12,102.80,105.76,54.6,179.3,96.5,87.2,112.6,103.9,152.0,,40.8,32.6
2019-02-19,95.96,75.70,132.99,110.44,92.90,148.29,127.19,158.85,127.12,122.36,69.4,137.8,94.9,80.6,121.5,117.5,148.5,,66.6,30.4
2019-02-20,60.95,65.25,79.63,80.48,74.62,98.45,89.97,87.05,100.35,91.48,69.8,113.2,87.2,96.3,113.5,104.1,114.1,,45.5,35.2
2019-02-21,46.21,51.86,65.88,68.64,71.08,93.43,72.78,73.88,95.25,87.48,44.3,89.4,72.4,,90.5,75.3,117.5,,31.9,33.9
2019-02-22,23.93,24.86,41.36,42.82,33.56,45.96,13.75,46.58,77.44,74.00,26.7,45.9,94.5,,53.7,54.0,35.9,,28.5,18.5
2019-02-23,24.49,31.56,23.75,26.58,22.33,63.99,36.16,29.08,25.90,38.24,24.0,71.2,47.2,,6.2,32.7,52.2,,42.1,16.9
2019-02-24,40.08,50.66,43.06,53.63,36.33,65.59,37.92,36.82,41.50,37.92,42.5,76.4,43.4,,79.1,58.4,62.8,,27.6,17.4
2019-02-25,48.65,55.56,56.78,55.13,44.70,72.06,57.79,58.65,64.58,65.96,42.3,89.4,45.5,,95.2,55.5,87.4,,50.6,25.1
2019-02-26,49.28,46.45,67.40,65.23,58.28,69.94,63.16,147.72,85.04,82.04,52.5,83.0,72.6,,104.7,61.5,80.5,,40.8,33.3
2019-02-27,48.92,49.56,39.96,46.11,53.01,38.27,40.35,64.21,73.56,68.70,41.7,48.2,58.4,,94.3,63.5,93.4,,28.3,30.4
2019-02-28,40.57,32.70,55.85,50.09,47.41,80.85,50.98,151.27,136.80,113.36,47.0,66.3,83.6,,116.2,100.3,101.6,,25.4,22.3
2019-03-01,50.01,52.17,58.93,56.13,62.73,67.98,60.41,135.66,115.51,100.30,55.1,84.7,60.9,,90.5,106.5,108.1,,44.1,30.6
2019-03-02,26.46,30.54,30.46,30.48,26.89,37.25,23.11,38.39,61.41,60.74,29.1,45.9,31.6,,55.7,40.8,46.6,,29.2,24.2
2019-03-03,27.31,30.12,43.45,41.48,34.83,47.25,24.43,47.08,68.11,58.14,26.7,51.9,41.5,,79.4,61.9,76.7,,27.6,22.5
2019-03-04,25.50,17.30,47.51,31.80,43.59,61.44,37.75,70.09,54.81,54.06,23.8,47.9,40.6,,114.1,51.9,64.9,,28.6,19.8
2019-03-05,25.48,23.92,25.26,19.31,26.65,51.55,36.43,27.99,37.02,43.22,17.8,54.9,32.7,,77.8,41.5,37.0,50.5,20.5,10.8
2019-03-06,28.59,21.33,28.55,30.72,31.09,42.71,26.97,51.85,61.07,59.70,26.0,43.3,26.3,,86.7,47.0,93.6,79.5,22.8,
2019-03-07,65.39,17.19,28.80,23.13,22.15,67.09,28.70,91.77,61.72,45.19,26.9,92.0,42.8,,78.7,55.1,74.2,114.8,47.0,18.1
