Datum,Kikinda Centar   ,Novi Sad Rumenačka   ,Novi Sad Liman   ,Beočin Centar   ,Sremska Mitrovica   ,Pančevo Sodara   ,Beograd Novi Beograd   ,Beograd Mostar   ,Beograd Vračar   ,Beograd Zeleno brdo   ,Šabac   ,Kostolac   ,Smederevo Centar   ,Obrenovac Centar   ,Bor Brezonik   ,Bor Gradski park   ,Bor Institut RIM   ,Kragujevac   ,Kosjerić,Zaječar   ,Užice   ,Kraljevo   ,Kamenički Vis EMEP   ,Niš O.š. Sveti Sava   ,Niš IZJZ Niš   ,Kopaonik   ,Vranje   
01.01.2019,8.59,3.57,4.71,3.01,2.22,8.4,4.56,3.75,4.34,13.68,6.3,11.62,20.48,12.16,14.6,18.75,14.01,5.83,3.04,29.2,3.01,9.92,9.81,7.63,5.49,6.04,29.43
02.01.2019,10.59,3.84,5.32,3.75,3.06,11.09,5.99,4.36,5.47,18.05,6.93,13.35,35.67,17.73,13.25,13.3,9.4,7.61,3.21,31.78,3.49,8.78,9.45,8.98,6.6,5.73,15.9
03.01.2019,9.29,,4.45,2.28,2.87,8.81,4.55,2.9,3.55,10.99,5.6,12.35,27.76,13.77,11.34,9.6,5.64,6.5,2.4,23.27,3.32,9.67,8.26,8.1,6.53,8.06,22.72
04.01.2019,8.55,3.09,4.2,2.23,2.39,8.41,4.8,3.63,4.11,10.7,5.2,11.88,42.36,14.06,8.4,7.99,4.01,6.15,2.58,27.05,2.93,8.94,13.48,9.84,7.85,4.33,24.57
05.01.2019,9.93,3.6,5.31,3.91,4.21,26.01,8.76,11.92,11.39,28.15,9.07,14.77,37.48,17.3,29.56,23.18,16.97,7.76,4.2,21.24,2.92,10.16,13.47,13.9,10.73,6.6,12.41
06.01.2019,10,3.87,4.31,2.63,3.38,9.76,5.12,3.04,3.95,12.7,6.42,12.8,24.92,14.17,14.43,10.93,6.14,6.41,3.2,19.97,2.91,8.48,11.66,10.71,7.39,7.9,9.02
07.01.2019,8.97,3.66,4.64,3.46,3.01,9.12,4.97,4.76,5.74,14.12,7.03,12.29,54.89,13.64,18.81,13.49,7.09,6.96,2.3,23.23,2.22,9,10.03,8.14,6.68,5.89,9.03
08.01.2019,12.62,,8.21,12.6,4.48,21.53,11.17,17.95,9.98,33.92,9.9,19.31,58.17,20.58,29.75,17.76,10.27,9.76,4.84,18.18,5.47,10.38,12.55,16.07,20.97,5.76,16.02
09.01.2019,14.61,,11.49,13.03,5.04,18.53,12.81,12.37,8.28,21.77,9.46,18.01,52.04,19.66,41.26,96.97,15.59,8.84,5.43,29.11,6.98,13.49,12.18,16.85,9.63,5.89,13.25
10.01.2019,12.76,,10.34,4.5,4.02,11.48,6.81,3.77,6.8,14.36,6.75,13.78,27.2,15.82,24.77,35.88,28.83,7.76,4.07,14.1,6.37,13.26,12.5,13.59,8.03,9.93,10.17
11.01.2019,12.79,,9.92,3.42,3.45,11.52,6.07,5.26,6.09,20.9,6.45,13.38,38.27,15.73,15.46,13.69,10.87,8.49,3.88,26.96,4.37,19.92,12.02,17.42,7.23,12.64,22.61
12.01.2019,11.94,,10.6,3.09,3.64,19.33,8.93,8.11,9.1,26.61,9.02,17.69,48.01,18.26,21.6,21.71,20.85,10,3.87,32.41,3.57,12.89,12.19,16.6,10.72,7.4,14.42
13.01.2019,16,8.3,16.23,14.96,6.2,22.84,15.38,18.58,8.57,33.57,15.54,21.55,57.89,25.2,24.27,19.2,13.3,12.49,4.62,40.08,4.18,9.93,8.88,20.53,11.54,5.51,19.15
14.01.2019,16.46,8.72,16.18,8.16,6.61,17.6,12.49,15.76,8.11,18.01,16.43,21.24,56.69,24.14,18.78,24.3,61.48,11.6,5.64,49.28,6.81,10.02,13.64,21.3,10.96,6.07,19.6
15.01.2019,12.7,5.04,10.77,2.31,3.75,13.08,6.99,6.77,6.23,16.85,13.92,16.78,50.56,21.88,18.65,16,10.74,11.77,4.19,31.87,3.98,12.4,10.87,16.46,9.35,6.14,29.14
16.01.2019,12.91,6.13,11.47,6.64,10.07,21.47,13.74,28.68,12.55,25.26,34.3,30.3,57.26,29.15,29.31,18.7,12.95,12.82,6.95,36.13,5.26,15.75,9.04,24.62,14.56,6.25,30.99
17.01.2019,14.91,12.64,16.46,14.4,6.94,25.41,16.82,38.78,10.19,22.99,19.11,23.56,51.34,22.41,19.56,14.45,11.6,10.85,8.47,51.88,9.28,10.27,12.02,23.25,18.72,4.39,35.59
18.01.2019,13.2,5.01,11.64,4.18,3.92,17.28,13.99,13.72,7.18,14.08,13.24,21.15,46.43,23.26,14.47,12.83,8.61,13.55,6.75,77.03,10.7,15.1,9.17,29.92,21.65,3.82,49.68
19.01.2019,11.56,3.97,9.97,2.55,2.62,15.59,10.6,6.92,10.44,19.71,7.95,17.26,29.37,15.22,16.61,19.89,7.84,7.95,4.6,35.75,4.21,11.65,9.53,18.37,9.69,4.88,26.7
20.01.2019,11.94,4.4,10.26,6.12,2.57,11.98,7.07,5.02,5.48,14.79,7.01,14.82,18.48,15.77,18.7,34.38,4.53,8.5,4.19,11.47,4.17,15.21,14.07,19.06,10.36,5.75,15.01
21.01.2019,11.68,4.16,9.58,4.21,2.57,12.4,7.51,5.34,5.39,12.81,7.8,14.14,24.43,15.99,33.5,35.99,21.07,12.23,4.13,29.28,3.4,22.97,21.65,29.71,9.78,3.9,16.23
22.01.2019,12.58,4.17,10.27,9.93,2.82,12.15,7.48,4.83,5.37,10.32,7.69,14.96,37.54,17.1,14.63,46.02,5.89,9.09,3.76,12.41,4.83,35.64,12.06,24.37,13,7.66,18.39
23.01.2019,15.17,5.55,11.9,13.76,3.63,15.72,8.83,5.1,7.67,15.71,8.17,16.85,35.62,19.7,23.5,35.87,10.9,12.28,4.01,14.16,6.24,13.72,10.04,21.03,22.94,5.97,14.19
24.01.2019,15.54,5,11.64,8.18,3.82,12.73,7.59,5.44,8.13,17.04,7.68,15.34,19.55,19.36,21.35,34.23,11.11,9.87,6.74,12.92,7.89,31.68,20.35,18.15,11.3,7.16,13.83
25.01.2019,14.67,4.54,10.67,7.09,3.95,11.32,6.7,4.21,6.34,13.34,7.11,14.83,21.87,17.53,18.37,28.64,12.4,8.65,7.96,11.17,6.07,15.25,11.91,16.23,10.4,12.81,22.2
26.01.2019,15.3,5.21,11.13,5.99,4.67,12.43,6.82,6.37,5.7,17.96,10.06,15.4,25.98,20.23,28.28,24.63,15.58,10.78,4.67,22.58,4.19,16.48,19.14,18.57,10.29,9.08,18.9
27.01.2019,21.62,9.88,20.8,22.72,6.93,29.13,18.79,14.75,9.82,23.75,13.57,22.29,83.98,27.1,37.72,34.87,15.55,12.26,7.46,24.74,7.12,15.67,10.34,21.31,14.1,5.89,11.89
28.01.2019,23.76,7.04,18.2,11.62,5.86,22.76,12.19,11.23,7.94,18.18,14.31,18.93,107.99,24.69,32.01,37.63,12.91,12.79,6.31,14.3,12.41,30.15,12.43,31.85,19.77,6.57,13.34
29.01.2019,16.75,5.58,12.54,5.35,4.51,13.9,7.56,6.15,7.48,15.7,10.28,15.5,38.74,19.06,47.88,47.27,25.99,8.12,3.96,30.99,6.22,12.99,11.52,22.56,12.38,6.39,16.21
30.01.2019,16.24,5.64,12.33,7.04,4.22,16.03,8.92,7.53,8.76,18.19,10.43,15.88,30.73,19.78,31.24,30.47,15.06,9.74,4.54,26.93,7.9,15.39,17.45,16.9,10.16,8.07,6.06
31.01.2019,17.83,5.97,14.77,20.51,3.46,23.02,12.58,5.37,11.3,23.25,11.08,16.95,32.35,18.88,52.68,57.08,26.53,9.61,4.2,40.05,7.42,23.19,12.17,20.33,11.17,4.92,8.79
01.02.2019,21.09,12.61,28.41,23.36,7.6,31.94,20.8,18.35,12.19,26.99,17.81,20.81,104.74,22.63,53.11,115.45,61.54,13.8,5.45,33.16,10.55,17.12,9.08,27.77,14.94,4.45,11.52
02.02.2019,22.13,15.65,27.93,17.44,6.39,26.71,12.76,18.15,5.53,12.3,20.08,25.18,99.18,24.44,61.65,55.73,38.7,14.67,4.53,53.19,10.26,11.33,8.08,26.1,20.15,4.81,11.79
03.02.2019,20.86,7.91,19.74,6.76,7.31,28.09,9.65,9.58,5.35,11.21,13.38,23.27,75.57,21.53,66,50.91,50.71,9.96,4.37,45.53,7.42,10.93,,21.19,19.73,6.57,7.64
04.02.2019,15.93,,15.35,3.12,2.24,12.07,6.35,4.45,5,9.3,9.83,15,44.65,15.22,18.34,30.5,42.15,5.84,3.58,42.18,4.79,11.86,,11.16,9.45,5.73,11.32
05.02.2019,15.29,4.38,13.68,2.53,1.78,10.42,5.26,4.07,4.93,9.5,8.91,13.46,18.48,14.75,20.15,147.54,11.18,5.5,4.31,21.44,4.36,9.49,,8.51,8.1,6.18,21.95
06.02.2019,15.55,4.52,14.37,3.25,2,10.65,5.08,3.9,5.54,8.8,9.09,13.92,32.45,14.54,12.59,14.72,11.19,6.18,6.28,31.51,4.29,14.59,,9.41,8,4.8,15.25
07.02.2019,16.48,8.13,17,21.78,3.11,17.09,10,9.03,6.41,13.08,12.88,15.28,45.44,16.92,10.12,138.27,6.76,9.88,7,17.68,3.86,19.86,8.59,12.11,11.1,6.04,13.59
08.02.2019,16.12,5.11,15.02,6.66,2.2,18.58,8.96,7.4,8.12,18.02,8.71,15.88,40.29,16.89,23.82,35.5,6.71,8.39,7.27,21.01,3.98,16.18,7.36,11.6,11.59,6.85,4.92
09.02.2019,20.04,6.16,15.85,5.94,3.54,27.38,19.3,15.74,12.91,24.93,12.93,26.6,51.91,29.87,19.78,15.9,18.33,15.99,7.03,28.73,5.18,17.41,10.73,12.65,11.52,6.75,8.96
10.02.2019,20.7,14.04,21.23,11.05,4.91,28.87,20.95,26.09,13.11,30.78,18.52,26.08,81.7,29.78,58.03,44.04,36.74,10.92,8.99,25.64,5.96,12.37,11.87,18.53,17.45,6.13,12.23
11.02.2019,19.81,7.66,16.03,4.9,4.38,16.29,9.58,15.05,5.78,10.25,14.84,21.03,52.08,24.67,61.68,52.4,43.09,10.22,6.88,23.83,7.34,27.91,11.41,16.32,15.79,5.73,10.28
