Datum,Beočin,Niš O.Š.Sveti Sava,Kosjerić,Beograd Mostar,Beograd Novi Beograd,Niš IZJZ,Smedervo Centar,Beograd Stari grad,Valjevo,Obrenovac Centar,Popovac,Bor Gradski park
1.1.2019,26.4,43.5,23.7,,34.1,47.2,58.6,31.9,56.8,23.2,29.4,20.8
2.1.2019,13,59.6,26.4,21.1,26.1,54.8,32.9,25.9,63.6,26.4,32.4,11.9
3.1.2019,15.8,22.1,11.3,13.2,19.7,21,20.6,14.2,51.9,11.3,18.8,11
4.1.2019,35.7,32.4,,27.9,41.9,29.6,37.4,32.4,70.2,,31.3,12.9
5.1.2019,22.3,38.5,,34.6,43.4,38.7,83,40.2,,,30.7,20.6
6.1.2019,20.7,39.5,,21.8,29.9,,,27.1,,,29.5,15.1
7.1.2019,,31.4,,34.4,50.1,,80,35.1,,,30.9,23
8.1.2019,28.3,59.7,,46.8,57.3,65.3,109,54.9,190,,,14
9.1.2019,57,60.9,,46.9,60.4,,65.5,58.5,195.7,,29.3,16.8
10.1.2019,49.7,,24.1,33.5,44.8,,,43.9,82,24.1,41,31.2
11.1.2019,36.1,64.3,35.7,40.3,53.5,62.8,55.3,49.6,107.2,35.7,47.7,
12.1.2019,18.5,124,51.6,35.6,48.7,126.3,,46.3,109.7,51.6,65.9,14.5
13.1.2019,25.1,160.8,90.7,46.7,62.6,162.9,131.1,59.9,175.5,90.7,58.7,23
14.1.2019,13.9,144.7,,14.9,20.4,148.3,38.9,16.8,112.9,,42.8,12.2
15.1.2019,9.7,49.3,22.9,9.7,14.5,41,13,14.5,64.1,22.9,17.6,9.1
16.1.2019,12.6,152.3,86.5,40.9,43.4,134.8,66.8,28.1,135.7,86.5,35.7,11.6
17.1.2019,8.7,174.5,99,40.9,50.7,184.9,74.7,71.9,196.2,99,38.7,15.3
18.1.2019,26.1,189.7,115.1,22.5,31.2,192.8,43.7,30.9,96.3,115.1,41.4,20.8
19.1.2019,38.2,101.2,42.4,28.2,,,,33.6,81.5,42.4,28.4,20.8
20.1.2019,34,83.7,50.7,24.3,,,49.1,28.8,77.5,50.7,25.9,20.4
21.1.2019,36.4,62.2,,28.2,,,,35.5,52.9,,36.3,26.1
22.1.2019,,45.6,,25,,43.8,,29.7,73,,12,23.7
23.1.2019,48.3,35,,39.7,58.6,41,74.1,50.7,66.6,,15.8,26.5
24.1.2019,45.7,30.7,,33.5,,31,,37.3,69.8,,,20.4
25.1.2019,54,34.8,24.9,45,59.6,,54.5,56.1,61.5,24.9,42.1,
26.1.2019,41.6,46.5,39.4,,56.2,,102.4,49,118.3,39.4,42.3,
27.1.2019,41.7,147.9,61.3,,63.9,146,83.4,58.2,182.2,61.3,57.1,24.3
28.1.2019,31,95.4,76.1,30.8,31.9,101.4,51,35.8,103.4,76.1,14.2,24
29.1.2019,49.5,74,,,64.5,68.2,,69.5,78.7,,47.2,61.1
30.1.2019,78.2,82.2,49.1,,105.6,,142.5,98.1,100.3,49.1,,44.4
31.1.2019,49.9,134.4,38.9,,79.9,133.6,93.7,78.7,93.6,38.9,64,26.7
1.2.2019,24.8,103.4,71.9,20,28.9,112.7,47.7,30,47.7,71.9,29.1,30.6
2.2.2019,9.1,77.5,44.3,9.7,11.1,85,30.1,14.3,41.4,44.3,14.6,36.6
3.2.2019,11.3,47,40.8,12.5,15.6,51.9,36.1,18.7,34.6,40.8,32.8,46.8
4.2.2019,19.6,35.5,,19.9,25.9,37.8,25.9,21.3,51.4,,,22.1
5.2.2019,33.2,38.3,16.7,,39.9,38.1,38.4,36,56.4,16.7,34.8,21.7
6.2.2019,49,37.5,,27.6,37.1,36.7,37.5,34.7,60.7,,36.4,18.3
7.2.2019,37.1,37.4,,35.4,42.7,38.7,42.4,41.8,106.7,,28.3,21.5
8.2.2019,61.6,46.4,31,33.7,41.9,47.9,52.7,44.8,98.7,31,31.8,28.2
9.2.2019,67.6,78.3,27,53.6,62.7,82.9,112.2,64.2,115.5,27,43.8,25.4
10.2.2019,41,108.5,43.7,60,70.3,103.6,106.5,94.2,148.7,43.7,50,25.9
11.2.2019,15,44.5,33.1,10.9,15.3,51.9,31.3,14.9,65.5,33.1,19.3,41
12.2.2019,10.2,17.5,4.8,6.9,10.4,,12.6,7.7,29.7,4.8,12.4,6.8
13.2.2019,26.1,34.3,17.9,20.8,27.3,28,30.7,24.6,69.2,17.9,23.4,10.3
14.2.2019,24.7,52.4,38.2,26.3,38.2,56.4,37.2,36.6,77.2,38.2,56.8,20.9
15.2.2019,39,40.8,28.9,45.6,55.3,38.3,67.6,48.2,76.3,28.9,34.6,21.8
16.2.2019,42.4,51.9,44.3,71.5,77.8,56.9,100.9,67.7,75.2,44.3,37.4,23.6
17.2.2019,51,79.9,38.7,76.2,84.4,88.3,120.5,92.5,75.5,38.7,44.8,33.9
18.2.2019,60.5,78.8,42.2,85.7,96.7,91.7,155.2,114,79.4,42.2,60.7,29.4
19.2.2019,57.1,90,41,76,95.7,98.8,121.8,102.3,86.8,41,52.4,45.3
20.2.2019,51.2,76.4,47.2,56.5,71.2,76.8,80.1,62.8,86.3,47.2,53.8,33.6
21.2.2019,40.2,73.9,38.3,51.7,58.8,74.8,80.3,50.4,69.8,38.3,44.9,21.5
22.2.2019,22.7,70.3,34.1,30.9,40,73,41,37.2,51.3,34.1,40.2,20.8
23.2.2019,20.1,20.3,18.2,12.7,13.8,20.6,54.6,17.4,38,18.2,14.2,14
24.2.2019,43.3,34.4,35.5,30.7,47.3,32.1,60.6,36.7,67.6,35.5,29.7,17.4
25.2.2019,44.9,56,28.3,35.7,48.2,54.3,65.2,46.9,69.7,28.3,38.2,22.4
26.2.2019,29.5,68.2,35.7,40.9,54.4,69.3,58.8,51.9,73,35.7,60.9,29.7
27.2.2019,37.7,53.6,33.7,28.5,37,54.4,25,29.6,64.2,33.7,34.6,18.1
28.2.2019,20.9,96,53.4,32.1,41,95.3,62.5,38.2,84.7,53.4,38.6,14.4
1.3.2019,33.1,84.7,50.8,40.3,45.4,81,48.5,41.9,65.7,50.8,54.1,27.2
2.3.2019,22.1,51.6,21,21.1,27,54.5,27.9,24.3,44.2,21,31.9,21.9
3.3.2019,25.2,56.6,34.6,29.9,37.5,52.7,40.1,35.7,65.5,34.6,35.2,20
4.3.2019,12.4,41.3,27.7,23,24.8,43.5,42.3,30.9,78,27.7,33.8,15.7
5.3.2019,15.4,25.7,22.9,14.1,15,27.7,38.7,14.4,53.4,22.9,22.5,10.2
6.3.2019,14.4,46.4,18.3,19.6,22.8,48.9,31.1,18.7,60.5,18.3,26.3,10.5
7.3.2019,10.2,34.5,23.8,12.4,14.9,28.9,36.1,16.6,46.7,23.8,24.7,21.1
8.3.2019,16.3,38.9,16.1,12.3,16.6,33.4,26.7,16.1,50.4,16.1,36.3,23.5
9.3.2019,17.5,51.8,16.4,12.8,17.4,43.4,28.9,16.8,49.9,16.4,34.6,12.7
10.3.2019,9.1,30.1,14.4,9.2,12.4,28.9,19.4,10.3,44.9,14.4,16.9,10.6
11.3.2019,9.9,21,9.8,8.4,10.8,23.3,14.1,9.9,32.7,9.8,9.4,7.4
12.3.2019,18.4,34.7,19.7,13,17.5,33.4,18.1,14.2,42.5,19.7,14.8,12.4
