Datum,Novi Sad Rumenacka,Novi Sad Liman,Beocin Centar,Sremska Mitrovica,Beograd Stari grad,Beograd Novi Beograd,Beograd Mostar,Beograd Vracar,Beograd Zeleno brdo,Sabac,Kostolac,Smederevo Centar,Obrenovac Centar,Smederevo Carina,Valjevo,Bor Institut RIM,Kragujevac,Kosjeric,Popovac,Zajecar,Cacak,Paracin,Uzice,Kraljevo,Krusevac,Kamenicki Vis EMEP,Nis O.s. Sveti Sava,Nis IZJZ Nis,Novi Pazar,Vranje,Vrsac
2020-01-01,24.67,19.69,14.19,20.8,27.78,23.34,42.44,30.23,32.89,15.88,13.87,23.67,40.12,4.97,27.65,21.47,17.83,26.71,23.67,22.94,15.77,,30.53,23.64,20.13,23.34,17.7,15.18,,15.53,
2020-01-02,38.47,19.37,13.77,29.53,33.27,32.31,51.86,33.34,32.12,29.32,16.25,28.03,46.37,4.85,28.35,42.49,16.86,31.77,22.53,26.24,18.18,,36.55,28.43,16.3,28.36,21.87,20.76,,20.17,
2020-01-03,23.94,16.79,17.36,23.58,26.9,39.12,34.39,42.59,38.59,16.59,14.21,26.11,38.91,4.72,43.3,55.77,21.95,41.96,18.9,22.92,47.74,,48.54,35.07,21.36,19.86,36.52,28.18,,39.87,
2020-01-04,29.14,25.93,19.17,24.09,26.58,28.55,33.53,36.72,41.18,17.29,16.36,29.84,39.97,4.45,40.91,34.26,22.35,54.13,27.41,28.07,27.97,,51.81,35.35,23.86,21.03,47.16,31.69,,36.84,
2020-01-05,20.76,12.44,9.54,10.55,11.6,19.74,21.41,22.54,17.24,8.39,7.88,13.76,30.7,2.92,15.9,15.76,18.16,19.57,21.99,17.15,13.86,,25.89,16.62,6.09,35.57,14.8,16.47,,11.29,
2020-01-06,37.62,23.04,15.69,23.79,14.57,27.33,29.95,27.63,21.31,20.78,12.51,22.02,42.91,3.92,26.95,27.04,17.84,21.03,16.16,32.07,12.55,,39.95,23.83,11.73,22.91,13.66,15.89,,8.59,
2020-01-07,37.92,13.99,14.78,27.37,31.44,32.55,47.18,36.31,32.81,24.79,15.18,31.57,39.91,5.62,26.02,41.12,14.74,31.65,13.82,29.89,21.33,,40.03,25.02,17.78,26.91,21.93,20.57,,17.74,
2020-01-08,41.22,25.35,19.45,24.47,40.17,29.96,48.28,39.03,53.23,23.16,14.97,31.17,47.24,4.2,42.61,45.85,20.04,50.88,21.12,40.73,16.09,,43.13,29.64,23.79,23.66,35.28,31.94,,26.66,
2020-01-09,31.87,20.69,18.16,28.47,36.09,43.25,48.78,39.23,30.62,27.37,19.85,34.4,48.16,4.3,31.44,53.94,21.81,40.43,19.76,31.65,42.92,,55.03,31.39,26.6,18.5,39.26,30.84,,38.89,
2020-01-10,59.59,45.32,27.72,49.66,65.9,50.86,76.68,61.34,66.59,56.26,28.41,50.6,57.7,6.28,44.06,69.54,31.44,48.93,27.29,55.37,55.59,,63.64,59.51,30.58,21.98,51.14,35.75,,51.81,
2020-01-11,35,26.28,16.98,28.48,42.51,31.01,47.85,42.94,48.15,20.25,25.9,30.25,50.4,5.44,37.74,34.44,26.8,64.63,26.56,30.04,32.29,,55.57,42.16,28.31,34.48,38.85,26.95,,28.87,
2020-01-12,19.48,15.4,13.41,15.16,22.12,27.77,24.5,31.65,30.62,11.62,12.44,17.41,30.38,2.1,20.24,39.33,15.63,37.3,20.41,30.51,34.67,,36.04,25.31,19.38,44.84,22.61,18.35,,17.88,
2020-01-13,27.4,20.72,22.15,16.49,28.95,32.42,28.03,37.78,40.88,11.69,16.46,19.05,32.96,1.76,14.19,52.78,19.1,41.27,23.43,49.95,43.28,,41.49,27.18,15.94,28.4,25.43,19.3,,16.95,
2020-01-14,36.24,31.92,26.99,26.05,29.42,39.61,32.47,41.92,38.45,13.68,13.67,26.03,36.78,1.65,33.18,52.48,22.6,39.84,22.18,48.5,54.9,,52.77,30.85,17.56,23.22,21.77,16.36,,17.42,
2020-01-15,31.77,26.93,33.9,29.74,31.7,46.87,33.67,49.89,44.47,20.02,20.37,31.96,54.49,3.47,36.51,55.3,25.29,42.52,21.06,37.82,53.21,,48.23,34.63,18.39,29.15,30.42,21.97,,17.32,
2020-01-16,30.67,29.16,22.34,24.62,34.45,38.76,33.13,47.5,55.94,15.68,13.07,30.85,43.04,2.59,29.13,59.72,24.95,46.14,22.99,31.01,54.09,,46.46,34.81,25.1,41.58,33.82,24.61,,28.25,
2020-01-17,21.75,17.82,16.93,26.67,34.47,41.16,35.98,41.76,35.93,18.5,14.05,36.5,45.84,2.12,13,25.21,26.87,47.03,22.27,11.54,40.83,,42.91,21.68,18.37,55.89,27.18,17.58,,40.72,
2020-01-18,27.18,20.86,16.6,23.32,31.62,35.74,34.63,34.01,19.03,10.37,5.97,35.89,30.82,1.56,17.36,22.82,15.7,39.64,16.19,13.45,29.68,,20.07,11.84,14.57,47.19,20.36,18.55,,26.89,
