datum,Kikinda_Centar_8h,Novi Sad_Liman_8h,Beograd Stari grad_8h,Beograd_Novi_Beograd_8h,Beograd Vracar_8h,Beograd Zeleno brdo_8h,Kosjeric_8h,Popovac_8h,Kamenicki Vis_8h,Nis O.S. Sveti Sava_8h,Kopaonik_8h,Novi Pazar_8h,Vrsac_8h
2020-01-01,29.76,43.00,23.55,30.50,16.50,34.19,47.89,23.09,47.64,39.85,52.51,,
2020-01-02,19.14,43.69,29.09,28.43,17.68,40.53,43.99,27.80,57.73,46.44,43.30,,
2020-01-03,24.98,21.43,4.95,4.86,6.28,29.86,34.48,24.48,75.31,25.26,52.83,,
2020-01-04,20.81,18.63,6.07,7.83,7.75,10.68,28.27,14.99,75.36,29.19,49.66,,
2020-01-05,51.91,54.31,48.66,43.63,39.60,54.95,53.66,34.55,55.31,44.81,59.40,,
2020-01-06,43.89,42.11,41.33,30.28,27.73,44.78,60.66,33.49,50.93,42.06,55.64,,
2020-01-07,39.04,55.65,36.85,40.30,17.30,45.74,45.76,30.91,60.10,51.35,64.18,,
2020-01-08,13.51,30.64,9.15,17.89,6.36,28.26,12.81,29.43,58.13,27.96,56.15,,
2020-01-09,29.78,51.66,30.63,28.09,20.95,48.78,37.61,21.14,72.19,29.73,40.01,,
2020-01-10,41.11,30.96,7.85,36.81,16.86,38.46,35.10,21.05,78.34,28.55,22.97,,
2020-01-11,31.61,33.79,9.84,21.09,6.48,23.03,18.18,23.90,80.85,19.24,61.38,,
2020-01-12,19.15,13.36,7.02,10.38,5.86,18.70,23.35,14.75,48.15,24.75,56.71,,
2020-01-13,22.49,11.66,2.59,2.62,5.19,14.49,13.72,8.45,53.78,22.44,64.94,,
2020-01-14,24.36,10.53,4.95,3.46,6.11,30.20,21.94,9.39,69.90,16.80,58.96,,
2020-01-15,27.08,5.84,3.42,6.08,4.77,48.66,12.63,10.13,72.58,17.76,69.26,,
2020-01-16,15.09,6.33,4.05,3.64,4.77,29.03,12.03,25.30,74.16,16.64,55.50,,
2020-01-17,20.06,19.46,8.20,8.59,9.49,35.05,17.84,39.41,77.19,14.05,66.24,,
2020-01-18,30.69,16.09,17.92,11.17,16.33,48.66,18.39,46.28,52.86,37.85,75.11,,
2020-01-19,18.35,13.41,16.96,8.46,13.83,37.11,10.71,32.94,47.15,37.27,58.49,,
2020-01-20,14.83,12.88,14.69,8.38,6.94,21.60,28.08,16.95,42.30,29.71,44.65,,
2020-01-21,22.51,41.36,26.70,27.53,18.09,48.21,24.44,27.85,50.33,40.10,65.88,,
2020-01-22,49.43,35.15,28.36,24.52,21.80,52.86,25.12,31.86,74.99,38.10,81.24,,
2020-01-23,35.04,38.18,22.81,34.11,17.49,28.80,32.75,18.44,65.54,38.94,80.83,,
2020-01-24,39.83,41.71,28.36,32.83,19.11,44.69,18.53,34.14,80.26,38.34,100.35,,
2020-01-25,24.63,28.41,14.06,7.48,7.68,54.43,20.37,21.55,82.25,23.87,91.98,,
2020-01-26,28.14,23.31,32.75,41.98,12.44,58.83,15.78,17.78,76.30,28.55,88.29,,
2020-01-27,9.89,9.26,9.22,9.44,7.03,45.15,5.36,27.11,71.24,12.30,74.93,,
2020-01-28,25.44,45.16,19.59,39.56,19.81,47.28,24.88,15.11,,13.59,84.58,,
2020-01-29,58.41,67.91,31.66,45.11,41.43,63.98,37.25,27.26,,40.78,85.71,,
2020-01-30,58.50,62.70,41.98,45.11,23.20,54.90,47.18,23.16,75.59,38.85,55.68,,
2020-01-31,49.47,77.55,33.60,51.34,19.22,56.01,27.06,17.63,81.89,30.89,88.30,,
2020-02-01,56.31,67.80,29.94,45.36,19.39,56.07,24.12,20.35,86.19,36.29,78.48,,
2020-02-02,62.75,66.20,39.04,42.48,23.28,59.19,29.30,14.40,77.10,18.63,85.06,,
2020-02-03,55.66,65.06,38.05,37.04,23.98,54.18,26.46,17.50,77.61,32.80,87.81,,
2020-02-04,53.34,54.84,33.99,32.96,34.74,53.49,22.15,22.10,,51.13,80.76,,
2020-02-05,58.80,58.84,52.91,49.04,46.15,58.08,29.96,25.65,67.04,27.34,72.83,,
2020-02-06,62.53,60.91,55.06,53.29,47.70,61.67,71.84,44.19,71.79,41.99,40.95,,
2020-02-07,46.56,43.80,34.24,31.63,17.10,35.61,53.48,40.88,69.38,32.03,35.06,,
2020-02-08,64.08,58.95,54.75,46.91,31.59,58.24,51.20,55.45,82.98,54.96,30.66,,
2020-02-09,61.80,64.97,35.51,55.80,17.33,61.31,48.24,51.88,93.14,59.46,82.56,,
2020-02-10,54.26,85.35,38.09,66.16,39.34,70.31,61.06,37.28,94.11,68.43,93.46,61.62,
2020-02-11,59.71,70.39,32.34,43.56,46.33,65.80,21.60,22.30,85.88,33.01,90.06,57.87,
2020-02-12,69.40,69.63,50.70,53.25,36.78,65.29,55.69,29.37,86.67,34.61,78.61,62.84,
2020-02-13,67.88,76.36,42.99,56.91,29.70,64.16,38.71,40.65,91.79,51.38,86.19,63.70,
2020-02-14,55.68,76.20,45.63,63.53,34.91,60.40,18.18,44.19,90.24,24.38,97.24,30.83,
2020-02-15,55.86,56.43,32.10,39.58,15.38,46.04,43.99,25.67,,58.46,61.76,55.69,
2020-02-16,61.59,82.46,47.40,63.89,44.16,72.81,43.78,40.45,,54.79,67.61,63.11,
2020-02-17,65.26,57.96,47.19,35.78,37.31,78.25,45.10,42.55,,57.15,84.06,65.30,
2020-02-18,61.39,56.54,37.19,30.11,11.99,70.98,40.60,28.31,,60.99,73.60,57.06,
2020-02-19,59.75,57.04,37.13,33.30,21.64,54.43,51.79,20.99,63.10,42.80,74.65,69.06,
2020-02-20,58.24,50.08,40.28,36.64,35.89,56.21,62.40,22.66,59.94,40.05,63.43,58.93,
2020-02-21,50.57,61.20,39.79,41.90,21.36,49.75,65.36,34.37,81.37,63.14,71.51,69.24,
2020-02-22,67.81,69.80,45.60,50.56,29.26,58.38,66.79,30.55,76.49,50.91,70.73,61.76,
2020-02-23,68.18,88.59,36.50,52.94,21.28,60.51,43.59,30.11,93.66,49.00,93.73,59.19,
2020-02-24,71.56,84.10,58.81,53.56,32.93,62.93,67.26,36.66,88.99,49.13,93.53,51.57,
2020-02-25,57.21,57.86,41.63,33.36,30.70,56.44,49.39,28.14,88.58,61.94,102.65,61.68,
2020-02-26,57.08,82.29,45.06,57.28,33.58,70.69,80.90,35.38,95.09,77.64,106.50,67.38,81.43
2020-02-27,54.39,55.89,39.91,41.75,32.65,52.99,,30.24,91.24,45.74,103.50,68.61,58.04
2020-02-28,43.20,76.44,49.76,56.40,36.28,62.80,,18.93,81.21,43.49,94.43,54.99,69.33
2020-02-29,66.28,86.65,48.75,68.84,42.11,72.49,,42.50,94.84,71.78,80.30,85.80,76.33
2020-03-01,52.04,90.64,42.64,68.83,39.11,74.79,,42.74,99.75,81.18,98.15,84.31,82.28
2020-03-02,66.89,77.30,55.97,69.43,49.78,72.44,,39.58,95.66,68.61,100.30,75.05,83.66
2020-03-03,56.86,82.05,59.23,71.76,57.44,74.73,,41.66,95.15,75.63,108.00,78.61,76.54
2020-03-04,36.29,37.94,28.46,20.48,12.75,39.66,31.56,21.03,88.29,33.96,96.29,56.57,65.68
2020-03-05,76.70,79.75,56.68,58.84,31.05,71.95,69.01,34.18,,60.29,83.29,82.28,66.63
2020-03-06,50.65,78.89,55.40,59.69,44.49,68.13,43.73,34.28,,65.55,99.38,61.08,76.99
2020-03-07,57.20,55.38,34.68,22.46,26.85,52.25,51.73,27.59,,58.39,96.59,55.61,78.63
2020-03-08,43.76,43.70,36.74,30.29,26.45,51.50,50.95,13.91,,32.35,60.26,56.91,43.58
2020-03-09,55.65,58.60,34.49,37.98,22.91,53.88,56.18,25.14,,47.55,70.60,69.85,49.35
2020-03-10,76.75,79.43,43.79,51.25,18.00,50.70,,19.71,,42.24,73.88,64.19,57.64
2020-03-11,61.83,70.74,39.45,63.44,27.19,57.00,,25.75,94.16,63.00,71.56,79.11,69.90
2020-03-12,63.21,64.81,20.89,54.04,28.36,63.75,40.84,21.08,93.85,55.36,75.48,63.64,74.39
2020-03-13,74.68,72.96,53.45,62.56,41.14,77.50,76.55,32.31,97.99,72.89,78.09,74.60,82.19
2020-03-14,75.46,76.78,55.10,51.14,28.84,61.30,70.34,27.69,82.10,67.61,66.64,71.95,76.16
2020-03-15,72.71,74.34,54.43,57.29,44.11,61.94,77.54,44.51,63.48,51.03,75.03,68.46,65.48
2020-03-16,74.75,80.60,59.04,71.09,55.80,75.45,71.99,57.33,86.36,75.66,78.58,78.50,81.56
2020-03-17,82.46,90.36,72.30,76.75,53.10,86.94,98.78,60.39,115.13,82.60,85.03,92.53,95.09
2020-03-18,92.29,97.26,68.49,84.10,53.85,88.81,,48.79,111.63,96.41,91.68,91.40,89.91
2020-03-19,97.60,109.84,73.03,93.51,52.88,106.31,,45.63,120.88,91.68,93.08,106.36,105.69
2020-03-20,103.88,114.31,75.85,106.86,65.81,117.25,,41.33,120.14,94.65,105.25,115.44,117.41
2020-03-21,101.24,102.24,70.45,92.33,61.19,115.00,113.54,53.54,139.00,101.36,128.00,115.34,123.99
2020-03-22,69.83,65.48,62.10,62.94,51.85,65.80,63.45,47.26,127.65,89.21,85.76,64.34,71.64
2020-03-23,62.35,69.38,62.36,61.14,48.53,62.20,76.90,52.90,73.31,70.37,74.74,71.75,71.88
2020-03-24,50.51,54.94,45.66,48.46,58.53,68.74,68.59,54.14,71.96,58.15,66.70,69.30,81.05
2020-03-25,57.61,78.38,67.48,69.30,63.73,74.49,54.18,62.65,76.94,66.48,71.75,62.18,88.99
2020-03-26,67.08,75.41,67.30,69.84,63.23,73.28,61.97,53.88,79.07,72.03,71.88,69.63,79.64
2020-03-27,77.93,84.66,61.40,71.33,58.85,78.70,69.89,51.68,79.40,68.10,83.53,72.55,87.88
2020-03-28,87.20,99.85,70.13,88.71,61.51,95.21,84.64,41.14,99.94,80.76,88.01,85.75,95.76
2020-03-29,96.54,112.18,83.99,92.50,57.33,97.49,96.51,42.54,115.75,95.23,86.13,105.51,111.79
2020-03-30,74.08,85.46,80.03,74.58,39.91,90.85,84.63,33.60,112.88,87.16,90.24,94.49,84.65
2020-03-31,77.40,76.01,68.70,69.88,50.00,72.01,69.60,46.51,82.54,74.30,76.89,78.11,81.39
2020-04-01,82.14,85.29,69.53,74.54,59.15,76.25,68.10,43.98,80.96,58.88,83.09,73.78,81.75
2020-04-02,82.18,92.88,71.96,82.19,63.88,84.75,76.88,59.25,94.86,80.66,90.95,83.28,88.69
2020-04-03,91.98,106.90,85.45,96.63,65.64,102.71,89.75,64.23,103.46,84.65,99.23,96.20,106.55
2020-04-04,98.09,106.33,80.18,97.73,70.50,99.78,113.13,54.35,101.13,89.71,106.63,101.10,109.83
2020-04-05,95.88,107.00,84.74,96.50,77.91,98.93,106.00,60.41,107.13,99.70,109.88,99.98,110.50
2020-04-06,94.84,102.64,84.51,86.66,74.03,92.23,97.61,58.24,104.25,93.86,104.50,96.58,101.85
2020-04-07,95.31,100.46,77.89,83.89,69.28,88.93,90.95,70.85,100.50,91.63,96.31,90.26,96.03
2020-04-08,103.68,111.00,80.73,98.28,68.09,101.23,103.59,66.78,102.50,91.50,99.68,99.16,115.13
2020-04-09,116.00,128.38,92.58,107.73,78.41,116.50,122.38,56.91,126.13,100.71,109.75,113.38,125.00
2020-04-10,98.71,114.71,83.50,100.47,75.14,112.43,127.63,60.86,140.75,120.00,118.13,122.88,115.88
2020-04-11,89.80,101.28,76.10,95.46,73.40,103.04,101.40,42.24,129.00,100.41,109.75,110.63,111.64
2020-04-12,100.93,117.75,80.69,107.71,79.80,111.50,105.53,46.79,115.25,103.16,107.50,117.50,115.00
2020-04-13,106.19,114.71,81.96,103.97,65.16,121.00,120.75,46.57,138.88,120.75,144.50,132.00,120.89
2020-04-14,83.73,112.88,90.09,93.13,56.49,107.00,108.29,32.73,130.00,114.68,140.13,112.14,98.30
2020-04-15,82.58,91.56,66.05,71.69,46.86,77.76,83.85,35.95,97.70,78.49,75.39,76.53,91.76
2020-04-16,100.11,96.64,72.28,95.57,65.37,104.99,98.45,39.53,110.57,92.97,92.28,96.44,108.88
2020-04-17,106.45,108.23,73.29,93.13,64.79,110.13,97.36,41.96,124.13,98.36,79.85,103.70,120.00
2020-04-18,110.70,127.50,85.69,112.25,80.81,133.63,108.98,41.91,126.75,105.86,98.40,117.50,136.63
2020-04-19,98.59,,86.85,108.70,79.93,124.63,122.43,43.81,132.38,101.03,99.79,114.00,132.38
2020-04-20,82.71,,70.08,82.83,65.13,90.08,98.61,34.35,133.13,77.86,92.04,104.75,92.45
2020-04-21,74.33,,,63.73,54.89,74.46,71.66,49.83,77.98,62.75,88.50,79.89,81.93
2020-04-22,83.11,93.41,,83.65,61.21,88.89,80.77,41.60,92.65,83.18,99.05,82.94,92.14
