Datum,Novi Sad Rumenacka,Beocin Centar,Beograd Stari grad,Beograd Novi Beograd,Beograd Mostar,Beograd Vracar,Smederevo Centar,Obrenovac Centar,Popovac,Nis O.s. Sveti Sava,Nis IZJZ Nis,Novi Pazar,Beograd Vracar,Novi Sad Liman,Smederevo Carina,Smederevo Radinac,Kostolac,Kragujevac,Valjevo,Kosjeric,Uzice,Zajecar,Bor,Kamenicki Vis
2020-01-01,46.48,60.57,53.33,62.49,43.8,,132.44,18.64,15.89,55.5,64.02,,31.89,44.87,197.69,163.41,93.6,87.81,118.81,82.89,54.24,130.64,,30.23
2020-01-02,71.86,68.23,84.46,86.65,73.63,,172.49,27.26,17.73,68.01,85.66,,60.74,42.49,186.14,200.45,112.62,63.97,122.78,84.33,68.73,208.13,27.92,25.47
2020-01-03,86.4,115.65,141.4,134.42,103.27,,185.13,42.42,19.7,115.28,157.1,,86.64,55.67,214.35,145.43,81.26,84.59,177.91,127.31,128.24,109.74,26.11,21.8
2020-01-04,68.93,94.74,75.34,93.17,62.69,,109.17,24.16,29.93,148.81,167.54,,52.91,73.1,158.12,158.63,91.95,187.8,258.48,237.26,221.3,119.82,30.11,26.38
2020-01-05,23.09,25.86,22.21,29.98,16.14,,14.62,11.65,8.55,34.22,37.4,,18.87,25.65,37.38,35.89,32.83,30.97,30.47,25.03,25.21,75.67,14.15,9.34
2020-01-06,66.15,79.36,27.95,42.29,25.6,,37.92,15.74,11.7,34.75,39.08,,22.93,49.45,72.38,63,55.51,53.82,87.96,35.91,44.09,209.58,19.58,14.66
2020-01-07,92.45,70.45,82.66,92.63,78.12,,144.7,26.88,11.96,70.74,92.88,,62.85,41.02,203.58,106.94,93.23,78.53,125.5,109.74,94.85,206.14,22.85,26.56
2020-01-08,78.9,91.95,108.62,115.46,88.98,,154.75,34.17,22.08,110.75,149.23,,65.13,61.53,228.16,169.02,93.42,118.99,295.48,211.5,118.45,244.4,31.19,36.08
2020-01-09,60.76,,73.44,89.49,64.47,,133,34.38,28.58,125.86,166.03,,43.49,54.57,170.77,178.39,103.92,92.26,166.49,152,153.82,166.74,38.45,26.2
2020-01-10,140.4,119.57,124.93,130.33,107.3,,151.66,56.21,16.95,148.36,178.41,,88.5,98.5,208.33,224.75,120.42,103.68,175.55,167.24,222.16,401.66,39.35,16.12
2020-01-11,74.12,76.2,104.99,125.1,83.35,,122.06,36.44,24.76,119.07,145.38,,58.7,65.56,185.81,199.1,174.68,149.85,145.47,347.18,205.84,176.01,42.98,54.05
2020-01-12,70.56,96.27,95.87,97.01,66.18,,132.4,38.82,22.04,87.16,98.58,,53.55,50.36,141.99,88.08,107.18,109.89,143.84,145.66,105.75,300.1,51.68,34.07
2020-01-13,55.9,81.37,100,95.01,57.81,,77.2,14.64,23.86,117.74,147.66,,49.73,48.89,79.76,135.3,72.37,108.71,153.97,140.94,139.13,273.34,47.33,27.29
2020-01-14,72.31,116.12,130.41,106.89,76.5,,165.24,35.22,21.32,104.58,127.35,,66.37,66.62,87.23,178.01,69.64,113.74,184.8,175.19,222.2,321.15,39.54,16.12
2020-01-15,99.55,159.81,142.01,153.67,105.2,,135.21,41.9,20.01,143.73,169.83,,89.96,70.13,28.4,100.63,89.59,106.02,259.34,163.76,175.04,230.1,47.88,19.96
2020-01-16,77.92,108.08,75.54,86.45,53.43,,130.88,22.86,19.8,142.97,174.9,,50.97,67.39,100.77,64.65,73.64,94.8,207.11,161.44,180.63,191.48,55.85,28.39
2020-01-17,51.36,80.78,67.78,75.63,49.33,,76.91,23.08,9.65,140.1,150.07,,41.45,50.9,85.75,94.68,44.08,117.4,106.27,269,163.43,69.81,45.69,22.16
2020-01-18,69.46,91.3,40.75,74.44,43.52,,49.02,23.53,5,77.85,88.35,,25.88,68.85,58.08,83.33,16.69,57.03,95.01,176.64,120.08,60.96,32.46,17.58
2020-01-19,42.13,59.13,47.43,48.7,30.9,,46.25,12.03,13.22,44.99,50.59,,26.58,43.4,87.95,84.96,49.52,53.61,87.25,56.41,56.23,88.3,30.83,20.7
2020-01-20,64.35,75.86,54.45,60.5,40.58,,49.5,15.39,17.68,47.27,54.66,,32.75,67.2,86.3,117.93,60.22,60.05,88.49,44.44,90.68,128.98,31.55,25.27
2020-01-21,59.65,54.13,54.75,52.69,38.83,,44.22,24.42,12.43,45.98,50.82,,27.94,47.25,78.78,89.18,56.4,52.15,117.34,84.87,95.94,127.87,31.01,25.09
2020-01-22,76.72,85.08,76.23,71.18,51.77,,87.63,27.88,16.93,104.15,114.75,,35.5,58.25,130.44,167.32,59.85,91.1,175.95,154.52,202.79,76.76,35.55,24.18
2020-01-23,61.52,70.67,60.25,58.78,49.74,,69.05,23.9,18.66,74.14,92.33,,40.25,49.81,85.57,235.18,58.76,86.34,130.06,107.38,122.8,101.13,33.36,29.67
2020-01-24,92.68,95.86,86.23,80.81,69.98,,127.91,35.11,17.89,132.26,169.34,,66.61,64.63,166.16,200.92,75.82,104.62,178.45,115.52,208.05,201.15,48.06,21.74
