Datum,Kikinda Centar,Novi Sad Rumenacka,Novi Sad Liman,Beocin Centar,Sremska Mitrovica,Pancevo Sodara,Beograd Novi Beograd,Beograd Mostar,Beograd Vracar,Beograd Zeleno brdo,Sabac,Kostolac,Smederevo Centar,Obrenovac Centar,Valjevo,Bor Krivelj-ZIJIN,Bor Brezonik,Bor Gradski park,Bor Institut RIM,Kragujevac,Kosjeric,Popovac,Zajecar,Paracin,Uzice,Kraljevo,Kamenicki Vis EMEP,Nis O.s. Sveti Sava,Nis IZJZ Nis,Kopaonik,Novi Pazar,Vranje,Vrsac
2020-01-01,4.54,7.81,,10.77,4.81,8.78,4.23,7.56,5.45,8.62,5.73,5.42,19.89,6.95,15.23,12.54,10.36,13.6,10.39,6.17,7.12,5.37,21.06,,3.36,13.14,18.04,13.24,8.57,2.89,,12.86,
2020-01-02,3.27,10.32,,10.39,5.6,9.41,5.11,10.82,7.56,19.17,16.53,4.96,17.92,10,13.45,10.36,7.15,7.48,7.45,5.91,8.68,5.39,18.03,,4.11,11.72,16.23,13.11,9.3,,,16.49,
2020-01-03,3.52,8.21,2.09,11.75,5.43,11.76,6.26,7.87,16.87,42.87,5.21,5.22,14.07,7.83,14.12,26.9,24.68,17.24,14.85,7.37,9.17,5.6,24.58,,9.22,6.83,16.13,11.75,12.46,,,25.98,
2020-01-04,4.59,8.76,2.99,12.25,5.59,11.48,6.49,8.77,14.3,24.64,4.71,7.09,9.18,8.7,13.54,16.03,39.43,95.89,29.96,10.39,7.3,6.51,37.96,,8.55,8.55,21.12,17.35,13.8,2.8,,37.77,
2020-01-05,3.51,8.15,2.62,10.89,5.19,9.03,5.88,4.19,4.95,8.08,4.26,11.12,20.68,6.12,10.87,7.27,9.54,9.76,8.42,6.83,5.17,5.83,28.68,,3.77,5.72,7.42,11.95,8.07,2.99,,9.48,
2020-01-06,3.95,9.31,,11.32,5.15,7.47,4.6,5.27,4.62,6.13,4.11,9.83,19.27,6.55,10.8,9.36,10.33,12.69,8.77,6.68,10.48,5.62,22.65,,3.9,13.81,18.97,10.69,7.94,2.52,,10.73,
2020-01-07,4.87,12.39,2.47,5.42,6.74,14.54,5.92,11.42,10.11,14.16,6.65,13.72,15.76,8.5,20.19,54.08,41.87,37.42,27.54,9.08,8.25,5.81,34.45,,5.55,10.66,19.6,12.29,10.86,4.64,,15.83,
2020-01-08,4.56,8.62,2.08,5.16,5.8,9.89,7.85,10.31,15.75,27.24,8.16,6.04,16.7,8.52,12.33,55.23,44.8,47.58,34.9,9.34,7.85,5.81,63.68,,5.34,16.26,33.49,10.72,10.46,4.29,,14.8,
2020-01-09,4.01,9.29,4.03,5.17,7.5,19.04,13.55,10.74,13.42,18.28,20.45,32.91,29.65,20.22,18.55,28.54,23.96,26.82,24.76,7.36,9.15,5.58,53.25,,9.37,10,22.53,14.02,14.51,4.2,,19.07,
2020-01-10,8.17,26.56,18.57,10.51,12.34,31.34,13.73,22.58,23.97,34.68,18.57,26.97,33.35,17.51,15.57,49.57,160.14,138.67,435.9,8.04,12.36,5.47,106.45,,13.97,13.38,15.95,17.07,17.32,4.12,,20.82,
