Datum,Novi Sad Rumenačka,Beograd Mostar,Beograd Vračar,Smederevo Centar,Obrenovac Centar,Valjevo,Bor gradski park,Kosjerić,Popovac,Užice,Niš O.Š.Sveti Sava,Niš IZJZ,Novi Pazar
01.01.2020,40.5,44.9,,131.0,14.2,101.2,26.9,65.8,13.2,,49.0,57.1,
02.01.2020,65.5,71.4,,158.9,21.1,101.4,21.2,75.7,23.6,,66.0,85.6,
03.01.2020,58.8,90.0,,122.4,30.0,132.3,16.9,114.0,114.0,,104.2,147.3,
04.01.2020,61.3,60.5,,105.2,24.4,179.7,16.6,182.5,182.5,,130.0,155.7,
05.01.2020,15.2,13.6,,11.1,6.1,24.9,,15.2,15.2,,27.9,29.3,
06.01.2020,56.2,26.2,,40.7,9.6,70.8,15.1,44.1,44.1,,36.8,40.7,
07.01.2020,83.4,76.1,,139.2,20.9,100.0,15.7,,,,66.6,91.1,
08.01.2020,63.9,81.4,,145.4,27.7,198.8,22.7,178.7,178.7,,103.7,143.7,
09.01.2020,55.5,59.6,,122.3,28.8,125.9,29.5,137.0,137.0,,116.4,163.0,
10.01.2020,104.7,96.0,,138.9,36.1,120.1,22.8,147.6,147.6,,123.2,165.7,
11.01.2020,58.6,75.1,,113.8,27.7,107.0,35.7,245.3,245.3,,107.1,134.9,
12.01.2020,50.9,62.4,,93.4,24.7,110.0,41.9,117.8,117.8,,84.6,99.8,
13.01.2020,47.5,55.1,,70.1,,123.5,,116.7,116.7,,109.1,145.3,
14.01.2020,61.6,67.0,,93.3,,159.9,26.9,124.7,124.7,,97.4,126.8,
15.01.2020,73.3,90.3,,128.0,29.7,189.5,27.3,135.0,135.0,142.7,124.4,,
16.01.2020,57.8,42.1,,91.6,17.3,153.6,36.4,126.9,126.9,146.9,130.8,160.9,
17.01.2020,47.4,47.0,,78.7,21.3,83.4,34.5,,,134.4,119.0,138.2,
18.01.2020,61.4,37.9,,43.9,19.4,71.4,,108.2,108.2,93.2,67.9,78.9,
19.01.2020,39.0,29.9,,43.4,11.1,69.5,,49.0,49.0,50.6,42.4,47.9,
20.01.2020,60.5,40.2,,48.1,14.3,,26.8,46.7,46.7,49.5,42.8,51.3,
21.01.2020,51.4,36.6,,39.7,14.9,,26.2,73.5,73.5,62.7,42.0,46.7,
22.01.2020,63.8,45.2,,76.8,19.6,123.7,26.9,134.1,134.1,137.9,94.3,111.0,
23.01.2020,47.8,49.4,,64.7,18.3,99.5,26.0,86.6,86.6,70.2,69.5,86.7,
24.01.2020,82.1,62.9,,115.3,23.9,119.7,29.9,97.3,97.3,138.5,118.3,159.6,
25.01.2020,121.2,114.0,,165.7,40.7,164.3,23.9,128.0,128.0,176.2,138.8,165.7,
26.01.2020,83.5,104.0,,159.1,42.6,102.2,31.9,127.9,127.9,118.6,122.2,149.4,
27.01.2020,59.5,48.7,,70.2,18.9,106.2,49.6,150.6,150.6,105.1,85.3,106.1,
28.01.2020,35.9,38.5,,65.7,12.5,84.7,17.2,65.7,65.7,91.0,75.6,87.2,
29.01.2020,19.6,12.2,20.3,26.8,4.7,37.9,6.9,47.7,47.7,32.2,24.6,35.1,
30.01.2020,19.8,23.5,35.3,65.3,11.2,74.0,12.7,51.1,51.1,58.1,56.3,80.5,
31.01.2020,16.1,20.9,22.4,53.5,15.7,136.4,9.5,120.3,120.3,47.0,121.9,148.4,
01.02.2020,11.6,23.4,30.8,60.8,12.9,107.7,6.2,89.3,89.3,46.0,100.0,111.2,
02.02.2020,9.5,10.0,14.8,30.7,6.3,70.9,7.6,76.8,76.8,32.2,97.5,129.9,
03.02.2020,16.8,21.2,26.2,47.2,12.0,105.7,7.9,91.9,91.9,23.1,60.7,64.9,
04.02.2020,10.9,11.2,18.2,24.4,5.4,70.1,11.1,63.0,63.0,30.6,23.7,28.3,
05.02.2020,6.8,4.9,9.7,7.0,2.4,,,,,11.8,,15.0,
