datetime,temp,humidity,windspeed,sealevelpressure
2019-01-01,1,92.9,16,1026.8
2019-01-02,1.8,84.4,27.2,1016.2
2019-01-03,-1.5,88.4,30,1021.5
2019-01-04,-4.2,87.2,16.1,1026.9
2019-01-05,-3.5,88.6,24.4,1020.5
2019-01-06,0,93,24.4,1017.1
2019-01-07,-5.9,82,21.2,1027.8
2019-01-08,-4.2,80.3,18.7,1018.9
2019-01-09,1.1,88.2,11.3,1006
2019-01-10,-1.4,97.4,17,1009.6
2019-01-11,-1.8,89.4,18.3,1018.6
2019-01-12,-2.2,88.9,22.6,1018.3
2019-01-13,1.4,85,14,1009.5
2019-01-14,3.4,73.8,26.2,1001.2
2019-01-15,0.8,68.4,29.9,1015
2019-01-16,4.1,58.5,16.1,1016.7
2019-01-17,6.2,58.1,18.8,1015.8
2019-01-18,4.4,74.8,24,1014.8
2019-01-19,1.6,88.1,17.1,1019.2
2019-01-20,1.5,92,16.7,1016.5
2019-01-21,1.1,86.2,12,1020.6
2019-01-22,0.2,93.9,15.3,1012
2019-01-23,0.2,96.5,12.9,1001.2
2019-01-24,-0.2,98.3,23.9,1001
2019-01-25,-2.1,97.3,24.8,1008.2
2019-01-26,-3.1,88.9,22.6,1010.7
2019-01-27,0.1,77.4,19.9,1005.9
2019-01-28,3.9,73.8,35,998.2
2019-01-29,1.3,94.6,10.7,1006.2
2019-01-30,1.2,94.3,7.5,1003.5
2019-01-31,0.4,96.9,12.8,1004.4
2019-02-01,5.3,74.9,32.3,1007.7
2019-02-02,11.3,61.1,36.3,1005.9
2019-02-03,11.9,66.6,41.8,1006.7
2019-02-04,4.8,83.2,21.3,1025.3
2019-02-05,3.4,93.3,12.9,1027.1
2019-02-06,3.3,88.1,20.4,1025.9
2019-02-07,1.7,82.8,15.3,1023.9
2019-02-08,1.7,87.4,15,1021.9
2019-02-09,3.5,78.4,8.9,1021.6
2019-02-10,5.6,70.3,16.7,1017.9
2019-02-11,7.6,74.4,32.6,1007
2019-02-12,3.5,74.1,37.9,1021.9
2019-02-13,1.3,73.9,20.5,1033.4
2019-02-14,4.1,77.4,19,1033.2
2019-02-15,4.6,74.8,15.1,1031.4
2019-02-16,3.7,76.4,8.9,1032.6
2019-02-17,5.2,71.2,7.9,1029.1
2019-02-18,6.5,70.4,10.7,1024.9
2019-02-19,7.6,66.2,6.1,1020.1
2019-02-20,7.7,60.8,18.8,1022.5
2019-02-21,6.8,58.8,17,1026.7
2019-02-22,4.8,80.8,40.6,1022.1
2019-02-23,-2,56.6,41.9,1036.4
2019-02-24,-2.3,66.3,14.7,1038.6
2019-02-25,1.2,54.5,12.9,1035.5
2019-02-26,5,57.6,25.2,1025.3
2019-02-27,5.7,60,25.5,1023.3
2019-02-28,9.4,50.4,27.2,1015.3
2019-03-01,11.8,47.5,23.3,1010.5
2019-03-02,8.6,65.8,22.7,1014.6
2019-03-03,7.7,68.9,13.9,1018.9
2019-03-04,12.9,42.6,15,1010.5
2019-03-05,10.7,62.4,20.1,1011.9
2019-03-06,10.1,59.1,15.8,1018.1
2019-03-07,16,41.6,23.4,1014.5
2019-03-08,16.7,40.8,14.3,1016.2
2019-03-09,13,72.9,15.7,1020.2
2019-03-10,14.7,50.4,19.1,1015.2
2019-03-11,7.9,72.1,25.9,1015.3
2019-03-12,5.3,63.3,22.8,1019.5
2019-03-13,6,54.7,24.2,1016.9
2019-03-14,7.2,58.7,14,1011.2
2019-03-15,8.8,54.1,25.4,1009.5
2019-03-16,11.1,58.8,24.5,1013.1
2019-03-17,14.9,53.3,16.2,1012.5
2019-03-18,13.8,51.8,31.7,1013.4
2019-03-19,9,60.3,22.3,1022.5
2019-03-20,7.8,72.3,16.1,1030.2
2019-03-21,8.5,50.8,14.8,1033.8
2019-03-22,9.6,49.1,13,1030.8
2019-03-23,11.6,50.9,19.9,1026
2019-03-24,12.2,44.8,10.2,1021.4
2019-03-25,12.5,45.5,31.7,1012.8
2019-03-26,8.8,52.4,24.5,1020.1
2019-03-27,7.2,44.5,18.2,1026.2
