datetime,temp,humidity,windspeed,sealevelpressure
2019-01-01,-2.2,91.5,13,1023.2
2019-01-02,-3.2,91,19,1014.1
2019-01-03,-6,90.2,23.8,1017.3
2019-01-04,-7.9,88.2,13,1021.6
2019-01-05,-7.3,86.6,11.8,1016.7
2019-01-06,-3.7,93,25.9,1013.6
2019-01-07,-8.9,86.3,24.6,1022.2
2019-01-08,-8.8,83.3,16.9,1016.1
2019-01-09,-2.8,90.7,15.8,1003.4
2019-01-10,-4,93.4,24.4,1005.1
2019-01-11,-5.2,91.9,18.8,1015
2019-01-12,-6.5,89.2,9,1015.4
2019-01-13,-2.8,87.4,17.3,1007.9
2019-01-14,-1.3,87.3,25,1000.6
2019-01-15,-4.5,77.9,20.3,1012.8
2019-01-16,-1.9,67.1,17,1016.7
2019-01-17,0.5,69.3,20.1,1016.1
2019-01-18,0.9,76.1,24.6,1013.8
2019-01-19,-1.9,94.6,11.8,1015.6
2019-01-20,-0.8,94.4,10.5,1012.7
2019-01-21,-2.3,94.6,10.6,1016.3
2019-01-22,-2.2,94.4,9,1007.9
2019-01-23,0.1,89.7,12.6,997.7
2019-01-24,-4,92.4,21.2,997.9
2019-01-25,-5.8,92.7,17.9,1003.8
2019-01-26,-7.3,89.6,17.4,1007.2
2019-01-27,-2.3,81.9,17.1,1005.3
2019-01-28,3,77.2,19,997.3
2019-01-29,-0.9,94.7,12.1,1003.1
2019-01-30,-0.9,94.1,13.8,1000.4
2019-01-31,0.1,84.9,12.1,1001.4
2019-02-01,4.6,66.7,22.3,1007.9
2019-02-02,7.6,66.6,21,1006.5
2019-02-03,8.5,60.9,25.8,1006.6
2019-02-04,0.5,90.8,16.6,1022.9
2019-02-05,-1,94.9,9,1024
2019-02-06,-1.3,94.7,19.7,1023.1
2019-02-07,-1.1,93.3,8.3,1020.9
2019-02-08,-1.5,93.7,9.1,1019
2019-02-09,0.4,84.7,7,1019.2
2019-02-10,2.9,71.7,18.8,1018
2019-02-11,3,80.3,31.2,1006.9
2019-02-12,-2.4,91.2,30.2,1018.2
2019-02-13,-4.1,87.4,13,1030.2
2019-02-14,-2,88.9,24.1,1031.6
2019-02-15,0.5,85,15.8,1029.2
2019-02-16,0.1,78.7,10.5,1030.5
2019-02-17,1.5,68.9,7.2,1027.8
2019-02-18,3.7,60.7,5.2,1024.2
2019-02-19,5.5,53,14.7,1020.4
2019-02-20,4.4,61.2,8.7,1022.2
2019-02-21,2.6,69.8,14.9,1026
2019-02-22,0.8,87.9,27.6,1020.8
2019-02-23,-8.6,80,24.4,1031.1
2019-02-24,-7.3,76.2,12.3,1033.7
2019-02-25,-5.3,72,9.4,1031.6
2019-02-26,0.6,63.8,24.3,1024.3
2019-02-27,2,68.8,19.4,1022.1
2019-02-28,5.2,53.7,15.2,1016.8
2019-03-01,7,51.5,13.9,1012
2019-03-02,3.7,85,14.6,1014.1
2019-03-03,3.7,71.8,8.7,1018.5
2019-03-04,7.5,50,19.7,1012.5
2019-03-05,5.3,80.1,20.8,1012.6
2019-03-06,7.4,62.2,13.6,1018.4
2019-03-07,10.9,49,24.1,1016.9
2019-03-08,12.8,36.3,27.4,1018.1
