datetime,temp,humidity,windspeed,sealevelpressure
2019-01-01,1.9,94.4,27.7,1025.7
2019-01-02,-0.1,93.4,11.2,1016.7
2019-01-03,-0.3,78.1,40.7,1018.4
2019-01-04,-3.5,74.7,33.5,1024.8
2019-01-05,-3.4,70.5,17.3,1021.2
2019-01-06,-2.2,88.3,29.5,1015.9
2019-01-07,-4.9,76.5,46.4,1025.7
2019-01-08,-4.3,68.1,11.2,1021.6
2019-01-09,-2.4,84.2,21.3,1008.5
2019-01-10,-1.3,97.9,27.7,1007.5
2019-01-11,-1.9,93.1,11.2,1018.3
2019-01-12,-3.4,95.1,5.4,1018.9
2019-01-13,-1,89.3,7.6,1011.7
2019-01-14,-1.3,97.6,11.2,1003.4
2019-01-15,-1.3,78.9,46.4,1014.2
2019-01-16,-0.8,80,13,1019.5
2019-01-17,-1.3,84.7,11.2,1019.7
2019-01-18,1.1,79.7,37.1,1017
2019-01-19,1.4,99.3,22.3,1019.8
2019-01-20,1.4,98.3,25.9,1016.1
2019-01-21,1.5,93.6,22.3,1020.1
2019-01-22,2.5,93.4,30.1,1012.3
2019-01-23,5.7,87.7,16,1000.8
2019-01-24,1,98.2,35.3,999.6
2019-01-25,-0.9,98.6,31.7,1004.7
2019-01-26,-2.8,93.2,37.1,1009.3
2019-01-27,-3.5,85.9,11.2,1010
2019-01-28,4,72.9,14.8,1002.4
2019-01-29,3.3,86.2,33.5,1005.1
2019-01-30,1,92.7,14.8,1003.6
2019-01-31,0.7,98.8,8.8,1004.7
2019-02-01,3.6,79.4,13,1013
2019-02-02,9,68.6,14.8,1012
2019-02-03,12.8,57.2,17.6,1010.8
2019-02-04,5.8,84.1,40.7,1022.8
2019-02-05,3.3,89.2,24.1,1025.4
2019-02-06,3.2,91.9,40.7,1023.3
2019-02-07,3.3,82.5,29.5,1023.4
2019-02-08,1.2,82.1,13.7,1021.8
2019-02-09,3.8,69.5,9.2,1021.9
2019-02-10,4.5,67.9,11.2,1020.1
2019-02-11,6.2,69.2,47.7,1009
2019-02-12,1.9,87.3,30.1,1017.8
2019-02-13,1.3,74.1,31.7,1031
2019-02-14,1.1,80.2,22.3,1032.5
2019-02-15,4.8,69.7,24.1,1030.1
2019-02-16,3.8,69.6,24.1,1031.9
2019-02-17,3.8,72.6,12.1,1029.3
2019-02-18,4.7,69,11.2,1025.8
2019-02-19,6.6,60.9,7.6,1021.6
2019-02-20,6.2,62,25.9,1022.4
2019-02-21,6.1,59.4,22.3,1026.6
2019-02-22,3.3,84.5,54.9,1020.7
2019-02-23,-2.8,56.1,53.6,1033.1
2019-02-24,-2.8,57.7,27.7,1037.3
2019-02-25,0,56.8,25.9,1034.4
2019-02-26,1.9,59,31.7,1025.3
2019-02-27,5.3,59.8,31.7,1021.3
2019-02-28,5.4,60,11.2,1017.6
2019-03-01,8.5,52.8,17.3,1011.4
2019-03-02,7.8,65.4,27.7,1013.7
2019-03-03,6.7,65.7,22.3,1019.6
2019-03-04,8.8,52.4,16.6,1014.7
2019-03-05,9.9,58.5,31.7,1013.3
2019-03-06,10.1,69.1,22.3,1019.3
2019-03-07,12.6,49.3,18.4,1018.9
2019-03-08,16,38.2,18.4,1018.5
2019-03-09,11.5,63.9,31.7,1021.3
2019-03-10,13.5,53.4,22.3,1017.4
2019-03-11,7.7,73.6,33.5,1013.9
2019-03-12,3.7,73.5,35.3,1017.3
2019-03-13,5.6,57.3,14.8,1017.7
2019-03-14,5.1,70.1,9.4,1012.2
2019-03-15,5.7,68.8,20.5,1011.4
2019-03-16,9.6,61.7,27.7,1014
2019-03-17,13,54.3,9.4,1015.4
2019-03-18,15.4,40.9,44.6,1012.8
2019-03-19,10.5,52.6,42.5,1020.3
2019-03-20,8.7,59.8,40.7,1028.1
2019-03-21,8.9,57.4,20.5,1032.6
2019-03-22,8.7,53.7,24.9,1030.1
2019-03-23,10.8,51.1,35.3,1025
2019-03-24,12.8,41.3,18.4,1021.3
2019-03-25,12.8,40.8,33.5,1012.2
2019-03-26,9.2,50.7,44.6,1017.7
2019-03-27,8.6,41.9,29.5,1025
2019-03-28,8.1,37.3,22.3,1027.4
2019-03-29,8.4,42.7,33.5,1027.2
2019-03-30,10.7,40.6,25.9,1023.9
2019-03-31,11.8,41.2,24.1,1018.1
2019-04-01,13.3,38.3,22.3,1015.5
2019-04-02,12.9,41.1,29.5,1017.3
2019-04-03,13.3,36.7,29.5,1015.7
2019-04-04,14.6,37.7,31.7,1012.3
2019-04-05,13.7,46.2,35.3,1009.8
2019-04-06,14.2,47.2,31.7,1008.6
2019-04-07,13.7,55.2,26.1,1007.5
2019-04-08,11.7,78,11.2,1004.1
2019-04-09,12.6,84.3,19,1003.5
2019-04-10,15.1,64.4,16.6,1005.8
2019-04-11,12.8,75,14.8,1008.6
2019-04-12,10.2,82.9,33.5,1011.2
2019-04-13,8.5,79.2,25.9,1014.2
2019-04-14,9.9,81.8,31.7,1013.6
2019-04-15,10.9,68.4,19.6,1016
2019-04-16,10.9,61.1,29.5,1018.7
2019-04-17,9.6,56.8,35.3,1019.3
2019-04-18,11.8,65.1,24.1,1023.9
2019-04-19,13.1,58.6,38.9,1026
2019-04-20,12.3,47.8,20.5,1025.8
2019-04-21,11.5,46.1,10.5,1023.9
2019-04-22,14.5,44.5,27.7,1017.3
2019-04-23,12.7,65.8,42.5,1019
