datetime,temp,humidity,windspeed,sealevelpressure
2019-01-01,0.8,93.4,16.1,1026.8
2019-01-02,1.6,86,27.2,1016.3
2019-01-03,-1.7,87.6,30.1,1021.6
2019-01-04,-4.4,88.8,16.4,1027
2019-01-05,-3.9,90.2,24.1,1020.5
2019-01-06,0.1,93.8,24.4,1017.2
2019-01-07,-6.3,83.1,21,1027.9
2019-01-08,-4.7,81.9,18.7,1019.1
2019-01-09,0.5,90.6,10.8,1006
2019-01-10,-1.5,97.9,17.1,1009.7
2019-01-11,-1.9,88.4,18.4,1018.7
2019-01-12,-2.5,89.9,22.5,1018.4
2019-01-13,0.9,86.8,13.2,1009.6
2019-01-14,2.9,76.2,26.4,1001.3
2019-01-15,0.6,69.3,31.7,1015.1
2019-01-16,3.4,61.3,16.1,1016.8
2019-01-17,5.3,61.1,18.4,1015.9
2019-01-18,3.8,77.3,23.8,1014.9
2019-01-19,1.4,89.2,17.8,1019.4
2019-01-20,1.4,92.7,16.6,1016.4
2019-01-21,1,86.9,11.9,1020.6
2019-01-22,0.1,95.2,15.3,1012.1
2019-01-23,0,97.8,13,1001.2
2019-01-24,-0.2,99,23.8,1001
2019-01-25,-2.2,97.5,24.9,1008.2
2019-01-26,-3.2,88.4,22.8,1010.7
2019-01-27,-0.6,79.9,19.4,1005.9
2019-01-28,3.5,76.9,34.4,998
2019-01-29,1.1,96.1,10.7,1006.2
2019-01-30,1,96,7.6,1003.5
2019-01-31,0.3,97.8,13,1004.4
2019-02-01,4.9,77.1,31.6,1007.7
2019-02-02,11,64,35.7,1005.8
2019-02-03,11.7,68,41.2,1006.6
2019-02-04,4.6,83.8,21.5,1025.5
2019-02-05,3.4,94.2,13,1027.2
2019-02-06,3.2,88.7,20.2,1025.9
2019-02-07,1.3,84.2,15.3,1023.9
2019-02-08,1.4,88.9,14.8,1021.9
2019-02-09,3.3,79.7,8.9,1021.6
2019-02-10,5,72.7,16.6,1017.9
2019-02-11,7.4,75,35.9,1007
2019-02-12,3.4,73.6,38.1,1020.5
2019-02-13,1.1,74.5,20.5,1033.5
2019-02-14,3.9,76.8,18.9,1033.2
2019-02-15,4.3,74.6,15.3,1031.4
2019-02-16,3.5,75.1,8.9,1032.5
2019-02-17,4.8,71.1,7.7,1029.1
2019-02-18,6,70.5,9.5,1025
2019-02-19,6.8,67.5,5.9,1020.2
2019-02-20,7.3,61,19,1022.5
2019-02-21,6.6,58.3,16.8,1026.8
2019-02-22,4.7,81.1,40.7,1022.2
2019-02-23,-2.2,56.6,42,1036.6
2019-02-24,-2.7,66.4,14.8,1038.5
2019-02-25,1,54.7,13,1035.5
2019-02-26,4.6,59.1,25.1,1025.3
2019-02-27,5.3,59.8,25.4,1023.4
2019-02-28,8.9,51,27,1015.3
2019-03-01,11.6,46.8,23.1,1010.6
2019-03-02,8.4,65.8,22.5,1014.6
2019-03-03,7.4,68.3,13.7,1018.9
2019-03-04,11.9,44.9,14.8,1010.5
2019-03-05,10.3,61.8,30.1,1011.9
2019-03-06,9.5,60.1,15.3,1018.1
2019-03-07,15.6,42,23.1,1014.4
2019-03-08,16.3,41.1,17.9,1016.2
2019-03-09,12.7,72.8,15.5,1020.3
2019-03-10,14.1,51.7,21.6,1015.2
2019-03-11,7.5,73.4,25.9,1015.3
2019-03-12,5,63.7,22.8,1019.6
2019-03-13,5.6,55.4,23.8,1017
2019-03-14,6.9,58.7,13.7,1011.2
2019-03-15,8.5,54.8,25.4,1009.5
2019-03-16,10.7,59.4,24.4,1013.1
2019-03-17,14.2,53.5,16.1,1012.6
2019-03-18,13.2,52.5,32.2,1013.5
2019-03-19,8.8,59.7,22.3,1022.6
2019-03-20,7.6,72.6,15.8,1030.2
2019-03-21,8.1,49.8,14.5,1033.8
2019-03-22,9.1,47.7,13,1030.9
2019-03-23,11.2,50.6,19.9,1026.1
2019-03-24,11.8,45.2,10.1,1021.4
2019-03-25,11.8,45.4,31.7,1012.9
2019-03-26,8.6,51.6,24.4,1020.2
2019-03-27,6.7,45.4,18.4,1026.2
2019-03-28,6.5,36.8,16.6,1029.1
2019-03-29,8.6,44.2,23.6,1028.8
2019-03-30,10.8,46.9,12.3,1024.8
2019-03-31,12.9,44.9,12.5,1018.4
2019-04-01,13.5,44.5,14,1016
2019-04-02,13,43.4,31.9,1016.8
2019-04-03,13.8,33.4,37.9,1012.9
2019-04-04,15,36.5,37.9,1009.2
2019-04-05,13.8,48.5,46.9,1006
2019-04-06,13.8,59.1,24.2,1007.3
2019-04-07,15.8,50.6,33.2,1006.1
2019-04-08,13.3,61.8,20.5,1004
2019-04-09,15.2,61,23.1,1003.9
2019-04-10,16.1,65.1,13,1004.9
2019-04-11,13.1,85.1,15.5,1008.2
2019-04-12,7.6,89.8,23.1,1012.5
2019-04-13,7,88.6,14.8,1015.6
2019-04-14,9.5,83.6,10.7,1015.1
2019-04-15,10.3,89.5,15,1017.3
2019-04-16,10.8,59.2,18.4,1019.6
2019-04-17,10,65.7,20.5,1019.8
2019-04-18,12.3,66.3,14,1025
2019-04-19,13.6,58.8,19.9,1027
2019-04-20,12.6,48,17.9,1026.6
2019-04-21,14,43.9,12.5,1022.5
2019-04-22,15.4,46.2,43,1014.9
2019-04-23,12.5,62.4,49.8,1014.9
2019-04-24,17.4,56,36.9,1017.3
2019-04-25,20.3,52.8,24.5,1018.7
2019-04-26,22,51,24.9,1015.1
2019-04-27,15.6,76.1,23.3,1013.2
2019-04-28,13.1,74.6,23.1,1014.1
2019-04-29,11.7,81.9,16.9,1011.9
2019-04-30,11,90.4,31.1,1009
2019-05-01,11.9,86,26.2,1009.3
2019-05-02,14.8,68.1,22.5,1010.7
2019-05-03,16,61.4,32.4,1009.9
2019-05-04,16,66,16.8,1006
2019-05-05,13,89.7,27,1001.9
2019-05-06,7.1,91.4,27.2,1008.6
2019-05-07,8.5,80.2,27.5,1016.2
2019-05-08,10.6,65,11.9,1016.6
2019-05-09,12.2,78.8,11.9,1007.8
2019-05-10,14.1,76.3,23.1,1010.2
2019-05-11,16.4,65.1,13.7,1014.1
2019-05-12,18.5,60.4,28.5,1012.9
2019-05-13,17.6,67.1,28.7,1016
2019-05-14,8.9,92.9,23.6,1016.4
2019-05-15,8.9,84.2,20.7,1014.5
2019-05-16,10.6,83.1,9.4,1014.4
2019-05-17,12.8,81.8,11.2,1013.2
2019-05-18,16.7,73.9,19.2,1009.2
2019-05-19,17.5,82.3,29,1005.8
2019-05-20,16.5,74.9,25.7,1006.8
2019-05-21,16.8,66.4,22,1010
2019-05-22,17.5,73.1,21.5,1012.5
2019-05-23,16.4,77.4,25.1,1014.6
2019-05-24,15.3,76.2,20.2,1013
2019-05-25,18.7,68.5,18.4,1013.5
2019-05-26,20.2,62.7,12.1,1014.6
2019-05-27,19.1,81.6,15,1012.5
2019-05-28,19.3,79.3,25.9,1007.5
2019-05-29,18.4,82.9,11.7,1010.3
2019-05-30,15.7,83.1,23.8,1019.1
2019-05-31,13.8,87.3,20.2,1021.8
2019-06-01,15.1,93.6,15.5,1017.7
