datetime,temp,humidity,windspeed,sealevelpressure
2019-01-01,2,91.4,20.5,1026
2019-01-02,0.1,93.7,14.7,1016.5
2019-01-03,-1,83.8,30.8,1019.5
2019-01-04,-3.6,80.9,31.7,1025.4
2019-01-05,-3.5,77,9.3,1020.8
2019-01-06,-1.4,91.2,18.7,1016
2019-01-07,-5.2,81.8,29.1,1026.4
2019-01-08,-7.2,76,10.2,1021
2019-01-09,-2.6,91.1,7.1,1007.6
2019-01-10,-1.6,96.5,18.7,1008
2019-01-11,-1.8,93,17.1,1018.5
2019-01-12,-4.1,90.1,7.3,1018.7
2019-01-13,-1.2,90,6.9,1011
2019-01-14,-1.3,93.5,15.1,1002.8
2019-01-15,-0.7,72,30.9,1014.6
2019-01-16,-0.7,75.1,10.4,1018.5
2019-01-17,-1.2,80.2,7.1,1018.5
2019-01-18,0.3,81.6,25.2,1016.2
2019-01-19,1.5,93.7,13.6,1019.3
2019-01-20,1.8,91.1,15.8,1015.9
2019-01-21,1.2,91.5,15.9,1020
2019-01-22,1.5,90.7,16.9,1011.4
2019-01-23,3.1,90.6,10.2,1000.3
2019-01-24,0.5,95.5,21.6,1000.3
2019-01-25,-1.4,96.8,24.2,1006.1
2019-01-26,-3.4,91.6,23.4,1010
2019-01-27,-4.3,85.9,7.4,1008.9
2019-01-28,2.6,75.3,17.5,1000.6
2019-01-29,2.2,91.5,19.7,1005.4
2019-01-30,1.1,94,9.3,1003.3
2019-01-31,0.7,95.6,5.4,1004.3
2019-02-01,3.7,79.7,17.5,1011.1
2019-02-02,10,64.7,20.2,1009.6
2019-02-03,11.6,62.7,24.9,1009.2
2019-02-04,5.1,89.6,26.2,1023.8
2019-02-05,3.1,93.7,14.9,1026.1
2019-02-06,3,92.2,26.1,1024.5
2019-02-07,3.1,84.8,15.9,1023.7
2019-02-08,1.9,84.2,9.2,1021.7
2019-02-09,3.2,77.5,6.9,1021.6
2019-02-10,3.2,77.8,7.4,1019.7
2019-02-11,4.9,78.9,26.3,1008.3
2019-02-12,2,86.6,24,1018.5
2019-02-13,0.9,77.8,24.2,1031.9
2019-02-14,1.2,83.4,13.1,1033
2019-02-15,4.5,79,14.8,1030.5
2019-02-16,3.3,75.6,15.9,1032
2019-02-17,3.1,76.3,7.4,1029.2
2019-02-18,4.2,74.2,7.4,1025.5
2019-02-19,5.6,66,7.2,1021.1
2019-02-20,5.6,68.3,17.7,1022.4
2019-02-21,5.1,65,18.6,1026.6
2019-02-22,3.5,87.3,37.3,1021.1
2019-02-23,-3,64.8,39.1,1034.5
2019-02-24,-2.9,66.4,17.7,1037.6
2019-02-25,-0.4,64.4,17.8,1034.6
2019-02-26,2.4,63.4,15.1,1025.4
2019-02-27,5.4,61.9,23.4,1022
2019-02-28,5.8,58.9,10.9,1017
2019-03-01,8.6,56.1,18.5,1011.1
2019-03-02,8.1,69.8,24.2,1013.9
2019-03-03,6.3,70.4,16.8,1019.5
2019-03-04,8.6,56.3,13.9,1013.2
2019-03-05,9.3,68.3,17.9,1013
2019-03-06,9.4,69.8,39.4,1018.9
2019-03-07,12.1,52.1,15.7,1017.5
2019-03-08,15.3,39.1,12.1,1017.6
2019-03-09,11,74.8,17.7,1021.3
2019-03-10,13.2,54.7,20.3,1016.7
2019-03-11,7.9,73.9,21.6,1014.3
2019-03-12,4,76,24.3,1018.1
2019-03-13,4.7,62.8,11.2,1017.4
2019-03-14,5.4,69.6,9.1,1011.6
2019-03-15,5.3,70.7,18.6,1010.9
2019-03-16,9.4,64.5,19.5,1013.6
2019-03-17,12.5,58,7.4,1014.6
2019-03-18,14.5,44.7,31.7,1012.7
2019-03-19,9.9,56.1,29.7,1020.9
2019-03-20,8,66.3,26.2,1029
2019-03-21,8.9,57.2,14.1,1032.8
2019-03-22,7.5,56.6,15.7,1030.4
2019-03-23,9.8,57.9,24.2,1025.4
2019-03-24,10.9,48.6,13,1021.5
2019-03-25,11.9,46,22.5,1012.2
2019-03-26,8.4,56.8,29.9,1018.7
2019-03-27,7.1,50.2,22.3,1025.4
2019-03-28,6.2,44.8,18.6,1028
2019-03-29,7.3,48.2,26,1027.8
2019-03-30,9.9,46.6,20.4,1024.2
2019-03-31,11,48.2,16.8,1018.3
2019-04-01,12.2,46.3,15.1,1015.6
2019-04-02,11.4,47.4,23.2,1017.1
2019-04-03,12.5,38.7,23.2,1015
2019-04-04,13.7,41.3,31.7,1011.3
2019-04-05,13.6,48.7,34.4,1008.2
2019-04-06,14.4,48.6,28.8,1007.8
2019-04-07,14.1,54.8,24.1,1007
2019-04-08,12.5,72.5,8.3,1003.8
2019-04-09,12.5,89.5,13,1003.9
2019-04-10,15,68.7,11.1,1005.5
2019-04-11,13.3,73.4,11.2,1008.3
2019-04-12,9.6,85.4,21.6,1011.8
2019-04-13,8.3,81.1,16,1014.6
2019-04-14,9.2,87.2,18.8,1014.3
2019-04-15,10.5,82.4,14.8,1016.3
2019-04-16,11.2,66.3,21.4,1018.9
2019-04-17,9.2,63,27,1019.2
2019-04-18,11.4,71.5,15.1,1024.3
2019-04-19,12.6,61.9,32,1026.4
2019-04-20,11.8,55.1,14.8,1025.9
2019-04-21,11.3,51.7,6.9,1023.3
2019-04-22,13.7,51,24.2,1016.5
2019-04-23,12.2,68,38.1,1017.3
2019-04-24,16.5,58.7,20.4,1019.6
2019-04-25,18.5,59.2,13,1020.3
2019-04-26,20.1,56.6,13.8,1017
2019-04-27,15.8,74.3,18.4,1013.6
2019-04-28,13.1,72.4,12.1,1014.4
2019-04-29,13.5,77,16.8,1011.3
2019-04-30,11.4,84.3,25.1,1009.3
2019-05-01,11.6,83.7,20.4,1010.4
2019-05-02,13.5,71.5,15.1,1011.8
2019-05-03,15.1,63.9,13,1011
2019-05-04,15,63.5,12.1,1007
2019-05-05,14.5,85.7,18.4,1002
2019-05-06,8.8,85.6,22.5,1007.7
2019-05-07,8,77.7,24,1015.4
2019-05-08,10.9,62.2,10.1,1017
2019-05-09,10.4,81.9,11.8,1009.5
2019-05-10,13.8,73.6,15.7,1010.4
2019-05-11,14.9,67.1,9.4,1014.8
2019-05-12,16,70.5,21.4,1013.8
2019-05-13,15.4,82.2,20.5,1015.2
2019-05-14,10.2,95.4,28,1014.9
2019-05-15,9.9,79.5,19.5,1014.1
2019-05-16,10.4,84.2,17.7,1013.9
2019-05-17,12.6,85.2,9.4,1013
2019-05-18,15.9,75.1,8.4,1009.7
2019-05-19,18.4,75.2,10.8,1005.8
2019-05-20,17,73.5,13,1007.8
2019-05-21,17,60.1,13.9,1011.4
2019-05-22,17.6,69.3,12.1,1013.3
2019-05-23,15.5,81.5,16.9,1014.8
2019-05-24,15,77.3,16.6,1013.1
2019-05-25,17,76.9,17.7,1014.1
2019-05-26,18.8,68.9,10.2,1015.2
2019-05-27,18.8,79.9,14.7,1013.4
2019-05-28,20.1,67.2,17.7,1008.3
2019-05-29,18.5,78.3,15.6,1011.3
2019-05-30,16.5,82.5,20.7,1018.3
2019-05-31,14.2,82.3,18.7,1021.3
2019-06-01,15.6,87.4,13.9,1017.7
2019-06-02,16.4,87.4,15.9,1017.1
2019-06-03,17.3,87.8,16.6,1013.7
2019-06-04,17.3,85.7,8.2,1012.8
2019-06-05,18.6,83,10.3,1011.8
2019-06-06,20.5,77.9,9.4,1014.1
2019-06-07,22.5,72.7,7.1,1017.2
2019-06-08,23.8,68.5,10.7,1018.9
2019-06-09,23.4,75,15.8,1020.7
2019-06-10,24.2,68,13,1016.3
2019-06-11,21.4,75.9,13.8,1013.4
2019-06-12,22.9,73.1,10.2,1014
2019-06-13,25.8,67.6,10.2,1014.3
2019-06-14,25.7,68.2,15,1017
2019-06-15,25.5,65.7,13,1015.3
2019-06-16,25.4,66.6,11.2,1012.4
2019-06-17,22.7,74.2,18.7,1015.7
2019-06-18,21.8,80.6,15.7,1015.6
2019-06-19,21.8,80.4,11.9,1013.7
2019-06-20,23.2,72.6,16.7,1012.6
2019-06-21,23.4,71.8,13.9,1015
2019-06-22,24.2,69.7,7.6,1016.3
2019-06-23,23.7,74.4,21.6,1013.2
2019-06-24,22,78.8,13,1016.8
2019-06-25,24.3,72.5,20.6,1021.3
2019-06-26,24.9,72.3,13,1023.2
2019-06-27,25.3,71.3,15.1,1018.4
2019-06-28,23.2,68.7,28.9,1015.3
2019-06-29,20.9,56.6,20.5,1019.6
2019-06-30,21.3,62.8,11.2,1021.8
2019-07-01,24.1,63.1,7.5,1018.7
2019-07-02,26.1,63.4,14,1014.1
2019-07-03,25.1,65.4,21.6,1015.4
2019-07-04,24.3,63,13.9,1017.9
2019-07-05,23.1,66.4,12.1,1016.2
2019-07-06,24.1,61.3,9.2,1013.9
2019-07-07,25,58.8,12.9,1009.4
2019-07-08,22.1,72.3,25.5,1013.2
