datetime,temp,humidity,windspeed,sealevelpressure
2019-01-01,1.1,93.8,11.7,1026.9
2019-01-02,1.6,86.6,19.4,1016.2
2019-01-03,-1.3,87.3,23.4,1021
2019-01-04,-4.5,86.6,13.4,1026.8
2019-01-05,-3.8,87.6,15.7,1021.1
2019-01-06,-0.7,92,15.8,1016.9
2019-01-07,-6.4,81.5,17,1027.6
2019-01-08,-5.2,79.4,16.6,1020.1
2019-01-09,0.5,87.9,11.9,1006.8
2019-01-10,-1,97.7,13.1,1009.2
2019-01-11,-2.2,90.6,14.8,1018.5
2019-01-12,-3.2,89.4,14.8,1018.8
2019-01-13,0.8,87.8,13.7,1010.2
2019-01-14,2.4,78.8,17.3,1001.3
2019-01-15,0.1,72,23.5,1014.7
2019-01-16,2.8,66.3,11.1,1017.2
2019-01-17,4.9,61.3,18.4,1016.6
2019-01-18,4,73.6,18.2,1015.2
2019-01-19,1.6,87.5,18.7,1019.8
2019-01-20,1.5,89.3,19,1016.7
2019-01-21,0.9,89.4,9.3,1020.9
2019-01-22,0.4,90.2,18.3,1012.6
2019-01-23,1,91.1,12,1001.4
2019-01-24,0,98,15.4,1001.1
2019-01-25,-1.3,97.5,15.3,1007.9
2019-01-26,-3.1,90.9,15.9,1010.6
2019-01-27,-0.2,77.9,24.7,1007
2019-01-28,4.3,70.7,35.5,999
2019-01-29,1.4,95.1,11.8,1006.3
2019-01-30,1,96.3,4.9,1003.9
2019-01-31,0.7,97.7,9.3,1004.7
2019-02-01,5.8,71.9,34.5,1009
2019-02-02,11.4,56.6,36.9,1007.2
2019-02-03,12.2,59.1,39.8,1007.6
2019-02-04,5,84.6,16,1025.1
2019-02-05,3.7,94.1,9.2,1027.1
2019-02-06,3.6,89.6,14.2,1025.5
2019-02-07,2.1,82.3,13.7,1024.4
2019-02-08,2.3,80.8,16.9,1022.2
2019-02-09,3.2,78.3,8.1,1022
2019-02-10,4.7,71,19.2,1018.8
2019-02-11,7.3,72.9,29.6,1007.3
2019-02-12,3.2,77.9,33,1019.2
2019-02-13,1.3,74.7,18.4,1033
2019-02-14,3.1,79.7,13.7,1033.3
2019-02-15,4,76.1,11.8,1031.4
2019-02-16,3,77.9,10.4,1032.6
2019-02-17,4,76.1,6.7,1029.3
2019-02-18,5.1,75.1,8.3,1025.4
2019-02-19,7.1,66.1,10.1,1020.6
2019-02-20,6.6,64.3,15.7,1022.4
2019-02-21,5.4,62.4,15.4,1026.9
2019-02-22,4.4,82.1,33.2,1021.6
2019-02-23,-2.2,61.4,33,1036.3
2019-02-24,-2.5,66.1,12.9,1038.7
2019-02-25,0.7,57.9,11.4,1035.7
2019-02-26,3.7,60.3,19.6,1025.5
2019-02-27,5.4,60.7,24.7,1022.8
2019-02-28,8.1,53.3,18.8,1015.8
2019-03-01,11.2,49.4,23.2,1010.3
2019-03-02,7.7,63.9,20.1,1014.3
2019-03-03,6.9,67.3,12.3,1019.3
2019-03-04,11.8,45.5,16.7,1011.3
2019-03-05,10.4,60.4,16.7,1012
2019-03-06,9.7,59.5,14.6,1018.5
2019-03-07,15.1,37.8,25.8,1015.5
2019-03-08,16.6,37.5,16.8,1016.5
2019-03-09,12.8,71.1,14.5,1020.5
2019-03-10,14,52,16.5,1015.4
2019-03-11,8.3,69,20.8,1014.9
2019-03-12,5.3,61.9,22.2,1019
2019-03-13,5.5,53.7,24.9,1017.4
2019-03-14,7.1,56.5,19,1011.5
2019-03-15,7.9,56.9,17.7,1009.9
2019-03-16,10,61.9,17.9,1013.2
2019-03-17,14.7,51.2,16.9,1013.1
2019-03-18,14,50.4,23.5,1013.2
2019-03-19,9.2,59.3,19.1,1021.9
2019-03-20,7.7,67.7,13.7,1029.8
2019-03-21,8.4,51.9,13.4,1033.5
2019-03-22,8.8,49.1,14.5,1030.8
2019-03-23,10.8,52.2,14.7,1025.8
2019-03-24,11.5,43.6,9.9,1021.6
2019-03-25,11.6,45.5,27.9,1012.7
2019-03-26,8.5,51,21.5,1019.5
2019-03-27,6.6,45,17.8,1025.9
2019-03-28,6.6,37.2,15.4,1029
2019-03-29,8.5,44,18.7,1028.5
2019-03-30,10.5,47.9,11.5,1024.7
2019-03-31,12.5,46.4,11.1,1018.4
2019-04-01,13.2,44.8,11.4,1015.8
2019-04-02,13.1,40.2,35.3,1017.2
2019-04-03,13,31.1,39.7,1014.1
2019-04-04,14.2,35.2,35.6,1010.3
2019-04-05,14,44.2,42,1007.1
2019-04-06,14.1,53,29.6,1007.7
2019-04-07,15.7,47.9,33.3,1006.7
2019-04-08,14.1,56.2,14.1,1004.3
2019-04-09,14.9,64.5,15.8,1003.9
2019-04-10,16.3,64.3,14,1005.2
2019-04-11,13.2,83.2,13,1008.2
2019-04-12,8.3,90,16.4,1012.4
