datetime,temp,humidity,windspeed,sealevelpressure
2019-01-01,-0.1,91,11.2,1024.8
2019-01-02,-0.6,88.4,19.3,1015.2
2019-01-03,-3.6,90.2,24.7,1019.3
2019-01-04,-5.8,87.8,14.8,1024.1
2019-01-05,-5.1,85,15.3,1018.4
2019-01-06,-1.4,92.6,21.3,1015.3
2019-01-07,-7.1,85.7,21.7,1024.7
2019-01-08,-6.9,83.9,14.1,1017.4
2019-01-09,-1.2,91.9,13.2,1004.6
2019-01-10,-2.1,95.4,21.3,1007.4
2019-01-11,-3.2,91.1,17.9,1016.7
2019-01-12,-4.2,88.1,10.9,1016.8
2019-01-13,-0.8,87.4,15,1008.7
2019-01-14,0.6,85.7,19.7,1001
2019-01-15,-1.4,71.1,21.4,1014.1
2019-01-16,1.1,64.8,13.9,1016.6
2019-01-17,2,70.5,16.4,1016
2019-01-18,3.1,75.8,19.9,1014.3
2019-01-19,0.1,92.6,8.9,1017.4
2019-01-20,0.4,93.7,11,1014.3
2019-01-21,-0.6,91.6,10.1,1018.1
2019-01-22,-0.9,94.9,9.4,1009.7
2019-01-23,0,93.7,12.6,999.3
2019-01-24,-1.9,94,18.4,999.5
2019-01-25,-3.9,94.8,19,1005.7
2019-01-26,-5,88.4,18.6,1008.9
2019-01-27,-1.8,81.8,16.2,1005.5
2019-01-28,3.5,77.9,19.7,997.6
2019-01-29,0.6,94,10.2,1004.6
2019-01-30,0.4,93.9,8.7,1001.8
2019-01-31,0.5,90.5,11,1002.7
2019-02-01,5.7,69.5,20.7,1007.6
2019-02-02,9.6,65.2,24.2,1006
2019-02-03,10.2,65,28.5,1006.5
2019-02-04,2.5,89.5,17,1024.2
2019-02-05,1.3,93.6,8.8,1025.6
2019-02-06,1.1,91.2,18.7,1024.6
2019-02-07,0.4,88.2,14.1,1022.2
2019-02-08,-0.3,92.5,10.4,1020.4
2019-02-09,1.8,83.5,7.1,1020.3
2019-02-10,3.9,72.8,16.3,1018
2019-02-11,5,77.9,27.4,1007.2
2019-02-12,0.5,83.8,31.9,1019.3
2019-02-13,-1.2,81.5,15.5,1031.7
2019-02-14,1.2,82.2,18,1032.4
2019-02-15,2.8,80.7,15.2,1030.3
2019-02-16,2.1,76.4,8.7,1031.5
2019-02-17,3,71.1,7.1,1028.4
2019-02-18,4.8,65.3,7.1,1024.5
2019-02-19,6.1,61.7,12.3,1020.3
2019-02-20,6.3,62.7,10.7,1022.4
2019-02-21,4.9,65.5,14.8,1026.5
2019-02-22,3,86.8,30.4,1021.5
2019-02-23,-5.4,71.2,30.4,1033.5
2019-02-24,-4.8,72.1,12.2,1035.8
2019-02-25,-2,64.4,10,1033.3
2019-02-26,3.2,60.7,21.8,1024.8
2019-02-27,4.4,61.9,18.7,1022.9
2019-02-28,7.1,52.7,18.6,1016.4
2019-03-01,9.4,50.8,14,1011.7
2019-03-02,6.5,75.5,15.1,1014.6
2019-03-03,6.4,67.4,9,1018.7
2019-03-04,9.5,52.4,17,1011.8
2019-03-05,8.6,69.3,19.7,1012.3
2019-03-06,8.4,63.8,12.8,1018.4
2019-03-07,13.5,46,22.1,1015.7
2019-03-08,15,36.9,20.8,1017.2
2019-03-09,10.7,75.3,16.4,1021
2019-03-10,12.2,54.1,21.5,1016.4
2019-03-11,5.3,81.9,17.3,1014.9
2019-03-12,2,78.7,16.3,1018.6
2019-03-13,2.8,65.2,10.7,1016.2
2019-03-14,4.4,65.4,12.5,1011
2019-03-15,5.7,60.6,21.1,1009.9
2019-03-16,9.4,60.7,16.2,1013.7
2019-03-17,12.9,52.1,15.3,1014
2019-03-18,11.8,52.8,23.3,1014
2019-03-19,6.4,67.9,18.8,1021.7
2019-03-20,4.9,82.4,11.6,1029.4
2019-03-21,6.8,58.2,10.7,1033
2019-03-22,7.3,51.6,9.1,1030.8
2019-03-23,9.2,57.7,14.1,1026.4
